anceltans quelimostier	-|--|---|--|-|------|
etl e syg li sesfurent conm anc ié a	-|-⌫-⌫|--⌫--⌫--|-----|----⌫---⌫--||
edifierounonnos tre	------|-|--|---⌫--|
signor ihesucris tetque lisaint	-----|----|----⌫|-|--|-|----|
homeconmancerent nost resegnor	---|-----------|----⌫-|-----|
as eruir pordiu e rse	|-⌫----|--|---⌫-⌫--|
man i eredordremonacalsi	---⌫-⌫--||----|------|-|
sespandi etbeneuree	|------|-|-------|
renomm ee por	------⌫-|--|
totes lesparties	----|--|------|
etquant elesefutante spanduequ	-|----|--|-|-|---|-⌫------|-|
parue nuetresque	-----⌫--|------|
yndeu negranzpartiedes y ndiei nsdeguerpirenttotes	---|-⌫-|----|-----|--|-⌫-----⌫-|-----------|----|
cho ses terr iennesets anfo yre nt es deserzet il lec	---⌫--|----⌫-----|-||----⌫---⌫-|-|-----|-|--⌫--|
recurentencor smortelsdangres	-------|-|---⌫|------||-----|
etandementeresque ce s	-|--------------|--⌫|
ch osesse tenoientansibonestatet	--⌫---|-|-------|-|-|--|----|-|
quel ipl us orsanal oient es	--|-⌫|--⌫--⌫-||-|--⌫----|-|
cielzausicon mea n	----|---|---⌫-|-⌫|
uolantde pennesd oysi ezsi auintqu eilout	-----|-|-----||----⌫-|-|----|--⌫|-|--|
roiqui f uape lezauennirqui	--|--|-⌫|---⌫--|------|--|
fumoult g r anzen richece etan	-|----|-⌫-⌫--|-|------|-|-|
puissanceetn oblesenbataillese tueinche re s deto uzs es	--------|-|-⌫----|-|--------|-⌫|-------⌫--⌫|-|--⌫-|-⌫-|
iles t oit enorezpargrandescedeco rs	-|--⌫-⌫--|-----|--|--------|-|--⌫-|
et parbiaut ede uoultet	-|--|-----⌫|-|----|-|
auoi r tant deglo reconme	----⌫|---|-|---⌫-|----|
nuspuo itplusauoird erich escest er riene se t	--|---⌫-|---|----|-⌫|----⌫----|-⌫--⌫-----⌫|-⌫|
dechosestrespassablesmesd e	-|-----|------------|--|-⌫|
touzles biensqui	---|--|----|--|
a la rmeapa r tenoient estoitil estranges	||-⌫--|---⌫-⌫-------|-----|-|--------|
ets ofraitous quaril estoitpaieinset	-|-⌫--------|---|-|-----|------|-|
detout abandenezacultiue r	-|---|--------||-------⌫|
l esydoles.	-⌫-|-----||
s ico n i l	-⌫|--⌫|-⌫|
ui uoi tesde liz etes ioies	--⌫---⌫|-|--⌫--|-|-|----|
terrien esconmecil qui	-------⌫-|----|--|--|
dou tou testoit abandonezesbiensdel a	--|---⌫|-----|--------|-|----|-|-⌫|
presenteuiesinestoit	-------|--|-||-----|
nule riens	---|----|
quilifau sit quantau corsneq ui	--|-|---⌫--|----|-|---|-|-⌫-|
