Sirebou niour	---|---⌫|---|
S ireb o uniour auous	-⌫--|-⌫-⌫-|---||---|
Ouboun iour uousdoyne	-|---|---|---|----|
Sirebo un ma tyn	---|--⌫-|--⌫--|
Sirebounmatynauous	---|---|----||---|
Dieuuo u s saue	---|--⌫-⌫|---|
D ieuuou s benoy	-⌫--|---⌫|----|
D ieu uousdoynebone	-⌫--|---|----|---|
uieetl onge	--|-|-⌫---|
Di eu u ouscomande	--⌫-|-⌫--|------|
Dieu u ousdoynebonsanyté	---|-⌫--|----|--|------|
e tbonioye	-⌫|--|---|
Dieu uousgarde	---|---|----|
uousa uxc i	---|-⌫---⌫|
Sirebonso e r	---|--|--⌫-⌫|
Si r eboun soerauous	--⌫-⌫|---|---||---|
Sireuous estez bien encountr e z	---|---|----|---|--------⌫-⌫|
Sireuousestez bien u enu	---|---|----|---|-⌫--|
Dieuu ousesp loite	---|-⌫--|---⌫----|
Deu uousauaunce	--|---|------|
Sireprou uo us	---|---|--⌫-|
Sir egrant mercy	---⌫|----|----|
Sireuoul ez uousmanger	---|----⌫-|---|-----|
Non s y recert ys i aymangé	--|-⌫-⌫-|----⌫-||-|-----|
S irebeue z	-⌫--|----⌫|
Sirecomencez	---|-------|
Sir e pernez	---⌫|-----|
Sirenounpas de uant	---|---|--|--⌫---|
uoussiuousplestpar	---|-|---|----|--|
Sireferezore	---|----|--|
Dieu bonen oet	---|---|-⌫--|
Sirebonenoetuous doyne	---|---|---|---|----|
Dieuetbounrepo s	---|-|---|----⌫|
Sirecome nt	---|----⌫-|
ouéuous est	---|---|--|
Sire lemeul x	---|-|----⌫|
puruous gr auntmerciez	--|---|--⌫---|------|
S ire de zqueuxpartiezue igne zuous	-⌫--|--⌫|----|------|--⌫----⌫|---|
Si reie ue ignedezpartiez de	--⌫-|-|--⌫---|--|------|-|
Sire quelezn ouel x	---|-----|-⌫----⌫|
Sirele royeste nbonpoint	---|-|--|--|-⌫|--|----|
loiezso it	----|--⌫-|
Dieuouesq uetou tesa compaignie en	---|-----⌫-|---⌫-|-|---------|-|
lezpartie sde	--|------⌫|-|
Normand ie etilesten saniteelu y	-------⌫-|-|-|--|-|------|--⌫|
mesme smes plusour s	-----⌫|--|-------⌫|
d e s ezgent zsou n t	-⌫|-⌫-|----⌫|---⌫-⌫|
