l auenture dun autre	|-------||-|----|
c u meleauie ntuuscunter ai	-⌫-⌫|--|----⌫-|--|------⌫-|
mutgent iluassal	--|----⌫-|-----|
enbretans l apelent lanual	-|------||------|-----|
akardoelsuriurnot li reis	|------|--------|-|---|
arturlipruz	----|-|---|
eli curteis	|-|------|
purlesescoz epur lespis	--|--|----||--|--|--|
quedest ru ient lepais	--|----⌫--⌫---|-|---|
e nlateredeloengree ntr oent	-⌫|-|---|-|------|-⌫---⌫---|
emutsuuent ladamagoent	|--|-----|-|--------|
pentecuste eneste	---------|-|---|
iauei t lireissui urné	|----⌫|-|---|---⌫----|
dunari c h esduns	---|--⌫-⌫-⌫-|---|
e asc un tesea sbaru ns	|-|-⌫--⌫--||-⌫|----⌫-|
la ta blerunde	-|--⌫--|----|
nottantdeteusen tutlemu nde	|-|---|-|---|-|--|-|--⌫--|
femmeseteredeparti	-----||---|------|
partutfo rs unkilot serui	--|--|--⌫-|-|-||-|----|
l anu alne len souient	-⌫---⌫-|-||-|------|
nenul d esoen sbienn e litient	-|--|-⌫|----⌫|---|-⌫|-|----|
pur saualurp urla	--|-|----|-⌫-|-|
pu rsabeautepursapruesce	--⌫|-|-----|--|-|------|
l enuioenttutlip lu sur	|-------|--|-|-⌫--⌫--|
telli mustr asemblant damur	--|-|-----⌫|-------||---|
sial cheualermesauen i s t	-|-|-------|--|----⌫-⌫-⌫|
ia u nefeiznelenp leinsist	-|-⌫-|---|-||---⌫-------|
fiza reifudeha ut	--||--|-|-|--⌫-|
mes luin ert	--|---|--|
desunherit age	-|--|-----⌫--|
dela meis nele reif u	-|-|----⌫-|-|--|-⌫|
tutsu naueir add espendu	--|--⌫|----|-|-⌫------|
karlirei srien neli don a	--|-|---⌫|---|-|-|---⌫|
ne lanual ri enneli	-|-----|--⌫-|-|-|
ore estlanualmut entrep ris	--|--|-----|--|------⌫--|
mut estdolente mutpensis	--|--|-----||--|-----|
seignurs neuuses merueille z	-------|-|--|--⌫---------⌫|
humee strange descunseillez	---|-⌫------|------------|
mutestdolenten	--|--|-----|-|
au tretere	--⌫--|---|
suc urs que re	---⌫--|---⌫-|
lecheualerduntieo uus	-|-------|---|--|--|
queta nta ueitle	--|--⌫-|-⌫---|-|
re iseru i	--⌫|----⌫|
un iu rmunta sur	-|--⌫|----|--|
sun destrer	--|------|
sisestalezesbane er	-||--|---|------⌫-|
lauileesteiss uz	-|---|--|----⌫-|
estenunpr e uenuz	--|-|-|--⌫|----|
surun eewecurauntdescent	--|--⌫|--|------|------|
messis cheual trembleforment	--|--|-----|------|------|
i lledesce nglesise nuai t	-⌫|-|-----⌫---|-||-⌫|---⌫|
pre u u i ltrerlelait	--|-⌫-⌫-⌫----|-|---|
l epan de sun mant elplia	-⌫|--|-|--|----⌫-|---|
desuz sun chie fp uisle	----|--|----⌫|-⌫--|-|
mut es t pens ispursame saise	--|--⌫|----⌫-|--|-|--⌫----|
il neueitchosekeli	-|-|---|----|-|-|
la ui l gist enteu	-||-⌫|---|-|--|
gard aauall ezlariuiere	----⌫|---|-⌫-|-|------|
uituenirdeus dameiseles	--|----|---|---------|
uncn en otueuplusbeles	--||-|-|--|---|----|
uestuesiere nt	------|----⌫-|
laci ezmutest reitement	----⌫-|--|---⌫--------|
endeusbliansdepurprebis	-|---|-----|-|-----|--|
auei en t bel	----⌫--⌫|--|
l eisnee porto ut	|-----|-----⌫-|
dor éfurentbien	---⌫-|-----|---|
le ue iruus endirai	-|--⌫-|--|-|----|
lau tre portout une	|--⌫--|------|--|
elessen sunt	---||-|---|
aleesdreit	----|----|
cheua le rgi seit	-----⌫--⌫|--⌫---|
lanualque mut	-----|--|--|
f uensei gniez	-⌫|-----⌫----|
cun treel ess	---⌫--|--⌫-||
enleuad e n	-|----|-⌫|
celesl untprimes	----||--|-----|
lu r m essageli un tcun te ́	--⌫|-⌫-----|-|--⌫|---⌫--⌫|
