adeumeplaign	|--|-|-----|
quies t messagea u	--|--⌫|------|-⌫|
reide u ciel	--|--⌫|---|
de toz lesuileinsde uers on	-|--|--|------|-|----⌫-|
etde osb erunuilein fe lon	-|-|---⌫-|-|-----|--⌫--|
saintmi chielueutdeseri ter	----|--⌫----|---|------⌫--|
la pierredeiuentamene r	-|-----|------|-----⌫|
toz l esiorzquil	--|-⌫-|---|-|-|
s anzc ontredit et	-⌫--|-⌫-------|-|
sanz dangier	---|------|
et eusasforset as molins	-|--|-|---|-|-|-----|
eussunt pluscuuerzquem astins	--|---|---|-----|--|-⌫-----|
eteusasmolinsetas fors	-|--|-|-----|-|-|---|
doiu ent s eruisetozlesiorz	----⌫--|-⌫-----|--|--|---|
quel en iueutf eremeson s	--|-⌫-||---|-⌫--|-----⌫|
ildo i uentseruir	-|--⌫-⌫---|-----|
lesmachons	--|------|
et delapierreetdel m ortier	-|-|-|-----|-|--|-⌫-----|
to tceufaitleuilein plenier	--⌫|--|---|-|-----|------|
ma le ethgreosbe r	--⌫--⌫--|--|----⌫|
q u iporte malue s enouele	-⌫-⌫|----|-----⌫-⌫|-----|
lesuilainsen fontl o rui sconte	--|------|-|---|-⌫-⌫|--⌫-----|
dontil morrontamalehonte	---|-|------||---|----|
ile nontfaitlor pla ideor	-|-⌫|--|---|--|---⌫----|
po r dese riter	--⌫|----⌫----|
lorseignor	--|------|
ne lf ire ntileutens	-||-⌫---⌫-|-|-|---|
ete urober t lecheualier	-|-⌫|-----⌫|-|--------|
et e utensa sa utres priors	-|-⌫|---|-⌫|-⌫----|-----|
euslefesoienttozlesio rs	--|-|-------|--|--|--⌫-|
le premiers eruisedel an	-|------|-⌫-----|-||-|
sidoiuenta	-|------||
lasain tioha n	-|----⌫|----⌫|
cestquil do iuentles prezfau ch ier	|--|-|-|--⌫----|--|---|---⌫--⌫--|
auneretaparellier	----|-|---------|
ettas s e r eumileudes pr ez	-|---⌫-⌫-⌫|-|----|--|--⌫-|
quantill es aron tassemblez	----|-|-⌫-|----⌫|--------|
por ter les doiue ntaumanoir	---⌫--|--|-----⌫-|-|-----|
quantlenlor ueutfaireasauoi r	----|--|--|---|----||-----⌫|
etles bordiersle s mete ntenz	-|--|-------|--⌫|----⌫-|--|
cest s eruise fontiltozt e ns	---|-⌫-----|---|-|--|-⌫-⌫-|
apres deiuent le biecurer	----|------|-|--|----|
doitosontruble aler	---||--|-----|---|
chescun iuale truble au	------||-|-|-----|-|
cur e rle fie nset	---⌫-⌫|-|---⌫-|-|
