s e diexmait	-⌫|---||--|
h uietdemain	-⌫-|-|-----|
tan zmiraclesmeu ientamain	---⌫|-------|-|-⌫---||---|
en zz g ran t liure ouie	-|-|-⌫---⌫|----|-|-|
quei enesain e ie nep uis	--|-⌫|-|--|-⌫|-|-|-⌫--|
p laisanschosir	-⌫------|-----|
quanta la fois	----||-|---|
r epreigal ire	-⌫-----||-⌫--|
ciaxquariereai entrelaissiez	---|-|-----|-|------------|
au is quei	--⌫-|--||
ailaiss iez	-|-----⌫--|
et lesmeillo rset	-|--|------⌫-|-|
lesplusbiax	--|---|---|
oruozreuueilconterdeciax	-|--|------|-----|-|---|
qu en tre laissiez ar rie r e auoie	-|--⌫---⌫-------|--⌫---⌫-⌫|----|
et nequeden tie ntro ueroie	-|--------⌫||-⌫|---⌫-----|
et dau sibiax	-||--⌫-|---|
maispo ur ce zzpeuen	---|--⌫-|-|-|--|-|
suiengrans	--|------|
cont essea de menprie	----⌫---|-⌫-||-|---|
desoisso nsq ui	-|------⌫-|-⌫-|
moutestmamie	---|--||---|
etquimoutaime	-|--|---|---|
de cuer f in	-|---|-⌫-|
lam ere dieuqui boene	-|-⌫--|---|--|----|
doneretboe ne	----|-|---⌫-|
etmescuers	-|--|----|
plus tostsi	---|---|||
pourc e quauinrenta	---|-⌫|-|-------||
so is sons	--⌫--⌫---|
ou me norr id eses poissons	-|-|----⌫|-⌫|--|-------|
d esesflaonsetdesesmiches	-⌫|--|-----|-|-|--|-----|
messi re ss ains maars	--|--⌫--⌫|-⌫---|----|
soisson stantesgens	-------⌫|-----|---|
as granzmir aclesquiauinrent	-|----|---⌫----|--|-------|
ausaint sollerlab ele dame	-|----|-----|-|-⌫--|---|
moutpour efame	---|----⌫|---|
iaportaunsien	|-----|-|---|
quimaladieauoit	--|------|----|
d enfersesp iezardoit	|----|--|-⌫--|-----|
cilen fes lesporciax gardoit	--|--⌫--|--|------|------|
e n uaxqui estsozco nfroicort	-⌫|--|--|--|--|--⌫--------|
lezfontenoi	--|-------|
ou aisnecort	-|----|---|
petisest oitne	----|---⌫--|-|
ditnauoit que yyans	--||----|--|-|--|
doup uant feuquiar tsanz flame	--|-⌫---|--|--|--⌫|---|----|
mo utt ost garil	--⌫-|-⌫--|---||
eut nostre dame	--|-----|---|
quies tsoutixcyrurgienne	--|--⌫|-----|----------|
enuaxlapoure cres tienne	-|--|-|----|----⌫-----|
atot sonenfa nt	---|--|----⌫-|
senreu int	|-|---⌫--|
g r ansuoloirsuint	-⌫-⌫--|------|---|
alen fantde	||--⌫---|-|
ralerarri er e	----|----⌫--⌫|
faitmainte priere	---|-----|-----|
souuentl iprie	------|-⌫|---|
a ioi ntesmains	|---⌫---|----|
quechasquanune fois aumains	--|-----|-|--|---|-|----|
ano stre dame leramaint	|--⌫---|---|-|------|
que feusd enferne l e	--|---||----|-|-⌫|
c hasq u anceditla uieutrequerre	-⌫----⌫|-|-|--|-|----|-------|
quesaus ses membresgart sor terre	--|---|--|------|---|--|----|
maissamere	---|-|---|
decestechose	-|----|----|
assezsouuen tleblasm eetchos e	----|------⌫|-|-----⌫|-|----⌫|
etdistq uilneporroitpour ciax	-|---|-⌫|-|-|------|---|---|
cui bestes gardeetcui po rci ax	--|-----|----|-|--|--⌫---⌫-|
so uuentp rieresl enfaitgrans	--⌫----|-⌫-----||-|---|----|
maislauieilleest	---|-|------|--|
mout a hurtans	---|-⌫------|
ausicomsonttelesia	---|--|---|----|||
respont iai a	------|-|-⌫|
roter or do uroter	----|-|--⌫|----|
puisbien amigno ter	---|---|------⌫--|
sun petitet meu ois	|-|------|-|-⌫--|
ietecu itiasiatirie r	-|-|--⌫-|-|-|------⌫|
quetu d al ernaras cor age	--|-||--⌫-||---|---⌫--|
asoi s son sen pelerinage	|---⌫-⌫---⌫|-|---------|
liuall eto nsformen ts aire	-|----⌫---⌫-|------⌫||---|
des parole s	--|------⌫|
quilliotdire	-|-|-|-|---|
ets erespon t	-|-⌫|------⌫|
sires qui nement	----|--|-|---|
quantmenersainnem iuolez	----|----|---|-|||----|
qua uostrecol si co msol ez	-||-----|--|-|--⌫|---⌫-|
mireportezpar	||-------|--|
est ouu oir	---⌫---⌫--|
sife rezuozce croi	-|--⌫--|--|-|---|
ainsqu aitparditesa	-----|--|------|-|
lifeusdenf e r quigensafol e	-|---||---⌫-⌫|--|---|----⌫|
espie z li	-|---⌫|-|
restmaintenan t pris	---|---------⌫|---|
etsi griementle ra	-|-|-------|-|-|
qui l braitetcrietot ei or	-|-⌫|----|-|---|---⌫|-⌫-|
lorsniuieut m etre nulseior	---|||----|-⌫---|--|----|
report ano stredame	-----||--⌫---|---|
totenplorantlapourefame	--|-|------|-|----|---|
laletreditse bien	-|----|--|-|---|
m enmembre	|-|-----|
uintla quiln	---|-|-|-||
auoitmembre	----|-----|
quetantne quan tpeustm ouuoir	--|---|-|----⌫|----|-⌫-----|
h u izparestouuo ir	-⌫-⌫-|--|-------⌫-|
la pourefam eius lecouche	-|----|---⌫|--|-|-----|
lagist au sicommeunecouc he	-|---|--⌫-|----|--|----⌫-|
lap l eure assezet	-|-⌫-⌫---|----|-|
braitetcrie	----|-|---|
maisma d ames a inte	---|-|-⌫--|-⌫-⌫---|
roineglor ie use	----|----⌫--⌫--|
lad oucedamela	-|-⌫---|---|-|
deceleardeurdecelerage	-|---|-----|-|---|---|
si ladoucist	-||-------|
sil a soage	-||-⌫----|
que maintenantsest end ormis	--|---------||--|---⌫----|
pleu tsesesperiz	----⌫|--|------|
oucielmontaisnelement	-|---|----|---------|
nedorm ipa s	-|----⌫|--⌫|
moutlonguement	---|---------|
car l agranz	--|-⌫|----|
pr esse etl agrant torbe	--⌫---|-|-⌫|----|----|
sile grieuesil edestorbe	-|-|-----|-|-⌫|-------|
quemaintenantsest esperiz	--|---------||--|------|
alesuei l lier n estp as seris	||-----⌫-⌫---||--|-⌫-|----|
mais a uo i s cl ereethauteesc r i e	---||--⌫-⌫|--⌫--|-|----|---⌫-⌫-⌫|
d oucedamesainte m arie	-⌫---|---|-----|-⌫---|
glo rifieesoiestu	---⌫-----|----|-|
de ceque staintm as	-|-|-|-⌫-----||-|
griementestoi eespr is	-------|-----⌫|----⌫-|
empa radisaibie napris	-|--⌫----|-|---⌫|----|
laoutu as porteemame	-|-|-|-|-----||--|
t e rre i esetd ecieldame	-⌫-⌫--|-⌫-|-|-⌫|---|---|
entorliuienentcle rcetlai	----|-|------|---⌫-|-|--|
etil leurcontesanzdel a i	-|-|---|----|---|---⌫-⌫|
pa radisesté	--⌫----|----|
ueueno str edame	---|--⌫---⌫|---|
qui deprioi t nostreseigneur	--|-------⌫|-----|-------|
quost erd aignastp ar	-|---⌫-|-⌫------|-⌫-|
s a douceur	-⌫|------|
desonpueplece ste griefplai e	-|--|-----|--⌫--|----|----⌫|
le feude nferqui tan tenplai e	-|--||-⌫---|--|---⌫|-|----⌫|
quitantenaa rset espris	--|---|-||-⌫-|-|-----|
ettel respons	-|--|------|
enauoit p r is	-|----|-⌫-⌫-|
q ue r espondi li tresdoz pere	-⌫-|-⌫------|-|---|--|---|
bele t resdo uce chieremere	---|-⌫--|--⌫--|-----|---|
uouse stes estoilede mer	---|-⌫---|------|-|--|
sor toterienuousdoi amer	--|---|---|---|--|---|
sortoterien s uoz a ieslit e	--|---|----⌫|--|-⌫|-----⌫|
quanqueuous pl aist	------|---|--⌫---|
tot med eli te	--|-|-⌫---⌫-|
uos uolentez e ntoz endro is	--|-------|-⌫|--|-----⌫-|
uueilques oit	----|--|-⌫--|
f aite il est bien	-⌫---|-|--|---|
lad ouce mereihes ucrist	-|-⌫---|---|----⌫-----|
refai tli e nfes a doncdist	-----⌫|-|-⌫---|-⌫---|---|
doxf ie xm out	--|-⌫--⌫|-⌫--|
me de spla it	-|--⌫----⌫-|
qua nt a soissons n ests iluous pl ais t	---⌫-||-------||--||-|---|--⌫---⌫|
assezplusbelem a maisons	----|---|---|-⌫|------|
bia xdoxchi ers f i exnestp as	---⌫|--|---⌫--|-⌫-⌫-||--|-⌫-|
au tre ssoitlapire	--⌫---⌫|---|-|---|
douceme refaitnostresi r e	----|--⌫-|---|-----|--⌫-⌫|
merd outrelerin	--||----|-|--|
uenro n tparta nslipeler in	-----⌫-⌫|--|--⌫-|-|-----⌫-|
decuiaport uostrechapele	-|--|----|-----|------|
f aiteser aplai sansetbele	-⌫---|---⌫|----⌫---|-|---|
etpor cequ en	-|--|-|-|-|
si grant pouerte	-|----|------|
cildesoi ssons l ont	--|-|---⌫----||--|
tantsof ferte	---|---⌫----|
a maltalentmo nt	|--------||-⌫-|
senuoiera isorlacite	|--------⌫|--|-|---|
sigrantflael tuitcrier ont	-|----|----|---|-----⌫--|
ettui t merc i uous prieront	-|---⌫|----⌫|---|-------|
seigneurcedist li enf econs	-------|-|---|-|---⌫----|
acesachiez que la	|-|------|--|-|
es ttote urai equeia i dite	--⌫|---|----⌫|--||-⌫|---|
q u epartans r en drai	-⌫-⌫|--|---|-⌫--⌫---|
lespe rite	|----⌫---|
sachiez s anzcontre dit	------|-⌫--|------⌫--|
quece s ttozu oirs	--||-⌫-⌫|--|-⌫---|
quanq ueiaidit	-----⌫-||-|--|
que plu sdun moisne uiuerai	--|---⌫||-|---|-|------|
san zreuenir	---⌫|------|
lors m e n i rai	---||-⌫|-⌫--|
maistreshueslifarcizdi t	-------|---|-|-----|--⌫|
quiliparlaetqui leuit	--|-|----|-|--|-|--|
conque sle tresnot	|-----⌫|--⌫---||-|
nonques letresnauoitueues	|-----|-----||----|----|
etl uesque	-|-⌫--|--|
sa medouciel uint	|-⌫-|--|---|---|
tex clersettexdeuins de uint	--|----|-|--|-----|--⌫---|
se utd iuinite	--⌫-|-⌫------|
boenclercdelacite	---|----|-|-|---|
son pa rfont sensoiruenoient	--|--⌫----|---|--|-------|
etlordouta nces	-|--|-----⌫---|
demando i ent	-------⌫-⌫--|
tan tiertbo enscl erscen estlaso mme	---⌫|---|--⌫--|--⌫--||-|--|-|--⌫--|
quatrop grantp aine	-||---|----|-⌫---|
a nul lai homme	|--|--|----|
s etropsoutix ne stoitdentendre	-⌫|---|-----||-⌫----||-------|
d ai gnoit parlerneraisonren dre	-⌫--⌫----|-----|-|-----|---⌫--|
mou t paramoit	---⌫|--|----|
letreegen t	-----|---⌫|
la tin parloitsi	--⌫--|------|-|
biausigent	---|-|---|
tu itliboen	--⌫-|-|---|
clercsemmeru eillo ient	----||-|----⌫-----⌫---|
et a m erueill eslescou toient	-||-⌫-------⌫-||-----⌫-----|
le uieztestamentlenouel	-|---|--------|-|----|
enrimeete nmetretrop bel	-|---|-|-⌫|----|---|--|
