Hengis t e li	------⌫||-|
O rentfa it e	-⌫---|--⌫--⌫|
la traïsun Efuren tsais i	-|-------||-----⌫|----⌫|
Des ch astel s	--|--⌫-----⌫|
edesfer metez	|--|---⌫----|
Bretuns untdechacié	------|--|--------|
p aïsherbergié	-⌫---|---------|
En.ui i. dep artentlepaïs	-|---⌫-|---⌫-----|-|----|
E.uii.reisi un tasis	|----|---||--⌫|---|
As realmesn un un td oné A chascun	-|------|-⌫-|--⌫|-⌫---||------|
sul unc lur uolenté	---⌫--|--|-------|
Kent apel entlepremerain	---|----⌫--|-|--------|
Ices t t in t	----⌫|-⌫--⌫|
Hengis ten	------⌫|-|
Plenierestei t m u lt le	------|-----⌫|-⌫-⌫-|-|
Dous c it ezi	---|-⌫--⌫-||
Cant uorb irilarceuesquédE	----⌫----⌫--||-----------||
Rouecest r e leuesquéd L autreunt	--------⌫-⌫||--------||----|--|
Sudsex eapeléd	------⌫|------|
Cicestreert	-------|--|
Wes tse xea pelent l etierzU de denz	---⌫---⌫-|-⌫-----|-⌫|----||--⌫---|
ad plusur scit e z	-|------⌫|---⌫-⌫|
Wiltunech ief e n	------|--⌫--|-⌫|
Endemeine lireislaueit Uore	-|------|-|---||----||--|
Nuneinslun t	------||--⌫|
bai llie Ede	---⌫---||-|
Wincestrel acitéd Uoreadriche euesquie ́d	--------|-⌫|-----||--|-|----|--------⌫-|
El euesquede	||------|-|
Salesb ire	------⌫--|
Odla c it éde	-|-|-⌫--⌫-|-|
Ambresbir e	---------⌫|
Li quarz est	-|----|--|
Essexe apeléd	-----|------|
Quig ueres	--|-⌫----|
ne nad durét	--⌫|-|-----|
K ar pou reert adesmesure	-⌫-|---⌫-|--||--------|
Nedurad purçoguer es d	-|----|--|--|----⌫-||
Estengle estl iq uinznumé	-------|--|-⌫|-⌫---|----|
De douscuntreesonuré	-|---|-------|-----|
La dede nz e st	-|----⌫-|-⌫-|
N orfulk e Elaterrede	-⌫------⌫||-|----|-|
Cumnusrecunteli le gistres	--|--|------|-|--⌫------|
Merc ï ensf u fait	----⌫--⌫--|-⌫|---|
li si stes	-|--⌫---|
otasezplusurs	-|---|------|
u i le s chastels richesburcs	-⌫-⌫--⌫|-------|-----|----|
Cest realm ericheesteit Eplusurs	---|-----⌫|----|-----||------|
citez i a ueit	----||-⌫---|
Kari apendeit	--||-------|
D or kecestre E	-⌫--⌫-------||
Leï rcestre	----⌫------|
L is etmemul t ri cheesteit	-⌫|-⌫---|---⌫|--⌫--|-----|
Eue rwiciaueitEt restuttre squ	---⌫---||----||-⌫-----|---⌫--|
Plu so tcist	---⌫|-⌫|---|
sulquel e s.ui .reis	--|--|-⌫-⌫|---⌫|---|
Cistotsuzsei	---|-|--|--|
Norhumberlant Ela	------------||-|
CumberlantEle cuntéde	---------||-|-----|-|
LoeneisE d	------|||
Esco ce ertcistreisA laparfinun	----⌫-|--|---|---||-|-----|-|
Quipararmes	--|--|----|
fudm ultuaillanz	--|-⌫--|-------|
Parforce les .ui.	--|----|--|---|
reiscunquis tA sunos lur	---|-------⌫||--|-|--|
on urs pr i st	--⌫--|--⌫-⌫-|
Westsexec ist ertreis	-------|-⌫--|--|---|
Espaï smi st	-|----⌫|--⌫-|
nuuelesleis	------|---|
P arproescetuz l escunquistE	-⌫-|------|--|-⌫-|-------||
a seisuiezlesmist	|--|----|--|---|
Sitost cumil le regne	-----|--|-|-|----|
Sil depart ie n.xxxu .Ac has cunsun	--|------⌫|-⌫|-----⌫||-⌫---⌫--|--|
Enenglei ss cirelapela t	-|------⌫|-⌫---||-----⌫|
kiro manzsauu m Dautre man iere les nu mum	-|--⌫---|----⌫||----|---⌫---|--|--⌫--|
Ço q ueschir ead	--|-⌫-|-----⌫|-|
nunene ngleis	--|-|-⌫-----|
Cuntéadn un enfranc eis	-----|-|-⌫-|-|-----⌫--|
Parnuntuzles nu merai	--|--|--|--|--⌫----|
Karnume rmult benlessa i	--|----⌫|---|--|--|--⌫|
Ke ntie st el premier	--⌫-||-⌫-|-|------|
Iloch eses t la rceuesquiét	-----⌫-|--⌫||-⌫-----------|
Dor obelle la	---⌫-----|-|
Cant or bireest apele ́Esiadun	----⌫--⌫---|--|-----⌫||-|-|-|
euesqu ié	------⌫--|
Rouecestrela	---------|-|
Sudsex ead	------⌫|-|
autrecuntree	----|------|
euesquiéestäurnee	--------|--|------|
Cicestreestchief del c unté	-------|--|----|--|-⌫----|
euesqual sié	-------|---|
Le t ierzcuntéfud	-|-⌫---|-----|--|
Surrie Ele	-----||-|
Hamte sir e	-----⌫---⌫|
Iloc sies tun euesquié	---|-|--⌫|-|--------|
Wi ncestrela cité	--⌫------|-|----|
Le qui ntapelen t	-|---⌫-|------⌫|
BerkesireEle s iste	--------||-|-⌫---|
WiltesireEd edenz	--------||-⌫----|
aduneue squiéden	-|-|---⌫------|-|
Sal e bir ee st lesiéd	---⌫-⌫---⌫|-⌫-|-|----|
Leset mep aïsest	-|---⌫-|-⌫---|--|
Dorsete Epuis leoit ime	------||---|-|---⌫--|
Badee stleuesquié	---|-⌫-||--------|
Wellesfudiale sié	-----|--|-|-|---|
