qui peti tpetitkeut	--|----⌫|----|---|
etqu i auquesrecoilliruelt	-|--⌫|-----|--------|---|
ent e l leu	-|-⌫-⌫|--|
la se menceespande	-|--⌫----|------|
que fruita	--|----||
centdoub lesler ende	---|----⌫--|-|-⌫---|
queren terre	---|-|----|
quirien neualt	--|---|-|---|
bone semenceisechee fal t	---|------||----||---⌫|
crestie nsemeet faitsem ence	-------⌫|---|-|---|---⌫---|
d un romanzque comence	|-|-----|--|------|
sib onle u	-|-⌫-|--⌫|
qu il n epuetest re sanzgrant p reu	-|-|-⌫|---|---⌫-|---|----|-⌫--|
quillefaitpor lep l us pr odome	-|-|-|---|--|-|-⌫-⌫-|--⌫----|
quis ei t en	--|-⌫--⌫|-|
lempirederome	|-----|-|---|
cest liqu ensfelipede flandres	|--|-|--⌫--|-----|-|-------|
q ui mielz	-⌫-|----|
ualtnefistalix andre s	---|-|---|----⌫-----⌫|
cilquelenditquitantf u	--|--|--|--|--|---|-⌫|
m a isieproueraiqueliquens	-⌫-⌫-|-|-------|--|-|----|
ua ltmielz que c i lnefista sez	--⌫-|----|--|-⌫-⌫|-|---|-⌫--|
q uer il ou t	-⌫--|-|--⌫|
enlui amassez	-|--|------|
tozles uicesett ot lesmals	--|--|----|-|-⌫-|--|---|
don liquensestm ondeset	--|-|----|--|-⌫----|-|
liquensesttelsqueil n e s coute	-|----|--|---|--|-||-⌫-⌫----|
uilainne parol eestoute	-------|-----⌫|------|
et s il ot	-||-|-|
mal diredaltrui	--|---||-----|
quequeilseitce	-----|-|---|-|
li q uensaimedrei te ius tise	-|-⌫---|---|----⌫-|---⌫---|
etet se inte	-|-|--⌫---|
ettoteuilaniehet	-|---|------|--|
plus largequelen ne	---|----|--|--|-|
carildonel	--|-|---||
sanzetsanzgil e	---|-|---|---⌫|
et dit nesac eta senestre	-|--|-|---⌫|-|-------|
le bienquefe rasdetadestre	-|---|--|--⌫--|-|-|-----|
cil lesace	--|-|---|
quille r ece it	---|-|-⌫---⌫-|
toz lessecroizueit	--|--|------|---|
etsettoteslesrepos t ail les	-|--|----|--|-----⌫-⌫---⌫--|
quiso ntesc ors	--|--⌫-|-|-⌫--|
leuangilepo rco dite le	|-------|--⌫|-|--|-⌫-|
tesbiensdeta	--|----|-|-|
s ene s trecele	-⌫---⌫-⌫--|---|
las ene str e senon lesteire	-|-⌫---⌫---⌫|----||------|
s enefielaue in egl o i re	-⌫-----|-|--⌫--⌫|--⌫-⌫-⌫-|
qui ui e ntdefause ypo crisi e	--|--⌫-⌫-|-|----|---⌫-----⌫|
et lad es treque senefie	-|-|-⌫--⌫--|--|------|
