Tr a ianlempereorquedeables	--⌫-⌫--||-------|--|------|
auoit grantforceegrant	----|----|----||----|
pooirque parluiqueparsesm enistres fuuns	----|--|--|--|--|--|--|-⌫-------|-|--|
homm es t res decheualiers ede grant lignage	--|-⌫--⌫-⌫--|-|---------||-|----|------|
Placidas par none de gr a nt richescehonorezsortoz	-------|--|--||-|--⌫-⌫-|-------|------|--|--|
lesautr esmesun	--|----⌫-|--|-|
pouiot del	--||-|--|
poildel le u	---|--|--⌫|
car ilestoiten error	--|-|-----|-|----|
eenmescr e ance	|-|-----⌫-⌫---|
Ceestoit d om ag es siu osdiraipor	-|-----|-⌫--⌫--⌫-|-|-⌫-|----|--|
I lsecoroit toz celsquiauoie nt mestierdesecors	-⌫|-------|--|---|--|-----⌫-|------|-|-----|
i l aidoittozcelsquiauoien t	-⌫|-----|--|---|--|------⌫|
mestierdaide	------||---|
celsquiestoientgreuezeni ugement	---|--|-------|-----|-|-⌫------|
lesforsiugieze lesdampnezato rt ilrele uoit de	--|---------||--|------||--⌫-|-|----⌫---|-|
son au oir les poures	--|--⌫--|--|-----|
i l reuestoi tlesnuzilrepeiss oitles	-⌫|--------⌫|--|--|-|-------⌫--|--|
famelleus il dep artoitdes e s u iezchoses	--------|-|---⌫-----|-|-⌫-⌫|-⌫--|-----|
ilsemb l o it	-|----⌫-⌫-⌫-|
iaau tensde l ores	-|-|---|-|-⌫---|
Cornille le	-------|-|
preudomeque sa int	-------|--|--⌫--|
Peres conu erti	----|----⌫---|
Ila uo itfemedautretelmanie re	-|-⌫--⌫-|---||-------|-----⌫-|
qu imultluiresembloi tbien de bones tec hes ede	--⌫|---|--|---------⌫|---|-|----|---⌫--||-|
mese lee st oit aus i ene rr ore	--|-⌫-|-⌫--⌫--|---⌫|-|-⌫--⌫-||
aor oit l es ydres	---⌫--|-⌫-|----|
auoientdeusenfanzqu	------|---|-----|-|
ilnorrissoien t duncue re duneuolenté	-|-----------⌫||-|---⌫|||--|-------|
En co ruosd iplusde lui	--⌫--⌫|--|-⌫|---|-|--|
qu i l estoitbons	-|-⌫|-----|---|
engue rre ebon s en iustice siquil	-|---⌫--||---⌫|-|------|-|-|-|
metoi ttozses anem is	-----⌫|--|--|----⌫-|
toz ba rbarinsmet oit ilneis	--|--⌫------|---⌫--|-|---|
D echie nsedois eaussauoitilquan t qu	-⌫|----⌫-|||---⌫---|-----|-|----⌫|-|
ilenesto itdeboisderiu iere	-|-|----⌫-|-|---|-|---⌫---|
edegibecier ence	|-|-------|-|-|
s estudioitil cha scunior	|--------|-|---⌫---|--|
Siresli piu sli	----|-|---⌫|-|
deboneresquibien	--------|--|---|
uoit lesqu exildoita	---|-----⌫-|-|---||
s oi apelerea trere n otmi een	-⌫-|-----||-⌫----||-|--⌫|-|
de spitlesbones	--⌫---|--|----|
oeures decelh aut	-----|-|--|-⌫--|
home nele boncuerqu	---|-|-|--|---|-|
il auoiteluentree encor estoit couerz de	-|----|-|-----||----|-----|-----|-|
erro r e de mescr eance	----⌫||-|-----⌫----|
Il neluostmie less iersanzgerredoncar	-|--|---|--|----⌫--|---|-------|--|
Escrit u redit	------⌫-⌫-|--|
Entotes m anieresde genzqui	-|----|-⌫------|-|---|--|
Deucroie nte	--|-----⌫-||
aimentequi beent	-----||--|----|
adroiteareisonilplestbiena	|----|||-----|-|----|---||
Seign o repo rceotil pitie ́	-----⌫-⌫||--⌫|-|-|-|-----⌫|
del hauthome eleuostsauuere n	--|---|---||-|---|-----|-⌫|
telmani ere que ieuos	--|----⌫--|--|-|--|
Uniora uintqu il s	-|--|-⌫---|-|-||
enissisicom ilauoiten us	-|---|-|--|-|----|-|-|
e encostume asmont aignesporcha cier atot	|-|------|-|----⌫-----|--|---⌫---|---|
sone sf orz atotson bau doirea tot grantcompaigniede	--|-⌫--⌫--|---|--|---⌫----|-⌫--|----|---------|-|
cheualiers euittant ostdeuantses	---------||--|----⌫--|-----|--|
ielzu negranta ssemblee decer s	---|-⌫-|----|-⌫-------|-|---⌫|
quipeiss oienteil t antost delatirer	--|-----⌫----||-|-⌫-----|--|-----|
sescompaignonspa rtorbes e	--|----------|--⌫|-----||
pares chielessicorutgran taleure	--|--⌫------|-|----|----⌫|-----|
apré s les	-----⌫|--|
Quequeliche ualie rente ndoient	--|--|-|---⌫-----⌫|----⌫------|
alacha ce ea lapriseez	|-|---⌫-|||-|----|-|
uo sun cerfplusbele	--⌫|-|---|---|--||
plus gran tq uetui tliaut re	---|----⌫|-⌫-|---⌫|-|---⌫-|
es e nuintpar deuant	||-⌫|---|--|-----|
luiese par ti	--||-|---⌫-|
de lacompa ignie a s autre s	-|-|-----⌫----|-⌫|-----⌫|
e se feriel	|-|---|-|
dedenz laouil	-----|-|-|-|
estoitplus espés	-----|---|-----|
Placidasleuitqu imu ltlecouoitael eissa t oz	-------|-|--|--⌫|--⌫-|-|------||-⌫----|-⌫-|
ses compaignons s icorutaprésa mesniee	--|----------|-⌫|----|-----||------|
Tui tcil selasserent erec rurent quiau ecluiestoient	---⌫|--|-|--------||---⌫-----|--|--⌫-|--|-------|
fu nelasne recreuzainz	-|-|--|-|------|---|
io rzla chacesicom	--⌫-|-|----|-|--|
Deusleuo st ne sescheuaxnere crut	---|-|--⌫-|-|--|-----|-|--⌫---|
nes leissa	--|-----|
alerparlesbroce s nepa ressa rzne	---|--|--|-----⌫|-|--⌫|----⌫-|-|
par espinesaprésle	--|------|-----|-|
cerfe ia fu	---||-|-|
licersmultesl oignie zdetote	-|---|---|---⌫------⌫|-|---|
lacom pa ignie esenmont a sor uneroc he	-|---⌫--⌫----|||-|----⌫|--|--|---⌫-|
enhautsi sarestaeestutiluec	-|---|-||-----||----|----|
Limestr esdescheual ierssaproch ato tsanz	-|-----⌫-|--|------⌫---||------⌫|--⌫|---|
saco m paig nieerega rdatot	-|--⌫-⌫----⌫--||----⌫--|--|
ent orsoie enu iro nsi deuisoit	---⌫-|--||---⌫---⌫|-|-------|
enquel ma niereilpo ïs t	-|---|--⌫----|-|--⌫---⌫|
cel cerfpre ndre	--|---|---⌫---|
mescilqui a	--|--|--||
sense tot l esauoirparsa	---||--|-⌫|-----|--|-|
douçor e parsami sericordeporc hac ̧ae	------||--|-|--⌫--------|----⌫---⌫-||
chaç acelui	-----⌫|----|
qui l e ce rfchaçoite	--|-⌫|--⌫-|-------||
b ersacelui quil ecerfuoloit berserpar	-⌫---|----|--|-⌫|---|-----|-----|--|
soi meismesnon parautruinemie	--|------|--|--|-----|-|--|
si c omilconuerti	-|-⌫-|-|-------|
C ornillelehauthomeparlabouchesaint	-⌫------|-|---|---|--|-|-----|----|
Peremess icomil	---|--|-⌫|--|-|
conuertisain t	-------|----⌫|
sademostrance	-|----------|
Placi dass estut longuement ese meru eilloitdelagran dor	-----⌫--||----|---------||-|----⌫------|-|-|----⌫--|
edelabeautédelcerfmes	|-|-|------|--|---|--|
sanz e poo ir li fa illoitdel	---||---⌫-|-|--⌫-----|--|
Ensi estoi ttotprisdecequil	---|-----⌫|--|---|-|-|-|-|
nel pooitprendreme s	--|----|------|--⌫|
Siresli mo stra lor es qu il nemontast	----|-|--⌫---|---⌫-|-|-|-|------|
e nfauuelequ	-⌫|-----||-|
il n encharchas tchose	-||----------⌫|----|
nene npreist	-||-⌫------|
dontil nepoïstcheu ire	---|-|-|-----|----⌫-||
totausi com	--|---|--|
ilfist lasnesseparl er	-|---||------|----⌫-|
re prendreleua ss al desa musardie to tautressimostrail	--⌫------|-|--⌫--⌫-|-|-|-------|--⌫|-------|-----|-|
aces tuientrelescorne sdelcerf	|---⌫--|----|--|-----⌫|--|---|
lesig ne dela	-|---⌫-|-|-|
ueraiecroizplusc l e replu sresplan dissant	-----|----|---|-⌫-⌫-⌫||---⌫|-------⌫------|
quelir aisdelsole illeen	--|-|-⌫--|--|----⌫--||-|
mi leud esc orn es limage	-|--|-⌫-|-⌫---⌫-||----|
Cr istqui fist lec erf parler	--⌫--|--|---|-|-⌫--|-----|
d o m e eapel a	|-⌫-⌫||----⌫|
Placidainsi li	--------|-|-|
P la c idas por	-⌫--⌫-⌫---|--|
