enlamarchede	-|-|-----|-|
ga uleetdelapetite	--⌫--|-|-|-|-----|
bertaigneauoi tyyroisanch ienementquiestoientfreire germ a in	--------|----⌫|-|---|----⌫-------|--|-------|-----|----⌫-⌫-|
etauoi enty yseroursser oursgermaines .	-|----⌫--|-⌫|------|---⌫---|--------||
des yyroisauoitnonliroi sbansde	--|-|---|----|--|-|---⌫|---|-|
ben oichetli	---⌫---|-|-|
autresroisauoit nonli	-----|---|----|--|-|
roisboh urs	---|---⌫--|
liroi sbans	-|---⌫|---|
estoituiexhom etsafeme	-----|---|--|-|-|---|
iouen e et	-----⌫|-|
molt estoit bele etboinedame et	---|-----|---|-|----|---|-|
ameedeboinesgens	---|-|-----|---|
neonquesdelui	-|-----|-|--|
nauoit euenfant que zz tou tseulqui	|----|-|-----|--|-|---⌫|---|--|
ual eses toit etauoit nonlancel os	---⌫-|--⌫---|-|----|--|------⌫-|
en so u rnon maisilauoitnon en	-|--⌫-⌫---|---|-|----|--|-|
bapt esmegalahos.	----⌫---|------||
etche pourco i il	-|--|---|--⌫|-|
fuapeleis lancelosche deuiserabienlicontes chaauant	-|------|-------|--|-------|---|-|-----|--|----|
liex ni estoremiene laraisons	---|||--|--|--|-|-|------|
anchoistientlicontess a droiteuoieetdist	------|----|-|-----|-⌫|-----|---|-|---|
que li roi sba nsauoit	--|-|---⌫|--⌫-|----|
zz sie nuoisin	-|---⌫|-----|
qui marc hisoitalui	--|----⌫-----||--|
pardeuers berri	--|-----|----|
q u i lorsestoitapeleelat errede serte.	-⌫-⌫|---|-----|-----|-|-⌫---|--⌫----||
lisie nsuoisin auoit nonclaudas si	-|---⌫-|-----|----|--|------|-|
estoitsiresdebohorgesetd elpaistou t	-----|----|-|-------|-|-⌫-|---|---⌫|
chil cla udas	---|---⌫---|
e stoitro is	-⌫----|--⌫-|
sie stoitmoultboinscheualierset moultsages	-|-⌫----|----|----|---------|-|----|----|
ma ismoultest oittraitreset	--⌫-|----|---⌫--|-------|-|
es toit hom	--⌫---|--|
gau lequiore estap elee franche.	---⌫-|--|--|--|--⌫---|------||
laterredel regnecla udasest oit apeleedesert epor	-|----|--|----|---⌫---|---⌫--|-----|------⌫|--|
cheque to uteestoitdes erti e paru terpandrag onet	--|--|--⌫--|-----|---⌫----⌫|--|-⌫----------⌫-|-|
pararamon tq ui	--|------⌫|-⌫-|
a cheltansestoit sires	|---|---|-----|----|
debertaigne lamen ourque les	-|--------|-|---⌫--|--|--|
gensape loient h oelensornon.	---|---⌫-----|-⌫--|-|-----||
chil aramonsauoitdesousluigaule	---|------|----|-----|--|----|
etbeno ichettou tela terre iusqu e	-|----⌫--|-|---⌫-|-|----|-----⌫|
marchedauuergneetd egascoigneetde uoitauoird eso us	-----||-------|-|-⌫|--------|-|--⌫---|----|-⌫---⌫-|
luileregnede	--|-|----|-|
mais claudas nelico unissoitm ieneser u ice	---|------|-|-|--⌫-------|-⌫-|-|---⌫-⌫--|
neli uoloitrendreainsauoit fait signour del	-|-|-----|-----|---|----|---|------|--|
roide gaule	--|-|----|
eta cheltan sestoi t gaul e	-||---|---⌫|-----⌫|----⌫|
soug itearomm e etl i rendoient treue tes toient	----⌫--||----⌫|-|-⌫|--------|---|-⌫|--⌫-----|
t ui t liroiparelei chon .	-⌫--⌫|-|--|--|----⌫---||
quantaramonsuitque claud asli renoioi t	----|------|--|--|-----⌫-|-|-------⌫|
