noueaus d a mornouelle	------||-⌫--|------|
quet o tlicu er me renouel l e	--|-⌫-⌫|-|--⌫-|-|-------⌫-⌫|
ses tenmoi mi stotde nou el	|--⌫|-|--|--⌫|--|-|---⌫-|
deusenait lou scar ce	---|-|--|---⌫|--|-|
c on qu esne soi	|--⌫--⌫-|-|--|
grant ioi e auoir	----|---⌫|----|
ens onpooir	-|-⌫-|----|
quamorsme guie monafa ire	-|----|-|---|--|---⌫--|
etozlesbiensqu eiedoi	|--|--|----|--⌫|-|--|
adrec eet c onseille	-----⌫|-|-⌫-------|
etm onafai remapareille	-|-⌫-|----⌫-||--------|
si bie nque quant	-|---⌫|--|----|
suifinsamis	--|---|---|
riensne me fa utcemest auis	----|-|-|--⌫-|-||--|---|
ainz aito tes	---|-|--⌫--|
mesuolent ez	--|------⌫-|
solqueiecuidee streamez	--|--|-|----|-⌫---|---|
tant paraienamorbonmeistre	---|--|-|-|---|--|------|
queiamai ssanz line	--|-----⌫|---|-|-|
gelosoie obli er	-||----|----⌫-|
s iu ospo isbien	-⌫|-⌫-|--⌫-|---|
poruoirco nter	--|---|--⌫---|
qu e cuerseioieme	--⌫|----||---|-|
ne b ie nsuenirneme	-|-⌫--⌫-|----|-|-|
porceuoilse igr esonesclo	--|-|---|--⌫---⌫|--|----|
sor toteri en da morme lo	--|---|--⌫-||-⌫--|-|-|
a i rienenliperdu	-⌫|---|-|-|----|
et illomasibien	-|-|-|||-|---|
quebien conois q u adobleo	--|---|-----|-⌫||----||
dem alenbien	-|-⌫-|-|---|
ai faitun saut	-|---|-|---|
porce m otreitote	--|-||----|---|
quea m o rsmait ens abailie	--|-⌫-⌫-⌫-||--|-|-⌫|-----|
otroitdeus quemautr eitdon	-----|---|--||----⌫--|--|
ensa b aillies amor snon	-|-|-⌫-----||----⌫|--|
que tant par	--|---|--|
ade b i enenli	|-|-⌫-⌫-|-|-|
el efait de coa rtardi	--⌫|---|-|---⌫-|---|
saiede foldel escharsla rge	---|-|--|-||------|--⌫--|
e tmauuaiscuer	-⌫|------|---|
etd eu i lanf ait	-|-⌫|-⌫-⌫--|-⌫--|
cor tois f in	---⌫---|-⌫-|
qui bie nuelt segreson chemin	--|---⌫|---|----|--|-----|
m oltporei tbienenlitrouer	-⌫--|-----⌫|---|-|-|-----|
