cilfabla or	--|-----⌫-|
quitoz iorsm an tent	--|--|---|-⌫--⌫---|
etqui der iensne sed es mantent	-|--|-|-⌫---|-|-|-⌫--⌫------|
ne maisdemanconge sapr andre	-|---|-|--------⌫|---⌫----|
ouilpui ssent mat iereprandre	-|-|---⌫----|---⌫---|------|
cil suntloresbien	--|---|----|---|
etenautescorsho noré	-|-|----|---|--⌫----|
et c h asc uncou ient	-|-⌫-⌫---⌫-|---⌫---|
quelondoig ne	--|--|----⌫-|
loiezpor di resa	----|--|--⌫-|-|
m ancongne	-⌫-------|
ilna ndi rontpoint	-||-⌫|--⌫---|----|
autre ment	-----⌫---|
uolontierz estoizquiment	---------|--|--|--|---|
qui uoudroit direuer ite	--|-------|---|---⌫--|
etparlerd ed es uini te	-|-----|-⌫|-⌫--⌫----⌫-|
loie rliconuenroitdo n er	----⌫|-|---------|--⌫-⌫-|
esgenzpor soi	-|---|--|--|
faireescouter	----|-------|
sontensgastequ i met	--|---|----|--⌫|--|
enuanitedont dexnacure	-|-----|---|--|||---|
ettotautre sidelegi er	-|--|-----⌫-|-|----⌫-|
porroitlondestoire tr aiti er	------|--||------|--⌫----⌫-|
contro uermanco nges etfab les	--|---⌫--|-----⌫---|-|---⌫--|
sunt delitousese tplaisables	---|---------|-⌫|---------|
celui q uila	----|-⌫-|-|
manco ngetraite	-----⌫--|-----|
quant ilplus	----|-|---|
mentetpluslihaite	---|-|---|-|----|
por ceq u eil enbelistson	--|-|-⌫-⌫|-|-------|--|
mai scelui	---⌫|----|
quiueritedit	--|-----|--|
e t selonc diuine	-⌫|-----|-----|
escritu re	-------⌫-|
cou ientseure l aletreure	---⌫---|----|-⌫|-------|
sel estoireestoitcorron p ue	-||------|-----|------⌫-⌫-|
t otea uroit sapoin e	-⌫--|-⌫----|-|----⌫|
geruas e s qu i ne	------⌫-⌫|--⌫|-|
li cou i eigne porter	-|---⌫-⌫----|-----|
zz bas tonp orsoi apuier	-|---⌫--|-⌫-|--|-----|
uitzz liureenro man	--|-|----|-|--⌫--|
liliu resano nbesti aire	-|---⌫--||--⌫|-----⌫---|
a barba rie est l armaire	|-----⌫--|--||------|
lilatins qu i	-|-----|--⌫|
mu l test pl aisan z	--⌫-⌫|--|--⌫-----⌫|
fu estraiz liromanz	-|------|-|-----|
celuiq ui lesbeste sde scris t	----|-⌫-|--|-----⌫|--⌫-----⌫|
et quilornatures es cr it	-|--|--|------|--⌫--⌫-|
fuiohanz boche dor nonmez	-|-----|----||-|-----|
cris othomusrestapelez	----⌫------|---|-----|
ententeetsa cure	------|-|-|---|
entra itierdiuineescriture	-|---⌫----|-----|--------|
less emblances des	--|-⌫--------|--|
bestes dist	-----|---|
sachez quegran t ent ente imist	-----|--|----⌫|---⌫---||---|
et grantpoineouliur etraitier	-|----|----|-|----⌫|-------|
dauid enthocha	----|-|-----|
ousaut ier	-|----⌫--|
t ot estestrai tde	-⌫-|--|------⌫|-|
biendo it estree nauctorite	---|--⌫-|----|-⌫|--------|
c ar qu ibieni uoudroit entendre	-⌫-|--⌫|---||-------|-------|
gran texamplei puetaprand re	----⌫|------||---|------⌫-|
best eso nt diuerses	----⌫-|-⌫-|-------|
san blance s	---⌫------⌫|
et diuersessignifia nces	-|-------|--------⌫---|
to tauximentont	--⌫|-------|--|
lai tl i autreb el	---⌫|-⌫|----|-⌫-|
neuuelpa sloncprolog uefaire	-|---|--⌫|---|------⌫-|----|
or medoint	-|-|----|
t elchieftraire	-⌫-|----|-----|
de lafa irequeiaiempris	-||---⌫--|--||-|-----|
quei ene nsoie	--|-⌫||-⌫|---|
en m alr e pris	-|-⌫-|-⌫-⌫---|
troisnaturesha li lions	----|------|-|-|----|
etyysignificatio ns	-|-|------------⌫-|
c e n osre contel	-⌫|-⌫-|--⌫----||
oez sap rimiere natur e	--|-|-⌫------|-----⌫|
quant ueneres	----|------|
lo ua ch acier	-|-|--⌫----|
e tillo coman cea tracier	-⌫|-|-|-----⌫-||------|
soit enboisouen terre	---|-|---|-|-|----|
sentildouue ne ourlalai ene	---|-|--|--⌫--⌫--||----⌫--|
oez dou lion queil f ait	--|--|---|--|-|-⌫--|
apressondostr ainant uait	----|--|--|--⌫-----|---|
sacoue q ueil	-|---|-⌫-|-|
halongueetgrant	-|-----|-|----|
sien uaits a tracecu u ra nt	-|-|---|-⌫|----|--⌫-⌫--⌫-|
et quant l i	-|----|-⌫|
latracepormusart	-|----|--|-----|
se pru eue	-|---⌫--|
etmultsetien ta	-|---|-|----⌫||
retornesen at ant	------||-|--⌫--|
et lilion s	-|-|----⌫|
ioanssen uai t	----||-|---⌫|
ausilespirita uslions	---||--------⌫-|----|
ihesucristounos	----|----|-|--|
poreslauernostrespec h iez	--|------|------|---⌫-⌫--|
dontt uitestiens en techi é	---|-⌫--|------|--⌫-----⌫-|
po rle mesf a it	--⌫|-|----⌫-⌫-|
doupremierhome	--|------|---|
q uisorde sfans menialapo me	-⌫-|--|--⌫----|----|-|--⌫-|
sainteuir gesemi st	-----|---⌫-|-|--⌫-|
ch arethumaine for m e prist	--⌫-|-|------|---⌫-⌫|----|
quantla chandoile estalumee	----|-|--------|--|-----|
lanterneaualee	-------|-----|
laclartepermioutre passe	-|-----|----|----|----|
si quelalan te rne	-|--|-|---⌫--⌫--|
auximent nostr e	-------|-----⌫|
otclarteotgrantresplandor	-|-----|-|----|---------|
ent raenlaseintepucele	---⌫-|-|-|-----|-----|
quilotes leueens	-|-|-|--⌫---|-||
iln enp erdi sadeit e	-||-|-⌫---|-|----⌫|
uirgini te	-------⌫-|
ui rgefu aucomancement	--⌫--|-|-|----------|
etuir g eapres	-|---⌫-⌫|----|
l en fantement	|--⌫--------|
toziors fu uirgee tcaste et	--|---|-|----|-⌫|----|-|
toziorss e ra s einzporritu re	--|---|-⌫-⌫-|-⌫---|-------⌫-|
tot aut resiua	--|---⌫---|-|
decesteoeur e	-|----|----⌫|
cumd oulionquise s pascueure	--|-⌫-|---|--|--⌫|--|-----|
p o rcecunne	-⌫-⌫|-||-|-|
l pui s setracier	|---⌫-⌫-|------|
ne nuns homsnedoit	-|---|---|-|---|
e scerchi er	-⌫-------⌫-|
de laseintein carnation	-|-|-----|--⌫--------|
qui qu ant nosnestion	--|--⌫--|--||-----|
doulimonnos fitet e straist	--|----|--|--|-|-⌫------|
puettotfairequantquel u i	---|--|----|-------|-⌫-⌫|
uez lanature	--|-|-----|
tel nature n	--|-----||
arien s dou monde	|----⌫|--|----|
qua ntlion	---⌫-|---|
someillent	---------|
l orcuerdorment	-⌫-|---|------|
et lo ro el uoillent	-|--⌫|-⌫-|-------|
dexdistu ne mu ltgran t mer u oille	--|---|-⌫-|--⌫-|----⌫|---⌫-⌫----|
i edorfaitilmais	-⌫|--|---|-|---|
mescuer uoille	--|---|-----|
porqueceuuetdir e	--|--|-|---|---⌫|
dexqui detotlemont	--|--|-|--|-|---|
gr ant fragi lit e	--⌫--|-----⌫---⌫|
sipristpornos	-|----|--|--|
sa chardor moitetreposoit	-|---|---⌫---|-|-------|
sade itee ncielueil l oit	-|--⌫--|-⌫|---|----⌫-⌫--|
lat i ercenaturedi rai	-|-⌫-⌫---|-----|--⌫--|
nm entirai	|-⌫------|
lion snaisttozmo rzmaissa mere	----⌫|----|--|--⌫-|---|-|---|
yy io rs le	-|--⌫-|-|
gar de autierz	---⌫-|-|----|
quile ng endrau ientenlaplace	--||-⌫--⌫----|-⌫---|-|-|----|
a uleoncels offle	-⌫|------|-⌫----|
enla fac e	-|-|---⌫|
t otmeintenantes tple insdeuie	-⌫-|---------|--⌫|---⌫--|-|--|
oroe z qu e cesenefie	-|--⌫|--⌫|-|------|
dex pornost reredemptio n	--|--|----⌫-|---------⌫|
soffritetmort etpassion	------|-|---|-|------|
po rnosfubatuzetloiez	--⌫|--|-|----|-|----|
et pornos fu	-|--|--|-|
pornosfu daissel abeurez	--|--|-||-----|------|
d aube ses p inescoronez	|----⌫|--⌫-⌫---|------|
p or nosot perc ié	-⌫-|--|-|----⌫--|
ou sepulcrepos ez	-|-------|---⌫-|
y yi orz if undo tezmie	-⌫|-⌫--||-⌫||--⌫--|--|
auiortuint	-|---|---|
demor t auie	-|---⌫||--|
sicumiacobprophecia	-|--|----|--------|
de xcomelionsreposa	--⌫|---|----|-----|
unebeste estp anthere anon	--|----|--|-⌫------||--|
m ult per estd eb el efacon	-⌫--|--|--|-⌫|-⌫--⌫|----|
multiaespecialbes te	---|||-------|---⌫-|
loncalecol bienfaite teste	---||-|--|---|----|----|
labesteestdepliso rscolors	-|----|--|-|-----⌫-|-----|
de gr a nt sen zetdebon esmors	-|--⌫-⌫-|---⌫|-|-|---⌫-|---|
quant estde uen eison	----|--|-|---⌫----|
en lafosseseua do r mir	-|-|----|-|-|--⌫-⌫--|
troisio rtidortsein sesperir	----|--⌫-||---|----⌫|------|
autierzi orlabest e	-|----|-⌫-|-|----⌫|
sesuo ille	|----⌫---|
en h a u tmuitetune meru oille	-|-⌫-⌫-⌫|---|-|--|----⌫----|
oceluimuitme t	|----|---|--⌫|
soezetdebonedou cou r	---|-|-|---|---⌫---⌫|
car p imenzne encens	--|-⌫----|-|-----|
nue lent si bon	|--⌫---|-|--|
c ome saloine	-⌫--||-----|
lesbes tessententl odou r	--|---⌫--|------||----⌫|
si saunenttotes ant or	-||-----|----|---⌫-|
seseuent laiouele uait	-|-----|--|-|--|---|
l i dra g ons lefai t	-⌫|---⌫-⌫--|-|---⌫|
c aril nepue tl	-⌫-|-|-|---⌫||
odorsoffrir	---|------|
enterresen uait enfoir	-|----||-|---|-----|
ce s tsade ffanseetsesco nforz	|-⌫-⌫|-|--⌫-----|-|--|--⌫----|
g it p res estdemort	-⌫-|-⌫--|--|-|---|
estne sepuetmouoir	--|-|-|---|-----|
la pant hereporestouoir	-|----⌫---|--|-------|
uont si u ant totes	---|--⌫-⌫--|----|
autre sbeste s	-----⌫|-----⌫|
u ers saloinetornent lestestes	-⌫--||-----|------|--|-----|
nos tres ignoretnostrepere	---⌫--|-⌫----|-|-----|---|
dex qui est	--|--|--|
uerai epanthere	-----⌫|-------|
trait as oil	----||-⌫-||
umainelignie	-----|-----|
quitote estoit a	--|---|-----||
mortiug ie	---|---⌫-|
deablesporsa	------|--|-|
co uoitise	--⌫------|
lau oitt restote asoi mise	|--⌫--|-⌫------||--|---|
sego ns deu no guerp issonsmie	----⌫-|--|||-----⌫-----|--|
aemplissons l aproph e c ie	----------|-⌫|-----⌫-⌫-⌫-|
pan ther eq uiestde colors	---⌫----⌫|-⌫-|--|-|-----|
etqu ihap lu sor s	-|--⌫|-|-⌫--⌫---⌫|
nossenefieihesu cris t	--|------|----|----⌫|
quilaloi nouel e	--|-|--|-----⌫|
i lestd oucours etsapien ce	-⌫|--|-⌫------|-|------⌫-|
sau oizetpacien ce	-|-⌫--|-|------⌫-|
e test rep idables	-⌫|--|---⌫------|
respl en dis anzfers	-----⌫--⌫---⌫--|---|
et estaubles	-|--------|
qu antestetreplanie	--⌫--|--|-|-------|
labeste tosts	-|----|---||
es tendo r mie	--⌫|----⌫-⌫--|
quantihe su crist fusoolez	----|---⌫-|----|-|-----|
desg a s esuieset las sez	--|-⌫-⌫|-|---|-|---⌫--|
d ebu fes etdebatemenz	-⌫|--⌫--|-|-|-------|
d espinesetdescupimenz	|------|-||---------|
f uc rucefi e z	-⌫|-⌫------⌫-⌫|
pies etpaumesfuclosfichiez	---|-|-----|-|----------|
etdune la ncefunaurez	-||--|--⌫--|-|-----|
quantde tex donsf u soolez	----|-|--|---|-⌫|-----|
elseintsepu lcresend ormi	-|----|----⌫---||---⌫---|
etiusqueen	-|-----|-|
anf er descendi	---⌫-|-------|
illue cli alofier	-----⌫|--⌫|-|---|
l ancieinenemifelon	|------|----|----|
e tquantlabesteest	-⌫|----|-|----|--|
adr e ci e	---⌫-⌫--⌫|
etdou dorm ir	-|--|----⌫-|
s estesuoi llie	|--|-----⌫---|
d e sa bo cheistladoucealoine	-⌫|-|--⌫--|--|-|----|-----|
quiles beste s a l i amoine	--|--|-----⌫||-⌫|-----|
ihesula beste	----|-|----|
qu autie rziortuientdemort	-|-|---⌫-|---|----|-|---|
ado ntcriadexahautcriz	---⌫-|---|--||---|---|
detozsesamis fuo iz	-|--|--|---|-|-⌫-|
sespa rolesd isoit	--|--⌫----|-⌫----|
que lemondeuaincu	--|-|----|-----|
en cordisoitn dotez pas	--⌫--|-----||----|--|
perequanquetum e	---|------|-|-⌫|
aigardé de	-|-----|-|
damp nation	----⌫-----|
forslofild e per dicio n	---|-|--|-⌫|---⌫-----⌫|
ieuoisamonpereetau	-|---||--|---|-|-|
de x estsespere etlinostre	--⌫|--|--|---|-|-|-----|
dexdistquant el cielserai	--|---|----|-|---|----|
seinte sperit enu oi e rai	----|-⌫-----|---⌫--⌫-⌫--|
enterre qu i ou uossera	-|----|--⌫|-|--|---|
ta ntco m cis t	--⌫-|--⌫|---⌫|
siegles durera	------|-----|
poetes tre sisoe sodour	---|--⌫--|-|---⌫|----|
com dedeunost recrea tour	--|-|--|----⌫-|----⌫---|
qui presestde	--|---|--|-|
deu perc reance	--|--|-⌫-----|
peroures etper esperance	--|----|-|--|--------|
pe rloigpersa fr agilite	--⌫|---|--|-|--⌫------|
quant ildede uestespiré	----|-|-|--⌫|--|------|
repleinsdeses alumemenz	-------|-|--|--------|
dontgardesescoma ndemenz	---|----|--|----⌫------|
req ue ronsdeuet lo seruo ns	---⌫--⌫---|--|-|-|-----⌫-|
totes houre s	----|-----⌫|
etliprions	-|-|-----|
en lodordecesoig nem enz	-||---|-|--|---⌫---⌫--|
de doi uentcroiretotes genz	-|---⌫---|-----|----|---|
uenirpoons	----|----|
per baptisme a noueleuie	--|-------||-----|--|
terr ainesch oses laisons	----⌫----|--⌫---|------|
es c elestiaustre passons	-|-⌫--------|---⌫------|
g uerpisso nsouresdepechie	-⌫--------⌫-|----|-|-----|
deprio nsd eupersapidie	------⌫-|-⌫-|--|-|----|
quencelei oie soion s	-|-|---|-⌫--|-----⌫|
queilp rom eta ses amis	--|-|-⌫---⌫-||--|---|
ounatri stordolorneire	-|||---⌫---|----|-|--|
etqueaioiepuissonsdire	-|--||---|-------|---|
une bestees tconestpas	--|----|--⌫|-||--|--|
q ui auquesest aboc	-⌫-|-----|--||--|
sanbla ble	------⌫--|
celebeste aimepastree n mont	---|----|---|-----|-⌫|---|
u ne corne aenmile	-⌫-|----||---|-|
porc e queelen a quezzcorne	--|-⌫|--|--|||--|-|----|
es t apeleeunicorne	--⌫|-----|-------|
ta ntsesetlabested esfandr e	--⌫-|-|--|-|----|-⌫-------⌫|
que uenerres	--|-------|
nela puetprandre	-|-|---|------|
forseste tdegr ant	---|--|-⌫|-|--⌫--|
illaprenent per argumen t	-|-|------|--|-------⌫|
lonqui ertune iuinepucel e	--|---⌫--|--|----|-----⌫|
