s eig nors preueire	-⌫---⌫---|-------|
c este parolene	-⌫---|-----|-|
futpas ditesole mentamon	--|--|---|----⌫---||--|
seignorsa intpere	------|--⌫--|---|
quar an o s ce	---||-⌫-⌫|-|
deuom nose nte ndr ef utele	----|--|-⌫---⌫---⌫|-⌫-|--|
autres idite qui somes enlu cd elui	------⌫|---|--|----|-|--⌫|-⌫|--|
enterree q u i	-|----||-⌫-⌫|
lesoailles	--|------|
dam eredea	---⌫----||
pestre ceu	-----|--|
estsonpopleago uernerea	--|--|----||--⌫-----|||
conseilleren	---------|-|
cestse cleequiauom	---|--⌫--||--|---|
afairele son	|----|-|--|
lier le sarmes edassoud reede	---|--⌫|----|||------⌫-||-|
cond ui reen lagloire du ra ble	----⌫--⌫-|-|-|-----|--⌫--⌫--|
oredeu omsauerque	--|---⌫-|----|--|
conduireparla ueie	-------|--|-|---|
diceausque	|-----|--|
conseil ler	-------⌫--|
sinosbesoignea	-|--|-------||
yychosesla premere chose ce uos	-|-----|-|------|----|-|--|
disiestqueli	-|-|--|--|-|
prestresqui par ro ise tentdeit	-------|--|---⌫--⌫--|---|---|
auer sainteuie	---|-----|--|
par quei il pui ssesei	--|---|-|---⌫--|--|
m aintenire gouerner en bones	-⌫-------||-------|-|----|
oures e parqueii l	----||--|---|-⌫|
doin t bo n	----⌫|--⌫|
es san pleaceau s q ui	--⌫---⌫--||----⌫|-⌫-|
ueiente po r	-----||--⌫|
bon euieaueirsi	---⌫|--|----|-|
dei tlauerees munder	---⌫|----||--⌫-----|
e neptes detotelor dure de	|-----|-|---||--⌫---|-|
sacharde luxurede	-|---|-|-----|-|
gloto nied iuresce dorg uil	-----⌫--||------||---⌫--|
haine de auarice	----|-|------|
deco ueitisede	-|--⌫------|-|
totes iceles chosesdonts au ie	----|-----|-----|---|-⌫|-⌫-|
puet e stre m auuaise daua nt d e en	---|-⌫---|-⌫------|----⌫-|-⌫|-|
pres enceeenlai die	----⌫---||-----⌫--|
dauantlosecle en	-----|-|----|-|
apr ess i de it	---⌫-|-⌫|--⌫-|
soffr iss anzsiho m lid itouli	-----⌫---⌫--|-|--⌫|-|-⌫-|-|-|
fait mausideit	---|--|-|---|
don erpariceue s sample de p atience	---⌫-|--|---|-⌫-⌫-----|-|-⌫------|
aus aut res si d eite stre	--|---⌫--|-|-⌫--|-⌫---|
eis side itpa rlab ele e	|--⌫-|--⌫-|--⌫|-|-⌫--||
au eir e d emenersi cu mdist nostre	--⌫--||-⌫-----|-|--⌫|---|-----|
sire ild eitestrequar	---|-|-⌫--|----|---|
ildeit aops ales	-|---||--||--|
ce ausquiplus aiment	--⌫--|--|---|-----|
ce aue que	--⌫-||--|
dem entresq ueilsunt ont	---⌫-------⌫-|-|---|--|
malesauo radenostreseignorsicum	---|----⌫||-|-----|------|-|--|
lauiandequiestdess ale e	-|-----|--|--|----⌫---⌫|
ahom me quila meniueil deit	|---⌫-|--|-|-----|-|---|
estrequarildeit	----|---|-|---|
seinteuieenluminer	-----|--|--------|
t oz c e aus quil	-⌫-|-⌫-⌫--|--||
esgardentesi iliss i	--------||-|-|---⌫|
deit dem enerb eleuie ebone	---|---⌫---|-⌫--|--||---|
d a uantde	-⌫-⌫---|-|
edauant sonpople	|-----|--|----|
donques deitilmassil	------|---|-|--||-|
ma lueiseuieeilseit	--⌫-----|--||-|---|
en pechede dam pnationsach e	-|----|-|---⌫------|----⌫|
ue rai ementquei l mengera	--⌫---⌫----|--|-⌫|------|
lecorsnostrese ign or e beurale s anc	-|---|-----|--⌫---⌫-||----|-|-⌫--|
adampnat ion	|-------⌫--|
desei quar	-|--|---|
i ssicumditlas einte	-⌫--|--|--|-|-⌫----|
esc ri p ture	---⌫--⌫-⌫---|
issip oomnosdireque	---|-⌫--|--|---|--|
l apri mere	-⌫|---⌫---|
chos equi est	----⌫|--|--|
bosoignableapreue ir e qui	----------||-----⌫--⌫|--|
te ntp a rroisees t la	--⌫-|-⌫-⌫-----|--⌫|-|
seinteu ie	-----|-⌫-|
que ildei t demener dauan t	--|-|---⌫|------|-----⌫|
dee dau antso n pople	-||---⌫--|--⌫|----|
lase gonde c hoseq ue	-|--⌫----|-⌫---|-⌫-|
ildeit aueir	-|---|----|
e stladisc r etion s	-⌫-|-|----⌫-⌫-----⌫|
d escien cepar queiil deit	|------⌫-|--|---|-|---|
conseillerl esarmes	---------|-⌫-|----|
a gouernerissi cum	|-------|---|--|
distrentceu	-------|--|
li pre stresd eitaueril deit	-|---⌫----|-⌫--|---|-|---|
aueire sauer emot	----||----||--|
au tr e schosespar les ci ence	--⌫--⌫-⌫|-----|--||--⌫--⌫---|
liuresquici	-----|--|-|
sun t nommé	---⌫|-----|
deitilaue ir discre cionesen de	---|-|---⌫-|------⌫---||--|-|
conseillerl es armes esen	---------|-⌫-|----||--|
deit ilaueir	---|-|----|
par eausquaus	--|---|----|
peche ors ildeitsormonte r	-----⌫--|-|---|--------⌫|
eabsoudree ausquaus deitueer	|-------||--|----|---|---|
ab solution quarsachez	--⌫-------|---|-----|
c ertainemen t s ei gnorspreuei reque	-⌫----------⌫|-⌫--⌫----|------⌫-|--|
issicu mou	---|--⌫|-|
raisonse saintee scripture l	------||-----|-⌫--------||
ensei gnesach ez	-----⌫--|----⌫-|
ceuq ueuos ne	--|-⌫-|--|-|
deuezm ieabsoud re	----|-⌫-|------⌫-|
pecheo r de sonp eches i	------⌫|-|--|-⌫---|-⌫|
repentdignement	-----|--------|
parfite mente si il ne	-------⌫---||-|-|-|
d eguerpis t e nep romet quils	-⌫--------⌫||-|-⌫----|-|-||
en tendr adesores	-|-----⌫|--|---|
en auant siuosn aperc euezpa r	-|----|-|--||-----⌫---|--⌫|
certeinesd emostrancesde	--------|-⌫----------|-|
ses parolese d esescontenemen zdefors	--|------||-⌫|--|----------⌫|-----|
sagracea uleuer delui	-|----|-⌫|----|-|--|
aitrescu scitédelamort	--|-----⌫-----|-|-|---|
de son peche q uar ceu	-|--|----|-⌫--|--|
lis om enl	---⌫-|-||
euangilequenost resires	-------|--|----⌫-|----|
resu scitaprimessaintlad re	----⌫----|-----|----|---⌫-|
ee n apres	|-⌫|----|
commanda au s	-------|--⌫|
i ssid euomnosfai r e quant nos	-⌫--|-⌫---|--|---⌫-⌫|----|--|
ueoml epec heorqui	---|-⌫|---⌫---|--|
repentanguoiss osementde sonpeche	-----|--------⌫------|-|--|----|
e ilsospi ree	|-|-----⌫-||
plore eprometue ra iementqu il	----||-----|--⌫--⌫-----|-|-|
s en g ardera quenele	|-|-⌫-----|--|-|-|
fe ramais adon cde uomnos	--⌫-|---|----⌫|--⌫--|--|
e ntendreque dex	-⌫------|--|--|
e qu eilueut	|--⌫|-|---|
peni tan ce	----⌫---⌫-|
siildi tsir e	-|-|--⌫|---⌫|
gesu isencest	-|--⌫-|-|---|
uo ilne ne	--⌫-|-|-|
p u is deguerpirancore silo	-⌫-⌫-|--------|-----|-|-|
deuome spa ont er egitersi	----|-⌫---⌫---⌫-||----|-|
n ospo o msin os	-⌫-|--⌫-⌫|-|-⌫-|
deuomlaisseraler	----|------|---|
si cumil iuint fors	-|--|-||---|---|
itantqu en osli	-------⌫|-⌫-|-|
d eu omdire que	-⌫--⌫-|---|--|
ilsep orpen t equ eils e gart	-|-|-⌫-----⌫||--⌫|-|-⌫|---|
queiln eseit	--|-|-⌫|---|
sonpe c hene quene sei t	--|--⌫-⌫-|-|--|-|---⌫|
dampnezenla peine	------|-|-|----|
sidei tsauerli prest resquau	-|---⌫|----|-|-----⌫--|---|
pechesuntcrimin au	----|---|------⌫-|
edampn able e	|-----⌫---||
qua unone par	---⌫|--||--|
quaupechehompuet	---|----|--|---|
estredampn ez si	----|-----⌫-|-|
il lesfait dont	-|--|---|---|
nosmo str esain zpous	--|--⌫---⌫|----⌫|---|
en pl usors lucs d e	-|--⌫----|---|-⌫|
se s epist res	--⌫|-----⌫--|
aia fait lauo tireenson	|-|---||---⌫---|-|--|
cuerseignor spreuei re	---|-------⌫|------⌫-|
ci poe zoi ra uq uesqu au sunt	-|---⌫|--⌫|-⌫--⌫--|--⌫-|---|
lip ech edampn abl e e	-|-⌫---⌫|-----⌫---⌫||
par queho m qui	--|--|--⌫|--|
lesfaituait	--|---|---|
onfuc durab lesiil	-|--|-----⌫-|-|-|
nesenrepent d ignementdaua nt	-||-|-----|-⌫-------|----⌫-|
mortdecezpech ez	---|-|--|----⌫-|
dausa u tres	---|-⌫-⌫---|
n os deuom pecheor	-⌫-|----|------|
absoudresi	-------|-|
deguerpiste si ilnepromet	---------||-|-|-|-----|
entendr aquardesque	-|-----⌫|---|-----|
dex ni ou errane	--|||--⌫---|-|
ni ueautourer	||----|----|
nelipeche orneles	-|-|-----⌫-|-|--|
pecher essesmeismesne uolentissir	------⌫----|------|-|-----|----|
de lor pecheliprestr es	-|--|----|-|------⌫-|
nepuetsan zdenene deitn ule	-|---|---⌫|-|-|-|---|-⌫--|
cho sefaire	---⌫-|----|
d euezuos p luss auoirsiuns	-⌫---|--|-⌫--|-⌫----|-|--|
uenta uosqui	---||--|--|
