cefu eltans carbre	-|-|-|---||----|
flo rissent	---⌫------|
fu el lesboscage	--⌫--⌫--|------|
pr e ue rdissent	--⌫|--⌫-------|
etciloiselenlorlati n	-|--|----|-|--|----⌫|
doc ement cantent	---⌫----|------|
ettoter ien sde i oieflame	-|---|-⌫---⌫|-|-⌫--|----|
que lifiusalauaiue	--|-|---||-|----|
delega steforiestsoutaine	-|-|--⌫--|------|-------|
seleuaetneli	-|---|-|-|-|
queilsa siele nemesist	--|-|-|----|-|-----|
cace our nepresis t	----⌫--|-|------⌫|
t roi sgau erlos	-⌫---⌫|---⌫----|
ettoutissi	-|---|---|
forsde l m anoir samereissi	---|--⌫|-⌫----|-|---|---|
et pe ns aqueueoir iroit	-|--⌫--⌫|--|----|----|
erceourske same reauoi t	-------|-|-|--⌫-|----⌫|
qui ses ti eres liahanoient	--|--|--⌫---|-|--------|
bi enyy oudiserc esauoient	--⌫-|-|-|--|---⌫-|------|
ensi enla forestenentre	---|-|-|-----|-|----|
etmain t ena ntlicuers del	-|----⌫-⌫---⌫-|-|----|--|
porledouc tansseresiooit	--|-|---|---|-|-------|
etp ourles cans	-|-⌫--|--|---|
que ilooit	--|-|---|
desoisiausquiioiefaisoient	--|------|--|---|--------|
toutescescoseslip lai so ient	-----|--|----|-|-⌫---⌫--⌫---|
porledoucor deltanssierain	--|-|-----|--|---|------|
ca ceour sonfra in	--⌫----|--|---⌫-|
sile laissaalerpaissant	-|-|-----|---|-------|
par lerbef resce uerd oiant	--||---|-⌫----|----⌫----|
et i lquibi enlan c iersau oit	-|-⌫|--|--⌫-|---⌫-⌫--|---⌫--|
degauerl osqu eil	-|------⌫-|--⌫|-|
a loitenuiron lui lan cant	-⌫---|------|--|---⌫---|
uneeurearri e re l autre auant	--|---|----⌫-⌫-||----|----|
uneeure b as etlautre	--|---|-⌫-|-||----|
ta ntquil oiparmilegaut	--⌫---|-|-|----|-|---|
u eniryy ch eu aliersarmés	-⌫---|-|--⌫--⌫-----|-----|
detoutes arm es acesmés	-|-----|---⌫-|-------|
gra nt noi se demenoient	---⌫-|---⌫-|---------|
lesarmes deciausqui	--|----|-|----|--|
ue no ient	--⌫--⌫---|
car so uent hurtoientas armes	--|--⌫---|--------|-|----|
li r a in de skesneset des carmes	-|-⌫-⌫-|--⌫|-----|-|--|-----|
et t uitl i haubercfret elo i ent	-|-⌫--|-⌫|------|----⌫---⌫-⌫--|
l eslances asescushu rto ient	-⌫-|-----|-|----|--⌫---⌫---|
l iualles otetneuoitpas	-⌫|-----|-|-|-|---|--|
ceuskiuienentplus quelepas	---|-|------|---|--|-|--|
esmeruelle etd istparm arme	---------|-|-⌫--|--||---|
uoirmedi st	---|-|--⌫-|
quimedist quedyabl esont	--|-|---|--|-----⌫|---|
plus esfree ́ queriens	---|------⌫|--|----|
ets i distpor moiensegn ier	-|-⌫|---|--|--|------⌫--|
quepo ur eusse doit	--|--⌫-|--|-|---|
on seg nier	-|---⌫---|
mais c est en saingdes dagner ai	---|-⌫--|--⌫----|---⌫------⌫-|
queiauoi rnemesai nera i	--|-|---⌫|-|-|---⌫----⌫|
ainsferraiiasi	---|-----|-|-|
lep lusfort	-|-⌫--|---|
dundesgauerlos queieport	|-|--|-------|--|-|---|
quei a n aprocera uersmoi	--|-⌫||-------|---|--|
nusdesautressi co n	--|--|-----|-|--⌫|
meism ea dit	-----⌫||--|
liualles tantquei lles uit	-|-----|------|-⌫|--|--|
etquant il	-|----|-|
lesuiten apert	--|--|-|----|
bosfurentd escou ert	--|-----|-⌫-----⌫--|
etuitles escusformo ians	-|--|--|----|-----⌫---|
etle shau b erscl ers etluisan s	-|--⌫|---⌫-⌫--|--⌫--|-|------⌫|
lancesetles	-----|-|--|
queonques maisnauo itueus	--|-----|---||---⌫-|---|
etuitleuertet le u ermel	-|--|-|---|-|-|-⌫----|
reluir e c ontrele	------⌫|-⌫----|-|
asuretlargen t	---|-||-----⌫|
si l ifumout biel etmout gent	-|-⌫|-|---|---|-|---|---|
et disthasir e de xmerchi	-|---|-|---⌫|--⌫|-----|
ce so ntang l eque	-|--⌫-|---⌫-⌫|--|
etdi st orai gemout pe cie ́	-|--⌫-|-|-|-|---|--⌫---⌫|
iemoutmalespl oitié	-|---|--|----⌫-----|
ce stoientdyable	|-⌫------|-----|
et nemedistmamere fable	-|-|-|---|-|---|----|
qui me distqu e	--|-|---|--⌫|
lesplusbelescoseskisont	--|---|----|----|-|---|
fo rsdexkiplusest	--⌫-|--|-|---|--|
b iau squetuit	-⌫---⌫|--|---|
iou da mledieuie	--|--⌫------|-|
quezzsibel	--|-|-|--|
queli aut rese dexmegart	--|-|---⌫-|-|--|-|---|
m iede b iautele	-⌫-|-|-⌫----|-|
mameremeisme	-|---|-----|
dieucroiree taor e r	---|-----|-⌫|---⌫-⌫|
etsousploieret	-|---------|-|
etiouaoue rrai cestu i	-|--|----⌫---|-----⌫|
etto usl es autres auoec lui	-|--⌫-|-⌫-|-----|----|--|
maint enantuerstereselance	-----⌫----|---|---|-|----|
etd ist trestoutesacreance	-|-⌫--|--------|-|------|
etor isonsque ilsauoit	-|--⌫----|--|-|-----|
q ue samerea pris liauo it	-⌫-|-|---|-⌫---|-|---⌫-|
etli maistresde scheualier s	-|-|-------|--⌫|---------⌫|
leu oitetdistesté sarriers	-|-⌫--|-|---|-----⌫|------|
k at iereest	||-⌫---|--|
depaorkeus	-|---|---|
cisuassauskinosaueus	--|------|-|--||---|
