par bons emblant	--|--|-⌫------|
etparbeld ire	-|--|--|-⌫--|
seuent aucun fel on plaindire	-----|----|---⌫-|----||--|
au trui soprendre et dechiuoir	--⌫---|--------|-|--------|
e tc antilhseuent	-⌫|-⌫--|--|-----|
dontilhsontd e	---|--|---|-⌫|
sauoi rengrant	-----⌫|------|
maisnarontbien	---||----|---|
sarontengra n t	|----|-|---⌫-⌫|
anuit eten grant de s honor	----|-|-|----|--⌫-⌫----|
misches cuioffroient hono r	--|---|--|--------|----⌫|
porceneseit onmaiscuicroire	--|-|-|---|-|---|--|-----|
kelifausneuuel entrecr oi re	-|-|---|-|----⌫--|----⌫--⌫-|
delortrais o npor ch achier	-|--|-----⌫-⌫|---⌫--⌫-----|
lesloiau sfontsid eschachier	--|-----⌫|---|-|-⌫---------|
ainsquil s oientde rienscreu	-----|-|-⌫----|-|----|---|
keteiltraua lhlo rsont creu	-|---|-----⌫-|--⌫|---|---|
k ilnont re posne	|-||--|--⌫--|-|
d e peneracek aldeseure	-⌫|----||-||-|------|
pu isselo rloi a ltes	--⌫---|--⌫|---⌫-⌫---|
si con fist	-|--|---|
c hildont uelhc onter	-⌫--|---|---|-⌫----|
ilhau int cunegentisdame	--|--⌫--||--|-----|---|
nauoi tplus bele	|----⌫|---|---|
neplus larg eneplusco rtoise	-|---|----⌫|-|---|--⌫-----|
cont essen estoit	----⌫---||-----|
ne duchoise	-|-------|
mais e leestoitde hautpa ra ge	---|-⌫-|-----|-|---|--⌫--⌫-|
pri selauoitpar mariage	---⌫-||----|--|------|
uns bachelersde bona fai re	--|--------|-|--|-⌫---⌫-|
laiensau oit moul t gran t	-----|--⌫--|----⌫|----⌫|
d e ch eualers	-⌫|--⌫------|
carric hesere	--|---⌫--|--|
cortois etlarges	------|-|-----|
despendere	---------|
i ln estoitmie tornoyeres	-⌫||-----|--|---------|
maisil hestoit b onsherb egi eres	---|--⌫|-----|-⌫--|----⌫---⌫---|
mangiers etengransdons	-------|-|-|----|---|
despendoitlesienlipreudons	---------|-|---|-|-------|
de se s uois insauoit bonpr i s	-|--⌫|----⌫--|----|--|--⌫-⌫|
en celemarcheauoit pris	-|---|-----|----|---|
etcriétuntorn oi e me n t	-|-----|-|----⌫--⌫-⌫--⌫-⌫|
la ie nsprisentherbegem ent	--⌫--⌫-|------|--------⌫--|
t roicheua lierquii aloient	-⌫--|-----⌫---|--||------|
damisetd auoirm oul tual oien t	|---|-||----|-⌫---⌫|---⌫----⌫|
liduietauside	-|--|-|---|-|
tiersn ot pasgrant richece	----||-|--|----|------|
n auoi tkaustornois	|----⌫||--|------|
douscensliureesn etornois	---|---|------|-⌫|------|
neliesch ap oi t k i lni	-|-|----⌫--⌫--⌫||-⌫|||
ilnecremoit	-|-|------|
ac ier ne fust	--⌫--|-|---|
testearmee	----|----|
t ottroi o ntladame enamee	-⌫-|---|-⌫-|-|---|-----|
uilh l o ntfau sement	|--||-⌫-|---⌫-----|
ladames amor ot royee	-|---||---|--⌫----|
a nuld iausneescondite	|--||---|-|--------|
n onporcantma inte raison dite	-⌫--------|--⌫---|-----|---|
lialiplusriches	-||-|---|-----|
por samorse	--||---|-|
fa itmult destrois	--⌫-|---|-------|
sonpo oirlipresent e	--|--⌫--|-|-------⌫|
hadisti l hducedam e	-|---|-⌫-⌫|---|---⌫|
moncuermo ncorsma mort	--|---|--⌫|---|-|---|
so r uo s uoloir	--⌫|--⌫|-----|
n ar oieenuie	|--⌫--|----|
demoigreffrel essier	-|--|------|-⌫-----|
mor s suietsedame	---⌫|--|-|-|---|
nemauei stantkem	-||----⌫|-----||
amo rpr endre	---⌫|--⌫----|
u u elhiéssansuo stre a umains rendre	-⌫-⌫------|---|--⌫---|-⌫|----|-----|
caru ostreamu r n erequier mie	--|-⌫----|---⌫|-⌫|------|--|
petit uailporauoiramie	----|---|--|----|---|
sibelesi boneetsi sage	-|---|-|---|-|-|---|
dame hum iliésuoc orage	---|---⌫-----|-|-⌫----|
tant quensisoierecheus	---|-|---|---|------|
poruoss er ai si preusueus	--|--|-⌫--⌫-|-|----|---|
kencorto isie	|-|-----⌫---|
eten lar gece	-|-|---⌫---|
florira ieten grantproeche	-------⌫|-|-|----|------|
s uiparuogreamis	-⌫-|--|-|--|---|
chasconsdesautr es	-------|--|----⌫-|
sa p ens ee ets entente	-|-⌫---⌫-|-||------|
aufaire pro y ereausi	-|----|---⌫-⌫--|---|
ilsorent lont re quise	-|-----||--|--⌫----|
etl adamefu siaprise	-|-⌫|---|-|-|-----|
kesa geme nt sendepar ti	-|--⌫----⌫-||-|-----⌫-|
aumatin s ontd	-|----|-⌫--||
i luecparti	-⌫---|----|
e ndem ain dut	-⌫----⌫--|--|
to rnoisestre	--⌫----|----|
asonhostelet	|--|-----|-|
a lach asconsteilqu illauoit	-⌫-|--⌫-----|---|-|-||----|
la da me quiasseissauoit	-|--⌫-|--|-----|-----|
debie nun s ienblanc ch anse	-|---⌫|-|-⌫--|----|--⌫---|
ason escuier b ienapris	|--|------|-⌫--|----|
auoitmult grant fianche	----|---|----|------|
a fait dochan sede liurance	|---|-|----⌫-|--⌫-------|
etlidist kal tornoien	-|-|---||-|-----|-|
pure mentetsans f airenois e	----⌫---|-|---|-⌫---|----⌫|
acelcheualierle	|--|--------|-|
etlinomad i	-|-|---|-⌫|
l uiseuiure	-⌫-|-|----|
uuetsiq u ildist e nmo nseruice	---|-|-⌫|-|---|-⌫|--⌫|------|
demainues tecest chanseriche	-----|---⌫-|---|-----|----|
al tornoisansaut rea rmeure	-|-----|---|---⌫-|-⌫-----|
forssonhi am eet c ha cheure	---|--|--⌫--⌫|-|-⌫--⌫-----|
deferet espee e t es cut	-|--|-|----|-⌫|--⌫--|
sile prent etilh	-|-|----|-|--|
altornoiensifaitement	-|-----|---|--------|
retornea moiisne lement	------||--|----⌫-----|
le prent ua a	-|----|-||
