Quel par tque	---|---⌫|--|
Bo sir ra irrunt	--⌫|--⌫-|-----|
seices qu il uo lt	--|--|-|-|--⌫-|
Eesp ié eueüot	|---⌫--||---|-|
Petreïus esteit	--------|-----|
Ki tuzl esaltres maint eneit	-|--|-⌫-|-----|-----⌫----|
Ce le p artpu in stmultfierement Elial trecomunement	--⌫-|-⌫--|--⌫--⌫-|---|--------||-|--⌫--|---------|
pristr en tfin necesse	------⌫--⌫|--|-|----|
Di ssiquilu ind renten la pre ss e	--⌫--|-|-|-⌫---⌫---|-|-|---⌫--⌫|
P etreïuscheua lchot	-⌫-------|-----⌫----|
meisniesguuernot	-------|-------|
Boslecunutiuste	--|-|----|----|
lui puinst	--|-----|
Lur dous cheualsensem bleioinst	--|---|------|-----⌫--|-----|
Les brazg etasile nbraça	--|---|-⌫--|-||-⌫------|
Ensacumpaigne sefia	-|-|--------|-|--|
gré se laissa chaeir	---|-|-----|-----|
Merueille speüssiezueei r	---------⌫|--------|----⌫|
E nlagra nt	-⌫|-|---⌫-|
pressechaï ius	-----|----|--|
En treses br az	--⌫--|--|--⌫-|
Pe treïustraist	--⌫------|-----|
Mult sesforça qualerlen	---||-------|-|---||-|
Romeincurentalar escusse	-----|-----||-|-⌫------|
Ki lanceporte tost	-|----|----|---|
l estruss e	|-------⌫|
Qu ant lesl a nces lurs untfaillies	--⌫--|--|-⌫-⌫---|--|-⌫--|-------|
caplentfurbies	------|------|
Petreïum uolentrescurreE	--------|-----|-------||
Bretunuo lent	-----|--⌫---|
Bossecurre	--|------|
Multu eïssiezfie reasemblee	---|-⌫-------|---⌫-|-------|
Es tur esp ésduremedle e	--⌫--|---⌫--|---|-----⌫|
Healmes pleier	------|-----|
es cu zper c i er	--⌫--⌫|---⌫-⌫-⌫-|
Halber csfalserh anstesbrisier	------⌫-|-----|-⌫-----|------|
Selesuoidier s elesturner	----|------|-⌫---|-----|
Humeschaeir humesnafrer	----|-----|----|-----|
Bretunle nseigne	-----||-⌫------|
lur seignur	--|------|
Romecrie ntla	---|----⌫-|-|
L i un s esf o rce n tque	-⌫|-||---⌫-⌫---⌫-⌫|--|
ill aien t	-||----⌫|
Elialtretuttenslentraient	|-|----|--|---||-|------|
A uisunkesc unis eit l un	-⌫-------|-⌫----⌫--||-|
R omeinkiert	-⌫----|-|--|
F orsa s paroles e ascriz	-⌫--|-⌫|------||-|---|
Tantiert e spéslicapleï z	---|---|-⌫----|-|-------⌫|
Walwein parla	------|--|-|
gr antpresse uait	--⌫--|-----|---|
Odsespeela ueiefait	-||----|-|---|---|
Fi ert eenp eintcaplëebu t e	--⌫--||---⌫---|-----||--⌫-⌫|
Maintenabatmeintendesr ute Ni	----|-|---|----|-|----⌫--|||
Romein kises c o psu eie	-----|-|--|-⌫-⌫-|-⌫--|
lifacesi l pue tueie	-|---||-⌫|---⌫|---|
Y derturned e laltrep ar t	-⌫--|----|-⌫||----|-⌫--⌫|
Romeinsfaitgrant essart	------|---|----|-----|
Chartresli	-------|-|
es uertu e	--⌫-----⌫|
Petreïum unttrespass é E	--------|--|--------⌫-||
Bosodlui un tadosséE	--|-|--|--⌫|------||
Bret unu nt	----⌫-|-⌫-|
Bosreleué	--|------|
Surun cheualluntremunt é	--|-|-----||--|------⌫-|
Petreïumuntr etenu	--------|--|-⌫----|
Ki mai nt cop	-|---⌫-|--|
au eitreceü	--⌫--|-----|
Parmilapresse luntmené	----|-|-----||--|----|
Deden zlurforcea	-----⌫|--|----||
saluetéAbo nesgardesluntlaissié	-------||--⌫--|-----||--|-------|
Pu i suntle stur	--⌫-⌫|--||-⌫---|
recumencié	----------|
Cilfurentse nzmeinteneü r	--|-----|--⌫-|----------⌫|
C umene f se nz	-⌫--|--⌫|--⌫-|
g uuerneü r	-⌫--------⌫|
quelpart que uolt	---|---|--|---|
Quantil niadki	----|-|||-|-|
d reitla mei n t	-⌫---|-|---⌫-⌫|
Alt r esifud dela c um pai gn e	---⌫-⌫--|--|-|-|-⌫--⌫---⌫--⌫|
Kiotperdusun	-|-|----|--|
cheue taine	-----⌫----|
Nefudmiepuisdefensable	-|--|--|---|---------|
Que lotperdusuncunestable	-|-⌫|-|----|--|---------|
Bretunlesuunt multdemen ant E agranzturbes	-----|--|---|---|-----⌫--|||----|-----|
Les abatuzuunt t respassant Eles	--|-----|---|-⌫---------||--|
fuianzuuntateignant	-----|---|--------|
L esunspe rnentles	-⌫-|--|--⌫----|--|
uns o cient	--|-⌫----|
Lesu ns despuillent les	--|-⌫-|----------|--|
uns l ie nt	--|-⌫--⌫-|
P uisruntre traitlur cum pa ignuns	-⌫--|---|--⌫----|--|---⌫--⌫-----|
El boisuindren talur	-|---|-------⌫||--|
Petreïume nuntporté Alurseignur	--------|-⌫|--|-----||--|------|
l untprese nté	|--|-----⌫---|
Altresprisunsod luiasez	-----|------|-|--|---|
Ar thurlesenad merciez	--⌫---|--|-|-|------|
Pui s lur additseiluenqueit	---⌫|--|-|--|-|-|-------|
Quea chascunsunfieucreistreit	--||------|--|---|---------|
Ar th u rfist lesprisu nsgua r der Easgua rde sles	--⌫--⌫-⌫|---|--|-----⌫-|---⌫-⌫--||-|---⌫---⌫|--|
fist liurer	---|-----|
Pur parlé adecunseil	---⌫-----|-||------|
Qui llestramettr aa	-|-⌫|--|--------⌫||
Enchart rele sferatenir	-|-----⌫-|--⌫|---|----|
enface sunplaisir	-|---|--|------|
Ka rse ilenlost	--⌫|-|-|-||--|
lesretien t	--|------⌫|
Cumentq ue seitper dre les	-----|-⌫-|---|---⌫--|--|
Dun capa railla	---⌫|---⌫-----|
quismerraE establ iqu iscunduir a	---|----||------⌫|--⌫-|-------⌫|
Rich i erE	----⌫-⌫-||
Be duer le buteillier	--⌫---|-|---------|
Quatrecuntes debienhaltlin	-----|-----|-|---|---|--|
re isleu ermatin	--⌫-|---⌫-|----|
Kio dlesprisunstantalassentE tan t	-|-⌫|--|------|---|-------||---⌫|
lungeslescunueas sent	-----|--|-------⌫---|
me neürseürfeussent E	--⌫----|----|-------||
lad ute p ass éeü ssent	-|-⌫--|-⌫---⌫-|---⌫----|
Le mperere parsesesp ies	|-⌫------|--|--|---⌫--|
Ot tostles noueles	-|---|--|------|
Que cilpa rmatin muuereient	--|--|--⌫|----|---------|
Kilesp r isunsme n er deueient	-|--|-⌫-⌫----|--⌫-⌫-|-------|
Dis mi l cheu aliers	--|--⌫|----⌫-----|
fistmunt er	---|----⌫-|
Tutenoitles rouaerrer	---|---|--|---|----|
lesprisunsde uancissentSil	--|------|--⌫---------||-|
poeien ts isrescusissent	------⌫|-⌫-|-----------|
Sert oriusde	----⌫----|-|
Libesir eE	---|---⌫||
Eu an d e rlirei s de	--⌫--⌫-⌫-⌫|-|---⌫|-|
Cari cius E	----⌫---||
Cha scund ec esquatreot	---⌫---|-⌫|-⌫-|-----|-|
grantterre Ec hascunfudbienduit	----|----||-⌫-----|--|---|---|
Cilfu renteslit e sumuns	--|--⌫---|----||-----|
rescurrel esprisuns	-------|-⌫-|------|
Cheuetainedesalt resfurent	---------|--|---⌫--|-----|
Dismilarm e zleseirses muren t	--|--|---⌫-⌫|-|---||--⌫-----⌫|
païsl escundueient	----|-⌫-|---------|
Quilesdr eites ueies s a ueien t	--|--|--⌫----|----|-⌫-⌫-----⌫|
Tutenuitu nt	---|---|-⌫-|
t ant che ualch i éE	-⌫--|---⌫-----⌫-⌫-||
cheualchanttantespleitie ́	----------|---|---------⌫|
Elchemin de	-|-----|-|
Parisentrerent	----|--------|
U nlieucuuenabletrouer entAf aire	-⌫|---|--------|------⌫--||-⌫---|
lurenbusch emen t	--|-------⌫----⌫|
Ilocsesturent coiem ent	---||-------|-----⌫--|
Es u usel meinlag ent	-|-⌫-|-|---|-|-⌫--|
Cheualchant alquesase ürEnequedent	----------|-----|---⌫--||--------|
ag ueitd utoent	--⌫---|-⌫-----|
Endouscump aignescheua lchoe nt	-|---|----⌫-----|-----⌫-----⌫-|
C he ualchoentpremierement	-⌫--⌫--------|-----------|
K ilesprisunsdurentgarder	-⌫|--|------|-----|-----|
Odcinc c enzarmezles sieweientE	-|---|-⌫--|----|--|--------||
les prisunsmenerfeseient	--|------|----|-------|
L espuinzdetr iés	-⌫-|----|----⌫---|
l esd os lïez	-⌫-|-⌫-|----|
Edesu zles ch e ualsles	|----⌫|--|--⌫-⌫---|--|
Esuus ce lsdeuantsurlaguei t	-|--|--⌫-|-----|--||-----⌫|
Que ci lde	--|--⌫|-|
Romea ueien t	---|-⌫-----⌫|
Romeinsaille nttuzensemble	-----|------⌫-|--|-------|
Tute laterrecro lle etremble	---|-|----|---⌫--||------|
Ha rdiement les enu aïrentE cil	--⌫-------|--|---⌫------||--|
fo rmentse defendirent	--⌫----|-|----------|
Rich iero ïrent	----⌫--|-⌫-----|
La granttumulte	-|----|------|
lescops uirent	--|---|-----|
L esprisunsfirentarest erE enun lieu	-⌫-|------|-----|-----⌫-||-|-|---|
seür turn erAlures cuiers lesliurerent E	----|----⌫-||--|--⌫-----|--|--------||
agarder lurcumanderent	|-----|--|----------|
Puisla i ssiere ntcheuals aler	---|--⌫-⌫------⌫-|------|---|
Ne ce sserent desp uruner	-|--⌫------||---⌫-----|
Desquilfure ntiustéas	--|-|-|----⌫-|-----|-|
Duncsetindrenta grantuigur	---|-|-------||----|----|
Ro mein çaela	--⌫---|--||-|
uuntp uignant	---|-⌫------|
Neuoldre ntm ieentendretantA descun fire	-|------⌫-|-⌫-|-------|---||------⌫---|
Cu m arescurre lesp risu nsE	--⌫||-------|--|-⌫----⌫-||
Bret unensemblepuine ie n t E e nsemblesereteneient	----⌫-|-------|-----⌫--⌫-⌫||-⌫------|-|---------|
Ense mblealoenteueneientE en semblese	----⌫---|-----||-------||--⌫-----|-|
defendeientE	----------||
Ro mein s us eiuscureient Ça ela	--⌫---|-⌫-||--|-------|--||-|
lespri sunsquereient	--|---⌫---|--------|
Asprisunstantquerre	-|------|---|-----|
entendirent	----------|
Quede l ur	--|-|-⌫-|
gentmul ti perdir ent	---|---⌫||------⌫--|
Bret unparcunreiz	----⌫-|--|------|
separtirentEquatr e	-|--------||-----⌫|
eschielesestablirent	--------|----------|
Chad orot les	----⌫-|-|--|
CornualeisE	---------||
