ceoauint al quinzimean	--|----|-|-------|-|
quetyberie	--|------|
ce sarau eitesté enper eor	--⌫--|--⌫--|----|-----⌫--|
disetnou imean	--------⌫--|-|
queherod es	--|-----⌫-|
aueitesté reis de	----|----|---|-|
galileeet en	------|-|-|
luitimekalendedea urilqui est	|-----|------|-|-⌫---|--|--|
eluinte tunime	-|-----⌫-----|
iorde marzetalquart	--|-|---|-|-|----|
andel cunte rufinetleun	-|--|----|----|-|---|
enl anquant fu rentiosepet	-||-|----|--⌫---|----|-|
kaip has .	----⌫--||
anapruesl a passiun nos tre	-|-----|-⌫|------|---⌫--|
se ig no rnichodemus	--⌫--⌫--⌫|---------|
esc r istceste estoire enebreuet en	---⌫-⌫--|----|------|-|----|-|-|
annaetcaiphaset s obnada ta n	---|-|------|-|-⌫---|--⌫--⌫|
gam alieliudasleui	---⌫----|----|---|
alisand reesiretli altreiudeu	-------⌫-|---|-|-|----|----|
uindrenta pilat e	-------||-----⌫|
encuntreiesu sila cuser ent	-------|---|-||-⌫-----⌫--|
multesparolesetdistrent	-----|------|-|-------|
nos sa uunquec is t	--|--⌫--|--|-⌫--⌫|
feuren ez demarieet	----|-⌫-|-|----|-|
ilest fizdeu	-|--|--|--|
reis.et nientsol e mentuio lele	---||-|----|---⌫-⌫---|---⌫-|-|
saba t mais	----⌫|---|
lale inos pe res ue u t	-|--⌫|--|--⌫--|--⌫-⌫|
desfaire.distpila teq uefait	-------||---|----⌫-|-⌫-|---|
illiiu deud ien tsoluncnostr e	-|-|--⌫--|-⌫---⌫|-----|-----⌫|
le i nus nedeita ltre garir	--⌫|--|-|---|-⌫---|----|
alsa batdee nfer mete .i cistace rtes	-|--⌫--|-|-⌫----⌫---||-⌫---||--⌫---|
garistlessorsetlesclops	-----|--|---|-|--|----|
etlescurués	-|--|------|
paralitikesetles	----------|-|--|
lep reusetlesencombrezde	---⌫---|-|--|--------|-|
c eopar ma lsfeiz	-⌫-|--|--⌫-|---|
di tcummentestpar mals feiz	--⌫|------|--|--|---|---|
aluidien tsorcer iees t	|--|----⌫|------⌫-|--⌫|
leprin ce d esdeables belze bubiete	-|----⌫-|-⌫-|------|-----⌫--|---|
ho rsles deables	--⌫-|--|------|
ettotes chose sli s untaclin	-|----|-----⌫|-|-⌫--|----|
dist pilateceon es tmiepar	---|-----|--||--⌫|--|--|
lemalinesperitieter hor sdeabl esainz	-|----|------|----|---⌫|-----⌫-|---|
estparlauertudeu.	--|--|-|----|--||
li iud e udienta	-|---⌫-⌫|----||
p ilate nos	-⌫----|--|
pr iun que tu	--⌫--|--|-|
deua ntteietsiloiez	----⌫-|--|-|-||---|
pilate ape le	-----|---⌫-|
sunbedelsili	--|----|-|-|
ditami ablementmamenez	--|---⌫-------||-----|
iesu.lebedel sen	---||-|----||-|
i ssii l le	-⌫--|-⌫|-|
c onutsilaoura et	-⌫---|-||----|-|
kil p ortout	|-|-⌫-----|
ensa ma ina	-|-|--⌫-||
este nd i si lidist sire	----⌫--⌫|-|-|---|---|
alez sus ce st d rapsiuenezal	---|--|--⌫-|-⌫--|-|----|-|
princep arler.	-----|-⌫----||
ligieuuirent	-|---|-----|
quelebed e l	--|-|---⌫-⌫|
fist crierenta	---|-------||
pilatesilidi strent . porqu eine	-----|-|-|--⌫-----||--|--⌫-|-|
feistesaaltre	------||----|
ape leretn e	---⌫--|-|-⌫|
albedel car nos	-|----|--|--|
u eismesquele	-⌫-----|--|-|
bedellaourasilidistsirele	----||----|-|-|---|---|-|
