laiieperdue	|-|-|-----|
apoi quene m ende espoir	|--|--|-||-|--⌫-----|
d esespoir lasieno n fere	-⌫-------|--|-|--⌫|---|
ianeme ndeseperere	-|-||-⌫|---------|
quarsesperancem	---||--------||
iert faillanz	---|-------|
i e ne s eroiepas uaillanz	-⌫|-|-⌫----|--|-------|
en lu imedoireconforte r	-|--⌫|-|--|----------⌫|
quamors pormieuzmesmausport er	-|----|--|----|--|---|----⌫-|
m edist quel me ga erentiroit	-⌫|---|-|-|-|--⌫---------|
e tqu auecmoipar	-⌫|-|---|--|--|
toutir oit	---|--⌫--|
mes dec equoi	--|-|-⌫|---|
aiiea fere	-|-||---|
cortoiseet	-------|-|
n ul e riensc erteine	-⌫--⌫|----|-⌫------|
etmetlesamanzan	-|--|--|----|-|
grant peine	----|----|
dels dame etmestresse	|--|---|-|--------|
main sen deceitpar sa	----⌫|-|-----|--|-|
quel promest telchosesouuent	-|-|------|--|----|------|
dom elneten dr ai acouuent	--|-|-|---⌫--⌫|-⌫|------|
si estperilsedexmama nt	-|--|----|-|--||---⌫-|
qua renamermaintbon amant	---⌫|-|---|----|--|----|
parluiseti enen tet t e ndront	--|--|-|--⌫----⌫|-|-⌫-⌫-----|
ni auendront	||--------|
qu elneset qu	-|-|-|--|-|
estaauenir	--||-----|
por ce estfosqui trop sanaprime	--|-|--|--|--|---||-|-----|
carquantel	--|----|-|
fetb onsillogime	--|-⌫-|--------|
si doitlen auo ir grant peur	-|---|--|---⌫-|----|---|
ne concluelep eeu r	-|------|-|-⌫---⌫|
quaucunef o iz lalen	-|-----|-⌫-⌫-|||--|
sen ontmainteste ́ deceu	|-|--|----|----⌫|----|
et nepo r quantsiuou droitele	-|----⌫-⌫----|-|---⌫----|--|
quele m eil le ur	--|-|-⌫---⌫--⌫-|
delaque re le	-|-|---⌫--⌫-|
eu st cilq ui latiento soi	--⌫-|--|-⌫-|-|----||--|
si sui foxqu antbl asme rl	-|--|--|--⌫--|--⌫----⌫||
et quemereuautsonuouloir	-|--|-|-----|--|------|
p uisquelne	-⌫----|-|-|
desdoulo ir	--------⌫-|
troppouquel n i	---|--|-|-|||
peut conseill	---|-------|
forsq ue seulement	-----⌫-|--------|
deprometre	-|-------|
promesse sanzdonne	-------|---|--|-|
uautgueres	---|-----|
auo irmelet	---⌫-|-|--|
tantdecontreres	---|-|--------|
quen usnenpe utsauoirle	--|-⌫-||-|--⌫-|-----|-|
dangierho nteetp oorm en co nbre	------|--⌫--|-|-⌫--||--⌫--⌫---|
etialousiee tmaleboiche	-|-------|-⌫|---|-----|
quienuenimeetq ui antoic he	--|-------|-|-⌫-|------⌫-|
t ouz cel s	-⌫--|---⌫|
fets amati re	--|-⌫|----⌫-|
pa rlanguelesliure	--⌫|-----|--|----|
enprisonbel acueil l	-|-----|--|------⌫|
q uen tr e	-⌫|--⌫--⌫|
touzmespensersacueill	---|--|------|------|
en bri eftansia ne uiurepuis	-|---⌫-|---|-|-|----|---|
en seurquetout merepa rtue	--⌫----------|-|----⌫---|
lorde uielle puantmoussue	|---|-----|----|------|
quidesi p resled oit	--|-|-|-⌫--|-|-⌫--|
quil nosenull ui	-|-||--|----⌫-|
enforceramidex	--------|-|--|
sanzfaille	---|-----|
i l estuoirs quelidex	-⌫|--|----|--|-|--|
dam orsyydon sseuemerc i	|--⌫--|-|---⌫|---|----⌫|
me donames ieles	-|---|--|-|--|
dou zpense r quipoi ntne m	---⌫|-----⌫|--|---⌫-|-||
do uzparlerm e	--⌫-|-----|-⌫|
refau tdaide	-----⌫||---|
l i ti erzauoitno ndouz	-⌫|--⌫--|----|--⌫|---|
perdulerai	----|-|--|
sede xm eg art	-|--⌫|-⌫|-⌫--|
sanz faille biaus dons ya	---|-----|----|---|||
iln e meuaudrontriensiames	-|-⌫|-|-------|----|----|
a c uei l lnist deprison	-⌫-⌫---⌫-⌫||--|-|-----|
quelentientpargrantmesprison	--|--|----|--|----|--------|
mour raiau mi en auis	----⌫--|-|--⌫-|---|
quiln en ist racecroiiauis	-|-||-|---⌫-|-|---|-|--|
istran onuoirpar	----|-⌫-|---|--|
cuiproec e	--|-----⌫|
istroitil detelfo rterece	------|-|-|--|--⌫------|
par moiuoirne seracem ie	--|--|---|-|---|-|-⌫-|
croide sensdemie	---|-|---|----|
ainzfisgrant	---|--|----|
folieetgran t rag e	----|-|----⌫|---⌫|
quantau dieud	----|-|---||
amorsfishomage	----|--|-----|
dameoyseu se leme	---|-----⌫-|-|-|
fi stfaire	--⌫-|----|
ho nnisoit li et so naffaire	--⌫--|---|-|-|--⌫|------|
quime fistou iolifuergier	--|-|---|-|----|------|
parmap rie re herbergier	--|-|-⌫---⌫-|---------|
qu a rseleustnul bie n se u	--⌫-⌫||-|---|--|---⌫|--⌫|
elnem eustonquescreu	-|-||---|-----|---|
lennedoitpascroire fol home	--|-|---|--|-----|--|---|
dela ua l u ed une pome	-|-|--⌫-⌫-⌫||--|---|
bla sme rledoitlenetrep r endre	---⌫---⌫|-|---|--|-|---⌫-⌫----|
ainzqu illilaistfolie emprendre	-----|-|-|----|----|--------|
fu ifox et elme crut	--⌫|--|-|-|-|---|
onques parluimes biens	-----|--|--|--|----|
el m aco nplit ropmonuouloir	-||---⌫---|-⌫--|--|------|
si m a ne steutplein dre etdoul oir	-||-⌫|-⌫----|-----⌫--|-|----⌫--|
b ien le mauoit resonnoté	-⌫--|-||----|----|----|
te nirmanpu ispour rasso t é	--⌫--||-|--⌫-|---|-----⌫-⌫-|
lorsdamernerec rui	---||---|-|---⌫--|
et le conseil lresonn e	-|-|-------⌫|----|-⌫|
dro itotr esondemoibl asm er	---⌫-|-|-⌫---|-|--|--⌫---⌫-|
qu antonque sment remis	--⌫--|-----⌫||---⌫----|
tropgries mausmenco nuient	---|----|---||-|--⌫-----|
iemenueillcec roi	-||-|----|-|-⌫--|
re pen ti r	--⌫---⌫--⌫|
repentirlas	-------|--|
iequeferoie	-|--|-----|
traitre s fau zhonizser oie	-------⌫|---⌫|----|---⌫--|
auroitbienenuai	-----|---|----|
iauroiemonseigneur	|-----|--|-------|
belac ue ill	--|--⌫--⌫--|
rese roit t raiz	----⌫---|-⌫---|
doitiles tr epar	---|-|--⌫--⌫|--|
