#META#TextURIAlexisP13	-----|------|--------|
#META #DEAF http//www.de a f -pag e.d e/fr/bibl/bib99 a.php #AlexisP	-----⌫|---|------------⌫-⌫-⌫----⌫---⌫---------------⌫-----⌫-------|
#META #T L A lex.Alex .S.	-----⌫|-⌫|-⌫---|----⌫|-|
#META# ARLIMA	-----|-----|
http s//www .ar l ima.n e t/ no/1 14	----⌫------⌫---⌫-⌫-----⌫-⌫--⌫----⌫-|
# META #A uthor	-⌫----⌫|-⌫----|
# META# A ut hor Born	-⌫----|-⌫--⌫---⌫---|
#META# Autho rBornAmb	-----|-----⌫-------|
#M E TA#AuthorDi ed	--⌫-⌫--|--------⌫-|
#META#Aut horDied Amb	-----|---⌫-------⌫--|
#META# AuthorFl 1	-----|--------⌫|
#META#AuthorFl2	-----|--------|
#META# TextTitleLauiede	-----|--------|-|--|-|
sai ntAlexis	---⌫-|-----|
#META #TextSubtitlepo ème du XIesiècle	-----⌫|-----------|--⌫---|-|--|------|
etreno uu ellements d esXIIe XIIIe et XIu e siècl es	-|----⌫--⌫--------|-⌫-|---|----|-|---⌫|------⌫-|
pu bli ésau ec p réfaceuariantes n otes	--⌫---⌫--|--⌫-|-⌫------|--------|-⌫---|
etg lossaire	-|-⌫-------|
#META#Textuols 1	-----|-------||
#META#TextSubihagiogra p hy	-----|-------|--------⌫-⌫-|
#META#TextDom	-----|------|
#ME TA# T ranslation	---⌫--|-⌫---------|
#META#Co ll ectio n	-----|--⌫--⌫-----⌫|
#ME TA#CollectionNo	---⌫--|-----------|
#META#TextD e scARL123laiss es deuersdé casy llabiquesmonorimes	-----|-----⌫-⌫----|--|-----⌫-|-|---|---⌫----⌫--------|--------|
(1278uer s)	----|---⌫-|
# META #TextDescu ers 10	-⌫----⌫|---------⌫--|-|
#META#Tex tDateARL XIII e	-----|---⌫-------|----⌫|
#META#Te xtDa te Adi13	-----|--⌫----⌫--⌫--|-|
#META# TextD a teMin	-----|-----⌫-⌫----|
#ME TA#TextDateMax	---⌫--|----------|
#M E TA#EdEditor ParisGastonPannierLéo p old	--⌫-⌫--|-------|----|-----|------|----⌫-⌫--|
#META# EdPlace Paris	-----|------|----|
#META#EdP ublish e rF.uieweg	-----|---⌫------⌫-⌫|-|-----|
#META# Eduol	-----|----|
#META#EdYea r1887	-----|-----⌫|---|
#META # EdPages279-317	-----⌫|------|------|
#META #MsBaseMa	-----⌫|-----|-|
Ca rlisleCathedral	--⌫-----|--------|
#META#MsOt her	-----|----⌫--|
#META#MsNum2	-----|----||
#M ETA#MsDat e AR L	--⌫---|-----⌫-⌫--⌫|
# M ETA#Ms Date A d i	-⌫-⌫---|--⌫----⌫-⌫-⌫|
#META#Form	-----|---|
#META#Complete	-----|-------|
#META# N oWords	-----|-⌫-----|
#META# NoLines	-----|------|
# M ET A # D ialA uth	-⌫-⌫--⌫-⌫|-⌫----⌫--|
#META #D ialScribe	-----⌫|-⌫--------|
#META # Sca n URLhttps / /a rchiue.org/de tail s/lauiedesaint ale03alexgoog	-----⌫|---⌫-⌫--|-----⌫-⌫--⌫-------------⌫----⌫--------------⌫------------|
#MET A#S canURIOther	----⌫-|-⌫----------|
#META # Ark ID ark/13 960 /t1ih3 nt8t	-----⌫|---⌫-|------⌫---⌫------⌫---|
#M ETA#LccnID	--⌫---|-----|
#MET A#OclcID67 605175	----⌫-|-----|--⌫-----|
#META# W ebAuthor DauidIoseph	-----|-⌫-------|----|-----|
# META# ORC ID WebA uthoror cid.or g/00 00-0002-0355-1487	-⌫----|---⌫--⌫----⌫----|--⌫------⌫----⌫----------------|
# META#WebReuiewe r	-⌫----|----------⌫|
#META#ORCIDR euiewer	-----|------⌫------|
#META# MiscInfo thethirteenth	-----|-------|--|---------|
century uersion	------|------|
# MET A#CCL icense CCBY-N C-SA 4.0Intern ational	-⌫---⌫-|---⌫-----|-|----⌫---|--|------⌫------|
§L IuIESAINTALESINET	--⌫|--|----|-----|-|
C OMMENTILMORUT.	-⌫-----|-|-----|
Pageu01P279	----------|
Chaena rriéreantens anchie nor s	--|-|-⌫------|-|---|------⌫---⌫|
Fois futen	---|--|-|
tiereetius ticheet	----|-|---⌫----|-|
Etue rités etcreanche etdonchors	-|--⌫-----|-|-------|-|-------|
Maisorees t frailesetp lai ns	---|--|--⌫|------|-|-⌫---⌫-|
degr a n sdolor s.	-|--⌫-⌫-⌫|-----⌫-|
Iamaisnie rtte u s con futasanchi ssors.	-----||--⌫-|--⌫-⌫|--|--|-|-----⌫-----|
Nepo rtentf oitli maritloroissors	-|--⌫----|-⌫--|-|----|--|------|
Nel iua s s a l	-|-⌫|--⌫-⌫-⌫-⌫|
flanche lor s ignors... ...	------|--|-⌫---------⌫--|
Au te nsNoéeta ntens	-|--⌫-|---|-|-⌫|---|
Ante nsDauid cuiDiuspar a ma tant	-|--⌫-|----|--|---|--|-⌫-|---|
Bo n sfutli	--⌫-⌫|--|-|
siécle sn aronsmaissiuaillant.	-------⌫||----|---|-|--------|
uieusestetf ra iles to t s	----|--|-|-⌫--⌫---|--⌫||
foit aspéres	---|-|-----|
li enf ant	-|---⌫--|
Etli fil leu luontlorparins boisant	-|-|---⌫---⌫|---|--|-----|------|
Li iust ichierl eloi	-|----⌫-----|-⌫|--|
Din malme nan t	--|-----⌫---⌫|
Etlisignorlorm olliersa hon tant.	-|-|-----|--|-⌫------|-⌫---⌫----|
Goieet leecheua	---|-|-----|-|
totedefalant	---|-------|
Sozchielnest homki	--|----||--|--|-|
del auo iraittant	-||---⌫-|--|---|
Pag eu0 1P280	---⌫---⌫----|
Ne s eredote doutensa	-|-⌫|-----|--|---||
P riesestlifins	-⌫---|--|-|---|
par lemieneschiant.	--|-|---|--------|
Enl honorDiulegloriospoissant	-||----|--|-|------|-------|
Kinoscreat restosasonsemblant	-|--|---|-⌫-----||--|-------|
uous uuelconterunexe mpl emoutgr ant	---|---|-----|-|---⌫---⌫|---|--⌫--|
saint ismehomeetdu nsiencier	-----⌫---|---|-||-⌫|---|---|
LiDiuuassausotnon E ufemiens	-|--|------|-|--|-⌫-------|
CuensfutdeRomeetmoutbons	----|--|-|---|-|---|---|
cresti ens	------⌫--|
E tsagesh omd es a utors	-⌫|----|-⌫-|-⌫-|-⌫----|
Tost e nsmena granste nc honssor paiens	--|-⌫-⌫-|---|----|--⌫--⌫---|--|-----|
