#META #Text URI BenTro ieC	-----⌫|----⌫--|------⌫--|
#M ETA#DEAFhttp//ww w.deaf-page.de/bibl/bib99b.php#BenTroieC	--⌫---|---|--------⌫---------------------------------------|
#META#TLTroie	-----|-|----|
#META# FEWBenSMaure	-----|--|--------|
#META#ARLIMAhttps//www.arlima. net/ad/ benoit_ de_sainte-m aure.html#tro	-----|-----|------------------⌫-------⌫-------⌫-----------⌫------------|
#META#AuthorBenoît	-----|-----|------|
de S aint- M aure	-|-⌫-----⌫-⌫---|
#META#AuthorBorn	-----|---------|
#META#AuthorBornAmb	-----|------------|
# META#A uthorD ie d	-⌫----|-⌫------⌫--⌫|
#ME TA#Autho rDiedAmb	---⌫--|-----⌫-------|
#META#AuthorFl1	-----|--------|
# MET A#AuthorF l2	-⌫---⌫-|-------⌫-|
#META#TextTitle Ro mand e	-----|--------|--⌫--|-⌫|
#META# TextSubtitle	-----|-----------|
# META#Textu o ls5	-⌫----|-----⌫-⌫-||
#META#TextSubiromance	-----|-------|------|
# META#TextDom lit	-⌫----|------|--|
#META#Trans lation true	-----|-----⌫-----|---|
#META#Collect ion S AT F	-----|-------⌫--|-⌫--⌫|
# META#Collec tionNo	-⌫----|------⌫-----|
#META#TextDescA RL	-----|---------⌫-|
uersoctosyllabiqu es	---|-------------⌫-|
àri m esplates	-|--⌫-⌫-|-----|
#META#TextDescuers8	-----|-----------||
#META# TextDateARL	-----|----------|
#META #Text DateAdi1165	-----⌫|----⌫------|---|
#META# TextD ateMin	-----|-----⌫-----|
#META#Tex tDateMax	-----|---⌫-------|
#M ETA# EdE ditor Constan sL .	--⌫---|---⌫----|-------⌫|-⌫|
#META# E dPla ceP aris	-----|-⌫----⌫-|-⌫---|
#META#E dPublisherDidot	-----|-⌫---------|----|
#ME TA# Eduol1	---⌫--|----||
#META#EdYear19 04	-----|-----|--⌫-|
#META# EdPages	-----|------|
#MET A#M sBase	----⌫-|-⌫----|
#M ETA#MsOt h er	--⌫---|----⌫-⌫-|
#META#MsNum5 8	-----|----|-⌫|
#META#Ms DateAR L	-----|--⌫------⌫|
#META #MsDateAdi	-----⌫|--------|
# META# Formu	-⌫----|---||
#ME TA #Completepar tial	---⌫--⌫|-------|---⌫---|
#META#NoWords	-----|------|
#META#NoLines	-----|------|
#ME TA# DialAuth	---⌫--|-------|
#META#DialScr ibe	-----|-------⌫--|
#M ETA#Scan URLhttp//gal lica.bnf.fr/ark/12 1 48/ bpt6 k5094qrk=1287560	--⌫---|----⌫--|---------⌫------------------⌫-⌫---⌫----⌫---------------|
#M ETA#ScanURIOthe r	--⌫---|-----------⌫|
#META#ArkID	-----|----|
# META#LccnID	-⌫----|-----|
#META#O clcID	-----|-⌫----|
#META#WebAuthorMarielleDelCarmen Cabal lero Ng	-----|--------|-------|--|-----|-----⌫---|-|
#ME TA#ORCIDWeb Author	---⌫--|--------⌫-----|
#META# WebReuiew er	-----|---------⌫-|
#META#ORCIDReuiewer	-----|------------|
#MET A#M iscInfo	----⌫-|-⌫------|
