une auentureuus dirai	--|-------|--|----|
duntlibretunfiren tun lai	---|-|-----|-----⌫|-|--|
lausticadnunc eo mest auis	------|-|--|-⌫-||--|---|
si lapelenten	-||------|-|
ceo estreisun en fra ncei s	--|--|-----|-|---⌫----⌫|
e nihtegale	|--------|
e n dre it	-⌫|---⌫-|
unseintmalloen lac un tree	-|----|----|-|-|-⌫--⌫---|
otuneui l eren um ee	-|--|--⌫-⌫|---⌫--⌫-|
deuscheual iers ile c m a neent	---|------⌫---|---⌫|-⌫-⌫----|
edeus forezmaisu ns	|---|----|-----⌫-|
purlabuntedes	--|-|----|--|
deusba r uns	---|--⌫-⌫--|
fude la ui l ebons lin uns	-|-|-|--⌫-⌫|---|-|-⌫--|
li u nsaueitfemm eespusee	-|-⌫-|----|----⌫|------|
sagecur teise	---|---⌫----|
ame rueilles e	|--⌫------|-⌫|
te neitc hiere	--⌫---|-⌫----|
s ulunc lus ag e elamaner e	-⌫----||--⌫--⌫||-|-----⌫|
liautresfu un bachelers	-|-----|-|-|--------|
bienconu entr es espers	---|---|----⌫|-⌫-|---|
depru escedegrant u al ur	-|---⌫---|-|----|-⌫--⌫-|
e uolent iers	|------⌫---|
fes eithonur	---⌫--|----|
muttu rneotedespendeit	--|--⌫----||---------|
ebien dono tceo	|---|----⌫|--|
quilauei t	-|-|----⌫|
lafemme su nuei sin ama	-|----|--⌫|---⌫--|--|
tant l arequisttant laprei a	---|-⌫|------|---|-|----⌫|
et ant parote nluigrantbie n	|-⌫--|--|-|-⌫|--|----|---⌫|
que elel ama surtu terien	--|--||--|--|--⌫-|---|
tantpurle bienque	---|--|-|---|--|
tan t pur ceoquiliert presdeli	---⌫|--|--|-|-|---|---|-|-|
biense ntreamerent	---||-⌫----------|
mutsecourir ente esga rderent	--|-|------⌫--||----⌫------|
quilnefeus sentaparceuz	-|-|-|----⌫---|-------|
nedesturbezne mescreuz	-|--------|-|-------|
eeus le poeientbienfere	|--|-|------|---|---|
karpresesteie ntlurrepere	--|---|------⌫-|--|-----|
pr eceinesfurentlur maisuns	--⌫------|-----|--|------|
e lurs al eselur	|--|-⌫--⌫-||--|
baren e deuise	---|-⌫|-----|
haut murdep iere	---|--|-|-⌫---|
desch ambresuladame iut	--|--⌫-----||-|---|--|
quant ala fenestresestut	----||-|-------||----|
poeitp arl erasunami	----|-⌫---⌫-||--|--|
delautre part eilali	-||----|---||-||-|
elur auei rsentrechangier	|--|----⌫-|------------|
epar getere parlancier	|--|----||--|------|
nunt gueres	|--|-----|
ri enquelu rdespleise	--⌫-|--|--⌫|--------|
mutesteientamduia eise	--|-------|----||---|
forstantki lnepo entuenir	---|---||-⌫|-|--⌫--|----|
del t ut e nsemblealur	--|-⌫-|-⌫------||--|
kar lada me	--|-|--⌫-|
ert e streite gardee	--|-⌫------|-----|
quan tcile steitenla cuntree	----⌫|--|-⌫----|-|-|------|
mesdetantaueient	--|-|---|------|
ufustpar nuit	|---|--|---|
ufustpar iur	|---|--|--|
que ens emble	--|---⌫----|
poeientparler	------|-----|
nulnespoeitdeceogarder	--|-||----|-|--|-----|
que alafenestren iueni ss ent	--||-|-------|||----⌫--⌫--|
ei loecsent reue issent	|-⌫---||---⌫----⌫-----|
lunge mentsesu ntentreamé	-----⌫---|-|--⌫-|--------|
tantqueceouien tau nest e	---|--|--|----⌫||-⌫|---⌫|
e liuergierierent fluri	|-|------|-----|----|
ciloiseletpargrantduc ur	--|------|--|----|---⌫-|
mainent lurioi e ensumlaflur	------|--|---⌫|-|--|-|---|
kiamurad a	-|---|-||
sun talent	--|-----|
ne stmerueille sili entent	|-⌫-|--------||-||-----|
del cheualieruusdirai	--|--------|--|----|
il i e nten tasunpoeir	-||-⌫----⌫||--|----|
e lad am edel au trep art	|-|-⌫--⌫|-||--⌫--|-⌫--|
edepar ler	|-|---⌫--|
e dere gart	|-|--⌫---|
lesnu izq uantla	--|--⌫-|-⌫---|-|
lune luseit	---|-----|
e ses sir es c uchéesteit	|--|---⌫-|-⌫----|-----|
deius telisou ent leuot	-----⌫-|-|---⌫--|----|
ede su n mantelsea fu blot	|-|--⌫|-----|-|-⌫--⌫---|
fenestreesterueneit	-------|----|-----|
qu e au trete u u iedeme not	--⌫|--⌫-----⌫|-⌫-|----⌫--|
leplusdela	-|---|-|-|
nuitu eillot	---|-⌫-----|
delit aueient alueer	----|------|-|---|
quantplusn e	----|---|-⌫|
po eie n ta uer	--⌫---⌫-⌫|-⌫--|
tan tiest ut tanti leua	---⌫||---⌫-|---||---|
sires s en curuca	----||-|-----|
eme intefeizlidem anda	|--⌫-------|-|---⌫---|
purque ileuoteuala	--|---⌫|----|||--|
sireladam elires punt	---|-|---⌫|-|---⌫---|
ioieencest mund	---|-|---|---|
ki nenotlelaustic chante r	-||-|-|-|------|------⌫|
pur ceome uois iciester	--|--|-|---|--|----|
ta nt duceme ntle	--⌫-|------⌫-|-|
q uemutmesemble grantd ed uit	-⌫-|--|-|-----|----|-⌫--⌫--|
t antmedel ite tantleuoil	-⌫--|-|---⌫-||---|-|---|
que ieone pu is	--|--|-|--⌫-|
dormirde loil	-----|-||--|
quantlisi res otq ueel ed ist	----|-|--⌫--|-|-⌫-|--⌫|-⌫--|
deire em altalentenrist	-|--||-⌫-------|-|---|
deune chose se purpensa	-|--|----|-|-------|
quele lausticenginnera	--|-|------|--------|
ilnotuallet ensa	-||-|-----|-|-|
nefaceenginreis	-|---|----|---|
puis lesmettentpar leuergier	---|--|------|--|-|------|
ni ot cod rene	||-|---⌫-|-|
chastai nier	-------⌫---|
u i l nemett ent lazugl u	|-⌫|-|----⌫--|--||--⌫|
tantquep ris elunte	---|--|-⌫---⌫||--||
quantlelaust iceure ntpris	----|-|-----⌫-|----⌫-|---|
alseignu rfure ndu tutuis	-|------⌫|-|--⌫--|--|--|
mutenfuliezquantille	--|-|-|---|----|-|-|
as cha mbre s ladameuie n t	-|---⌫----⌫|-|---|---⌫-⌫|
d amefetiluestesuus	-⌫--|--|-||----|--|
uenezauantparlez anus	----|----|-----||--|
lausticen glué	------|--⌫----|
purquei uusa uez	--|---|--|-⌫--|
ta ntueillé	--⌫-|------|
des orepoez gisi ren pei s	--|--|---|----⌫|-|---⌫|
il ne uus esueill eratmeis	-|-|--|-------⌫---|---|
q ua ntlad ame l ad	-⌫--⌫-|-|-⌫--||-|
