un cautestd e	--⌫|-|---|-⌫|
la coefeenabatitou	-|----|-|-----|-|
e tdescheuouxdu chie f	-⌫|--|------|-|----⌫|
gra ntpar tie rasé	---⌫-|---⌫--|----|
Dame dexl egardaque en charn el	----⌫--|-⌫|----|--|-|---|-⌫||
cuens refier t luip a ruiu e	----|------⌫|--|-⌫-⌫|---⌫|
i esma .i.g rant copsorleheaume	|---|--|-⌫---|--|--|-|-----|
Fierabrasu oitle cop queilla	--------|-⌫--|-|--|--|-|||
Cequeiltintdelescua	-|--|-|---|-||---||
que tot a descouertli flanc et l icosté	--|--||--------|-|----|-|-⌫|-----|
Oliuier laperco itm outlabien	------||------⌫-|-⌫--|||---|
auretrairelefier td u brancq uiest	-|-------|-|----⌫|-⌫|----|-⌫-|--|
pardesor l amaimell el ia	--|----|-⌫|-------⌫|-⌫||
gra nt cop do né	---⌫-|--|--⌫--|
Liblanca ubercliadesro tetdesm aellé	-|----|-⌫----|-||-----⌫|-|----⌫-----|
L echaualpardeso zlia	-⌫|-----|--|----⌫|--|
t out d etranchié	-⌫--|-⌫---------|
Licuens liapoiaque	-|----|-|----|--|
Tou tiasauertu	---⌫|||-|----|
e ts onbr ancbienboté	-⌫|-⌫-|--⌫--|---|----|
Delez li flanc se nestrelia	----|-|----|--⌫-----|-||
li branccolé	-|----|----|
Duc en z en mie	--|--⌫|-|--|
leschinelatr achie etcopé	|------|||--⌫----|-|----|
a poiqueli	|--|--|-|
boelnelisunthors uole ́	---|-|-|---|---|----⌫|
Mesineni otnus	--|||-||-|--|
maumisne em peré	-----|-|--⌫----|
Lis ancagran tfo isonliisthorsdu costé	-|-⌫--||----⌫|--⌫---|-|--|---|-|-----|
OezdeF i erabras	--|-|-⌫-⌫------|
comf utdegran tfier té	--|-⌫-|-|----⌫|----⌫--|
Contremontuer s lic ielali	---------|---⌫|-|-⌫--||-|
roisregar dé	---|-----⌫--|
d edamedex limembre e tdela trinite	-⌫|------|-|-----|-⌫|-|-|------|
e tdusain tesperitali	-⌫|-|----⌫|------||-|
corsalumé	---|-----|
Oliu ierapela	----⌫--|----|
Gentixhon sdebonhi erenemocir e por	-----|---⌫|-|-----⌫--|-||----⌫|--|
Karleslifortrois	-----|-|---|---|
et geti creancbiendesorm eleauté	-|-|-|-----|---|-|--|-⌫|------|
quege tend roila foietlacrestien té	--|-|----⌫--|-|--|-|-|--------⌫--|
e trendroi	-⌫|------|
