quant limundesfuestabliz	----|-|-----|-|-------|
edamledex oct departiz	|-------|--|-------|
le selemenzchascunparsei	--⌫|------|------|--|--|
odle cuns eil	-|-|----⌫--|
ploct liquefustli	----|-|--|---|-|
cla r tezeen lu mi nemenz	---⌫-⌫--||--⌫--⌫--⌫-----|
aumondee ascreascions	-|----||-|---------|
easdiuersesre gions	|-|-------|--⌫----|
lifir mame nzceus estnonmez	-|---⌫----⌫-|---|--|-----|
ce st feuse c halorsecl artez	|-⌫-|---||-⌫-----||--⌫----|
luneest e li	---|--||-|
r esplen dissable setuermeiz	-⌫------⌫--------⌫|-|------|
maisq uilemuntdr eitno nmer	---|-⌫-|-|---|--⌫--|--⌫---|
c e stce lensembl e	|-⌫-|--⌫|-------⌫|
no nmez monzdr ei tement	--⌫---|---|--⌫--⌫-----|
qu etoz iorzest enmoueme nt	--⌫|--|---|--|-|------⌫-|
est cequelonitrou e	--|-|--|--||----⌫|
quieumontest qui	--|-|---|--|--|
deumontn ede tantcomil	--|---|-⌫|-|---|--|-|
na nusne no n brenemesure	||--|-|--⌫-⌫--|-|-----|
n e porreitnusta n taprendre	-⌫|------|--|--⌫-⌫|-------|
que certec h ose en seustrendre	--|----|-⌫-⌫--|-|----|-----|
nusnesoctunqu essa	--|-|---|----⌫-|-|
nesample tenesagrandor	-||-----⌫-|-|-|------|
que de teuchoseseitcertain	--|-|--|----|---|------|
ac eluiestceluideitestre	|-⌫---|--|----|---|----|
quid eutot fucri e reemestre	--|-⌫-|--|-|---⌫-⌫-||-----|
itant sauumbienmunz	----|----|---|---|
esttoz igaus et	--|--|----|-|
ligranz o ceansl auiro nn e	-|----|-⌫----||-----⌫--⌫|
sicomla let tre	-|--|-|---⌫--|
dite sonn e	--||----⌫|
cercleen roond	-----|-|----|
du mnusne setparfondece	--⌫|--|-|--|---------|
enmilemondeset	---|-|----|--|
que locean ac lot es er re	--||----|--⌫--||-⌫--⌫-|
partn aplus	---|||---|
dec ecuidonestre ce rt ain s	-|-⌫|-----|----|--⌫--⌫---⌫|
pe isestdigaumesure	--⌫-|--||---|-----|
sicom nosretraitlescriture	-|--|--|------||--------|
c editplinessismouemen z	-⌫|--|-----|--|-------⌫|
estd e l enbriue des granz ue nz	--|-⌫||------|--|----|--⌫-|
quiescauern e ssuntparfo ndes	--|-|------⌫-⌫|---|-----⌫---|
oudetonnerre ou	-|-|-------|-|
de sgran zundes	--⌫|----⌫|----|
del oce anqui la sostient	-||---⌫-|--|-|-------|
so uparc ezt reis chosesauient	--⌫|--|-⌫-|-⌫---|-----|-----|
l aformations	-⌫|---------|
deum ondeela	--|-⌫---||-|
quequat re par zianon plus	--|----⌫-|---⌫|||--|---|
cen os retra itysi dorus	-|-⌫-|-----⌫-|---⌫----|
ce st orientm eridies	|-⌫-|-----|-⌫------|
eoccidentquiuienten pres	|-------|--|----|--⌫---|
septentrien e ncesestent	----------|-⌫|-||-----|
cercles deufirmament	------|--|--------|
ciaureitg refchosea	-|-----|-⌫--|----||
desce ndre	-----⌫---|
naretrairen e	||-------|-⌫|
acomprendre	|---------|
confaitementcez	-----------|--|
cho ses s unt	---⌫--|-⌫--|
tiennent n e comm ent uunt	-------|-⌫|----⌫--|---|
enest s a ichanzemestre	-|--|-⌫-⌫-----||-----|
doc ean fis t eis irenes tre	|--⌫--|---⌫|---⌫-||---⌫--|
di uersesparle munt	--⌫-----|--|-|---|
maintsenc orent	----|--|-⌫----|
d elaei ssent ela	-⌫|-|--⌫----||-|
ra teignent	--⌫-------|
eissi cerche ntle mo n deeceignent	----|------⌫-|-|--⌫-⌫-||-------|
diuersessunt o d di uersnon s	-------|---|-⌫|--⌫---|---⌫|
porles diuerses	--|--|-------|
diuersess untetotesun	-------|-⌫--||----|-|
d ele srenai ssentgrant	|---⌫|-----⌫----|----|
quiauironnen tles contree s	--|---------⌫|--|-------⌫|
eles p rouincesrenonmees	|--|-⌫-------|--------|
e quiportentlesg ranz na uies	|--|------|--|-⌫---|--⌫---|
dumlester ressuntrepleni es	--|--|---⌫--|---|-------⌫-|
sifist dexses forma tions	-|---|--|--|-----⌫----|
sesr enn essescr eations	--|-⌫---⌫-|--|--⌫------|
quent reuseustuariet e z	-|---⌫|--|---|------⌫-⌫|
de se stancesdiue r sitez	--⌫--⌫------|----⌫-⌫----|
e que lunfustl	|--||-|---||
aud renoisable	---⌫-|-------|
hainosetespoentable	-----|-|----------|
nonpasporcecon c	--|--|--|-||--⌫|
ence st sec lequi	-|--⌫-|---⌫-|--|
nestastbien	|-----|---|
totq uanqu a soz le firmament	--|-⌫----||--|-|--------|
quenueituen i r	-|-|---|---⌫-⌫|
a naissement	|---------|
untdeselemenzlorcreance	--|--|------|--|------|
el ornaturee lo r substance	|-⌫-|-----||--⌫|--------|
leueedefreidor	|--||-|------|
l autre de l	|----|-||
airede c halor	--||-|-⌫----|
ausidelaterreensem ent	---|-|-|----|-----⌫--|
e po r ce que	|--⌫|-|--|
s unt tr estuitquatree ntreus	-⌫--|--⌫-----|-----|-⌫--|--|
c ont r aire	-⌫---⌫-⌫---|
si est raisonsco mes tuiaire	-|--|------|-||--⌫|-----|
queleschosesquinsunt crie es	--|--|-----|--||---|----⌫-|
eaumon d euiuifiees	|-|---⌫-⌫|--------|
enre sei ententreus cruas	-|--⌫---⌫--|---|--|----|
e diuersesetdesiga u s	|-------|-|------⌫-⌫|
nonpas ne ceneuos diso n	--|--|-|-|-|--|----⌫|
qu oun e naturaurais on	-||--⌫|------|----⌫-|
n eraitentr	-⌫|---|---|
eus adou cemen t	--|----⌫-----⌫|
eco ncorde eaiostemen t	|--⌫-----||---------⌫|
siquelifeusa terr e	-|--|-|---||----⌫|
elater rele	|-|---⌫-|-|
feusostient	--|-------|
e lairquie stentre cest	||--|--|-⌫-|----|---|
tocte tdesfenttotaestrous	---|-⌫|------|--||------|
que laterre	--|-|----|
soulairene s t	--||--|-|-⌫-⌫|
dest outee tg arde	----⌫---|-⌫|-⌫---|
leueresp eissetant	|--|----⌫----|---|
que souent	--|-----|
lepor t a nt	-|---⌫-⌫-⌫-|
qua ntleu e	---⌫-||--⌫|
enla terr es	-|-|----⌫||
ta ntidef aitta nt	--⌫-||---⌫--|--⌫-|
sire ngre sse	||--⌫----⌫--|
quaneientuient	-||-----|----|
totea sechee	---||-----|
ei ssiauie ntmaintefeiee	--⌫--|----⌫-|-----|----|
ueezcomdex	---|--|--|
laordone ́	||------⌫|
quid e u tot	--|-⌫-⌫|--|
alapoes te	|-|----⌫-|
asa ngres liclers	-|-⌫----|-|----|
ceus li beaus	---|-|----|
elairdesoz es t as oiseaus	||--|----|--⌫|-|------|
la me rles	-|--⌫|--|
eu es aspei sons	--⌫-|-|---⌫---|
la ter reestabit ation s	-|---⌫-|--|----⌫-----⌫|
aspoples deshum ains	-|-----|--|---⌫---|
bestessauuages	-----|-------|
ela chose qui nprent	|-|----|--||----|
nai ssance	---⌫-----|
su n elementi apui ssance	|-⌫|------|||---⌫-----|
