nob leslil ions	---⌫--|-|-⌫---|
o lu ia uoittoz	|--⌫|-⌫---|--|
t roiziorz out iasa	-⌫---|---|--|-|-|
bienlontlibaron maintenue	---||--|-|----|--------|
quene s a nuoi a querre	--||-⌫|-⌫----⌫|-----|
uenuzsontparm eretpar	----|---|--|-⌫-|-|--|
toz ensanble p orluiseruir	--|-------|-⌫-|--|-----|
que bien li uo lento beeir	--|---|-|--⌫---|-⌫----|
por cequecha scunsbiensauoit	--|-|--|---⌫----|---|-----|
deuoirqueilsacorttenoi t	-|---|--|-|-|---|-----⌫|
a ceztre s	|--|---⌫|
hautesennezfestes	-----|----|-----|
ilui enentde	-|--⌫----|-|
partotlater re	--|--|-|---⌫-|
lagentleroin efu	-|---|-|--|-⌫|-|
par las alem ain ent	--|-|-⌫--|-⌫---⌫--|
grantioi e	----|---⌫|
tuitfo ntgrantioieoup al ais	---|--⌫-|----|---|-|-⌫--⌫--|
chant entnotesuiele ntlais	-----⌫--|----|-----⌫-|---|
s o nt forsrenartlerous	-⌫-⌫-|---|-----|-|---|
m aintecl amors	-⌫----|--⌫----|
etmainteg ra ntire ae ue	-|-----|-⌫--⌫-|--||-⌫-|
lirois qa ntsa	-|---|--⌫-|-|
gent fuuenue	---|-|----|
l unuersl aut resonchant	|-|---||---⌫-|--|----|
uospa rmilasale	--|--⌫--|-|---|
dant grinbert ueni retrenart	---|-------|----⌫|-|-----|
maissor neset da ngingetd	---||-|-|--||-⌫----|-||
decequ e tantaf ait	-|-|--⌫|---||-⌫--|
ay sangri n qau roil	|-⌫------⌫||-|--||
moltp artanssi connosqu idons	---|-⌫-|---|-|--|--|--⌫----|
iert de luipriseue ngoisons	---|-|--|----|--⌫-------|
seor ne s e trenart de frape	-|-|-|-⌫-⌫|-----|-|----|
il estcheu z enmalet rape	-|--|----⌫|-|---|-⌫---|
renartalantrer	-----|||-----|
dela port e	-|-|----⌫|
uareculantmoltle conforte	-|-------|---|-|-------|
grinb erzlidistn	-----⌫--|-|---||
de yy m auspranton le p ai o r	-|-|-⌫--|----|-|-|-⌫--⌫-⌫|
se tutentornoies de ci	-|-||-|-------|-|-|
sipu eztubiensauoirdefi	-|--⌫-|-|---|-----|-|-|
uoill esou	-----⌫-|-|
no n re pereras	--⌫|--⌫------|
uersleroi ganchirneporras	---|-|--|------|-|-----|
renartne tes maies tum ie	-----|-||--⌫----|-|-⌫-|
tunesezcon longe est ta uie	-|-|--|--|----|--|-|--|
couarzdo ute	-----|--⌫--|
tou iorz lamort	---⌫---|-|---|
renartsaies debonconfort	-----|----|-|--|------|
fortun etorneashardiz	------⌫|----|-|-----|
tesmoin gneli escriz	-------⌫--|-|-----|
renart uoitque illo	-----|---|--|-|-|
et quemoltb onc onseil	-|--|---|-⌫-|-⌫-----|
ou ples sen	-|---||-|
entrent a des	------|-⌫--|
g rinberzauant	-⌫------|----|
renart apres	-----|----|
r enart nesenbl oitpasuilain	-⌫----|-|-----⌫--|--|-----|
son c ousintenoitpar lamain	--|-⌫----|-----|--|-|---|
la press e derontetde part	-|-----⌫|-----|-|--⌫---|
deuantleroiqantille uit	-----|-|--|---|-|-|--|
sagenoi lla etpuis lidist	|------⌫--|-|---|-|---|
rois dieu s le filz sa intemarie	---|----⌫|-|---|--⌫---|----|
etuosetuostre con pai ngnie	-|--|-|-----|---⌫---⌫----|
uos ga rtettotuostrebarne	--|--⌫-|-|--|-----|----|
etlilionsl	-|-|----||
a regardé	|-------|
pargran t fiertep a rgrantor gueill	--|----⌫|-----|-⌫-⌫|----|--⌫-----|
renart leconut	-----|-|----|
bie naloil	---⌫|||--|
grant paordel ui	----|---|-|-⌫-|
quilcrientqu il	-|-|-----|-|-|
neli faceanu i	-|-|---|---⌫|
miauzuousist e stre aill orstoznu z	----|------|-⌫---|----⌫--|--|--⌫|
q u a sacort fustencoruen uz	-⌫||-|---|---|----|---⌫-|
li baronsonttuitare pos	-|----|---|---||--⌫--|
par la saleni asi	--|-|---||||-|
facenecrinen oise	---|-|--|-|-⌫---|
liroisparla re n artsacoise	-|---|----|--⌫-⌫--||-----|
dist pargrantfe lonie	---|--|----|--⌫----|
neuosra ngemie	-|--|--⌫|-|--|
rousuenim eus	---|-----⌫--|
ainzremanre z	---|-------⌫|
a inzq uep a rtez decestost age	-⌫----⌫-|-⌫-⌫---|-|---|---⌫--|
me lairezuoscee nz bon	-|-----|--|---⌫-|--|
aumainscelerousepelice	-|----|---|----|-----|
qa n t estoiesdedanz talic e	--⌫-⌫|------|-----|-|---⌫|
neq uidoiesmesreperier	-|-⌫------|--|-------|
mont quides guerroie r	---|-----|--------⌫|
t antcomtornabien ta	-⌫--|--|----|---|-|
nosas seruidelafauu ele	--|-|----|-|-|----⌫--|
maisma inte foiz l	---|--⌫---|---||
ap resgrantioieuiengrant	--⌫--|----|---|---|----|
etapresmol uant uante	-|----|--|---|----|
tantuapozal	---|-|--|||
orqui gebi en	-|--|-|--⌫-|
sirerenart	---|-----|
qu ilestbrisiez	-|-|--|------|
de uost repar t	-|----⌫-|---⌫|
parla renart esc oute	----|-----|---⌫---|
etdit q ue sa gent iesttoute	-|--|-⌫-|-|---||--|----|
renartfait ila tonuiaire	-----|---|-||--|-----|
resanblesh om e	--------|-⌫--⌫|
depute aire	------⌫---|
bien pe rta toi quel fu li	---|--⌫-||--|---|-|-|
quetu esplus enfle zque boz	--|-|-|---|-----⌫|--|--|
ren artmolt	---⌫--|---|
aen toiengien	|-|--|-----|
onq u esnuliornefeis	---⌫-⌫-|--|--|-|---|
por ceque t antmas coroc ié	--|-|--|-⌫--||-|-----⌫--|
et yse ngrintantengin gnié	-|---⌫----|---|-----⌫----|
et porceque tieberzlich az	-|--|-|--|------|-|--⌫-|
parton angin g f upri saulaz	--|--|-----⌫|-⌫|---⌫|-|--|
etbr un liorsparmilegroing	-|--⌫-|-|--|----|-|-----|
elchaine dontostas leco ing	-|-----|---|----|-|--⌫--|
telguerredon ten	--|--------||-|
f erai randre	-⌫---|-----|
queasforches tefera ipandre	--|-|------|-|----⌫|-----|
renartsotmoltda fitement	-----|--|---||-⌫-------|
siresp ondimoltsagement	-|----⌫---|---|-------|
biausire sauueuo st re	---|---|----|--⌫--⌫-|
fuideteleestrace	--|-|---|------|
ca monsaingnorfacec ontrai re	||--|-------|---|-⌫------⌫-|
nechosequ e nedoi e fai re	-|----|--⌫|-|---⌫|---⌫-|
gesuiuozh om etuosm es	-|--|--|-⌫-|-|--|-⌫-|
demoinedeuezchosedire	-|--|-|----|----|---|
med oieen nuisence	-|-⌫--|-|-------|
maisbienestesdelap u isance	---|---|----|-|-|-⌫-⌫-----|
gite rmepoezdela	----⌫|-|---|-|-|
nep uispas soufriruo streguerre	-|-⌫--|--|------|--⌫---|-----|
moltpar redo utmes ane mis	---|--|----⌫-|--|---⌫--|
simepo i seque iaimespris	-|-|--⌫-⌫-|--||-|------|
de riensque a	-|----|--||
uos ap ar tiengne	--|--⌫--⌫------|
aido nt ilme sou ain gne	-|--⌫-|-|-|---⌫---⌫--|
telle uos orf ait entendre	--|-|--|-|-⌫--|-------|
etcontepormoien tre prandre	-|----|--|--|--⌫---⌫------|
qu i nel oseroie nt pro uer	--⌫|-||-------⌫-|---⌫--|
mencongepuent controuer	-------|----|--------|
m ais a uoirdire	-⌫--||---|---|
q ue ienaientre prisderien	-⌫-|-||-|-----⌫---|-|---|
iamespreudome	----|-------|
ni er tamez	|-⌫--⌫|---|
lip lusloiausestplus cl amez	-|-⌫--|-----|--|---|--⌫---|
fous e s t q uinedistuerite	---|-⌫-⌫|-⌫-|-|---|-----|
pluso rensont d eseritez	-----⌫|-|---|-⌫-------|
etde terregitéa tort	-|-|----|----||---|
