meredieuquiuou s	---|---|--|---⌫|
si er t mou tab on guerredon	--⌫--⌫|---⌫||-⌫-|--------|
ca rnusneuoussiert dame l ongement empardon	--⌫|--|-|---|----|---|-⌫-------|-|-----|
qui u ra i ementuo usaim e uousl i querezpardon	--|-⌫--⌫-⌫----|--⌫-|---⌫|---|-⌫|-----|-----|
acelide quiuienenttout	|---|-|--|------|---|
l isauere usdon	-⌫|------⌫-|--|
map r ende ́ s queuoussacesierui r	|--⌫-⌫----⌫-⌫|--|---|---|------⌫|
et que i e par	-|--|-⌫|--|
u ouspuiss el amour dieudesi eruir	-⌫--|-----⌫||----|---|----⌫----|
maisielaitant	---|-||-|---|
coureciét n os	---------||-|
ma is uersluiguen cir	--⌫-|---|--|----⌫--|
s i m ecouu ienta	-⌫|-⌫|----⌫---||
uousawarantreuen i r	---||-----|-----⌫-⌫|
pour w arantuaondam ea lagrant	---|-⌫----|-|-|---⌫||-|----|
fortereche	---------|
uing a uousenmetresg randed estrece	---||---|-|-|---|-⌫----|-⌫------|
mai diés damemisiereente ldes treche	|--⌫----|---|--|---|-|--⌫|---⌫-----|
dont iama isnist eraiseuosse nsn e	---|----⌫-||---⌫---|-|--|--⌫-|-⌫|
madrec h e	|-----⌫-⌫|
maisuous estesli uoiekisaué s a dre chier	---|---|----|-|---|-|-----⌫|-⌫---⌫----|
ciausqui adroitse ueulentdel eur	----|--||----|-|------|-|-⌫--|
mau sesrachier	---⌫|--------|
d ameiesuikeusaidiés mea	-⌫--|-|--|---|------|-||
redrechier	---------|
ie me u eulacorderaidiés mearapayer	-|-|-⌫--|------|------|-||------|
dame uousestescelequi	---|---|----|---|--|
lesplouran s	--|-------⌫|
ie m eueul acorderpourd iu	-|-⌫|---|------|---|-⌫-|
tailliés map a i e	--------|-|-⌫-⌫-⌫|
mais peu aire pentancecest chou ki plus	---|--|-|--⌫-------||--|---|-|---|
enaipointnesai s ele esturaie	-|-|----|-|--||--|--|----|
dametropaiestétdegrant	---|---|-|-----|-|----|
d esm esurance	-⌫---⌫-------|
demontres do lantcorsc ainc	-|--|---|--⌫---|---||---|
niousatemprance	||--|---------|
sos de cuer s os debouc he outr ageusde	--|-|---|-⌫-|-|----⌫-|----⌫----|-|
damep r oyésuo	---|-⌫-⌫----|-|
filk ilmedoinst	--||-|-|-----|
repentance	---------|
lepentanceme doinst	-|-------|-|-----|
plourmesp echies	----|--|-⌫-----|
do nt mescor s et mescuersest	--⌫-|--|---⌫|-|--|----|--|
trestousde pechiés	-------|--⌫-------|
tresdouchemered ie u	---|-----|---|-⌫--⌫|
kiles cuersr adouchiés	-|--|----|-⌫---------|
arousemele mi encarile sttous sechi és	-----|-|-|--⌫-|--|-|-⌫-|---|-----⌫--|
uous estesliso l auskilemontenlum i ne	---|----|-|--⌫-⌫--|-|-|---|-----⌫-⌫-|
uou s estesli	---⌫|----|-|
cheminsouon se ra c hemin e	------|-|-|-|--⌫-⌫-----⌫|
seuo us ne	-|--⌫-|-|
maidiés dameancoisque	|------|---|--------|
ietie rmine	-|---⌫----|
bie n puetdirecis	---⌫|---|---|--|
laskeus est enlemine	--|---|--|-|-|---|
enlemene est	-|-|---|--|
liamepar ma	-|--|--|-|
chazsi minee	---|-|----|
c ausigistempirie con	|---|---|------|--|
fusenche min ee	--|-|---⌫---⌫-|
maissepa ruousnestdame adro it	---|-|--⌫|---||--|---||---⌫-|
cheminminee	-----|----|
bienp uetdir e cislasen infi er	---|-⌫--|---⌫|--|--|-|----⌫-|
dametantaicouruqu e n e sairetour ner	---|---|-|----|--⌫|-⌫|--|------⌫--|
li douleu rsdicestmonde	-|------⌫-||----|----|
mafait si bestourner	||---|-|---------|
queienesaimoncueranulb i enretou r ner	--|-|-|--|--|---||--|-⌫-⌫-|-----⌫-⌫--|
tresd oucemeredieuueuillés	---|-⌫---|---|---|--------|
moi ab oter	--|--⌫---|
