s etle sarsda mours	-⌫-|--⌫|--||-⌫----|
etdamorss ueffreles do lours	-||----|-⌫-----|--|--⌫----|
moilise sipor a sauoir	--|---|-|---⌫|-----|
conment o ne npueti oie auo ir	------|-⌫|-⌫|---|-⌫--|---⌫-|
conment ons	------|-||
idoitmainte nir	|---|------⌫--|
conmentons	------|-||
idoitcontenir	|---|-------|
cauconq ue rreconuient grantsens	|-|----⌫--⌫--|-------|----|---|
arte tengien et gr antp orpens	--|-⌫|-----|-|--⌫--|-⌫-----|
kesiqu elesnes suntmenees	-|-|--⌫|--|--|---|-----|
p ar merparartetcompas sees	-⌫-|--|--|--|-|------⌫---|
mai san cois que	---⌫|--⌫----⌫--|
plus uosendie	---|--|-|--|
uoe lpr o yer am ors ques ai e	---⌫|--⌫-⌫--|--⌫--|--||--⌫|
motro itacestecosefaire	|----⌫-||----|---|----|
etaussiuiersladebon n aire	-|----|----|-|-----⌫-⌫---|
qui m oncuert ienten	--|-⌫-|---|-⌫---|-|
carsansamorniert	--|---|---||---|
iaconquis e	-|-------⌫|
cesteoeure qu ei ai ent reprise	----|----|--⌫||-|---⌫------|
s ans amorconsumee	-⌫--|---|-------|
amo rsfai tes queil	---⌫-|---⌫--|--|-|
doucedame ciere	----|---|----|
ki so u uen tmifa itpaleciere	-|--⌫-⌫---⌫|-|--⌫-|---|----|
sanscui amo rie neposf aire	---|--|---⌫|-|-|--|-⌫---|
cose cau si eclepu isseplaire	---||-|--⌫---|--⌫---|-----|
amamatererepai rie r	|-|-----|-----⌫---⌫|
uoeldesormais	---|--------|
et conmen cer	-|------⌫--|
t uqu iue us paramorsamer	-⌫|--⌫|--⌫-|--|----|---|
toutapr emier s doisesgarder	---||--⌫-----⌫|---|-------|
dameque tu ameruauras	---|--|-|---|-----|
auantmoltbiell	----|---|---||
acoint eras	------⌫---|
doisbielement	---|--------|
tan t qu elle teuoel l eotroier	---⌫|-|---|-|----⌫-⌫|------|
samor quantelle tie rtd oun e e	|---|----|---||--⌫-|-⌫---⌫-⌫|
g ardepar toiso i tbiengarde e	-⌫---|--|--|--⌫-⌫|---|-----⌫|
eur e molttost perdroie s	---⌫|---|---|--------⌫|
ca grant paineco nqu isaroies	||----|----|--⌫---⌫-|-----|
sensa ur etenir	---|-⌫|-⌫-----|
d ec oucon c onquiert	-⌫|-⌫-||-|-⌫-------|
parlois i r	--|----⌫-⌫|
et granshonte estcemestauis	-|----|----|--|-||--|---|
decoupierdrec on	-|--|------||-|
il nestdo l ou rs ne mal euie	-||--|--⌫-⌫--⌫-|-|---⌫|--|
com d epi erdre ioie	--|-⌫|--⌫----|---|
asa mord ounee	||-⌫--|-⌫----|
labiel leblondedesiree	-|----⌫-|-----|------|
et sena iiousi grantpaour	-||-|-⌫|--|-|----|----|
qu eiensousp iret	--⌫||-|-----⌫-|-|
nui t et iour	---⌫|-|---|
et quantiou aitelpa ourd o nques	-|----|--|-|--|--⌫--|-⌫-⌫----|
depier drecequeienoconques	-|----⌫--|-|--|-||-|-----|
g rant duel etgrant anuiaro i e	-⌫---|---|-|----|---|---⌫-⌫|
pu islepierd oie	--⌫-|-|-----⌫--|
a m a nt retenés m on	-⌫-⌫-⌫-|-------|-⌫-|
parmoimeisme u ous casti	--|--|-----|-⌫--|----|
casti eparautrui	-----⌫|--|-----|
sena moltmainshonteetanui	|-||---|----|----|-|---|
e n troisco n mandemenstaimi s	-⌫|----|--⌫-⌫--------||-|--⌫|
tres toutlartdam orsetcom pris	----⌫---||--||--⌫--|-|---⌫---|
cestquerredame	|--|-----|---|
etpuispr oier	-|---|--⌫---|
etsa morgarder	-||-⌫--|-----|
sans trec ier	---|----⌫--|
doupremier parl erteu aurai	--|------|----⌫-|-|-⌫----|
et enseign iercou	-|-------⌫--|--|
ainsque de nu llesous prissoies	------|-|--⌫--|----⌫---|----|
esgarde a cuid i reuauroies	------||--|-⌫-⌫-|-------|
biele iesuili	----|-|--|-|
uostrea mi s	-----|-⌫--⌫|
tescuersiest asis	--|----||--|---|
acointi er ti	-------⌫-|||
do isbielem ent	--⌫-|------⌫--|
etquerre son	-|-----|--|
a coin t eme nt	-⌫----⌫-⌫---⌫-|
e tsestu utul e	-⌫|--|-||-|-⌫|
do isquer re	--⌫-|----⌫-|
entonp aiset en ta	-|--|-⌫--|-|-|-|
etasfiestes uel lesuont	-|-|------||--⌫--|---|
etas no ces uellessont	-|-|--⌫--||----|---|
souuentbiel etbienacesmee s	------|---|-|---|-------⌫|
maisgardeau	---|----|-|
mous tieria nibee s	----⌫---|-|||---⌫|
kelanedoi t on	-|-|-|---⌫|-|
no nporqua ntsi puet ont r ouue r	--⌫-------⌫-|||---|-|-⌫-⌫----⌫|
m aintebielemignotedam e	-⌫----|----|------|---⌫|
qu imolt a giet é parm ame	--⌫|---||----⌫-|--||--|
undoucregart sim pleam ourous	-|---|-----|---⌫--|--⌫-----|
dontones ttosttr espensétou s	---|-|--⌫|---|--⌫-------|---⌫|
utrouu erporas	|-----⌫-|----|
d ame upuciellec	-⌫--||-------||
la uuontpo r	-||---|--⌫|
elles moustrer	----|-------|
etc autruipu issent	-||-----|--⌫-----|
se mesc onm ansne	-|--|-⌫---⌫--|-|
t iens agas	-⌫---||--|
lesnoces n oub l iestu	--|----||---⌫-⌫--|-|
nele scarol lesneles danses	-|--⌫|-----⌫--|-|--|-----|
lapuesdireceque	-|---|---|-|--|
t upa nses	-⌫|--⌫---|
parolleupar	------||--|
uparregar tuen	|--|-----⌫||-|
iest rebau s et lies	----⌫-|---⌫|-|---|
can tansioli set e nuois iés	---⌫---|----⌫|-|-⌫-----⌫---|
etsa fiertbiense	-||-⌫----|---|-|
dex mesau t	--|-|---⌫|
k etu tefaces	-⌫|-|-|----|
unpoib au t	-|--|-⌫--⌫|
tantquetu puisses aprocier	---|--|-|------|-------|
tadameet a litoucier	-|---|-||-|------|
et estr aindrep arauen tu re	-|----⌫-----|-⌫-|----⌫--⌫-|
ausicom par enuoiseure	---|--|--|---------|
escompagn ies le liu quier	-|-------⌫--|-|--|----|
udamesuont	|----|---|
e sbanoi er	-⌫------⌫-|
etquant tuuie ns	-|----|-|---⌫-|
utadameest	|-|---|--|
d el i sieruirtefaitostprest	-⌫|-⌫|------|-|--|---|----|
et acointesacompaignie	-|------|-|---------|
siquecascu nebi en en	-|--|-----⌫-|--⌫-|-|
gar de biendemesdire	---⌫-|---|-|------|
desousparler	-|---------|
nedescon dire	-||-----⌫---|
cose k elles conmand eront	---||----|-------⌫----|
otroi ecouquelles diront	-----⌫|--|-|----|-----|
sica utrefois	-||-⌫---|---|
quantreuen ras	----|-----⌫--|
pl usuolentiersueu sseras	--⌫-|---------|---⌫|----|
setuseslirenecanter	-|-|--|---|-|-----|
ri ens qu i liplai se aescou t er	--⌫--|--⌫|-|----⌫-||-----⌫-⌫-|
lipu istaussiseoir	-|--⌫--|----|----|
etdo n te llep u istioi eauo ir	-|--⌫-⌫|-⌫--|-⌫-⌫--|---⌫|---⌫-|
tuledoi sfai repar m on	-|-|---⌫|---⌫-|--|-⌫-|
el le ai nttesacoint emen s	--⌫-|--⌫-|--|------⌫----⌫|
uiut asadame	---||-|---|
tousiorsd oitpense rde	---|---|-⌫--|-----⌫|-|
bienfa ire	---|--⌫--|
dameuie ngnea plaisir	---|---⌫---||------|
s i quete uoel leco n ioir	-⌫|--|-|----⌫-|--⌫-⌫---|
apremiers q uanttu iue nras	|-------|-⌫---|-||--⌫---|
eta ta dameparleras	-||-|---|-------|
ne li dipastouterranment	-|-|-|--|---|--------|
netrop baudement	-|---|--------|
ma isaua nt	--⌫-|---⌫-|
