fa ms. f r.	-|---⌫-⌫-|
cil quiseue nt delescriture	--|--|----⌫-|-||--------|
de uroientbi enmetre lorcure	--⌫------|--⌫-|----|--|---|
en bonsexemples e t	-|---|-------|-⌫|
etenli ures	-|-|--⌫---|
etens escri s	-|--|-----⌫|
que liphilos ophe trouerent	--|-|------⌫---|--------|
etescrirent etre membre rent	-|--------|-|--⌫------⌫---|
par moraliteescriuoient	--|-------|----------|
lesbonsp rouer besqu i loioient	--|---|-⌫-----⌫--|-|-⌫|------|
etcilamen deripouissent	-|--|----⌫--||--------|
etlor ententeenbienmeis se n t	-|--|------|-|---|----⌫--⌫-⌫|
ce firentli	-|-----|-|
encienp ere	-----|-⌫--|
ro mu lusquifuemp erere	--⌫--⌫--|--|-|---⌫----|
e par exemple limo nstra	|--|------|-|--⌫----|
conmen t ilse pouist gainer	------⌫|-|-|-----|-----|
quenus nelpeustengignier	--|--|-||----|--------|
izopes escristas onmestre	-----|------||-⌫-|-----|
qui bienconnutluiet son estre	--|---|-----|--|-|--|----|
une f ablequ ilottr oue e	--|-⌫---|-|-|-|--⌫---⌫|
latin translatee	----|---------|
meruoilleen	--------|-|
orent liplusour	----|-|------|
quilmi st son sensen tellabour	-|-|--⌫-|--|---|-|--|-----|
maisn iafablenefolie	---||||----|-|----|
ouilnenaitp hilosoph ie	-|-||-|--|-⌫--------⌫-|
des exemples quiissuntfait	--|-------|--||----|---|
odescontesso nt	|--|-----|--⌫-|
amo iquilari m e en	|--⌫|--|-|--⌫-⌫|-|
nauenistmie aretraire	|------|--||-------|
pluseur s paroles	-------⌫|------|
maisne quede ntcilmen semon t	---|--⌫-----⌫-|--||-|-----⌫|
est decheualerie	--|-|---------|
dens eingne mentdecorto isie	|---⌫------⌫---|-|-----⌫---|
etqua nttex hommena re qui se	-|---⌫-|--|--||-||--⌫---⌫-|
laissierennulegu ise	-------|-|---|--⌫--|
q ue nim etet raua il etpain ne	-⌫-|||-⌫--|-⌫----⌫-|-|----⌫-|
quequim entiengne p o ruilain ne	--|--||-|------|-⌫-⌫|------⌫-|
mol tdoi fai reporsa pr oi ere	---⌫|--|---⌫-|--|-|--⌫--⌫--|
siconmencer a ilaprimi ere	-|---------⌫-⌫|-|-----⌫--|
desfab l esq uisop es escrist	--|---⌫-⌫-|-⌫|----⌫-|------|
qua s onmestreman daetdist	-||-⌫-|-----|---⌫-|-|---|
dun coc racontequimo nta	|-|--|------|--|--⌫--|
surzzfu mier	--|-|--⌫---|
etsigr ata	-|-|--⌫--|
selonc natur e porchacoi t	-----|-----⌫|---------⌫|
sauiande s iconme	-|-----|-⌫|----|
unec hieregemme	--|-⌫----|----|
