me conmandee t prie	-|-------|-⌫|---|
que une auent u re lidie	--|--|-----⌫-⌫-|-|--|
auin taubo n	----⌫|-|--⌫|
cheual ier	------⌫--|
eti e nelpuismielai scier	-|-⌫|-||---|--|---⌫----|
q uantele l em a	-⌫---|--|-⌫|||
conm andé	----⌫----|
de sq uilliplaiste t uien ta	--⌫--⌫|-|-|-----|-⌫|----⌫||
oroiie ́scom il	-|----⌫-|--|-|
aunepentecous tetint	|--|---------⌫-|---|
liroisartusfestemoult grant	-|---|----|----|----|----|
nere me stcheual iererrant	-|--⌫--⌫-|------⌫--|-----|
desq ueencornua ille	----⌫-|-|------⌫---|
nedam o iselequirien ua ille	-|---⌫-⌫----|--|---|--⌫---|
qu ia cel e	--⌫||---⌫|
cortn euenist	---|-⌫|-----|
etliroisg ranthonor	-|-|---|-⌫---|----|
carmoultlordonaricesdons	--|----|--|---|----|---|
quan tu enufurentlesb arons	----⌫|-⌫--|-----|--|-⌫----|
etasanléle samedi	-|------|-|-----|
apresle none auintissi	----|-|---|----|---|
quel i roissa loitdeduisant	--|-⌫|---||-⌫---|--------|
ont ue u uenirerrant	--|--⌫|----|-----|
toute se uleune	----|--⌫--|--|
damoise le	-------⌫-|
q uimoulter tacesme eet bele	-⌫-|----|--⌫|------⌫|-|---|
mo ultestoit degrantapar el	--⌫--|-----|-|----|----⌫-|
d un moultrice samit	|-|----|---|----|
fus arobefresceet n ouele	-|-⌫|---|-----|-|-⌫----|
desonl orain etdesa	-|--|-⌫----|-|-|-|
etde sonautreac esmement	-|-|--|----|--⌫-------|
diu iser orpluslongem ent	---⌫---|-|---|------⌫--|
ne me ueul ie mie entremetre	-|-|---|-|--|---------|
ca rgrantpainei conuen roitmetre	--⌫|----|----||------⌫---|----|
audireta nte st	-|---|--⌫-|-⌫-|
ensi estenlasale	---|--|-|-|---|
son frainneretint	--|----|-|-----|
d esique deuantleroi	-⌫-----|-----|-|--|
roisfaits oicil	---|---|-⌫-|--|
sireuoussaut	---|---|---|
gouuernebasethaut	-------|--|-|---|
etla terre	-|-|----|
pais uou s uienc req uer re	---|---⌫|----|---⌫---⌫-|
q ueuousm ecre antésu ndon	-⌫-|---|-⌫|---⌫-----|-⌫|--|
ianeuousque rrai	-|-|---|---⌫---|
mesproison	---------|
n eoutragene uilonnie	-⌫|------|-|-------|
li rois bonem entli	-|---|-----⌫--|-|
qu e u olentiersledo nara	--⌫|-⌫--------|-|--⌫|--|
ditesf ait il que cesera	----|-⌫--|-|--|-|---|
aueréssansmentir	------|---|-----|
por tantque iel puis ce	--|---|--|-||----⌫-|
s ire fait eleuostremerci	-⌫--|---|--|-----|----|
oroiiésdoncq ue ieuo us pr i	-|-----|---|-⌫-|-|--⌫-|--⌫|
ieueuldemain bout ellie r eestre	-|---|-----|----⌫-----⌫-⌫|----|
deuo stre c oupe	-|--⌫---|-⌫---|
laplusmestr e	-|---|-----⌫|
etseruiramengie r	-|-----||------⌫|
etsiue ulque	-|-|--⌫-|--|
uncheualier	-|--------|
toutleplusprisiés	---|-|---|-------|
cil qui lemi xesten tecié s	--|--|-|--⌫|--|--⌫------⌫|
megartet desfende et	-|---|-|-------|-|
ta n tconmei ere auos t recort	--⌫-⌫|----||--||---⌫-⌫-|---|
qu e iouni aieuilonni e	--⌫|--|||--|-------⌫|
ca r iou nioseroiemie	--⌫|--|||------|--|
demorersansmou lt bone	------|---|---⌫-|---|
lirois m o ult bon em ent l	-|---|-⌫-⌫--|---⌫--⌫--||
b elefait l i rois le	-⌫--|---|-⌫|---|-|
ferésa l auostredeuise	-----||-⌫|-----|-----|
ma isienesaimieiugier	--⌫-|-|-|--|--|-----|
trestoutle mel lorche ualie r	-------|-|---⌫--|---⌫-----⌫|
deca iensne	-|--⌫---|-|
de m a m aisnie	-|-⌫|-⌫-----|
tantestes prox et	---|----|---|-|
ense g nie	----⌫-⌫--|
espoi r di tlaués poraucun	-----⌫|--⌫||----|--|----|
etsi uous plaist	-|||---|-----|
nomésentun	-----|--|-|
li q uex u o us u olés que	-|-⌫--|-⌫-⌫-|-⌫----|--|
ieliqueman tdesoren droi t	-|-|------⌫|--|----⌫----⌫|
queilbien uo usgart etd es fende	--|-|---|--⌫-|---|-|-⌫--⌫----|
et que auo us seruir entende	-|--||--⌫-|-----|------|
tantc o m caiens	---|-⌫-⌫|-----|
estreuauroi s	----|------⌫|
s irefaitelen	-⌫--|---|--||
est pasdrois	--|--|----|
queie nd oinseauntout le	--||-⌫|-⌫----||-|---|-|
ains e n ai	---|-⌫|-|
soruousle faismis	--|---|-|---|--|
quiledonmen	--|-|--||-|
auésdo né	----|--⌫--|
iecr e miroieauoirmalgre	-|--⌫-⌫-----|----|--|--|
separmoiseulel	-|--|--|----||
ia dix faitliroisnemeu oie	-|--|---|-|---|-|-|-⌫--|
quantiensaile	----||-|--|-|
melloreslire	-----|-----|
uousueulproiieret dire	---|---|------|-|---|
que uous moi troiiésunerie ns	--|---||--⌫-------|--|---⌫-|
se uous ueésqu e ce	-|---|----|--⌫|-|
sans ellireuousueul	---|-----|---|---|
bail l ier	----⌫-⌫--|
gardeaun cheualier	----||-|--------|
b elet proxetcort oi se t sa ge	-⌫-|-|---|-|----⌫--⌫|-⌫|--⌫-|
ets ilne fust	-||-|-|---|
demonligna ge	-|--|-----⌫-|
i endeisceunegr antparole	|-|-----|--|--⌫--|-----|
l apucelequin	-⌫|-----|--||
ertpasfole	--|--|---|
lidistsi re no més	-|---|--⌫-|--⌫---|
s ilu ouspla ist ain sque ielotroi	|-|-⌫--|---⌫--|---⌫---|-||----|
bel efait liroi s ce st gauain	---⌫|---|-|---⌫||-⌫-|-----|
garde serésdemain	----|-----|-----|
onquesu ou splai ra	-----|-⌫--⌫|----⌫-|
si r e fa ite le qu ant ie u inc	--⌫-⌫|--⌫-|-⌫-|--⌫--|-|-⌫--|
mefuformentg auainloé	-|-|------|-⌫----|---|
etgiremain par	-|||-----|--|
uostre gre	-----|--|
carn eu ousdem antse luinon	--|-⌫|-⌫--|---⌫--|-|--|--|
ensiliestgreéledon	---|-|--|----|-|--|
comla coseuo usai contee	--|-|---|--⌫-|-|-----|
et gauainsl	-|------||
at anto s t	|-⌫----⌫-⌫|
a moultgrantioie a son ostel	|----|----|---||--|----|
e tsaciésquei llifis ttel	-⌫|------|--|-⌫|-|---⌫|--|
iseustrien quer eprendre	|----|---|--|-⌫-------|
c a rmou ltdur ement fist	-⌫-⌫|---⌫-|---⌫----|---|
a li ser uirune p uce le	|-|---⌫--|--|-⌫---⌫-|
se rorqui moult ertbe le	--⌫--|--|----|--|--⌫-|
quilipo rteret conpaignie	--|-|--⌫-----|---------|
moultmener entioieuse uie	----|-----⌫--|------|--|
celenuitd usqua	---|---|-⌫---||
agrantleua i oiegaua in	|----|---|-⌫--|----⌫-|
e t lesp ucelestoutestr ois	-⌫|--|-⌫-----|-----|--⌫--|
puis alaoitelharnois	---|--||---|------|
au m oustieroir le	-|-⌫------|--|-|
c ar liroisertiaa	-⌫-|-|---|--|-||
etlaroinee t se s	-|-|----|-⌫|--⌫|
qu an t g auains	--⌫--⌫|-⌫-----|
olesdamoise les	|--|-------⌫--|
ies tde sonoste lalés	|--⌫|-|--|----⌫|----|
quantl iser u ices	----|-⌫|---⌫-⌫---|
s isenreuindre n ttout ensanb le	-⌫||-|--------⌫-⌫|---|------⌫-|
alapuce lece m e	|-|----⌫-|-|-⌫|
si comelli fu creantee	-|--|-|-|-|-------|
fu lamaistr ecoupeliuree	-|-|------⌫|----|-----|
car lestabl eserentiamisse s	--|--|----⌫-|----|-|-----⌫|
atantconmencalis eruises	----|-------|-|-⌫------|
mou lt gransetmoultbiax etmoultrices	---⌫-|----|-|----|---|-|----|----|
carlir oisartus	--|-|-⌫--|----|
nertpas ni ces	|--|--|--⌫--|
queuolo it quil	--|----⌫-|-|-|
f ust mou ltp le nie rs	-⌫--|---⌫-|-⌫--⌫---⌫-|
orenusmestiers	--|--|-------|
de dire qu	-|---|-|
ilfistne coument	-|---|-|------|
forstan tconmecienapent	---|---⌫|----|-|-|----|
d elacoup esert lamesc ine	-⌫|-|----⌫|---|-|----⌫--|
l esle roi seoit la r oine	-⌫-|-|--|----|-|-⌫---|
et li rois de walesapre s	-|-|---|-|----|----⌫|
gauainsettorsli fixares	------|-|---|-|--|---|
eterecsi stdelautrepart	-|---|--⌫-|-||----|---|
et carados briesbrasliquart	-|------|--------|-|----|
apressonttout liautrea ssi s	----|---|---|-|----|-⌫---⌫|
maint cheu alieri otd epr is	----|----⌫----||-|-⌫|--⌫-|
etmai ntecointe damoisele	-|---⌫--|-----|--------|
mainthanap	----|----|
e tmainteescuele	-⌫|-----|------|
ot deuantax do r	-|-----|-||-⌫|
et dargent	-||-----|
norent p a s mengié lon gement	|----|-⌫-⌫|------|---⌫-----|
quantunc heualieront ueu	----|-|-⌫-------|--|--|
uenir parmi le porteerrant	----|----|-|----|-----|
et sac i éssil nefustsigr ant	-|---⌫-⌫--||-|-|---|-|--⌫--|
souscie lne ust	---|---⌫||-⌫--|
plus beld e lui	---|--|-⌫|--|
m aistropestoit g rans a anu i	-⌫--|---|-----|-⌫---||---⌫|
m o ul tparertbel	-⌫-⌫--⌫|--|--|--|
et bienar més	-|---|--⌫---|
ensiesten lasaleentrés	---|--|-|-|---|------|
forssal ancequeilla isca	---|-|-⌫---|--|-|--⌫---|
quedehors la sale	--|-----|-|---|
t an tfuorgelloxl e uassal	-⌫--⌫|-|-------|-⌫|-----|
quainques neretint so nc e ual	-|------|-|-----|--⌫|-⌫-⌫--|
tan tqueiluintdeu antl eroi	---⌫---|-|---|---⌫--|-⌫|--|
etse uint pa ritel	-|-|---|--⌫|---|
q ue sonfrainhur taal eta ble	-⌫-|--|----|---⌫-||-⌫|--⌫--|
onquesuscierneconnestable	-----|-----|-|----------|
ne lcontredist de	-||---------|-|
qu ante sgarde ́s lesotgrantpose	--⌫--|-⌫------⌫-|--|-|----|---|
sau f couquemot ne lorsona	---⌫|--|--|--|-|--|---|
uerslapucelesetorna	---|-|-----|-|----|
silaparlesesp au les prise	-|||--|--|---⌫--⌫--|----|
pu iss iladeuantlu i asise	--⌫-|-⌫|||-----|--⌫|----|
des o r l ecold e	---⌫-⌫|-⌫|--|-⌫|
sond est rie r	--|-⌫---⌫---⌫|
roi s fait	---⌫|---|
il celer nete	-|----|-|-|
cestedamoiselem amie	----|--------||---|
aienm aintec o rt	-|-|-⌫----|-⌫-⌫-|
pu isqueloi enp ri se aamer	--⌫----||-|---⌫--⌫-||---|
on que s ma isn ela peuctrouer	--⌫---⌫|--⌫-|-⌫|-|---|-----|
en c ortuio ul osasce prendre	-|-⌫--||--⌫||-----|------|
toieasi tendre	---||-|-----|
etdeb onscheualier ssi u u ie	-|-|-⌫--|---------⌫|-|-⌫-⌫-|
ie diporcequi l oranuie	-|-|--|-|-||-⌫-|----|
etquede lilasaisin e	-|--|-|-|-|------⌫|
queiaparexnela perdrai	--|-|--|-|-|-|------|
enpo rteraisansda ng ier	-|--⌫-----|---|--⌫--⌫--|
iap ar lecors duncheuali er	-|-⌫-|-|---||-|-------⌫-|
qui caiensson tassis	--|-----|---⌫|----|
n enert uers m oison escupris	|-|--|---|-⌫-|--|---|---|
sirero i sfaitiliemenuois	---|--⌫-⌫|---|-|-||-|---|
lehauteuoie uerscebois	-|----|---|---|-|---|
qui m emenra	--|-⌫|----|
en monpais	-|--|---|
saués porquoiie u ousdeu is	-----|--|---|-|-⌫--|---⌫-|
par u ie m en do irep ai rier	--||-||-|--⌫|---⌫--⌫---|
silauoitcaiensch eualie r	|-|----|-----|--⌫------⌫|
q uiparsauoiruparfo lie	-⌫-|--|-----||--|--⌫--|
riennuleque	---|---|--|
uuelledesd i reparb ataille	-----|----⌫-⌫-|--|-⌫------|
nediepas que iou	-|--|--|--|--|
par uneautre uoiefuiant	--|--|----|---|-----|
uoiant tox ensan le me	-----|--|-----⌫-|-|
queparicel emenirai	--|--|----⌫||-|---|
n eia del petitpas	-⌫|-|--|----|--|
d esilaquim	-⌫--|-|-|||
que ci lqui m e suirra	--|--⌫|--|-⌫|-----|
ains queie	----⌫--|-|
uiegneaubos	-----|-|--|
acestmo tasauoieen prise	|---|--⌫||-|---|--⌫----|
por sa lanceuientsi la	--|-|----|----|-|||
le petitpasd esondestrier	-|----|--|-⌫|--|-------|
i scushorsde laporte	-⌫---|---|-|-|----|
ens if ait ierement	---⌫|-⌫---⌫-------|
la dam oise le ensonpais	-|---⌫----⌫-|-|--|---|
gauainsfu dolans	------|-|-----|
quiles lero is istaumengier	--|--|-|--⌫|-⌫--|-|------|
ne se setpa s biencons elli er	-|-|--|--⌫|---|----⌫----⌫-|
li que x l i ertplus	-|---⌫|-⌫|--|---|
honera ble	------⌫--|
usalir pardes orlat able	|----|--|---⌫-|-|-⌫---|
p orparsuirle cheualier	-⌫-|------|-|--------|
uase oirtantaumengier	||--⌫--|---|-|------|
quele ser u icesoitf iné	--|-|---⌫-⌫--|---|-⌫---|
long ementa ensixxx	----⌫----||---|--|
c onques nebut ne	|-----|-|--|-|
a udeerain se porpens a	-⌫|------|-|-------⌫|
quele souf rirli ertplu s	--|-|----⌫--|-|--|---⌫|
tantsentsonceualaisnel	---|---|--|----||----|
que tostlaraa c onseu	--|---||--|-⌫-⌫----|
qui toutcou aueu	--|---|--||--|
a s esc onpaigno nsapelés	|-⌫-|-⌫--------⌫-|------|
seg no rf aitilorent ende ́s	---⌫--⌫|-⌫--|-|-|---⌫----⌫-|
aseruir ceste corta d r oit	|-----|----|---||-⌫-⌫--|
carilmes t ue t	--|-||--⌫-⌫--⌫|
siureo r end roit	----|-⌫-⌫---⌫---|
c elcheualierquitelsor fait	-⌫-|--------|--|--|---⌫---|
auoiant toxces	|-----|--|--|
bar onsfait	---⌫--|---|
orgueletparderroi	-----|-|--|-----|
as ais ie deuantle ro i	|-⌫---⌫-|-----|-|--⌫|
ladam oiseleasonmeng ier	-|---⌫-----||--|----⌫--|
o nque sni otnul ch eualier	-⌫----⌫|||-|--|--⌫------|
quidesdeist	--|-------|
de nule rien	-|---|---|
unecos esac iés uous	--|---⌫|---⌫---|---|
onquesmais aroi cenauint	-----|---||--|-||----|
d espui sq ueprim es festetin t	-⌫-|---⌫--⌫-|----⌫-|----|---⌫|
n ulesigrant de sco nuenue	-⌫--|-|----|--⌫---⌫-----|
qua ntcefailli	---⌫-|-|-----|
nese remue	-|-|----|
en qu i garde l i roislemist	-|--⌫|----|-⌫|---|-|---|
