dieu n ostre	---|-⌫----|
etdesat res	-|-|-|-⌫--|
beneoi temer e	------⌫-|---⌫|
la haut edamehonoree	-|----⌫|---|------|
dame etroinecoronee	---|-|----|------|
surtoteslesautresraines	--|----|--|-----|-----|
quidonne ausi nfersmedic i n es	--|----|--|-⌫----|-----⌫-⌫-⌫-|
l esd esconseil liés reconforte	-⌫-|-⌫---------⌫----|---------|
quiestdouciel	--|--|--|---|
l amestreporte	-⌫|-----|----|
parq uo ylenentree nparadis	--|-⌫--⌫|--|----|-⌫|------|
lesmiracles qu elfit	--|-------|-|-|--|
quant lenf ist	----|--|-⌫--|
a c hart res s	|-⌫----⌫--||
ouespe cialc ha mbre aprise	-|----⌫---|-⌫--⌫---||----|
sonmestreesta geetsonm anoir	--|-----|----⌫-|-|--|-⌫----|
ou illiples tpl us a	-|-|-|----⌫|--⌫-||
cars icomme elnousreuela	--|-⌫|----|-|---|-----|
d ame dechartressapela	-⌫--|-|-------||----|
latreshauteda meseintime	-|---|----|--⌫-|-------|
enroum anset en	-|----⌫--|-|-|
etdoulatin	-|--|----|
en fr ancois treire	-|--⌫-----|-----|
afinq ue p uisse pleire	-----⌫-|-⌫----|-----|
etque lentende ntla gentlaie	-|--||-------⌫-|-|---|---|
e tlagracedelada m ea i e	-⌫|-|----|-|-|--⌫-⌫|-⌫-⌫|
quie stenuersdieugracieuse	--|-⌫-|-----|---|--------|
pr ecieuse	--⌫------|
quit outes uertuzenlumine	--|-⌫----|-----|-------|
est lestoilemari n e	--||------|----⌫-⌫|
qui garde deperilenmer	--|----|-|----|-|--|
tel damef eitbienaamer	--|---|-⌫--|---||---|
honorerse rui r etloer	------|--⌫---⌫|-|---|
fetbona uoer	--|--|-⌫---|
carb ie n ga rde sesauoe z	--|-⌫--⌫|--⌫--|--|----⌫|
d esmi raclesquel	-⌫-|--⌫-----|-|-|
quel merit eetquelguerredon	---|-----⌫|-|---|--------|
eldonna acels	-|----||---|
li firentlonneurleser u ise	-|-----||-----|-|---⌫-⌫--|
fure faicteseglise	-|--⌫-----||-----|
lao udom damesecl am a	-|-⌫|--|---|-|--⌫--⌫|
quedie uta ntama	--|---⌫|--⌫-|--|
alentreedemamatire	||-----|-|-|-----|
premie rementuous uodroydire	------⌫-----|---|-----|---|
leue tcom menta uint	--|-⌫|---⌫---|-⌫---|
quedame de chartress etint	--|---|-|-------|-⌫|---|
seurtoutesest	---|-----|--|
ila uint iadis quune fame	-|-⌫---|----|-|--|---|
duneuillelezsessonsnee	|--|----|--|------|--|
estoitqui auoitnongo ndree	-----|--|----|--|--⌫----|
ettheod orussonmari	-|-----⌫---|--|---|
