abraham mangierlesueoit	------|------|--|----|
cuimeruel hes alcuer	--|------⌫--|-|---|
li m aistre quitant	-|-⌫-----|--|---|
bienpo ruit	---|--⌫---|
d i st cabraham	-⌫-⌫-||------|
n e sot neuit	-⌫|--|-|--|
k elasu bstancedeue noit	-⌫|-|--⌫------|----⌫---|
d elcelmangie rkillo r	-⌫-|--|------⌫||-|--⌫|
kesperitelm e ntcill u soien t	|----------⌫-⌫-|--||-⌫-----⌫|
etparsaintespirconduisoien t	-|--|----|----|-----------⌫|
celesu bstan ce et cel	---|--⌫-----⌫-|-|--|
ma is ne pot	--⌫-|-|--|
abrahamnientplus quelenuoit	------|----|---|--|--|---|
l i aue deldrapke li	|-⌫--|--|---|-|-|
cant i lestal soleil mo illiés	---|-⌫|--|-|-----|--⌫------|
porquoileuoirdi reenuoillés	--|---|-|---|--⌫-|-|-------|
kantlisol ias si	---|-|---⌫--|||
plusnepotha braham ueoir	---|-|--|--⌫-----|----|
parnul sensneparnul pooir	--|--|---|-|--|--|----|
substa nce se deu i nt	------⌫--|-|---⌫-⌫-|
de cel saint	-|--|----|
mangierke nkiuint	------||-⌫--|---|
uertez estkelomangierfi st	-----|--|-|-|------|--⌫-|
delueel quenl armaillepri st	--|---|-|-||-------|---⌫-|
abraham cuideuslefistfaire	------|--|---|-|---|----|
ce dist cil k ilosensresclaire	-|---|--|-⌫|-|---|--------|
kei hes ucri sestl i ueiaus	-|-⌫---⌫|---⌫|--|-⌫|-----|
estnes et pursetbeaus	--|--|-|---|-|----|
keses p erepristen larmaille	-|--|-⌫--|----|-||-------|
et ie uosdirai iasensf ai lle	-|-|--|----|-|---|-⌫--⌫--|
ent re queilarmaille il	---⌫-|----|-------|-|
cisnes ueiausdesi hautpris	--|--|-----|-|-|---|---|
leprophetesles	-|--------|--|
ki lorbo nnes e tlo r droissains	-|--|--⌫---|-⌫|--⌫|----|----|
i mistrentensonapareil	|-------|-|--|------|
ainc ne troueirentlopareil	---|-|---------|-|-----|
tant endistrent	---|-|-------|
quauantqu apres	-|----|-|----|
cilki son uenirt inrentpre s	--|-|--|----|-⌫-----|---⌫|
kiluint mu l tbienapparei lliés	|-|---|--⌫-⌫|---|-------⌫-----|
pormetre aportlesperilliés	--|----||---|--|---------|
apareilliéscommentordites	-----------|------|-|----|
gransme ffais clamerquites	----|--⌫----|-----|-----|
fumul tbi enal arbrees ta ch i és	-|---⌫|--⌫-|||----|--⌫--⌫--⌫-⌫--|
parqu ilno sa	--|-|-|--⌫||
tosdestachiés	--|----------|
delputtecdequil	--|--|--|-|-|-|
kepo rkank entot	-|--⌫|---|-|--|
nefuissienslauénemonde	-|--------|----|-|----|
sene fustli	-|-|---|-|
siredel monde	---|--|----|
kiuintdesoslarbreseo i r	-|---|----||----|---⌫-⌫|
kanta braham leuintueoir	---|-⌫-----|-|---|----|
le sletres	--⌫|-----|
atotleseel	---|-|---|
uosai mostrédecest	--|-|------|-|---|
orrecouient l a rb redescri re	-|--------||-⌫--⌫-|------⌫-|
ucilh au sho m	|--|-⌫--⌫|--⌫|
etcilb oenssire	-|--|-⌫---|---|
uintauec lesdeusreposeir	---|---|--|---|-------|
multdoitoncela rbre aloseir	---|---|-|--|-⌫---|------|
nestpasloiaus kine s	|--|--|-----|-|-||
arbresnos senefie	-----|--|------|
la saint e crois	-|-----⌫|----|
lap reciouse	-|-⌫-------|
la ue rtus glorious e	-|--⌫---|--------⌫|
rep oseirsainsanui	---⌫----|----|---|
queparchu nostrast tosalui	--|--|--|--|----|--||--|
parcelarbretosnos sana	--|--|----|--|--|---|
parcelarbre nosrasena	--|--|----|--|-----|
droituriereuoie	----------|---|
q uec ilarb res n osirauoie	-⌫-|-⌫-|---⌫--|-⌫-||-----|
dece lsaintarb r esles	-|--⌫|----|---⌫-⌫-|--|
nos ma ussuntmed ici nes	--|--⌫-|---|---⌫---⌫--|
tex estde sracin es liius	--|--|--⌫|-----⌫-|-|--|
quetosnos pechiesn o s r etius	--|--|--|------|-⌫-⌫|-⌫-|--|
lesracines suntlibon cu er	--|------|---|-|--|--⌫-|
feroit mala	-----|--||
u ilenie ne mauaistie	-⌫-----|-|--------|
si suntatosbiensafaitié	-|---||--|----|-------|
et enracine d e tos s ens	-|-|-----|-⌫|--|-⌫--|
n ipuet ualoir ma uais	||---|-----|--⌫---|
bo ncuerdesracin eir	--⌫|---|--------⌫--|
desbiensdont ian equiertfineir	--|----|---|-|-⌫|-----|-----|
icesracines pardroiture	---|------|--|-------|
simueuent desainte es criture	-|------|-|-----|--⌫------|
quetotense nmontelas eiue	--|-----|-⌫|----|-|-⌫---|
c ilkidetospechies seleiue	-⌫-|-|-|--|------|-|----|
etde uilblasmeet delaitcrime	-|-|--|-----|-|-|---|----|
desla raizdusquen la ci me	--|-|---|----|-|-|--⌫-|
mont e ausicomlas eiu efa it	----⌫|---|--|-|-⌫---⌫|--⌫-|
delarbred ontiaiciretr ai t	-||----|-⌫--||-|-|----⌫--⌫|
l obien et lesb e les se mbla nc es	-⌫|---|-|--|-⌫-⌫--|--⌫----⌫--⌫-|
k i nossun tbones	-⌫|--|---⌫|----|
ram enbranc es	---⌫-------⌫-|
orme st uetdeuiseir	-||-⌫--⌫--|-------|
l esbranches	-⌫-|-------|
ki nosson tuoiee tpontetplanche s	-|--|---⌫|---|-⌫|---|-|-------⌫|
porpassei rlesestrois	--|------⌫|--|------|
pass a ges	----⌫-⌫--|
c edistlibons clers	-⌫|---|-|---|----|
et lisages	-|-|----|
que cesuntde la	--|-|---|-|-|
croislibr az	----|-|--⌫-|
ioiesetnossolas	----|-|--|----|
nos e nseingnent et l oi n get	--|-⌫---------|-|-⌫--⌫-⌫|-|
par lesbranc hesd elsaintcipres	--|--|-----⌫--|-⌫-|----|-----|
deuoisauoir	-----|----|
en te nc ion	--⌫--⌫--⌫--|
esbrasdela	-|---|-|-|
uerai ecrois	-----⌫|----|
autrementn euaro ityy n o is	--------|-⌫|----⌫-|-|-⌫-⌫-|
nushomsil encenacreance	--|--||-|-|-|||------|
t ex es tdes br anch e sl asemb lance	-⌫-|--⌫|--|--⌫----⌫-⌫|-⌫|----⌫----|
qu atren idoites tr e entendue	-|---|||---|--⌫--⌫|-------|
aces tnostreatendue	||--⌫|-----|------|
ac e buencreant	|-⌫|---|-----|
t u itsatendent	-⌫-⌫-||-------|
quecesbranch essi lo i ngsatendent	--|--|------⌫-|-|--⌫-⌫-||-------|
ipue ntauenir	|---⌫-|-----|
guarise s tkis ipuet	-----|-⌫-⌫|-|||---|
a cesb r anches k ita nt suntbeles	|--|-⌫-⌫-----|-⌫|--⌫-|---|----|
etuerset frescesetnouel es	-|---|-|------|-|-----⌫-|
sunteniu er	---|-|--⌫-|
g rant gaaingnos	-⌫---|-----|--|
o ntaqueste ́	-⌫-|-------⌫|
cesbranchesdesigr ant	--|-------|-|-|--⌫--|
to lentla chal or	--⌫---|-|----⌫-|
ki lesmauaisesgensencombre	-|--|-------|---|-------|
cesbranches n osrendentgrantumbre	--|-------|-⌫-|------|----|----|
can t lardanschalorsnosassa ut	---⌫||-----|------|--|----⌫-|
et les fuelescu eurentlochaut	-|--|-----|--⌫-----|-|----|
s e que c ilki sorlu mbresunt	-⌫|--|-⌫-|-|--||-⌫---|---|
nelos enten tnaiolsna fro nt	-|-|-⌫-----⌫|||---|||---⌫-|
natot le corsnont derien	||--|-|---||--|-|---|
quecilumbrelescueure etgarde	--|--|----|--|-----|-|----|
c il umbres coest	-⌫-|-----|-|--|
li s ignacles	-|-⌫-------|
delacr oisetdeses	-|-|--⌫--|-|-|--|
q ue de lacrois	-⌫-|-|-|----|
uient libonsumbres	----|-|---|-----|
parquoi nuitet	--|---|---|-|
ior te decomb r es	--|-|------⌫-⌫-|
del dyabl eetdesesagais	--|-----⌫|-|-|--|----|
kantdelacroi slosig ne tra is	---|-|-|----⌫|-|---⌫-|---⌫-|
multaib ien celarbredescrit	---|-|-⌫--|--|----|------|
necuiquenusi a mene scrit	-|--|--|--|-⌫||-|-⌫----|
que lisens estetbonse tbiaus	--|-|---|--|-|---|-⌫|----|
et lif r uisen	-|-|-⌫-⌫--|-|
tot ens nouiaus	---⌫--|------|
siqu iuernesteneporr ist	-|-|---||---|-|----⌫--|
lifr uiski to s b iens	-|--⌫--|-|--⌫|-⌫---|
c est lifru isk i	|--|-|---⌫-|-⌫|
lacro i s port a	-|---⌫-⌫|----⌫|
parquoi lodeablem orta	--|---|-|-----|-⌫--||
c est lifruis dontnost otuiuons	|--|-|----|---|--|-⌫-|-----|
quet osb iens	--|-⌫-|-⌫---|
nosenrauiuons	--|-|-------|
frui squedeushonora	----⌫|--|---|-----|
ka brahans sorlaubre ao ra	|-⌫------|--||----|--⌫-|
se de lamatieremesloing	-|-|-|------||------|
estuet repairier delo ing	-----|--------|-|--⌫--|
as trois ke i aic iassi gnez	-|----|-||-|-⌫|----⌫---|
qabr ahamots ibi endisnez	|---⌫---|-|-⌫|--⌫-|-----|
enb on gre	-|-⌫-|--|
prisentsonpres ent	------|--|----⌫--|
k il lormistenkien p resent	|-|--|---|---|-|-⌫-----|
s ar re s afemmeontd emandee	-⌫--⌫-|-⌫|----|--|-⌫------|
k at osbi e nss estoi tcommandee	||-⌫-|--⌫-⌫-||-----⌫|--------|
multlamer ent	---||----⌫--|
multlorent	---||----|
abrahamloraditqueleiere	------|--||--|-|--|---|
enm aisonetdeusl iot roie	-|-⌫----|-|---|-⌫|--⌫---|
k eleauratenfanttoteuoi e	|--|----|-----|---|---⌫|
rist damrid eus loui t	---|------⌫--|-|--⌫|
comentfait elequa	-----|---|--|-||
iesui uielle etmessireestuius	-|--|-----|-|--|---|--|---|
ce nef u onques ueu di us	-|-|-⌫|-----|--|--⌫-|
enf esdont	---⌫-|---|
uenroit d e	------|-⌫|
neio nib ein eionipens	-|-|||-⌫-|-⌫|-|||---|
li risde sarrefutdot ance	-|--|-|----|--|---⌫---|
n i ot pas	||-|--|
sibueneesperance	-|----|--------|
comabraham ot	--|------|-|
bienauoit seuet	---|----|--|-|
queses ris	--|--|--|
enioieue nroit	-|---|--⌫----|
et ke damr ideu soue nroit	-|-|----⌫---|----⌫----|
etdesonioieet deson	-|-|--|---|-|-|--|
maissarre n i	---|----|||
entendoi tr ien	--------⌫|-⌫--|
por lagrantueille ce u	--|-|----|------⌫-||
elle ier e	---|---⌫|
ennuleman iere	-|---|---⌫---|
kelleeust oiren sonuiuant	|---|---|--|-|--|-----|
nel p otcro iren ariern	-||-⌫-|---⌫--||----||
et deus distorestsarrefole	-|---|---|-|--|----|---|
quel enecroitala	-|--⌫|-|----||-|
keie lidibien	-|-|-|-|---|
co neremanra	-|-|------|
k e ie serai	-⌫|-|----|
e nson re pai re	-⌫|--|--⌫---⌫-|
droiset raisonsest	----|-|------|--|
etsarrecri en tm ult etredote	-|----|---⌫--⌫|-⌫--|-|-----|
otet escot e	-|-|-----⌫|
l esparoleskisunt retrai tes	-⌫-|------|-|---|------⌫--|
de limults e rontbi e nparf aites	-|-|---|-⌫-⌫---|--⌫-⌫|----⌫----|
b iens contredeunes tgries	-⌫---|-----|--||--⌫|----|
ta ntsoit ne	--⌫-|---|-|
lons ne corsne	---|-|---|-|
sarreot del r is	----|-|--|-⌫-|
m ult grantpeor	-⌫--|----|---|
deusnelenten istape or	---|-||-|---⌫--||--⌫-|
onque sses	-----⌫|--|
en am enrist	-|--⌫-----|
sil i neiaqu onquesne nrist	-|-⌫|---|-|-----||-⌫|---|
iciltr oi d enk iseleuerent	---|--⌫-||---⌫|-|-------|
encontresodomeesd recerent	-------|-----|---⌫-------|
loriolsporlesuisrenoiés	--|---|--|--|--|-------|
abrah amles	-----⌫-|--|
aco nuo i és	|--⌫---⌫-⌫--|
e tdeusdistiene	-⌫|---|---|-|-|
luuelceleir	|---|-----|
qabrah amm es tuetreueleir	|-----⌫-||--⌫---|-------|
cestechose que ieferai	----|----|--|-|----|
iaporr ienn e	-|--|-⌫--|-⌫|
lice lerai	-|--⌫----|
k ede luiistro nt	-⌫|-|--|-----⌫-|
mul ta preus	---⌫||----|
cilserontbenoitet	--|-----|-----|-|
siuuel con des autres l essaint	-|---||-|--|-----|-⌫-|----|
commeles gens de sama isnie	----|--|---|-|-|--⌫----|
k i la partos droisd esraisnie	|-⌫||--|--|----|-⌫--------|
quantde ceas desodomeuit	----|-|---|-|-----|--|
pereki toiorsuit	---|-|-----|--|
