entre normendieet bre taigne	----|--------|-|---⌫-----|
terre mout estra igne	----|---|-----⌫---|
manoit iadisunsmouthaus	-----|----|--|---|---|
es toit degrantrenon	--⌫---|-|----|----|
presdelamarces or lam er	---|-|-|----|-⌫-|-|-⌫-|
auoitfaitso n caste lfremer	----|---|--⌫|-----⌫|-----|
k i mout estoitbienbateilli és	-⌫|---|-----|---|--------⌫--|
si forset sibien ar teilliés	-|---|-|-|---|--⌫--------|
k ilnecr emoitne r oi neconte	|-|-|--⌫----|-|-⌫-|-|----|
ne ducneprinceneuis cont e	-|--|-|-----|-|---⌫----⌫|
etlihaus hom dont ieuous	-|-|---|--|---|-|---|
estoitsicom	-----|-|--|
iel entendi	-||------|
tropbi ausdecorset	---|--⌫--|-|---|-|
d euisa g e	-⌫|----⌫-⌫|
richesdauoiretdelignage	-----||----|-|-|------|
et s ipar oitasonuia ire	-|-⌫|---⌫--||--|---⌫--|
quelmontneust plusdeboinaire	-|-|---||---|---|---------|
maisfelestoit	---|--|-----|
et desloiaus	-|--------|
etsitrait re s et	-|-|-----⌫--⌫|-|
e tsifiersets i o rgueill e us	-⌫|-|----|-|-⌫|-⌫-------⌫-⌫-|
etsies toitsi tres crueus	-|-|--⌫---|-|---|-----|
kilnecremo it ne	|-|-|-----⌫-|-|
die un e home	---⌫|-⌫|---|
tou tle p a is cenestla	---⌫|-|-⌫-⌫-||-|--|-|
auoitdestruiten uiro nlui	----|-------|--⌫----⌫|--|
ilnepooit teni rnului	-|-|----|----⌫|----|
kilnefesis thonte del	|-|-|-----⌫|----|--|
tropert enlui granslidescors	---|--|-|--|----|-|------|
ilgaito its ipresles	-|-----⌫-|-⌫|---|--|
quiltuoittou sle spelerins	-|-|----|---⌫|--⌫|-------|
etdesre uboitle smarcheans	-|-----⌫----|--⌫|--------|
fistdemesche ans	---|-|------⌫--|
ilnesparn oitabbe n e moine	-||------⌫--|---|-⌫|----|
enclushermite ne can oine	-----|------|-|---⌫---|
et lesnon a ins etlesconuers	-|--|---⌫-⌫--|-|--|------|
cheusfaisoi til a hon teuiure	----|------⌫|-||---⌫-|----|
u il estoient adeliure	|-|-------||------|
dam esetle spuceles	---⌫-|-|--⌫|------|
etle sueues	-|--⌫|----|
etlesanceles	-|--|------|
il nesparnoitpoure	-||--------|----|
espargnoit sage	---------|---|
qu ilnecacast tousio rsa honte	-|-|-|-----|---|--⌫-||----|
t ant enhouninesai	-⌫--|-|----|-|--|
nonqu e sneuautprendre	|----⌫-⌫|-|---|------|
cartrop secuidast aueillier	--|---|-|------|--------|
s aunefemesefus tm is	||--|---|-|---⌫|-⌫-|
il cuida stbien estr e ho nis	-|-----⌫-|---|----⌫|--⌫--|
en toustansuoloit carmangi er	-|---|---|-----|--|-----⌫-|
i a nen uausist iour	-⌫||-|------|---|
neuenre di n e	-|-----⌫-|-⌫|
quarentaine	----------|
ne iourquifuste nla semaine	-|---|--|---|-⌫|-|------|
de messe oirnauo itilcure	-|----|--||---⌫-|-|---|
sermon nedes cri ture	-----|-||--⌫---⌫---|
tou s lespr eudoumeshoni ssoit	---⌫|--|--⌫-------|----⌫----|
maish o msoit	---|-⌫-⌫|---|
kitantparso i t dep ut	-|---|--|--⌫-⌫|-|-⌫-|
pensé stousmauls	------⌫|---|----|
queonpuetfaire	--|-|---|----|
endis enfaiset	-|--|-|---|-|
tou sleseu tenluiamassés	---⌫|--|--⌫|-|--|-------|
ensiuesquip lus	---|-----|-⌫--|
d e trenteans	-⌫|-----|--|
de sesmalsn e fu	-|--|---|-⌫|-|
ens ipassa	---⌫|----|
le tansetuint	-|---|-|---|
et tantqu aun	-|---|-||-|
quaresmeauint	-------|----|
tou tdroitle io ur dulon cdeuenres	---⌫|----|-|--⌫-|-|---⌫|-------|
uersdieun estoit past enr e s	---|---||-----|--|-⌫---⌫-⌫|
se fuleuésmout tre smatin	-|-|-----|---|---⌫|----|
as keusaditenson latin	-|---||--|-|--|----|
atirést ostc es	------|-⌫--|-⌫-|
carile st de mengie r	--|-|-⌫-|-|------⌫|
iouuauraimatinet	--|-----|------|
siironsgaaignier	-|----|--------|
likieufurent toutesbahi	-|---|-----|---|-----|
sirespondent tris tre etmari	-|---------|----⌫--|-|---|
co mcilqui	--⌫|--|--|
nelo sent des dire	-||-⌫---|---⌫---|
nos feronsuouol ente si re	--|-----|-|---⌫---|--⌫-|
qu antsicheualier	--⌫--|-|--------|
len tendirent	|--⌫--------|
quip lus decuer	--|-⌫--|-|---|
adieutendirent	|---|--------|
sili d i sen ts anscontredit	-|-|-⌫-⌫---⌫|-⌫--|--------|
leresfont i lc	----|---|-⌫||
auésuousdit	----|---|--|
il est quaresm esetsainstans	-|--|-------⌫-|-|----|---|
etsiestliuenre disgrans	-|-|--|-|-----⌫--|----|
q uediexsouffr il apa s sion	-⌫-|---|------⌫|-⌫|--⌫-⌫---|
porlan ostre re demption	--|-|-⌫----|--⌫-------|
k e tousl imon s doithui iuner	-⌫|---|-⌫|---⌫|---|--|----|
etuousuo usuo lésdesiu ner	-|---|--⌫-|--⌫---|-----⌫--|
mengieramalest ri ne	------||--|---⌫--⌫-|
touslimons estendesepli ne	---|-|---|--|-|-------⌫-|
eni une ete n	-|-⌫--|-|-⌫|
abstinence	---------|
nislienfa ntfontpenit ance	--|-|----⌫-|---|-----⌫---|
et uous uol éshui charmangier	-|---|---⌫--|--|---|------|
doit b iende u ousuengier	---|-⌫--|-|-⌫--|------|
siferailcertesenco re	-|---|-|-----|----⌫-|
parfoifai tilcen est	--|--|---⌫|-|-||--|
ancoisaraimout demals fais	-----|---|---|-|---|---|
hom es pend usmor setd esfais	---⌫-|----⌫-|---⌫|-|-⌫-----|
aué suouse nt fontil res pit	----⌫|---|-⌫-|---|-|---⌫--|
defaire dieu	-|----|---|
t ant de despit	-⌫--|-|-----|
n aué s u ousnul iour	|----⌫|-⌫--|--|---|
or d eusciéssansnulseiou r	-|-⌫-------|---|--|-----⌫|
cr ieretploreruospechies	--⌫--|-|-----|--|------|
don t uous e stessie ntechiés	---⌫|---|-⌫---|-|-⌫--------|
plorerf a itilestc e	-----|-⌫-⌫-|-|--|-⌫|
