laisdegugemer	---|-|------|
uolentiersdeuroiton oir	---------|------|-|--|
cosequist boinea	---|--|-|----||
bo inemate reest fai te	--⌫--|----⌫-|--|---⌫-|
moutme p oisesen est bien	---|-|-⌫---|-||--|---|
oies se gnor queditmarit	---|--⌫---|--|--|----|
queenson t ensnus	--|-|--|-⌫--|--|
ne s oub lit	-||---⌫--|
celuid oiuentlesgensloer	----|-⌫-----|--|---|---|
qui en bie nfa itdeluiparle r	--|-|---⌫|--⌫-|-|--|-----⌫|
home nef enmedegrant	---|-|-⌫---|-|----|
cilquide sonbieno ntenuie	--|--|-|--|---|-⌫-|----|
souuenten dien t uiloun ie	------|-|----⌫|------⌫-|
se nprisliuoelent abaisi er	--⌫|---|-|------|------⌫-|
por couconm encentl i	--|--|----⌫-----|-⌫|
licontesquesai estu erai s	-|-----|--|--|--|-⌫----⌫|
dontlibreton	---|-|-----|
ont fait lorlais	--|---|--|---|
s iconterai	-⌫|-------|
as sesbriement	--⌫--|-------|
elcief de cest	-|---|-|---|
co nmen ce ment	--⌫----⌫--⌫---|
seloncl eletreetlescri tu re	-----|-⌫|----|-||-----⌫--⌫-|
uouscont eraiuneauenture	---|----⌫---|--|-------|
quienbre taign ela m e nor	--|-|---⌫-----⌫|-|-⌫-⌫--|
auin tautansancienor	----⌫|-|---|-------|
tenstintartuslat er re	---|---|----|-|-⌫--⌫-|
sou ue ntiotetpai s	---⌫--⌫-||-|-|---⌫|
lirois auoitsien baron	-|---|----|---|----|
q u isir es estoit delion	-⌫-⌫|---⌫-|-----|-|---|
erid ia xesto ita pele ́s	----⌫--⌫|----⌫-|-⌫----⌫-|
desonsegnorertmoltamés	-|--|-----|--|---|----|
ceuali ersertp resetuaillans	------⌫--|--|-⌫--|-|-------|
desamoulli e rerte nfan s	-|-|------⌫-⌫|--|-⌫----⌫|
un filet une fillebele	-|--|-|--|----|---|
nogiueotnonla	-----|-|--|-|
gugemernoumentle dansel	------|------|-|-----|
ennulraiaumenotpl usbel	-|--|------||-|--⌫-|--|
ameru ellelamoit samere	|----⌫---||----|-|---|
e tmoltestoitbiende son	-⌫|---|-----|---|-|--|
quantillepeutpartir	----|-|-|---|-----|
s il enuoia seruir	-⌫||-----|-----|
liuasl es fusageset	-|----⌫-|-|----|-|
sisef aisoi t amer atox	-|-|-⌫-----⌫|---||--|
quantfuuen us	----|-|---⌫-|
termesetta ns	-----|-|--⌫-|
otass esaa geet	-|---⌫-|--⌫-|-|
liro islad ou baricement	-|--⌫-||--⌫--⌫-|-------|
ar meslidoneason talent	--⌫--|-|---||--|-----|
gugeme rssepartde	------⌫-|-|---|-|
molt i do naainsquilsen tort	---||--⌫-|---|-|-||-|---|
enflandres	-|-------|
a lasonpris	-⌫-|--|---|
uottou siorsestrife t ge rre	|-|---⌫|---|-----|-⌫|--⌫--|
enlaerainen	-|-------||
enga scongne	-|--⌫------|
enale magne ne nenborgongne	-|---⌫----|-||-|--------|
aceltans ne poto n trou uer	|--|---|-|--|-⌫|----⌫--|
meill or ce ualier ne	-----⌫-|--⌫-----|-|
detant i ot	-|---||-|
mes pri s nature	---⌫---⌫|-----|
keden ule amornauoit c ure	-|-|-⌫--|---||----|-⌫--|
so u si el n adamenepuc el e	--⌫|--⌫-|||---|-|---⌫--⌫|
kitantfust auen ansetb ele	-|---|---|----⌫--|-|-⌫--|
se ildamou r	-|-||----⌫|
larequesist	-|--------|
qu e uolen tie rsnelretenist	--⌫|-----⌫---⌫-|-||-------|
plu isorsl	---⌫----||
enrequissen tsouuent	-|---------⌫|------|
e nau oitnultalent	-⌫|--⌫--|--|-----|
nus ne pooit aparceuoir	--|-|----|---------|
q iluousistamor	|-|------|---|
por coule tien entape r i	--|--|-|----⌫--||--⌫-⌫|
l estrange	|-------|
gentetsi a mi	---|-|-|-⌫-|
en leflordesonm ellor	-|-|---|-|--|-⌫----|
s en uaitli	|-|---|-|
b e re nson	-⌫-⌫|-⌫|--|
ueoirsonperesonsegn o r	----|--|---|--|----⌫-⌫|
sabouneme et s a	-|----|-|-|-⌫|
kimo lt l auo ien tdesiré	-|--⌫-||---⌫---⌫|------|
aueuque seusase iorné	-------⌫|--||--⌫-----|
cem est auis moi s entier	-||--|---|---⌫|-----|
talens lipristd	-----|-|----||
ale r cachier	---⌫|------|
la nu it s e mont	-|--⌫-|-⌫-⌫---|
sesce ualiers	--|--⌫------|
ses ueneorse t sesberniers	--|------|-⌫|--|-------|
aumatin uont en	-|----|---|-|
c ar cild e duitasseslo rple st	-⌫-|--|-⌫-⌫---|----|--⌫|---⌫-|
aung rant c erfsont	|-|-⌫---|-⌫--|---|
e t li cien furent desc ouplé	-⌫|-|---|-----|----⌫-----|
liueneor coren tdeuant	-|-----|-----⌫|-----|
li damaisiauss en uatr aiant	-|---------||-|-|--⌫----|
so nhansartetso n bers eres	--⌫|------|-|--⌫|----⌫---|
traireuos s istse	-----|---⌫-⌫--|-|
ainsq ue d i leucse	---|-⌫-||-⌫---|-|
enl espes ce d	-||-----⌫-||
ungrantbui sso n	-|----|---⌫---⌫|
u oit unebisse oson	-⌫--|--|----||--|
touteestoitbla nc ecelebeste	----|-----|---⌫--⌫|---|----|
uerce decerfot sorla t este	----|-|---|-|--|-|-⌫---|
p orlabaid esbraces sail li	-⌫-||---|-⌫-|-----|----⌫-|
il tentson arc s itraist ali	-|---|--|--|-⌫|-----||-|
enselpielef erideuant	--|-|--|-|-⌫--|-----|
elec aidemaintenet	--|-⌫-|----------|
lesaiet eresortari ere	-|-----⌫|-----|---⌫--|
gugemerf ierten telman iere	------|-⌫---|-|--|---⌫---|
enlacuisseq ue	-|-|-----|-⌫-|
d el ceual	-⌫-|----|
lefistcai r	-|---|---⌫|
molttostaual	---|---|---|
atere ciet lerbe drue	|---|---||---|---|
d el es la	-⌫--⌫-|-|
bestequeutferue	----|-|--|----|
labissequiferueestoit	-|----|--|----|-----|
angoussementse	-----------|-|
apresparlaen itelguise	----|----|-|---|----|
aimilas seie suio cise	-|-|---⌫-|-|--|-⌫---|
e t tuuassausqu im	-⌫|-|------|--⌫||
tesso itlatoie destinee	--|--⌫-|-|---|-------|
iamaisn ai est u medecine	-|---||--⌫-|-⌫|-------|
neparherbe	-|--|----|
nepa rracine	-|--⌫|-----|
nepar mire nep arpuisson	-|--|---|-|-⌫-|------|
naies tuiam aisg a risson	|---|-|-|-⌫--|-⌫-⌫-----|
de lapl ai equ as en la	-|-|--⌫--⌫|-|-|-|-|
desique celete n	------|---||-⌫|
ki sousfera	-|-------|
portoi e amor	--|---⌫|---|
sigrantpainneet s i	-|----|-----|-|-⌫|
gran t dolor	----⌫|----|
qonquesf emme ta nt	|-----|-⌫---|--⌫-|
ettu referastant porl i	-|-|------|---|--|-⌫|
keto utcil s en me r ue ill e ront	-|--⌫-|--||-|--⌫-⌫--⌫---⌫-⌫---|
quiaimme n tni améaront	--|-----⌫-⌫|-|---|----|
amerontapres	------|----|
uatent ets imelai sse	-||--|-|-⌫|-|---⌫--|
g ugemerfuformentble ciés	-⌫-----|-|------|---⌫----|
estes maiés	--|--⌫-----|
coumenc asoiaporpenser	-------⌫|--||--------|
enqueltere porra	-|---|---|----|
ils et asse s etbienle dit	-|-⌫-|----⌫|-|---|-|--|
femmenule neuit	----|---|-|--|
at o rna stsa mor	--⌫-⌫---⌫-||-⌫--|
quilgaresistdesadolor	-|-|-------|-|-|----|
sonualletapelaauant	--|-----|----|----|
amisdistiluatent p o gnan t	---|---|-|-||--|-⌫-⌫----⌫|
fa imesconpaig nons retorner	--⌫|--|-------⌫---|-------|
carieuau ro ieaes sparler	--|-|---⌫--⌫-||--⌫|-----|
cil pointauan tetcilremaint	--|----|----⌫|-|--|------|
moutango usseusementsepl aint	---|----⌫----------|-|--⌫---|
cemi seest roitement	----⌫-|---⌫--------|
pl aie fermement	--⌫--|--------|
puisestmontésdaleucse par t	---|--|------||----|-|---⌫|
k eslongiéssoitmoltliesttart	|---------|---|---|-|--|---|
neueu tk enusdessie ns iuiegne	-|---⌫|-⌫|--|--|---⌫-||-----|
ke destornast etki detiegne	-|---------|-|-|-------|
forsde lalande emmi	---|-|-|----|---|
la pla gne	-|---⌫--|
uoitlaf aloi se	---|-|-⌫----⌫-|
du neeueq ui	|-⌫-|--|-⌫-|
desuscou roit	----|---⌫---|
de mer hau e	-|--|---⌫|
el haueneo tune s eulenef	-|-----|-⌫|--|-⌫---|--|
dontg u gemercounutle t ref	---|-⌫-⌫----|-----|-|-⌫--|
mout bi enes toit	---|--⌫-|--⌫---|
ap ar e llié	--⌫--⌫-⌫----|
dehorsetdedensestpoié	-----|-|-----|--|----|
nush omni pe uttroue riointure	--|-⌫-|||--⌫-|-----⌫|-------|
ni er tkeuille n ecl o sture	||--⌫|------|-⌫|--⌫-⌫----|
kene fust t outedebenus	-|-|---|-⌫---||-----|
n est souc iel or s quiu ailleplus	|--|--|-⌫--|--⌫|--|-⌫----|---|
le uoille est oittoutedesoie	-|-----|---⌫--|----|-|---|
moutestbele	---|--|---|
qui ledesploi e	--|-|-------⌫|
liceualier sestmoutpen sis	-|--------⌫|--|---|---⌫--|
ca renlatere	--⌫|-|-|---|
n euton quesmai s oi parler	|--|--⌫---|---⌫|-|-----|
quen e s ipeust	--|-⌫-⌫||----|
il ua it auant s i	-|--⌫-|----|-⌫|
descentius	------|--|
degran tangoisse montesus	-|----⌫|-------|----|--|
de denscui da ho mestrouuer	--⌫---|---⌫-|--⌫--|------|
quilane f deuscen tgarder	--|-|--⌫|-------⌫|-----|
nenie utnul nenul	|-||-⌫-|--|-|--|
enmi lat refauo it l it	---|-|-⌫--|---⌫-|-⌫-|
taill i éaor	-----⌫-⌫-||-|
etatrifoir e	-||-------⌫|
