quitot ueltfairesanzconseil	--|--|---|----|---|------|
lenuient ne	|-|----|-|
entout e r i ensestbiendroiture	-|----⌫|-⌫-⌫--|--|---|-------|
coni regartse nsetme sure	|-||-----|--⌫-|-|--⌫---|
bi en doit quienla mer	--⌫-|---|--|-|-|--|
garder que l it ensl i	-----|--|-⌫|-⌫--|-⌫|
e t qua ntiluoit	-⌫|---⌫-|-|---|
quil a bon uent	-|-||--|---|
lors puetnagierseurement	---|---|-----|--------|
au siquisentreme t	--⌫-|--||-------⌫|
etparsa uoirse	-|--|--⌫---|-|
biendoitgarde r aucommencier	---|---|-----⌫|-|---------|
quil nesilaist trop	-|-|-|||----|---|
et p uisquil sen e s t entremis	-|-⌫----|-||-|-⌫-⌫|-------|
auque ssorpris	-----⌫|------|
doncnest ilpas a	---||--|-|--||
sonplaisir	--|------|
soi t b ie nsoitmala	---⌫|-⌫--⌫|---|--||
m a isneporqua ntse il aui e nt	-⌫-⌫-|--------⌫-|-|-|---⌫-⌫-|
qu ecilquifoleamor main ti ent	--⌫|--|--|---|---|----⌫--⌫--|
en estsorpris e tfor tde st roiz	-|--|------|-⌫|---⌫|--⌫--⌫---|
ilbien ra ison set	-|---|--⌫----⌫|-|
quece leen oiesaproie re	--|--⌫-|-|--|-|-----⌫-|
quil n es oi tpasuers li	-|-|-⌫|-⌫--⌫|--|---|-|
tropfier e	---|----⌫|
auoir dom aige	----|---⌫---|
par sonorg u ei lpar sonoutraige	--|--|---⌫-⌫--⌫|--|--|-------|
natureconsent	-----|------|
puis queenxx	----⌫--|-|-|
etdutot estalor	-|-|--|--||--|
lorses te lboneamainteni r	---|--⌫|-⌫|---||--------⌫|
ets i l auient quefeme	-||-⌫|-----|--|---|
qu el que le soitsill escondit	--⌫-|-|-⌫-|---||-||-------|
gedi por uoir	-|-|--|---|
sanz ent reprendre	---|---⌫--------|
deuroit a rdoir oupendre	------|-⌫----|-|-----|
narcisusq uifu	-------|-⌫-|-|
nosdoitess anpleatoz monstrer	--|---|---⌫----||--|-------|
amo rsblasmo it	---⌫-|------⌫-|
etsapuiss ance	-|-|-----⌫---|
ma i sp uisen pristamors ue ni ance	--⌫-⌫|-⌫--|-|----|----|--⌫--⌫---|
a t elamorle	|-⌫-|---|-|
f istenc lin	-⌫--|---⌫--|
donc il recustmort	---|-|-----|---|
zzdeuinot dethebe nez	-|----|-|-|----|--|
de direu oir fuesprouez	-|---|-⌫--|-|-------|
nusnepooit aperceuoir	--|-|----|---------|
neparespirementsauoir	-|--|---------|-----|
que onques	--|-----|
deist seuoir	----|-|---|
por ce ert ildehalt renon	--|-|--|-|-|---|----|
unedamedelacite	--|---|-|-|---|
iazzsienenfantp orté	||-|---|-----|-⌫----|
quilli diecequil	-|-|-|--|-|-|-|
sil u iurapoiou longuement	|-|-⌫---|--|-|---------|
etcillidist totsanzboisdie	-|--|-|---|--|---|------|
g arts oiquilnese	-⌫--|-⌫-|-|-|-|-|
neuiura gairessilse uoit	-|----|-----||-|-|---|
cele loiquipasn e	---||-|--|--|-⌫|
ento rn esiditbien	-|--⌫--⌫|-|--|---|
quesaparole ne uautr ien	--|-|-----|-|---|-⌫--|
lonc t ens enf urentladoutanc e	---|-⌫--|-|-⌫----|-|-------⌫|
eten la fin u int	-|-|-|--|-⌫--|
la prouance	-|-------|
narc isu scrutetdeuint granz	----⌫---⌫|---|-|-----|----|
et bien pooitauoi rxx anz	-|---|----|----⌫|-|--|
granz fudec or s	----|-|-|-⌫--⌫|
ades mesure	|---⌫-----|
onquespl usbe lecriature	-----|--⌫-|--⌫-|-------|
ne fuueuene si gent e	-|-|---|-|-|----⌫|
nat ure imisttot es	---⌫--||---|---⌫||
audeuise ret	-|------⌫|-|
au portraire	-|--------|
et agr a ntpainesepuetfaire	-||--⌫-⌫-|----|-|---|----|
ainsi comi l ont deuisé	----|--|-⌫|--|------|
quetantiot d e l abeaute	--|---||-|-⌫|-⌫|-----|
o nques ne so triensporpens ser	-⌫----|-|--⌫|----|-------⌫--|
que iluecne	--|----|-|
uos istmonstre r	---⌫--|-------⌫|
primes a faitleselzrianz	-----||---|--|--|----|
si mpl es et uairsclers	--⌫---⌫-|-|----|----|
et luisanz	-|------|
maiss or tot	---|-⌫-|--|
