aladolour del	|-|-----|--|
ala dolour delc i ef prensmaniueeurou ne	|-|-----|--|-⌫-⌫-|----|-----|-----⌫-|
f ortsa uinepoliuel.	-⌫--|--⌫---|------||
aue c uien	---⌫|---|
et a iguedonele male t eboirea .	-|-⌫---|---|-|----⌫-⌫|----|||
purgeme ntd elchiefprens	-------⌫-|-⌫-|----|----|
peretrem aisseparyyiours	------|-⌫----|--|-|----|
lechief e spurge.	-|----|-⌫-----||
c aluicoltdone elleass uaige.	||--|---|---|---|---⌫----||
ablans d ens fair e.	|----|-⌫--|----⌫||
az blan sden sfair e	-|----⌫|---⌫|----⌫|
del seil et de	--|---|-|-|
sauelon froiesouent.	------|----|-----||
colzsemence.	---|------||
p rensl aiweetle	-⌫---||---|-|-|
boisamolseuappieetpoureau ien .	---||----||----|-|----||-⌫--||
a ladolourd es dens.	|-|-----|-⌫-|---||
a ladolourdesdensprensong le del	|-|-----|--|---|----|---⌫-|--|
meolle de lche ualetsi	-----|--⌫|---⌫--|-|-|
escrisenlama isselle cesnons.	-----|-|-|--⌫------|--|---||
atrui promirsdiyy fieset puis diset	----|------|-|-|---|-|---|--|-|
s e cestdesceuai s	-⌫||--|--|-----⌫|
ala crainche.	|-|-------||
a la craincesaneirfaispuredelchiefdel	|-|------|-----|---|---|--|----|--|
d el u entr e t	-⌫-|-⌫---|-⌫|
deq uantqu enliatensi lemes	-|-⌫-----|-|-|-|---|-|--|
sechieren un for	------|-|-|--|
cha utetcelp ou r messus.	---⌫-|-|--|-⌫--⌫|--|--||
a lafem mekiuait enpa inne cestb riue.	|-|---⌫-|-|---|-|--⌫---|---|-⌫---||
adens cuis	|---|---|
lesracinesde	--|------|-|
ce rfuelhb ienen laig ue	--⌫-----|-⌫--|-||---⌫-|
aiguetiensen tabouche.	----|----|-|-|-----||
al charnie n t	-|-------⌫-⌫|
boispoliueldel ius.	---|------|--|--||
azoreilheskin oientmie .	-|-------|-||----|--||
prenstroisuerg es d a ubee spine etmesen fe ust o udeir	----|----|----⌫-||-⌫----⌫----|-|--|-|--⌫|--⌫-⌫----|
bienetrecuis ce keen ist eratet si	---|-|-----|-|-|-|---⌫---|-|-|
lemelleisaw ecmieleta wecoileet	-|------|--⌫-|---|-|-⌫--|---|-|
met eisdeuen s les	---⌫--|-----⌫|--|
orei lhes.	----⌫---||
messu slep ourdesa ncdra gon.	--|--⌫|-|-⌫--|-|--⌫-----⌫--||
alapierdelhome.	|-|---|-||---||
donelibou rel escleitdelbo ke	---|-|---⌫-||------|--|--⌫-|
e talafemme celledelchiuresike	-⌫||-|----|----|--|-----|-|-|
ilhn e lesach enient.	--|-⌫|-|----⌫|----||
contrefiuresetfrachons.	-----|-----|-|-------||
ceuescrisparcemienet s i leporte	--|-----|--------|-|-⌫|-|----|
aronc eosteir.	|----⌫|-----||
de lc hie rchaufe	--⌫|-⌫---⌫|-----|
af oude c herbo nso inge la faicealsoir	|-⌫-|-|-⌫-----⌫-|-⌫---|-|----|-|---|
prens agre monieaw e c	----|----⌫----|--⌫-⌫|
alsidel ecolt.	---|-|-⌫|---||
cismaldontu nciet.	--|--|---|-⌫|---||
liamuistditane et aigueli doneis let	-|-----|-----|-|----|-|-----||-|
cuisobitai nn ementauienttruilbienpo li u eldoisculhiersawec	--|-------⌫--⌫----|-----|----|---|--⌫--⌫-⌫-|---|-------|---|
teueetenundrap ele	---|-|-|-|----⌫|-|
loietsile ti ensa	--|-|-|-|--⌫--||
nari ne s.	----⌫--⌫||
par uers .	--|---||
a ue rsboullelefroumaigefrese n la igueet	|--⌫-|-----|-|--------|---|-⌫||-⌫---|-|
messusiouretnuit	--|--|---|-|---|
laitde lefemmecaltcear rement	---|-|-|----|---|-|--⌫-----|
etmi el et	-|--⌫-|-|
abontdoef et s ileloie s us.	----||--|-|-⌫|-|---|-⌫-||
decontrele s ancest.	-------|-|-⌫--|--||
c uislecoraiseuiesuien et	-⌫--|-|-----||---|---|-|
coleisselidoneis boire	-----|-|-|-----|----|
kisanc uomi stest .	-|---|----⌫-|--||
helneetualerian eet mifuelhdonel ib oire .	----|-|--------⌫|-|------|---|-⌫|-⌫---||
portebiweul	----|-----|
siserseu rs.	----|---⌫-||
beto inemanioisenions	----⌫--|------|-----|
sen ierspas aweres.	---⌫---|--|-----||
le blan cmell eawecmieletsiesspa rsaua	-|----⌫|----⌫|---|---|-|-|-----⌫-|--|
la maisons ien furon tlemoskeuell e moront	-|-----|-⌫|-|-----⌫|-|----||---⌫|-----|
staincier.	--------||
cuileresure	--|-|-----|
delcha udir eb ie ntruleieet mes	--|---⌫----⌫|-⌫--⌫|------|-|--|
s ustouste.	-⌫-|-----||
par s erpentinnes.	--|-⌫----------||
boiuelesain ke	----|-|----⌫-|
de l chieure.	--⌫|------||
setu uiensal malaidee t ilhto rnes on uis	-|-|----|-|------|-⌫|--|--⌫--|-⌫-|--|
uers l aparoitmorsse nne fie.	---|-⌫|-----|---|--⌫---⌫--||
promiers seilhtorn e lechief aspiezmo rssen nefie	-------|-|--|----⌫|-|----|-|---|--⌫-|---⌫----|
prom iersseilh	----⌫---|-|--|
tornele chief aspiez	----|-|----|-|---|
morssennefie anc or .	---|-------|---⌫-||
s eilh at no ires	-⌫|--|-|--⌫---|
lesungles m ors sen efie	--|-----|-⌫--|---⌫---|
et sen u s i	-|-|-⌫-⌫||
uient et ilh	----|-|--|
ne lsa luemie et	-||--⌫--|--|-|
sonmainmet	--|---|--|
a sonchi e fe t ses	|--|---⌫-⌫|-⌫|--|
pi estraitaluib i en puet garir.	--⌫-|----||--|-⌫-⌫-|---|----||
delmal ki chiet	--|--|-|----|
a ceaz k i	|---|-⌫|
chi entdelmalp rens uneliure ki soitpr isele	---⌫--|--|--|-⌫---|--|----|-|---|--⌫--|-|
promieriou r de m arche	------|---⌫|-|-⌫----|
e t selc uistotenti er en l	-⌫|-||-⌫--|--|----⌫-|-||
aigu e s i ketoz defaiceet de c el	----⌫|-⌫|-|--|------|-|-|-⌫-|
aigue lidon e b oire tro isfois.	----|-|---⌫|-⌫---|---⌫-|---||
aforseneis.	|--------||
les forseneis fai s mai n gierauzad es entos lour main gier	--|--------|---⌫|---⌫-⌫---|--|--⌫-|-|--|---|----⌫---|
au eitferut lesfuelhesd	|-⌫--|----|--|------||
aigr emo inebientruleiese t abon tdoef	----⌫---⌫--|---|-------|-⌫|----⌫||--|
achiefpu rgier.	|----|--⌫----||
alc hie f spurgi ercerf uel mainieusa des .	-|-⌫---⌫|------⌫-|----⌫--|-------|-⌫--||
kipissesan c es t	-|----|---⌫|--⌫|
kisai ncpissesiait chie sd	-|---⌫-|----|-|--|----⌫||
auzc uisenlaigueen unpout	--|-⌫--|-||----|-|-|---|
noefetboi ue	---|-|---⌫-|
a enferteit.	|--------||
k inema ingierpar enferteit b etoine boi ue	-⌫|-|--⌫-----|--|--------|-⌫-----|---⌫-|
amul s e par troisiorstrois	|---⌫-⌫|--|----|---|----|
culereie s .	--------⌫||
mecinede u ultor .	-----|-|-⌫----||
losd el chiefdel	|-|-⌫-|----|--|
uultor loi eso r	-----|---⌫|--⌫|
leceruel sitetoratledolor	-|-----|-|-|----|-|----|
del chief.	--|----||
secerueltruille auecoilee tloiesazte mplesle	-|-----|------|---|---|-⌫|----|-|--⌫----|-|
l ongeenferte delchief sene.	-⌫---|------|--|----|---||
s es oelz loieu nd rapsespenta chief	-⌫-|---|---|-⌫|-⌫--||-|---||----|
ual coulmu ltuautazoelz	|-|---|--⌫-|---|-|---|
trule it is nelmentdyab le	-----⌫-|--⌫------|----⌫-|
chace uil hest	----||--⌫|--|
sesarsauecsafran	--|--|---|-----|
et rose sekeen mie zpoezso r un	-|---|-|-|-|---⌫|---|--⌫|-|
fust edesalcetruile setpuis	----⌫|-|----|------⌫|-|---|
lesuo misserassiseratgari s.	--|--⌫-------|-|----|----⌫||
sescueret seschiesa loiésalchief	--|---|-|--|----|-⌫-----|-|----|
femme k imal estas on barontoi st	----|-⌫|--|--||-⌫-|----|---⌫-|
reu ient enpais etenamors.	---⌫---|-|---|-|-|----||
adyable osteirestb on.	|-----|-----|--|-⌫-||
secuer truileitalaigue boirdone	-|---|-------|||----|---|---|
dyableenchac ee t	-----|-|----⌫|-⌫|
dels pini ss e .	--|-⌫----⌫--⌫||
l inersdeses	-⌫|---|-|--|
piesazma insloiés	---|-|--⌫--|-----|
tollent ledolo ur.	------|-|----⌫-||
otantesmedecinesliuult ourqu ant membres	------|--------|-|----⌫--|--⌫--|------|
sesp inis sep ointala femm ek ine	-|--⌫----⌫-|-⌫---||-|----⌫|-⌫|-|
puet en fanteirsoideliurat.	---|--⌫------|--|-------||
al dolour delpuacre.	-|-----|--|-----||
li fie nsdelpawontoltlardoir	-|---⌫-|--|----|---||-----|
d e l pu acle.	-⌫-⌫|--⌫---||
litr o p c rai s.	-|--⌫-⌫|-⌫---⌫||
trop crais	---|----|
sedo its ouent seingier	-|--⌫-|-⌫----|-------|
a ma inschau de .	|--⌫--|----⌫-||
cuis lesortiesen l oilee tsi en	---|--|-----|-||---|-⌫|-|-|
o ng n es tes mains sesaueraschau d e s.	-⌫--⌫-⌫-|--|----||-|-----|----⌫-⌫-⌫||
a faireles piezch ais.	|----|--|---|--⌫--||
de lait et	-|---|-|
d oilefroietespiez	|---|----|--|---|
kitrop estcr ais	-|---|--|--⌫--|
b oiu efenil	-⌫---⌫|----|
ade su cebetoineboif	---⌫||-|------|---|
adens deuers.	|---|-|---||
adensde u ersled o lour trai	|---|-|-⌫--|-|-⌫-⌫---|---|
troisgottesdesanc	----|-----|-|---|
densonl or eilhesiquaterre	|-|--||--⌫----|-|-||----|
tochen tse garri rat.	------⌫|-|-----⌫--||
a sanc stanchier	|---|--------|
e ns elfront .	-⌫-|-|----||
escrisens elfr ontuenun	-----|--|-|--⌫--||-|-|
briefsel im ese n	----|-|-⌫|-⌫-|-⌫|
templiers.	--------||
a lapotrene.	|-|------||
li fiensdel	-|----|--|
p o rkeet lesfu el he sd es	-⌫-⌫--|-|--|--⌫--⌫--⌫|-⌫-|
colztru leis se limes sor l apoit r ine si	---|---⌫---|-|-|--|--|-⌫|----⌫-⌫--|-|
es t ancerat .	--⌫-⌫------||
scapec uisle	----|-⌫--|-|
maroiureen aiguebienes iti	-------|-|----|---||-⌫|||
gesira femme.	----||----||
le ueruoinealaitde chieurefo uterat .	-|-------||---|-|------|--⌫-----||
femme kinepuetporteir .	----|-|-|---|------||
pe ndelescollen cheausdela mostelhe a	--⌫--|--|------⌫-----|-|-|-------||
soncoul etgi s ea	--|---|-|--⌫-⌫||
homeilhconciuerat.	---|--|---------||
s acunstoi uet	|----|--|--|
gr euiei r .	--⌫-----⌫||
hoste to nanneldet on doitselmes	----|--⌫|----|-|-⌫-|---|-||--|
enun desaltre	-|-|--|----|
doiset sidis .	---|-|-|--||
a l anem ischach ie rde lmaisones cr isal p ar oit li	||----⌫-|-----⌫--⌫|--⌫|-----|--⌫--⌫-|-|-⌫--⌫--|-|
c h arniensdelmal he.	-⌫-⌫------|--|---⌫-||
yyfoisledis .	-|---|-|--||
c estli charniensdeldraw on ke .	|--|-|--------|--|----⌫--⌫-||
promier faiscroissus.	------|---|----|--||
etsid is troisfoisd e ci .	-|-|-⌫-|----|---|-⌫|-||
sidis troisfoiscedi	-|--|----|---|-|-|
dec on tre ledolour	---⌫--⌫--|-|-----|
delcrance.	--|-----||
meslamain destredel enferme	--|-|---|-----|-||------|
le des t reetsi u os torneisandui ueror ientet	-|---⌫-⌫-|-|-|-⌫-|------|----|--|--⌫---|-|
promier sditeset puisso ffleen	-------⌫|----|-|---|--⌫---|-|
loreilhe delmaladetr o isfo is	|------|--|-----|--⌫-⌫-|--⌫-|
ets i disdisa zhoureilhe.	-|-⌫|--|--|-⌫|--------||
a loielaules feues cuisent	||--|-||--|----|------|
oste le po ut	---|-|--⌫-|
delfeu etlais aleirla	--|--|-|---|----|-|
fumieren esoreilhes et cefai	-----|-|-|-------|-|-|--|
aubolourestoste irdelceua l	-|-----|--|----⌫-|--|----⌫|
pre nscroiste s de pai nde	---⌫-|-------⌫|-|---⌫|-|
soil ch aueies et	---|--⌫-----|-|
m es ensunoefetmaigrechar	-⌫-|--|-|--|-|-----|---|
de ba conets eil etet	-|--⌫--|-|-⌫--|-|-|
arstoteensembleetsi	--|---|-------|-|-|
enfais pure etmes aue cpoure molut et mes	-|---|---|-|--|---⌫|----|----|-|--|
sus simainger at l e boloir.	--|-|-------⌫-|-⌫|-----||
le derainio rsdedecembre	-|-----|--⌫-|-|-------|
ce s ioursenderam erathome u	--⌫|----|-------⌫---|---||
bestelu euelquar ior	----|--⌫||-|---|--|
etki chardawe	-|-|---||--|
de d ensces	--⌫-⌫--|--|
i oursmaingeraen	-⌫---|-------|-|
yyiors mora t.	-|---|----⌫||
oisea zueiren songese taceauzcombautre	-----⌫|---|-|-----|-⌫||----|--------|
tenc honssenefie	----⌫---|------|
oiseazpren dregaansene fie.	-----|----⌫--|---|----⌫--||
oiseaztoliralcunechosededamaige	-----|----|-----|----|-|------|
ois eazsen sp ennesueir destorbl ier se nefie.	---⌫--|---⌫|-⌫----|---|--------⌫--|--⌫----||
oise azplusoursueirdamaigeu d eciue mens	----⌫-|-------|---|------||-⌫-----⌫---|
oiseazentr e eazcomb atregaangdehauthomesenefie.	-----|----⌫|--|----⌫---|----|-|---|---|------||
oiseaz exbolisanzueirdam ai ge d	-----|---------|---|---⌫--⌫-||
anemisenefie.	----|------||
awe s ensoinge	---⌫|-|-----|
ueiretentresellescombatretenchonss enefie.	---|-|-----|----|-------|-------|-⌫-----||
hez prendreg aingne	--|------|-⌫-----|
hesueiragai tdanemi	--|---|----⌫||----|
h esenmaison ueirdeguerp isementsenefie.	-⌫-|-|-----|---|-------⌫------|------||
hes chastierleecesenef i e.	--|-------|----|-----⌫-⌫||
h esueratot e lour fruit	-⌫-|--||---⌫|---|----|
estraing nehome	--------⌫-|---|
ar gentu ei r	--⌫---|-⌫--⌫|
e tnient maniert e ncho ntsenefie.	-⌫|----|-----|-⌫-⌫----⌫-|------||
ar gentm anier gaaingsenefie.	--⌫---|-⌫----|-----|------||
ortenir umanierenuie	-|----||-----|----|
udetr iementde sesbesoignes.	|----⌫-----|-|--|--------||
bes ans udon ier stroueirenui esenef ie	---⌫--||---⌫---⌫|------|----⌫|-----⌫-|
oru besan s ueir asoise nefie.	-||-----⌫|---||--|--⌫----||
armes porteirseguruteitu confort desesbesoingne	----|------|---------||------|-|--|--------|
senef ie .	-----⌫-||
cha r bonsmaingier	---⌫-⌫---|-------|
damaige se nefie.	------|--⌫----||
prendre alcune choisdempereors onge udeliurancesenefie	------|-----|----||-------|-⌫---||---------|------|
arest en dr eusae tes trair etraualhu anguossen e fie.	---|-⌫--⌫--⌫||---⌫--|-----⌫|------||-----|---⌫-⌫--||
a rbre su eira toslor fru isg aingne senefie	-⌫----⌫|-⌫--||--|--|---⌫-|-⌫-----|------|
arbremonteiralcun e digniteit	----|------|-----⌫|--------|
s o rarbresseir boen	-⌫-⌫|-----|---|---|
me saigesenefie .	--⌫----|------||
arbreue ir etde	----|--⌫-|-|-|
l orfruism ai ng ierioiesenefie.	-⌫-|----|-⌫--⌫--⌫--|---|------||
arbres plusourueirdeciueme nssenefie.	-----|------|---|--------⌫-|------||
arbre s ac endre ane missenefi e.	-----⌫|--⌫----|---⌫--|------⌫||
alo esne boiretenc honss e ne fieu	---⌫---|----|----⌫---|-⌫-⌫--⌫--||
trau ailh.	----⌫---||
blansd r a suestiruluisans leece se nefie	----|-⌫-⌫-⌫|-----||------|----|--⌫----|
alerereterr efe ndret rauailh	||----|----⌫|--⌫---|-⌫------|
us oing nesene fie.	|-⌫----⌫-|----⌫--||
alcun sueoir plushautke ne	-----⌫|----|---|---|-|-|
suetgrieflanguor	---|----|------|
asacreficeap r ostuireu	|--------|--⌫-⌫------||
sa crefier leecesenef i e.	--⌫------|----|-----⌫-⌫||
aignheazu cauroisuasnes	-------||------||----|
ueircrois me nsdeses beso ingnes senefie	---|-----⌫--⌫-|-|--|----⌫-----|------|
asilboiu reenfermeteitsenefie.	---|----⌫-|----------|------||
airturblei s despisement senef ie .	--|-------⌫|----------|-----⌫-||
air cl eir ueoir	--|--⌫--|----|
gaingn ese nefie.	------⌫|--⌫----||
aneldoneirdamagesenef ie.	---|-----|-----|-----⌫-||
anel teniru pr endreseurteit senefie	---|----||--⌫----|-------|------|
anelue ir gaingnesenefie.	---|--⌫-|------|------||
sa crefier ioiesenefie	--⌫------|---|------|
lesesto il esu eirioiesenefie	--|----⌫--⌫-|-⌫--|---|------|
alci elmonte iret deuoreirt rais onsenefie .	-|--⌫-|-----⌫-|-|--|----|-⌫----⌫-|------||
aiguechaudeboi re	----|-----|---⌫-|
uen l i l aueirsoi enfermetei t	|-|-⌫|-⌫----|--|----------⌫|
aigle sorson chies honoursenefi e .	----|--|--|----|-----|------⌫||
aigl e s plusours	----⌫-⌫|-------|
ueir a guais	---|-⌫----|
s e nefie.	-⌫-⌫----||
cuiserpensassailhentdefemme so i	--|------|---------|-|----|--⌫|
heis u e iru prendretenchonssenefie	---|-⌫-⌫-||------|-------|------|
c ui ontoutsamiemort	-⌫-|-|---||---|---|
ai gu e froide boire u en lisoi	--⌫--⌫|-----|----||-|-|--|
laueir santeit senefie.	-----|------|------||
cui morsdonealcunechoise	--|---|---|-----|-----|
gaainsc uiomnesp oire mi e .	-----|-⌫-|-|-|--⌫---|--⌫||
semaison gran tcariteit	-|-----|----⌫|-------|
et biendesonanemi s s e ne fie.	-|---|-|--|-----⌫|-⌫-⌫--⌫--||
s eirs or a isnetrau ail hs enefie	-⌫--|-⌫-|-⌫---|----⌫---⌫|-⌫-----|
a snecaliantetdeliét	-⌫--|------|-|------|
et corant tenchonssenefie .	-|-----|-------|------||
asneueir cri eirgaaingne s enefie .	---|---|---⌫--|-------|-⌫-----||
cui bes te sasai lh ent uenc u s s erat	--|---⌫--⌫|----⌫--⌫--|----⌫-⌫|-⌫---|
de sesanemissenefie .	-|--|-----|------||
alcunsueirangnoi erioie.	-----|---|------⌫-|---||
barb e tondre ur eira soi	----⌫|-----||-⌫--||--|
damai gesenefie.	-----⌫-|------||
barbealcunsueir	----|-----|---|
cr oise ment senefie .	--⌫----⌫---|------||
barbe a l cunauoir leece u soi g nesenefi e	----|-⌫-⌫--|----|----||---⌫-⌫-|------⌫|
b e stes donte ir grat ie s de ses	-⌫-⌫---|-----⌫-|----⌫--⌫|-|--|
auersares usonanemis ueir enpos teitsene fie	--------||--|-----|---|-|---⌫---|----⌫--|
bestescoransueira lcun de sturbiersenefie .	-----|-----|---|-⌫---|--⌫-------|------||
be s te s u eir parleiralcune mo lestesenefie.	--⌫-⌫--⌫|-⌫--|------|-----|--⌫----|------||
bure maingier bo n mesai ge	---|-------|--⌫|-----⌫-|
sen efie .	---⌫---||
baignier soi	-------|--|
enbaigneanuiu anguossesenefie .	-|-----|---||-------|------||
seirenbains teseur ie	---|-|-----⌫-|----⌫-|
n oirmantel ueirgrief tenchon s se nefie.	-⌫--|-----|---|----|-------⌫|--⌫----||
uei r soiafubleitioiesenefie	---⌫|--|-------|---|------|
baingne faire	------|----|
anuisenefie.	---|------||
benefi cefair eioiesenefie	------⌫-|----⌫|---|------|
iarbeskiles uoitcomba tre	-----|-|--|---|-----⌫--|
tencho nssouf eraten ap ert senefie .	------⌫-|----⌫---|-|--⌫--|------||
sostenire n	-------|-⌫|
bastonsoienfermeteit.	-----|--|----------||
blancboue sueir usor luis eir honourssenefie .	----|----⌫|---||--|--|-⌫--|------|------||
buesmors u	---|---||
enmatalantu eir p eril sen efie.	-|-------|-⌫--|-⌫---|---⌫---||
buessens corn esueir	---|---|----⌫-|---|
despise m entsenefie.	-------⌫-⌫--|------||
bue su eir paistrei oie	---⌫|-⌫--|------|-⌫--|
cuiomu isfa i tbienb onteit senef ie.	--|-|-⌫-|--⌫-⌫|---|-⌫-----|-----⌫-||
cuihomemor sfait bie nleece senefie .	--|---|---⌫|---|---⌫|----|------||
uache etpasiblegain gnese nefie	----|-|------|----⌫--|--⌫----|
brastorbles	---|------|
a uoir corochesene fie.	-⌫---|------|----⌫--||
brasauoircoupeis	---|----|------|
ame nu iseme nt senefie.	---⌫--⌫-----⌫-|------||
