O iezseignourbarounDie usuouscroiss e	-⌫--|-------|-----|---⌫-|---|------⌫|
Siuous c o mmencerai cha nçondegrant	-|---|-⌫-⌫--------|---⌫----|-|----|
DeCharlelempererele fort	-|-----||-------|-|---|
roicoroun é	--|------⌫-|
.XXuIIXXXuII uintes i s	|----|-----|---||-⌫-⌫|
tou splainsacomplis	---⌫|-----|-------|
Fu liroisenEspaigneo luison	-|-|---|-|-------||--|--|
grantbarné	----|-----|
Bourscitez et ch as tiausi pristàgrantp lenté	----|----|-|--⌫--⌫----||----|-|----|-⌫-----|
.I.iour est oit li roisà	|||---|---⌫--|-|---|-|
Nobl es la cité	----⌫-|-|----|
S i o tla uile priseet otocis	-⌫|-⌫|-|---|----|-|-|---|
Ogierena pela etNaimonle barbé	----|-|-⌫---|-|-----|-|-----|
EtRollantsonneueuOli uier lesené	-|------|--|----|---⌫---|-|----|
Etle riche barn agede lacrest ienté.	-|-|----|----⌫--|-|-|-----⌫-----||
B arondistlempe re reoroés mon pensé	-⌫---|---||----⌫--⌫-|-|---|--|-----|
Conquisauons lesterr es en	------|----|--|----⌫-|-|
uiron eten lé	----|-|-|--|
saimès chaste l	--|---|------⌫|
bou rcuilenecité	---⌫-|---|-|----|
Oùnosnaionsparf orcemisecrestienté	--|--||----|--|-⌫---|---|----------|
Ne mè s Cor deslaric heque	-|---⌫|---⌫--|-|---⌫-|--|
tientroisDesram é.	----|---|------⌫-||
Or latientlaumacorqui t ant a de	-|-|----||------|--|-⌫--||-|
Eta moult grant empirelà	-||----|----|-----|--|
dedensa ü né	-----|-⌫--⌫--|
Oret argentet	-|-|-----|-|
grant planté	----|------|
Et maintdestriercorant e tm ai ntfaucon	-|----|-------|-----|-⌫|-⌫--⌫-|-----|
Baroncor ialonsparsa intecharité	----||-||----|--|--⌫---|-------|
Que se Diexno sauoitcelauo ir	--|-|---|--⌫|----|--|---⌫-|
Rich e sen	----⌫-⌫|-|
p orr oitestrenopoureparent é.	-⌫---⌫--|----|-|----|------⌫-||
Oie zse ignurs baruns	---⌫|--⌫-----|-----|
c reissebuntez .	-⌫-----|-----||
Ciuusco menceraichanc ̧undegr antnobi lité	-|--|--⌫-------|-----⌫--|-|--⌫--|----⌫----|
De Karlonlemperere	-|-----||-------|
le fort r eicoron é	-|---|-⌫-|-----⌫-|
Le meil lur k efusten	-|----⌫--|-⌫|---|-|
la crest ie nté.	-|-----⌫--⌫---||
uint e si s ans	---||--⌫|--|
tutpleinskarDeul	--|-----|--|--||
Fu Karles enEsp aigneceles tran ge rengné	-|-----|-|---⌫----|--|--⌫----⌫-|------|
B urcscitez	-⌫---|----|
chastelsi prist a ̀	-------||----|-⌫|
grantplent e ́.	----|-----⌫-⌫||
Un iu rfu lireis	-|--⌫|-|-|---|
àNobl e s lacit é	-|----⌫-⌫|-|---⌫-|
Eotpri sla uile e ocisFurré	|-|---⌫|-|---||---|-----|
Ogier apelae	----|----||
N eimeslebarbé	-⌫----|-|-----|
ER olantsun neuou eOliu erle	|-⌫----|--|----||----⌫-|-|
Elenseurbarnage dunt iot	||-----|------|---||-|
p lent e ́.	-⌫----⌫-⌫||
Barunsd i tlem perereor	-----|-⌫-⌫||--⌫-----|-|
