form Cilqu ifist	---|--|--⌫|---|
dEr ecet dE nide Et lescomandem anz	|--⌫-|-||-⌫---|-|--|--------⌫--|
lart damo rs an ro mans	|--||---⌫-|-|--⌫---|
mistEt lemors de l e s paulefistDel roi	---|-|-|---|-||-⌫-⌫----|---|--|--|
d YsaltlablondeEt delahupeetde	|----|-|-----|-|-|-|---|-|-|
E t delrossignoll amuance.I.	-⌫|--|--------|-⌫|-----|--|
nouelcont erancomance	----|----⌫|---------|
D un uasl et qui an Grece fuDel	|-|----⌫-|--|-|----|-|--|
linag eleroiArtu	-----⌫|-|--|---|
Mesain zqu edeluirien uosdie	--|---⌫|--⌫|-|--|---|--|--|
O rro izd esonperelauieDom	-⌫---⌫-|-⌫|--|---|-|--|--|
ilf uet dequellinage.	-|-⌫|-|-|---|-----||
Tantfupreuzetd efi er	---|-|----|-|-⌫|--⌫-|
corageQ uepo r pr is et por losconquerr e Ala	-----|-⌫-|--⌫|--⌫-|-|--|--|--------⌫|--|
d eGreceanEngleterre	-⌫|----|-|---------|
Quil orsestoitBr etai gne dite .	--|-⌫--|-----|--⌫----⌫--|---||
Cesteestoiretrouons escrite Qu e	----|------|------|------|--⌫|
conteruosuuel etretraire	-----|--|---|-|-------|
desliuresde laumaireMons eignorsain tPere	--|-----|-||------|----⌫-----|----⌫|---|
a BiauuezDelafu	|------|-|-|-|
licontes estrezQu itesmoingne le stoir e	-|-----|-----|--⌫|---------||-⌫-----⌫|
a uoirePo r	|----|--⌫|
c efe t elemi alzacroire.	-⌫|--⌫|--|--⌫--||-----||
Par lesli u res q uen os	--|--|--⌫-⌫--|-⌫-|-⌫-|
auonsLes fez des	----|--|--|--|
an cienssauonsE t del sieg le quifuiadis	--⌫----|-----|-⌫|--|----⌫-|--|-|----|
Cenos ontnostr e liure ap ris	-|--|--|-----⌫|----|--⌫--|
Grec eotde cheualeri eLe	----⌫|-|-|---------⌫|-|
pr emierl oset decle rgie	--⌫----|-⌫-|-|-|---⌫---|
P uisuin tcheuale rie	-⌫--|---⌫|-------⌫--|
a RomeEtd ela clergielasomeQui or	|---|-|-⌫|-|------|-|---|--|-|
est anFranceuenue.	--|-|-----|----||
Dexdoint qu elei	--|----|-|--||
so itmaintenueE tqu eli	--⌫-|--------|-⌫|--⌫|-|
leu s l iabelisseTantque ia	---⌫|-⌫|-------|---|--|-|
