S ii ertilsi	-⌫|-⌫--|-|-|
liplest cumlorre zen au aunt	-|----|--||----⌫|-|--⌫---|
Karlors su nt ret urnéliuintfelun	--|---|--⌫-|---⌫----|-|---|----|
Bienquidentdes	---|------|--|
enfanzquil	-----|-|-|
se ient perillant.	--⌫---|---------|
IlontditaRodmundquil lesuirent	-|--|--||------|-|-|--|-----|
ERodmund en adm u tmer cié Te ruagaunt	|------|-|-|-⌫-⌫|---⌫---|--⌫-------|
Ne c reitke	-|-⌫---|-|
messei ent[en]uersluim e sfes aunt.	--|---⌫--|-------|--|-⌫-⌫----⌫----|
lorauint k ëilnerentp ensant	--|----|-⌫-|-||----|-⌫-----|
auentu reg rant	------⌫-|-⌫---|
Kiunuentl ordona –del	-|-|---|-⌫-|---||--|
n orwest [est]uentant–	-⌫-----|----|------||
Kien Bretaign e	-|-|--------⌫|
Hunlaffum anant	-----|-|-⌫----|
m ut poëstifric hesho m euaill ant	-⌫-|-------|---⌫--|--⌫||-----⌫--|
De grant religi ̈u nleaulté mutaman t .	-|----|------⌫--⌫|-------|--|----⌫-⌫|
Icis tnorrira Horn	----⌫|------|---|
cumDe ufupu ruë an t	--|--⌫|-|--⌫----⌫--⌫|
d e me rlifud bon	-⌫|--⌫|-|--|--|
esturm ant	------⌫--|
Tau ntqu i[l]lot	---⌫-|-|---||-|
deliuréquil nefudṭ perillant	-------|-|-|-|----|--------|
le menasicumf usun	-|---|-|--|-⌫|--|
delsoen[l e] ua ill ant [d]un besa nt	--|---|--⌫-|--⌫---⌫--|-|--|----⌫-|
Forslanefke iertuezki	---|-|--|-|---|--|-|
freinst albruant.	------|-|------|
Quantf u rentariué li enfaunta l	----|-⌫-⌫---|-----|-|------|-⌫|
Si lfurent	|-⌫|-----|
esmaié ne f et a	------|-|-⌫-||
merueiller	---------|
sie uentquelgent lasoelent cunu ers ier	---⌫---|---|---|-|------|----⌫---⌫--|
Siil su nt cres tïenupaen uescler	-|-|--⌫-|----⌫----||---||-----|
Pa r queisa cent	--⌫|---|--⌫---|
usuntkar ne nontlatimer.	|---|--|--⌫|--|-------|
Atel sen cumil on tdeucummencent l oe r [f.1b]	|--|--|--|-|--⌫|--|---------|-⌫--⌫-⌫-----|
Kisi ·s ad b i en	-|--⌫-|-|-⌫-⌫-|
gari zdesigra ntenc umbrier	----⌫|-|-|---⌫-|---⌫------|
Pus sesunttuitasissuzlaroche el	--|-|---|---|---|--|-|----|-|
kem oillé sunt cu mmencent essuie r	-|-⌫-----|---|--⌫-------|------⌫|
Atendent entret ant	-------|------⌫--|
ki·ssacëauéé r	---|----|------⌫|
purruntlor mangerc u nquester	------|--|-----|-⌫-⌫-------|
MesD eulor	--|-⌫-|--|
enueiakine·suoutob lie r	-----|-|---|---|--⌫---⌫|
baron–H er lant l oïnome r –	----||-⌫--⌫---||--|----⌫||
Kiestei tseneschal	-|-----⌫|--------|
reiHunlaf princip e r	--|-----|-------⌫-⌫|
Tu ts unregneau oit ilesun	--⌫|-⌫-|----|--⌫--|-||--|
po epleagarde r	--⌫---||-----⌫|
Bien lo saueitpardreit ep a rlei	---|-|-----|--|----||-⌫-⌫|--|
En tuzsensiertcorteisne·lsaueithombla smer.	-|--|---|---|------|---|-----|--|---⌫----|
Cistueneitcheuauchantpar	---|-----|----------|--|
lariue de mer.	-|---|-|---|
En sacump aignesunt tres queuint	-|-|----⌫----|---|----⌫--|---|
cheu a li er.	----⌫-⌫--⌫--|
N iadcilki	||-|--|-|
neport ost u r soru	-|---|---⌫-⌫|--||
Duntpernentle soise auspureus esbaneier.	---|------|--⌫|----⌫--|--|--|---------|
Herl anda due ü	----⌫--|-⌫|--⌫-|
Hornsor les autres premie r	---|--|--|-----|------⌫|
Siturna celepar t le chief	-|----|---|---⌫|-|----|
de sun destrier.	-|--|--------|
Herland ad ueü Hornodl agentef açun	------|-|---|---|-|-⌫|----|-⌫----|
Ne fu d de sun éé	-|--⌫|-|--|---|
ue üplusgent guitun	--⌫-|---|---|-----|
Ki fu stmeuzdoctriné debien rendre	-|--⌫-|---|--------|-|---|-----|
E l dismean iert entréia de sanat ïun .	-⌫|----|-|---|-----|-|-|-|---⌫----⌫|
Enrenc ierentas i si l esi	-|---|-----|--⌫-⌫|-⌫||-|
cumpaignu n	---------⌫|
Purl ordrasessu iersu zlarocheelsablun.	--|-⌫-|---|----⌫--|--⌫|-|----|-|------|
Pussi turna as soens silur	--|-|----|-|----|-|--|
dit tielraisun[f.2a]	--|---|-----------|
uee ̈zmi cumpaignunDeuuusdoinstbeneiçon	---⌫-|-|---------|--|--|-----|--------|
Ditessi· sco nois sezki sunt	----|---⌫|--⌫----⌫--|-|---|
cilualletun	--|-------|
Unc neui ge ncesorsparmasaluatïun.	--|-|-|--⌫------|--|-|----------|
Ioe saura i	--|-----⌫|
kiilsuntdequel auo eisun.	-|-|---|-|---|---⌫-----|
Bien sembl ekeilseientfizdegentilbar on.	---|-----⌫||--|-----|--|-|-----|---⌫--|
Siluindrentparwer e kg ra n t pruiaueron	|-|-------|--|---⌫-⌫|-⌫--⌫-⌫|--||-----|
Bi en p urr um	--⌫-|-⌫---⌫-|
alreifaire	-|--|----|
[la ]present atïon.	---⌫|-------⌫------|
Unkesmaisneliuint[ne]sigent	----|---|-|-|---|---|-|---|
ne sib un.	-|-|-⌫--|
Plusenie rtho nuréé	---|-|--⌫-|--⌫------|
totesaregïo n.	---|-|------⌫-|
Sir e çoediënttuit de pluspres lor alun.	---⌫|---|-----|---|-|---|---|--|----|
Sol uncçoeke uerrumdirrumnostreaui s iun .	---⌫--|---|-|-----|-----|-----|---⌫-⌫---⌫|
P ar mafeid istHerlan d e	-⌫-|-|--|-⌫--|------⌫||
nussi leferun.	--|-|-|-----|
Hornles ueitbien uenir	---|--|---|---|----|
sisenest e sfrée ́	-||-|--|-⌫------⌫|
E li s oe nense ment ne sunt aseüré	|-|-⌫--⌫|----⌫---|-|---|-------|
Se ilorent poürpu rneentiertdemaundé	-|-|----|----|--⌫|----|---|--------|
Karne sieuent kiilsuntnesilquerent	--|-|------||--|---|-||-|------|
Me s dan Hor nsauauncistsi·sa d	--⌫|--|---⌫||--------|---|-⌫|
einz salué	---|-----|
Dels eignur souereink imeint en m aiesté.	--|-⌫-----|-------|-⌫|----|-|-⌫-------|
Li plusiofnesd aus	-|---|-----||--|
ierteiertli	---||---|-|
plussene ́	---|----⌫|
Plushardi iertde	---|----|---|-|
meuz enpa rent é .	---|----⌫----⌫--⌫|
Tri wesadd emaundéde pesd e	---⌫--|-|-⌫-------|-|--|-⌫|
seü rté.	----⌫----|
Quant Herla nd	----|-----⌫-|
lad oï neli ad	|-|--|-|-|-|
Ain z resaluadluiepesliad	---⌫|-------|--||--|-|-|
Pusdemaundequil sun tneli seitpas	--|-------|-|-|---⌫|-|-|---|--|
celé.[f. 2b]	---------⌫--|
Elie nfeslendittute	|-|-⌫---||-|--|---|
l a uerite ́	-⌫|------⌫|
Qu ilfufiz	-|-|-|--|
Aa ̈lofalbonreicoruné	--⌫---|-|--|--|------|
K ioutaiustisierSu d dene lere gné	-⌫|--||--------|--⌫-⌫---|-|--⌫---|
Cum p ai en	--|-⌫--⌫-|
l ore nt mort eluiont	|---⌫-|---||--|--|
Tut e s auentureliaddech iefcun té.	---⌫||-------|-|-|-|--⌫--|---⌫---|
E quant H e rland l oï mut len	|----|-⌫-⌫----||--|--||-|
pristgrantpi ti é.	----|----|--⌫--⌫--|
Pusliad res pondu Neserez	--|-|-|---⌫----|-|----|
Neuusnenul	-|--|-|--|
di cesk od uussunt ariué.	|-⌫--||-|--|---|------|
ParD eu sire Herlanddiëntl icheualier	--|-⌫-|---|------|-----|-⌫|--------|
werec e bien	----||---|
fai ta prei sier.	---⌫||----⌫----|
Bienles p orrumloreinobl e mentpresenter.	---|--|-⌫----|-|--|----⌫-⌫---|---------|
Cil kiparla	--|-|----|
purtuzad leuisa ge	--|--|-|-|----⌫-|
Bien resembl e	---|-------⌫|
qu ilseit f iz	-|-|---|-⌫-|
d e rei pr incipe r.	-⌫|--|--⌫------⌫-|
Sur ces autresenfaunz	--|--|-----|------|
mutbiendeitseig nore r	--|---|---|----⌫----⌫|
Eparmitutiçoe n i fait	|----|--|----|||---|
nula blasmer.	--||-------|
T utenfrom uoztalanzkenuodrez cumma n der.	-⌫-|-|---|--|-----||-|-----|-----⌫-⌫---|
Seignurs mut ditesbienc ̧o e respundili bier	-------|--|----|---|-⌫--⌫|-------|-|---|
Prengechescunlesoentries	-----|------|-|---|----|
se isur sun destrie r.	--⌫|--|--|-------⌫-|
Pu ssin usenirrom	--⌫|-|-⌫-|-|----|
dreitalmestreso ler	----|-|-----|--⌫--|
Umissires Hunla f nos t r e re i sout	|--|----|-----⌫|---⌫-⌫-⌫|--⌫|---|
p resent eromcestr ou ezelg rau i er	-⌫------⌫---|--|--⌫--⌫-|-|-⌫---⌫-⌫-|
S i·nfera sunpleisircumreie	-⌫--|---|--|------|--|--||
iusti sier.	-----⌫----|
S ilueut fairemunlosbi enlesfer a garde r	|-|---|----|--|--|--⌫-|--|---⌫|-----⌫|
Karencorliaurontpoetcel	--|----|-|-----|---|--|
estremestier.[f. 3a]	----|-------|---⌫--|
Si cum d istpu sfud	-|--|-⌫--|--⌫|--|
or rez recunter	--⌫--|-------|
No str eescritenauant	--⌫---⌫|-----|-|----|
si·luulez escuter.	---|----|-------|
Dië nt tuitcummunal Bienfaitao tri ̈er	----⌫-|---|-------|---|---||-⌫---⌫--|
a uezditnefaitarefuser.	-⌫--|--|-|---||-------|
Chescunadpris les oen p arcomantpr i ncipal	------|-|---|-|-⌫--|-⌫-|-----|--⌫-⌫-----|
EdanHorn ad cho isi	|--|---|-|---⌫--|
Herlandleseneschal.	------|-|---------|
Mutsu ëflenpo rta	--|--⌫--||----⌫--|
tr iesse isursunch eual	--⌫--|--⌫|--|--|--⌫---|
U te nserl e	|--⌫---|-⌫|
puisseennul liu nauramal.	-----|-|--|--||---|---|
Cheskundes cu mpaignun sdel soenfetautretal.	------|--|--⌫--------⌫|--|---|--|--------|
Pus s enu unt	--||-|-⌫--|
uers lacor t par	---|-|---⌫|--|
l ec hemin chara l	-⌫|-⌫----|-----⌫|
T antq uil sunt descenduzala	-⌫--|-⌫|-|---|--------||-|
sale real.	---|----|
Prisfur entlorcheuaus emenéalosta l	---|---⌫--|--|------||----|-|----⌫|
Mutfurent esgardéli enfa u ntnatural	--|-----|-------|-|----⌫-⌫-|------|
Bienlorerentseauntlorbliautde	---|--|----|-----|--|-----|-|
MesH ornle s passouttuzcumm	--|-⌫--|--⌫|------|--|---|
est e ile iornal	---⌫-⌫--|-----|
Faiteste iles menorsp ro ce ins de	---|----⌫---|-----|-⌫--⌫--⌫--|-|
I ssiiertilsurtu z sireee nperïal.	-⌫--|---|-|--|--⌫|---||-⌫--------|
Her laundentre	---⌫----|----|
elpaleis etrestuitcummunal	-|-----||-------|-------|
Euint de uant lereicum	|---|--⌫---|-|--|--|
nobile uassal	-----|-----|
fr ontt iel pre sentkuncma is ne	--⌫--|-⌫--|---⌫---||--|--⌫-|-|
reçut tal.	-----|---|
Primes lont salué cum me	-----||--|-----|---⌫-|
seignor charn al	------|-----⌫-|
Apresditsaraisun	----|--|-|-----|
Herlandlefiz	------|-|--|
Sire reishonurezsurtuzautreslea l	---|---|------|--|--|-----|---⌫|
Nus fumesu i	--|----|-⌫|
al ezriu eër la	--⌫-|---⌫---|-|
aual[f .3b]	------⌫---|
Sur celportde	--|--|---|-|
lamer. Acel	-|---||--|
rochu costal	----|-----|
Latruuaicesenfanz sanz a utre	-|-----|--|-----|---|-⌫---|
Ariuéueirementpar tempestemortal.	-----|--------|--|-------|------|
Parlatempestegrant lafurentariuez	--|-|-------|----|-|-----|-----|
Enun b atelquil orent[ e] deroché	-|-|-⌫---|-|-|----|-⌫-|-------|
Asr oche ssefer itu t i	-|-⌫----⌫|-|---⌫|--⌫||
fu dde peciez .	--⌫|--⌫------⌫|
Niore ntgouernaill neauirun	||---⌫-|---------|-|-----|
aut reri en dunt il	---⌫-|--⌫-|---|-|
f ussen tai dez	-⌫-----⌫|--⌫--|
Fors la uertude	---|-|----|-|
Cumwerekl a·saipri s si·suus	--|----|-⌫--|-|---⌫|---|--|
mese n ferez tute suos	--|-⌫|----|----⌫|--|
Bie ndiront qui ilsuntsi uus	---⌫|-----|--|-|---|-|--|
lurdema ndez .	--|----⌫----⌫|
Liplusiofnes	-|---|-----|
de tuz enestlip lus	-|--|-|--|-|-⌫--|
Ciluusno merabientr estuz	--|--|--⌫---|---|--⌫----|
ses parentez.	--|--------|
duntil sunter tillor auuez	---|-|---|--⌫|-|--|----|
Pur t au ntest ço em estu is tut	--|-⌫--⌫-|--|---⌫||--|-⌫-|--|
limeuzenparlez	-|---|-------|
Esiestli plus genz	|-|--|-|---|---|
e lime uz f ig urez.	|-|--⌫-|-⌫--⌫----|
Parlemienesc iëntde	--|-|---|---⌫----|-|
franc[ s]home[s] suntnez	------⌫-|------|---|--|
Nefussent ia par	-|------|-|--|
frarin sissi	------⌫|---|
b ien cunreez	-⌫--|------|
Equant saur ezquil s untsi	|----|----⌫-|-|-|-⌫--|-|
uus encu nseillez	--|-|--⌫-------|
Qu elsert uostre plaisir	--⌫--|--|-----|------|
sinurrir les uule z	-|-----|--|----⌫|
Usi·sf erezuenet ere auei ren	|---|-⌫---|-----⌫-||----⌫|-|
sunt iluoz fai tesen[les]uosgrez.	---|-|--|---⌫--|-|----|--|----|
R eisHunlafles receitsi·ne stioi us	-⌫--|-----|--|-----|---|-⌫-|---⌫-|
ap el ésil iditducement[f.4a]	--⌫--⌫-|-|-⌫|--|-------------|
Diu ac umas [tu]nunkifurentti	-|-⌫|-⌫-|-|---|--|-|-----|-|
Dim ei lauerité	-|-⌫-|-|------|
ne t esmaiernee ̈nt.	-||------|---⌫---|
Tuaurasmesen	-|----|--|-|
meim ult bonapuiëment.	--|-⌫--|--|----------|
O reestHorna s eürsi	-⌫-|--|---||-⌫---|-|
