quitoutueut f eres ans	--|---|---|-⌫--|-⌫--|
l e nuient	|-⌫|----|
ne m enmerueil	-||-|------|
antouterienest bien dr oit ure	-|----|---|--|---|--⌫---⌫--|
esgartsansetmesure	-----|---|-|-----|
bien doitcil qui enm ersemet	---|---|--|--|-|-⌫-|-|--|
garderquelitensli	-----|--|-|---|-|
et quantil uoit	-|----|-|---|
quila bon uent	-|-||--|---|
dontpu etna gierseurement	---|--⌫-|--⌫---|--------|
ai n siqui s	--⌫-⌫-|--||
entremetdamer	-------||---|
etpa rsauoirse ueut	-|--⌫|-----|-|---|
biendoitgarderaucommencie r	---|---|-----|-|---------⌫|
quar puisquil senest entremi s	---|-----|-||-|--|-------⌫|
estauquesso rpris	--|-----|--⌫----|
esti l pas a son	--|-⌫|--||--|
soi tbienssoit	---⌫|----|---|
maus ne npuet p artir	---||-⌫|---|-⌫----|
etnepor quantseil auient	-|-----⌫----|-|-|-----|
que cil quifol ea m or mai ntient	--|--|--|---⌫|-⌫-⌫-|---⌫-----|
en estsorprisetbien	-|--|------|-|---|
des t roiz	---⌫-⌫---|
lorsestilbienresonet dr oiz	---|--|-|---|----|-|--⌫--|
queceleenoi esap roier e	--|---|-|--⌫|-|-⌫-----⌫|
e t nesoitpasuersl ui	-⌫|-|---|--|---|-⌫-|
tropfie re	---|---⌫-|
qu e tro pi pu etauoir domage	--⌫|---⌫||--⌫-|----|-----|
pa r so n orgu eil	--⌫|--⌫|----⌫--|
amorsquenaturecon sent	----|--|-----|---⌫---|
puisqu eenxxse p re nt	------⌫|-|-|-|-⌫--⌫-|
etdutout e st a lorp lesir	-|-|---|-⌫-||--|-⌫----|
elb oneama i nt e nir	-|-⌫--||--⌫-⌫--⌫-⌫--|
et sil au ient	-||-|--⌫---|
quefam eprit	--|---⌫|---|
quee scondit	--|-⌫------|
iediporuoi rsan zentrep rendre	-|-|--|---⌫|---⌫|------⌫-----|
conladeuroitardoiro u	|-|-|------|-----|-⌫|
n arcisu s qui	-⌫------⌫|--|
fumo rsdam er	-|--⌫-||--⌫-|
nousdoitexamplea tozd oner	---|---|------||--|-⌫---|
am orsblasm oit e tsapu is sa nc e	--⌫--|-----⌫--|-⌫|-|--⌫--⌫--⌫--⌫|
mespu isenpri stamorsueni ance	--|--⌫-|-|---⌫-|----|----⌫---|
a teleamor le fistac li n	|---|---|-|---|--⌫--⌫|
dontilrecutmortenlafin	---|-|----|---|-|-|--|
ildeuinoitde te besnez	-|-------|-|--⌫--|--|
de dire uoir ertesprouez	-|---|---|--|-------|
nusnepoo it aperce uoi r	--|-|---⌫-|------⌫---⌫|
nepar espire mentsau oir	-|--|------⌫---|---⌫--|
queonquesde ist seuoirnon	--|-----|--⌫--|-|---|--|
porcees toitdehautre no n	--|-|--⌫---|-|---|--⌫--⌫|
unedamedelacite	--|---|-|-|---|
iazzsuenenfantporté	||-|---|-----|-----|
q uelidie c equile nsen t	-⌫-|-|--|-⌫|-|-|-⌫|---⌫|
seuiurapou ou longuement	-|----|--|-|---------|
dist tout sanz u oisd ie	---|---|---|-⌫----⌫-|
gartbienquiln ese u oie mie	---|---|-|-|-⌫|-|-⌫--|--|
neuiuragueressil se	-|----|-----||-|-|
celelo tquipas	---||-⌫|--|--|
entor nes i di stbi en	-|---⌫-|-⌫|--⌫-|--⌫-|
que saparole neuaut rien	--|-|-----|-|---|---|
loncte nsen fur enten doutanc e	---|--⌫-|-|---⌫--|-|-------⌫|
et enl afin uintla prouance	-|-|-⌫|--|---|-|-------|
narc is uscrut	----⌫--⌫-|---|
e tdeuin t gra nz	-⌫|-----⌫|---⌫-|
et bienpooitauoir xxanz	-|---|----|----|-|--|
granz fu de corsetde	----|-|-|---|-|-|
onques s i	-----|-⌫|
belecrea ture	---|----⌫---|
nef unee mie n	-|-⌫|--|---⌫|
escientr e	--------⌫|
natureim ist toute sentente	-----||-⌫--|----||------|
a deuiseret aportrere	|------|-||-------|
etagrant painel ep o tfere	-||----|----|-⌫|-⌫-⌫|---|
t outsicomme i llotde uisé	-⌫--|-|----|-⌫||-|--⌫----|
quetantiot d elabiaute	--|---||-|-⌫|-|-----|
sottantporpensser	--|---|---------|
quelu eques ne uousi st	--|--⌫----|-|-----⌫-|
primesa fet ses	-----||--|--|
sim plesetuai rs	---⌫---|-|---⌫-|
cle rsetluisanz	---⌫-|-|------|
messorto utcequ eele imi st	--|--|--⌫-|-|--⌫|--||--⌫-|
lidieus damorsdusieni	-|----||----|-|---||
illiassist zz dou z re gart	-|-|-----|-|---⌫|--⌫---|
quit outl emon tesp r en tet art	--|-⌫--|-⌫|---⌫|---⌫-⌫--⌫|-|--|
p uis fistle	-⌫--|---|-|
nezet puislaface	--|-|---|-|---|
plusblancque crista lnequegl ace	---|----|--|------⌫|-|--|--⌫--|
le sdenz plu s blanchesne sont	--⌫|---|---⌫|-------|-|---|
si lesassambla xx	-|--|-------|-|
q uantchascuneotparsoi	-⌫---|-------|-|--|--|
les leuresmisten teleguise	--|-----|---|-|---|----|
po iil essad	--⌫||-⌫---||
seloncresone t	-----|----|-⌫|
etq u anteleot f etela	-|-⌫-⌫--|--|-|-⌫--|-|
amors u nedoucoritouch e	----|-⌫-|-----||-----⌫|
f amequiune foizlas en t	-⌫--|--|--|---|-|-⌫--⌫|
desamoralumeet esprent	-||---|----|-|------|
a pre sli af etlementon	-⌫---⌫|-||-⌫-|-|-----|
et de to u tesparsen uiron	-|-|--⌫-⌫--|---|--⌫----|
leuapoliss an t asa main	-|-|------⌫--⌫||-|---|
ilestsouefetplain	-|--|----|-|----|
c leret luisantsont	-⌫--|-|------|---|
d u cu irdu front estsi	-⌫|--⌫-|-|----|--|-|
cheu euscrespésre cercelez	----⌫--|-------|--⌫-------|
plusluisentqueo rs	---|------|--|-⌫-|
quanttoutlotfetasonc o mma nt	----|---||-|--||--|-⌫-⌫---⌫-|
par le uiaireliespant	--|-|-----|-|-----|
unecol orquin estpa sf ain te	--|---⌫-|--||--|--⌫|-⌫---⌫-|
et p arlafacequi	-|-⌫-|-|---|--|
estpai nte	--|---⌫--|
ne sepalist nene	-|-|-----|-|-|
tant facechau tne tant	---|---|----⌫|-|---|
ne ne desm entennulefin	-|-|----⌫--|-|---|--|
teuses t ausoi rcomme au matin	---|--⌫|-|---⌫|----|-|----|
lesmai ns otbeles amer ueil le	--|---⌫-|-|----||---⌫----⌫-|
elemei smeseme rueille	--|---⌫--|-|--⌫------|
c ommen t elele	-⌫-----⌫|--|-|
fistsibien	---|-|---|
quan tlesgar dan ibla sma	----⌫||-----⌫-|||---⌫--|
quequanquele	--|-----|--|
uoitliestui s	---|-|--|--⌫|
qu ilnepuetest re mieusassis	-|-|-|---|---⌫-|----|----|
pa rte l enginetparteleure	--⌫|--⌫|----|-|--|--|---|
etpart el sensle	-|--|-⌫-|---|-|
fistnature	---|-----|
puet ennullieutrouer	---|-|--|---|-----|
sibiau damoiselne	-|---|-------|-|
liuallesotxx anz	-|-----|-|-|--|
moltestoitbiausetauenanz	---|-----|----|-|------|
moltamoite t	---|----|-⌫|
boise t ri u iere	---|-⌫|--⌫-⌫---|
s ond eduitc es t sa proi ere	-⌫-|-⌫----||--⌫|-|----⌫--|
qu ilpe ust	-|-|--⌫--|
ce rfouporc	--⌫-|-|---|
qu ilenpeu st son cue ro ster	-|-|-|---⌫-|--|---⌫|-⌫---|
nedamorsnuler iennes et	-||----|---|-⌫--|-|-⌫-|
dameset chambres	----|-|-------|
fuit eth et	---|-|-⌫-|
par auentureert repe riez	--|-------|--|----⌫---|
duboist o z lasettraueil l i ez	-|---|-⌫-⌫|--|-|-------⌫-⌫-⌫-|
de c orr eestoit tozes chaufez	-|-⌫---⌫|-----|--|--⌫------|
senertcreue sab iautez	|-|--|----|-|-⌫-----|
ilauoitmoltfres chec olor	-|----|---|----⌫--|-⌫---|
si qui lp assoitl ezune	-|-|-⌫|-⌫-----|-⌫-|--|
desfenestresaius g ardé	--|--------||--|-⌫----|
lafilleau roi	-|----|-|--|
danes otnonladamoisele	----|-|--|-|--------|
le paisn ot	-|---||-|
ele choisile d amoisel	--|-----|-|-⌫------|
moltle uit gent etcointe etbel	---|-|--|---|-|-----|-|--|
gresle parflans etgrosle pis	-----|--|----|-|---|-|--|
biau s b razauoitauquesf ornis	----⌫|-⌫--|----|-----|-⌫----|
lo ns etgresl es	--⌫-|-|-----⌫-|
auoitlesdoiz	----|--|---|
etlesiambes	-|--|-----|
piezdro iz	---|---⌫-|
uoi tle cheua lqui sedesroi e	---⌫|-|-----⌫|--|-|------⌫|
et fet fremirto ut elauoie	-|--|-----|--⌫--⌫|-|---|
eleliueoitfere	--|-|----|---|
pooit ilriens	----|-|----|
tant l esga rd e	---||----⌫--⌫|
qu enese m uet	--⌫|-|-|-⌫--|
tan tcomme	---⌫|----|
ele auiserle	--|-----|-|
merueill eetsia droit	--------⌫|-|-||----|
porqoisiuolenti ersl e uoi t	--|--|-|-------⌫--|-⌫|---⌫|
amors reg arde	----|---⌫---|
uer slapucele getezz dart	---⌫|-|-----|---|-|---|
sesentferue	-|---|----|
enla placechiete stendue	-|-|----|----|-⌫------|
isne leme ntoeures onsain	----⌫----⌫-|----|-⌫-|---|
par toutsonpi stastea sama in	--|---|--|--⌫|----||-|--⌫-|
plaiecuidetrouerdehors	----|----|-----|-----|
m eseleestoit	-⌫-|--|-----|
dedenzs onco rs	-----|-⌫-|--⌫-|
lorssent q ueouc orsestferue	---|---|-⌫-|-|-⌫--|--|----|
sien es tauquesesperdue	-|-|--⌫|-----|-------|
moltdurements estde mentee	---|-------||--|--⌫-----|
etsi alacolormu ee	-|-||-|----|--⌫-|
ahiamorscommeespoissant	--|----|----|-|-------|
commeestta seignoriegrant	----|--|-|--------|----|
tu nedoutes contene roi	-|-|-----|----|-|--|
le plus sage mesenesfr oi	-|---|---|--|-|----⌫-|
rageet deruerie	---|-|-------|
qu itoutecho seenserreetlie	--⌫|----|---⌫-|------|-|--|
amors a ngois seamor ses traint	----|-⌫-----⌫-|----⌫|--⌫-----|
amorsnoircist	----|-------|
uia i reet ta int	---⌫-⌫-|-|--⌫--|
amor s dest ra int amor semb race	----⌫|----⌫--⌫--|----⌫|---⌫---|
amorsmetgent en	----|--|---|-|
amo rs lesfett antcheuauchie r	---⌫-|--|--|-⌫--|----------⌫|
q u il nontneuoiene	-⌫|-||--|-|---|-|
a morsa siceste conquise	-⌫---||-|----|-------|
que le ne set en quele guise	-|-⌫-|-|--|-|----|----|
elesepuisse	--|-|-----|
pl eure et plainte t fetzz souspi r	--⌫---|-|-----|-⌫|--|-|------⌫|
orafroidure	-||-------|
or atropchaut	-||---|----|
e tore tres s aut	-⌫|--|----⌫-⌫--|
amo rsacestesi at ainte	---⌫-||----|-|--⌫----|
lanuituientet le ior	-|---|----|-|-|--|
estdepenss erlasse	--|-|-----⌫-|----|
sonlitfetfereetu agesir	--|--|--|---|-|-⌫|----|
tornaz z t orne pot dor mir	----|-⌫|-⌫-|-|--|---⌫--|
dorm irnepuetamorsnelle st	----⌫-|-|---|----|-||--⌫-|
lasse feteleceq uedoit	----|--|--|-|-⌫-|---|
nepuisd o rmirnereposer	-|---|-⌫-⌫---|-|------|
tor nermestuete t	---⌫--||-----|-⌫|
enp ai nesuiete ntraua il	-|-⌫--⌫-|--|-|-⌫|-----⌫-|
qoiiemetrauail	--|-|-|------|
il mestauisque iaidurlit	-||--|---|--||-|--|--|
dedieusoie nt	-|---|----⌫-|
tui tcilmaudit	---⌫|--|-----|
qu ilemedurent	--⌫|-|-|-----|
ersoir faire	-|---|----|
trops ontfelon	---|-⌫--|----|
etdeputaire	-|--------|
ensuibiena p erceue	-|--|---|-⌫-⌫-----|
lacouten e fupas	-|----|-⌫|-|--|
pasremu ee	--|----⌫-|
aincois esttouteamoncelee	------|--|----|--------|
grantmerueille es td e	----|--------|--⌫|-⌫|
deceprendrai ie bien con roi	-|-|-------|-|---|---⌫--|
ieferaices famesl euer	-|----|--|----|-⌫---|
porcest ecoute	--|----⌫|----|
lorsuestune pelicehermine	---|---|--|-----|------|
etuaau lita samesch ine	-|-|-|--||-|-----⌫--|
esu eilliélasel i	---⌫------|||-|-⌫|
que le l i f acetost s onli t	-|-⌫-|-⌫|-⌫--|---|-⌫-|--⌫|
cele le fet isnel le p as	---|-|--|-----⌫--⌫-⌫-|
