k ideusad dunéen science	-⌫|---|-|----|-|------|
ed ep arlerbon eloqu ence	|-⌫|-⌫----|--|-----⌫---|
taisir neceler	-----|-|----|
ainz sed e it	---|-|-⌫-⌫-|
uol unters mustrer	---⌫-----|------|
quant unsgranzbiensestm u ltoiz	----|--|----|----|--|-⌫-⌫-|--|
dunc aprime s est ilf luriz	---||-----⌫|--|-|-⌫----|
equa ntloez estde plusu rs	|---⌫-|---|--|-|-----⌫-|
dunc ad es pandues se s	---|-|--⌫------|--⌫|
custumefu asanciens	------|-|-|------|
ceotesmoinepreciens	--|-------|-------|
esliuereske iad isfeseient	-|------|-|---⌫-|-------|
assezos cureme nt	----|--⌫------⌫-|
pur ceuskiau enire steient	--|---|-||-⌫---|-⌫------|
a prendre lesdeu ei ent	-⌫------|--|---⌫--⌫--|
ki pu ess entgloserla l ettre	-|--⌫---⌫--|-----|-|-⌫----|
edelursenle	|-|--|--|-|
s urplusm e ttre	-⌫-----|-⌫-⌫---|
l i p hilesophe le	-⌫|-⌫--------|-|
epareusmemesentende ient	|--|--|----|-------⌫---|
cumplustrespasseruntletens	--|---|------------|-|---|
eplusserr eientsutild e s en s	|---|----⌫----|----|-⌫|-⌫--⌫|
eplusse sauereientgarder	|---|-|---------|-----|
deceo kiert a	-|--|||--||
trespasser	---------|
kideui ce seuoltdefendre	-|-|--⌫-|-|---|-------|
estud ier de iteente ndre	-----⌫--|--⌫-||----⌫---|
egreuos ouere comencier	|-----|----|--------|
parse puetpluseslo ig nier	--|-|---|---|----⌫--⌫---|
edeg rantdolur deliuer er	|-|-⌫---|----|-------⌫-|
purceoc omenc er ai apenser	--|--|-⌫-----⌫--⌫-||-----|
deaukune bone	-|-----|---|
estoiref aire	------|-⌫---|
edel atinenromaunz t raire	|-|-⌫---|-|------|-⌫----|
mais nemefus t guair es depri s	---|-|-|---⌫|-----⌫-|-|---⌫|
it an tsesuntaltresentrem is	--⌫--⌫|-|---|-----|------⌫-|
deslai spensai k o iaueie	--|---⌫|-----||-⌫|----|
pas bienlesauei e	--|---|-|-----⌫|
ke purr emambra nce le sfirent	-|--|-⌫-------⌫--|--⌫|-----|
desa uentureskiloir en t	--|-⌫-------||-|---⌫--⌫|
cilkipri mesl es comencierent	--|-|---⌫--|-⌫-|-----------|
ekiauantles	|-|----|--|
enueierent	---------|
p lusu rse nai oi conter	-⌫----⌫-|-⌫|-|-|-----|
ne u oil laisserneoblier	-|-⌫--|------|-|-----|
rimezenaiefaitdi t ie	----|-|-||---|--⌫-⌫-|
souentes fiez en aiueillié	-------|---|-|-|-------|
enlehonur de uu snoble s reis	-|-|----|-|--⌫|-----⌫|---|
ki ta ntest es pr u z ecur teis	-|--⌫-|---⌫-|--⌫-⌫||---⌫---|
i oieseencline	-⌫--|-|------|
eenki quoertuzbiensracine	|-|-|----|--|----|-----|
m entremis deslaisas sembler	|-------|--|---|--⌫------|
parrimefair e ereconter	--|---|----⌫||-------|
enmun quoerpenso ee disei e	-|--|----|-----⌫||-----⌫|
sire keuospresentereie	---|-|--|-----------|
siuos lesplaista	-|--|--|-----||
receu ei r	-----⌫--⌫|
multmefe re z gra nt ioie auei r	---|-|--⌫--⌫|---⌫-|---|----⌫|
atuz iurzm ais	|--|---|-⌫--|
en serrail ie	-|-----|-⌫-|
tenezasur quidie	----||---⌫-----|
si uos os faireicest pr esent	-|--|-|----|----|--⌫----|
ore oez lec omencement	--|--|-|-⌫---------|
