apresce quemestres gautiersma pot	----|-|--|------|-------|--⌫|-|
misenesc ritd esaue nturesdel	--|-|---⌫--|-⌫-|---⌫-----|--|
seintgr aal assez soufisanment	----|--⌫--|----|-----------|
sicomlise mbloit si	-|--|-|--⌫-----|-|
henri sonseigneur quece qu il auoit	----|--|-------|--|-|-|-|----|
fetnedeuoit	--|-|-----|
pa ssoufiresilner amenteuoitl a fin	--⌫|------||-|-|-⌫---------|-⌫|--|
de ceusdontilauoit fet deuant	-|---|---|-|----|--|-----|
mentione tco nmentcil moruren tdo nt ilauoitamente ues les	------|-⌫|--⌫----|--|-------⌫|--⌫-|-|----|------⌫--|--|
proescesen so n liure	-------|-|--⌫|----|
etporcecommencai l cestederrienne	-|--|-|-------|-⌫|----|--------|
et quantil lo t ensemble mi sesi	-|----|-||-⌫|-------|--⌫-|-|
lapelalamort le roi art u	|----|-|---|-|--|---⌫|
por cequeenlafine s t	--|-|--|-|-|--|-⌫-⌫|
escritconmentliroi s artusfunaurezenl a	-----|------|-|---⌫|----|-|-----|-|-⌫|
b atai lledesalebieres et conmentilse partidegirfl e t	-⌫----⌫--|-|---------|-|------|-|-|----|-|-----⌫-⌫|
qui s ilonguementli fist compaignie	--|-⌫|---------|-|---|---------|
quea presluine f u	--|-⌫---|--|-|-⌫|
nus homqu ile	--|--|--⌫|-|
uei stuiuant.	---⌫-|-----||
s icommence mes t r es gautiersentel maniereceste	-⌫|-------|---⌫-⌫-⌫-|-------|-|--|------|----|
derrie nne p artie .	------⌫--|-⌫----||
quant boorzfu	----|----|-|
uenuzacort enlacite meismesdek ama alotde	----||---|-|-|---|------|-|-⌫---⌫---|-|
silo inteingnes terre scomme sontlesparties	-|--⌫---------|-----⌫|----|---|--|------|
deierusalemassez tro uuaacourtqui gran ti oieli	-|--------|----|---⌫--||----|--|----⌫|-⌫--|-|
le de sirroienttuitettotesa ueoir.	-|--⌫--------|---|-|----||----||
etquant ilo ta contéle	-|----|-|-⌫|-⌫-----|-|
trespas sementde gal aadetlamor t p erceualsien	-------⌫-----|-|---⌫--|-|-|---⌫|-⌫------|-|-|
furenttu it moultdolentacou rt	-----|--⌫-|----|-----||---⌫-|
mestouteuoiessenreconforteren t auplu s biau qu	--|---------||-|-------------⌫|-|---⌫|---|-|
lors fistliroismetreenescrit	---|---|-|---|----|-|-----|
toutesles auentur es queli compaignondela queste d el	-----|--|-------⌫-|--|-|---------|-|-|-----|-⌫-|
seint graal auoi entraconte esens a	----|----|----⌫--|-------⌫-|-|-⌫|
ilotce fetsidists eigneu rgardez	-|-|-|--|-|---|-⌫------⌫|-----|
quanzde uozcomp ai gno nsnos	----|-|--|----⌫--⌫---⌫-|--|
auons perduz	----|-----|
encesteques te.	-|----|----⌫-||
