quipres demois eu auratraire	--|---|-|--|-⌫|-⌫---|-----|
zzbel cont e morr aretraire	-|--|----⌫||---⌫|-------|
donti e mesuitantentremis	---|-⌫|-|--|---|-------|
qu e ie lai touten rimemis	--⌫|-||-|---|-|---|--|
ormen tendéske b ien suousuiegne	-||--⌫------|-|-⌫---⌫|---|-----|
q uil auint l	-⌫|-|----||
a utrier a c ompiegne	-⌫-----||-⌫-------|
enlauilleauoitzz bourgois	-|-|----|----|-|-------|
quimo lte rt	--|--⌫-|-⌫-|
sa gesetcourto is	--⌫--|-|------⌫-|
demoltgrant afaire	-|---|----|-----|
etmoltuaillanspourhonnour faire	-|---|-------|---|------|----|
p oure comme auriche	-⌫---|----|-|----|
com cil qu inert	--|--|--⌫||--|
auersnechices	----|-|-----|
libourg oi sa uoit	-|-----⌫--⌫|-⌫---|
zz bielfil	-|---|--|
quimaintdeniermis t a escil	--|----|-----|---⌫||----|
ta n t comme	--⌫-⌫|----|
ilfuens a ioulec e	-|-|-|-⌫|------⌫|
desa biautede s a	-|-|-----|-|-⌫|
n auoit nuliusquenbiauu isis	|----|--|----|-|-----⌫---|
zzpoureuoisin	-|----|-----|
qui unefilleau oitmoltcointe	--|--|----|--⌫--|---|-----|
etliualles	-|-|-----|
delisacoi nte	-|-||----⌫--|
damou rsli proial ongement	|----⌫-|-|----|-⌫-------|
d i st apertemen t	-⌫-⌫-|---------⌫|
quemieusliuenroitrepos er	--|----|-|------|-----⌫-|
leueut espouser	-|---|-------|
seliplaisoit queil l	-|-|-------|--|-||
afemme si co mmeil	|----|-|--⌫--|-|
de cheauroitellegrant ioie	-|--|-----|---|----|---|
siaiede men corioi e	-|--|-|--|--|---⌫|
uallesconchemeplaist	-----|--|--|-|-----|
mai ntenantpr es de li	---⌫------|--⌫-|-|-|
silenb rachapar mi les flans	-||---⌫----|---⌫-|--|----|
qu eleauoitbienfais etblans	-|--|----|---|---|-|----|
puissenreuintasamai son	---||-|-----||-|---⌫--|
siamissonpere araison	-||--|--|---||-----|
a c el afaire dit	|-⌫-|-----|--|
m aisliperes	-⌫--|-|----|
lacont redit	||----⌫----|
quim olt lenblasme	--|-⌫--||-|-----|
etmolt len	-|---||-|
biausfiusfai til	----|---|---⌫|-|
sifaite cos e	-|----|---⌫|
u ous deuerié su ousm o l tbientaire	-⌫--|--------⌫|-⌫--|-⌫-⌫-⌫|---|----|
pasdeuostre afaire	--|-|-----|-----|
netilairoieapaiier	-|||------|------|
neteu oeilpassia b ais siier	-|-|-⌫---|--|-|-⌫-⌫---⌫----|
co mmen tkil	--⌫----⌫||-|
medoiecouster	-|---|------|
cariete uo rr ai ma rier	--|-|-|--⌫--⌫-|--⌫---|
as millorsgensdecestpais	-|------|---|-|---|---|
d e tafoliem esb a is	-⌫|-|----||---⌫-⌫-|
qui tel g arche ueusesp ouser	--|--|-⌫----|---|---⌫----|
ontedeueroi th u er	-|-|-------⌫|-⌫-⌫-|
se tuiamaisiorem parlo ies	-|-|-----|--|-|-----⌫--|
li uallesuoitque	-|-----|---|--|
sesparole s	--|------⌫|
limets esp eresanoient	-|--|-⌫-|-⌫---||-----|
sesdir esn eli uaut	--|---⌫-|-⌫|-|---|
ma isamors form e ntle iustiche	--⌫-|----|----⌫-⌫-|-|-------|
dontliuallesesprentetati sse	---|-|-----|------|-|---⌫--|
elcor sl i metmainte estincel e	-|---⌫|-⌫|--|-----|--------⌫|
