quiabone matyreafeir e	--||---|-----||----⌫|
silia belcommencemen t	|-|||--|-----------⌫|
quiluinengeabonxxx	-|-|------||--|--|
ekentel xxx	||-|--|--|
kereisu n asesdizsacort	-|-----⌫||--|--||----|
ke nn itruisse rienskerep rendre	|-⌫|||------|----|-|---⌫-----|
kercustumi ersontd	--|-------⌫-|---||
e ntreprendre	-⌫----------|
unegentq uep et itsentendent	--|---|-⌫-|-⌫--⌫-||--------|
mais a lbei n ente ndent	---|-⌫|---⌫|----⌫----|
uient ceste	----|----|
denu ie kuipar amertume	|---⌫-|--|--|-------|
decuirne puet saboche	-|---|-|---|-|----|
nenulsgransb i ensnelipuet	-|---|----|-⌫-⌫--|-|-|---|
maissi maitdexc est	---|-||--|--||--|
m am a tiree s tdel plus xxx	-⌫|-⌫-⌫---|-⌫-⌫|--|---|--|
kuiunkesfustan ost ret ens	--|----|---||-⌫---⌫-|-⌫--|
ormiot rei t dex grace e sens	-|||--⌫---⌫|--|----||---|
ke ge lapuissesitraitier	-|-|-|-----|-|-------|
queasioirexxx	--|-----||--|
senpuisse nttuit cilkuil	|-|------⌫-|---|--|--||
e kui decuir	|--|-|---|
l escuteru n t	|--------⌫-⌫|
al tenslereiestie mbleauint	-|---|-|--|-----⌫---|----|
kuienglete rre	--|-------⌫--|
ap eine tint	|-⌫---|---|
enorme ndiemolement	|-----⌫---|-------|
tantku i lla	-----|-⌫|-|
perdifol eme n t	----|---⌫---⌫-⌫|
cheualierspro zeloials	---------|---⌫||-----|
sireiohan limaresch as	---|----|-|-------⌫-|
quitantes teitdeg rantempris e	--|---|--⌫---|-|-⌫---|------⌫|
ede grantoure e	|-|----|---||
deg rantmise	-|-⌫---|---|
quentorluiou t plentedebuens	-|----|--|--⌫|-----|-|----|
esine steit	|-||-⌫----|
il miekuens	-|--|----|
nebarondetresgrantriche sce	-|----|-|---|----|-----⌫--|
maistant foisonasa largesse	---|---|------|-|-------|
k etu te gentsenmerueilloent	-⌫|--⌫-|---||-|-----------|
neiscilkuipoint	---|--|--|----|
quiengrantenuire	--|-|----|-----|
en conuene its ouuentb ie n dire	-|-------⌫-|-⌫-----|-⌫--⌫|---|
ilfu seneschal dengleterre	-|-|--------||---------|
maisensontens	---|-|--|---|
grantguer re	----|----⌫-|
de lempe rerize delrei	-||----⌫----||--|--|
duraledes rei	---|-|---⌫--|
ken la f incenoses t a	|-|-|-⌫-|-|--|--⌫||
outlireisest iemble le	--|-|---|---⌫-----|-|
ker li boe nsmar es cahs por	--|-|---⌫-|---⌫--⌫---|--|
senuint tutdebotaldreitei r	|-|---|--|-|--|-|----|--⌫|
mahei tlempererizsanzf ail le	-----⌫||--------|---|-⌫---⌫-|
mai ntestore maint e bataille	---⌫-|----||-----⌫|-------|
emainte grant peine	|-----|----|----|
e maintg r ief	|----|-⌫-⌫--|
soufriporlu ia grantm eschi ef	-----|--|--⌫||----|-⌫-----⌫-|
ainzlou refustxxx	---||--⌫-|---|--|
treiscens de xxx	----|---|-|--|
tintoseilifrans xxx	---||--|-|----|--|
ase srobesasesde niers	|--⌫|----||--|--⌫----|
afe rsaclous a liure s ons	|--⌫-||----||-----⌫-⌫--|
abeal s s emblenz arichesdons	|----⌫|-⌫------||-----|---|
cumcil kuibien	--|--|--|---|
lesauoitf aire	-|-----|-⌫---|
