Mutf etbienkisunsensdespe nt	--|-⌫-|---|-|--|---|-----⌫-|
E n tel liu	-⌫|--|--|
duntleneit	---||-|--|
amendement	---------|
Meillu ruu reneput hume fer e	------⌫|--⌫-|-|--|---|---⌫|
Queseieautre a	--|--||----||
Quisulsi uient	--|---||----|
mene adreiteuie	---||-----|--|
Mieldrekiimei necumpan ie	------|-||---⌫-|------⌫-|
Pur ço kisetsedeitpene r	--|--|-|--|-|---|----⌫|
Queplu surs	--|---⌫---|
Kibenset ene s entremet	-|--|--||-||-------|
Mielz liueni s testremuet	----|-|----⌫-⌫|----|---|
Deu lier trepruué	--|-|--⌫|-------|
su nsaueir	--⌫|-----|
ait ce le ́	--|--⌫--⌫|
Si en auramalgu err edun	-|-|---|--|--⌫---⌫---|
Deu lefr a iu ger alarrun	--|-|--⌫|--⌫--||-----|
Quisage s estnela	--|----⌫|--|-|||
Deuladsa c h ez	--||-|--⌫-⌫-⌫-|
Par s ein eputgra ntsensaprendre	--|-⌫-|-⌫|--|---⌫-|---|-------|
Purçole deitasau tres rendre	--|--|-|---|-|--⌫---|-----|
celneait ma l	--|-|--|--⌫|
Endre itm eim ensu ipurpensé	-----⌫-|-⌫-||-|--⌫|--------|
Q u eaukune chose	-⌫-⌫|-----|----|
uoil tr eiter	---|--⌫----|
aie repruuer	--|-------|
Uuraineaiemprise gloriuse	------|-|------|-------|
Dunt uulme neru ie penuse	---|--|--⌫--|-⌫-|-----|
Quem almeen ai tguerredun E de	--||---|-|--⌫|--------||-|
mespechiezueir p ardun	--|------|---|-⌫----|
Elnundelp ere fazlescrit	-|--|--|-⌫--|--||-----|
d elsa intespe rit	-⌫-|--⌫--|----⌫--|
D el adame	-⌫|-⌫|---|
nostreaïe	-----|---|
uert uzuoi lcunter	----⌫-|---⌫|-----|
Kiducessunt aescuter	-|----|---||------|
Enz elli ure	--|-|--⌫--|
pu et l emoi ̈r	--⌫-||-|--⌫-|
Cumelem deit	---||-|---|
ladameserui r	-|---|-----⌫|
Cest liu rea	---|---⌫-||
P u rço q uengraceest cumunal	-⌫-⌫|--|-⌫|-|----|--|------|
Tutes tretdegrace	--|--⌫---|-|----|
De meinthumme	-|----|----|
de femm emeinte	-|----⌫|-----|
Si estcu mmuna	-|--|--⌫---||
D euseru ir	-⌫-|----⌫-|
Estreite s td iceler eïne	------|-⌫-⌫||----|-⌫----|
Ki est ple in ede gr acefin e	-|--|---⌫--⌫|-|--⌫--|---⌫|
Deugrace estreplenie	--|----|--|-------|
Cu mesamereesaduceamie	--⌫-|-|---||-|---|---|
Gracialnumez	------|----|
C est escritsil	-⌫--|-----|-||
a pelerezA	-⌫------||
Dampnedeulescritpre sentE a sa	--------||-----|---⌫---|||-|
mereens ementAlur	---|---⌫----||--|
lurhun u r	--|---⌫-⌫|
Seitle liur efetpardu l c ̧ur	---|-|----⌫|--|--|--⌫-⌫-⌫--|
Selpr esentasea cheualer	--|--⌫-------||-------|
Tost me dunastuncheualche r A	---|-|-----|-|-----|---⌫||
richedameua me schi ne	----|---|||--⌫----⌫-|
Tostm edunastpelice	---|-⌫|-----|-----|
Mestel dunsereittost alé	--|--|--|-----|---|---|
faz de maies téEasamereglori use	--|-|-----⌫--|||-|---|-----⌫--|
Kitantest sainte	-|---|--|-----|
e preciuse Ala dameen	|-------||-|---|-|
fa zpresent	--⌫|------|
Deuse i ta	--|--⌫-⌫||
muncumence mentE	--|-------⌫---||
lada me sainte	-|--⌫-|-----|
Dequ itr e iter uolparsa aïe	-|--⌫|--⌫-⌫---|--|--|-|---|
Escutezbonegentse nee	------|---|---|--⌫--|
asembleeE uus	-------||--|
Mahautpr emers A uusdirai	-----|--⌫----||--|----|
plusuolentie rs	---|--------⌫-|
Desmira cl esdes gran t sucurs	--|----⌫--⌫-|--|----⌫|-----|
DameaplusursA tuz ea	---||------||--|||
tutesk ileimentE	----|-⌫||-----||
quorla rec lai ment	---|-|---⌫---⌫---|
Unkesnefu humkil ama s t	----|-|-|--|-||---⌫-⌫|
Queele bie nneliguerred unast	--|--|---⌫|-|-|-------⌫----|
Purçouoilio	--|--|---|-|
delitr e iterQa m un	-|-|--⌫-⌫---|||-⌫-|
busuinaieluier	-----|--|----|
Mesnen uo iltreiterneren	--||-|--⌫-|------|-|--|
F o rsdreit sulummun	-⌫-⌫-|----|----|--|
essamplaire	----------|
seitessanple u dit	---|-------||--|
cuntenge en l	-------|-||
M arie curune e	-⌫---|------⌫|
Reïn e d anglesbonuree	-----⌫||-----|------|
Iesunostre	---|-----|
Entendezdame	-------|---|
acestpechu r	|---|-----⌫|
Preezpur meiuostr efizcher	----|--|--|-----⌫|--|---|
Quede uusme	--|-|--|-|
duinstsi tr e iter	-----|-|--⌫-⌫---|
Ke mein drepuisseelciel amu nt	-|----⌫--|-----|-|---|---⌫-|
