cil qui se uent	--|--|--⌫---|
de letreure	-|-------|
deuroie nt bienmetre lorcure	-------⌫-|---|----|--|---|
enbonzliures etesescriz	-|---|-----|-|-|-----|
et asessamples et	-|-|--------|-|
p h iloso fe t rou erent	-⌫-⌫-----⌫-|-⌫---⌫----|
etesc rire nt etremenb rere nt	-|---⌫----⌫-|-|------⌫----⌫-|
parmorali te escri uoient	--|------⌫-|-----⌫-----|
quilorentente	--|--|------|
enbienmeissent	-|---|-------|
cefirentli	-|-----|-|
ancienper e	-----|---⌫|
romul uzqui	-----⌫-|--|
f uemperere	-⌫|-------|
ason filescrit etman da	|--|--|-----|-|---⌫-|
etparessample li mostr a	-|--|-------|-|-----⌫|
co milce doitcontregarder	--⌫|-|-|---|-----------|
que lennel pu i ss een gin er	--|--|-||--⌫-⌫--⌫|--⌫---⌫-|
eso pe zescritas on mestre	---⌫--⌫|-----||-⌫-|-----|
quibienconuit luietso n estre	--|---|-----|--|-|--⌫|----|
unnez flabezqu i ottroueez	----|-----|-||-|------|
lat intranlateez	---⌫-|---------|
maizn iafabl edefolie	---||||----⌫|-|----|
atphiloso p hie	-|-------⌫-⌫--|
esessamplezquiso nt	-|--------|--|--⌫-|
oudezconte z	-|--|-----⌫|
esttotsonfes	--|--|--|--|
amoy quila	|--|--|-|
rimeend oitfere	---|-|-⌫--|---|
nauenistn i entar et raire	|------|-⌫-⌫--||-⌫--⌫----|
p l usorspar olezqui isont	-⌫-⌫----|---⌫---|--||---|
meizneportant cil me se mont	---|--------|--|-|--⌫---|
quiflozestdech eualerie	--|---|--|-|--⌫-------|
denseignementdecortoisi e	|-----------|-|--------⌫|
mo ltdoifaire	--⌫-|--|----|
porsapr iere	--|-|--⌫---|
sicomencera laprimiere	-|--------|-|-------|
d ezfables que eso peze sc rit	-⌫-|-----|--|---⌫--|-⌫--⌫--|
quasonma istremandaetdit	-||--|--⌫----|----|-|--|
de lcoc recontequi mon ta	--⌫|--|------|--|---⌫-|
surun fumie r etsi grata	--|-|-----⌫|-|-|----|
seloncnaturesepor cha soi t	-----|-----|-|---⌫---⌫---⌫|
saui andecom ilse	-|--⌫---|--|-|-|
un e chere gemme t roua	--⌫|----|----|-⌫---|
clerelauit	----|-|--|
silezgarda	-||------|
ie cuidafa i t ilporchacier	-|----|--⌫-⌫|-|---------|
mauiandesorcestfumier	-|-----|--|---|-----|
or t ai icigemme	-||-|--|----|
ia parmoi neserez r emuee	-|--|--|-|----|-⌫----|
si unrich ez honciuos	-|-|----⌫-|--|-|--|
siacreus t uostreclarte	-|------⌫|-----|-----|
pa r lor q uia m oltgrantbiaute	--⌫||-|-⌫-||-⌫--|----|-----|
qu a nt uolente n	--⌫-⌫-|------||
i ai de t oi	|-|-|-⌫-|
ianule honorn	-|---|----||
auras par moi	----|--|--|
a utresiestde m einte gent	-⌫-----|--|-|-⌫----|---|
seto tneu ientalo rtalent	-|--⌫|-|-⌫---||--⌫|-----|
se lerefusent me intenat	-|-|-------|--⌫------|
co m delcocetdelagemme	--⌫|--|--|-|-|-|----|
ome et defeme	--|-|-|---|
on ornientneprisent	--⌫-|----|-|------|
le p izprenent le	-|-⌫-|------|-|
mieuz deprisent	----|--------|
cidi stdoulou etdel	-|--⌫-|--|--|-|--|
quibeue intaun ro ssel	--|----⌫--||-|--⌫---|
lilouz enlafontaine be uo it	-|---|-|-|-------|--⌫--⌫-|
etli aig nel z auaul	-|-|---⌫---⌫|----|
irreeme nt parla li	-------⌫-|----|-|
qui moltest oi tcontraliouz	--|---|---⌫--⌫|----------|
parmaultalen t	--|---------⌫|
tume faiz ditilgra ntan ui	-|-|---|--|-|---⌫-|--⌫-|
liarespondu	-||-------|
s irequoid oncne u eis	-⌫--|---|-⌫--|-|-⌫--|
asc iceste ai gue	-|-⌫|----|--⌫--|
bo i uremasaolee	--⌫-⌫--|-|-----|
autresimenira i cecroy	------||-|---⌫|-|---|
ui nsm ora nt	--⌫-|-⌫---⌫-|
liaig ne ldonc lirespont	-|---⌫--⌫|---|-|------|
si reiabeuezuos amont	--⌫-|-|----|--|----|
de uosme uie ntcequ	-|--|-|---⌫-|-|-|
lilouz m audizmetu	-|---|-⌫----|-|-|
c il lia ditneai	-⌫-|-||--|-|-|
lil ouz responti ensaileuoir	-|-⌫--|------||-|--|-|---|
cemeismeme	-|-----|-|
fittez pere	--|--|---|
fosseouoluiere	----|-||--|--|
o rayymoizsico mi e	-⌫||-|---|-|--⌫|-⌫|
querezuosdoncfaitil	-----|--|---|---|-|
ne fui pas né s	-|--|--|---⌫|
sicom iecro y	-|--|-|---⌫|
l i louzre sponttumiezcontraire	-⌫|---|--⌫----|-||--|--------|
icequetu nedoizp a s f aire	--|--|-|-|---|-⌫-⌫|-⌫---|
doncprist lilou z	---|----|-|---⌫|
laign elpetit	|----⌫-|----|
as denslastran g le	-|---||------⌫-⌫-|
cefont li riche robeor	-|---|-|----|-----|
li uesc onte liiu ge or	-|----⌫---|-|--⌫--⌫-|
decia uz quilont en loriustize	-|---⌫-|-|-|--|-|--|------|
faus e ochois on par couoitise	----⌫|------⌫-|--|--------|
trouentasezp o r	------|---|-⌫-⌫|
aus c onfondre	--|-⌫-------|
l a ch arlortolent et lap el	-⌫|--⌫-|--|-----|-|-|-⌫-|
sicomlilous fist al aigne l	-|--|-|---|---|||-----⌫|
seloncla letredez escr iz	-----|-|----|--|----⌫-|
uosmoste raidune sori z	--|-----⌫--||--|----⌫|
q uipa rporchazet	-⌫-|--⌫|------|-|
auoi tue s cu en	----⌫|--⌫-⌫-|-|
u n iormol t biensapareilla	-⌫|--|---⌫|---||--------|
etdec ez piezs espulecha	-|-|-⌫-|---||--------|
deuantl iuintune raine	-----|-⌫|---|--|----|
sic omeauenturelamein e	-|-⌫--|-------|-|----⌫|
demanda lien	------|-|-|
sa raiso n	-|-----⌫|
e stdamed elamason	-⌫-|---|-⌫|-|----|
dontelesefesoit	---|--|-|-----|
sim eis tre	-|-⌫---⌫--|
lasoriz li r espontamie	-|----|-|-⌫-----|---|
piesa quen	----|-|-|
oilaseign ori e	-|-|-----⌫---⌫|
enmasubiec tio n	-|-|------⌫---⌫|
quantespertuisto tenuiron	----|-|------|--⌫|------|
pu ishe rber g ieretioretnui t	--⌫-|--⌫----⌫-⌫--|-|--|-|---⌫|
iu eret rireen gr ant	--⌫-|-|---|-|--⌫--|
orremanez anuit o moy	-|------|----||--|
ieuosmetraenbonefoy	-|--|----|-|---|--|
sorl amein mo le	--|-⌫|---|--⌫-|
molta ayse	---||---|
rienquiuosdespl aise	---|--|--|-----⌫---|
delblef qui	--|---|--|
enauronsnos lezuentrez	-|-----|--|--|------|
laraine ua tparsa p ri ere	-|----|--⌫|--|-|-⌫--⌫--|
asistre ntsorla piere	-------⌫-|--|-|----|
mol titro uerenta mangier	---⌫||---⌫-----||------|
san zcontredit et sansdan gier	---⌫|--------|-|---|---⌫---|
la so ri zparamordeman de	-|--⌫--⌫|--|---|-----⌫-|
alarainedesa u iande	|-|----|-|-|-⌫----|
quillen semble leuoir en die	-|-||-|-----|-|---|-|--|
faitelemie	---|--|--|
moltparestbienap araillié	---|--|--|---|--⌫--------|
senaigue eut e stémoillié	|-|----|--|-⌫---|-------|
enmileprea	---|-|--||
illuc seriensandu i mo lt bel	----|------|----⌫|--⌫-|--|
illuquezaibele maison	-------|-|---|-----|
out ozbienssonta grantfoisson	-|-⌫-|----|---||----|------|
mai znaurez talentsecroi bien	---⌫||----|-----|-|---|---|
derepa irieracestmol in	-|----⌫----||---|---⌫-|
ta ntlablandit parsa parole	--⌫-|-|------|--|-|-----|
qu elelac r ust	-|--|-|-⌫-⌫--|
si fitq uefole	-|--|-⌫-|---|
ensa mbleou li sen est alee	----⌫---|-|-||-|--|---|
liprez fusi pl ein dero s ee	-|---|-|-|--⌫--|-|--⌫-⌫-|
qu etotestla	--⌫|--|--|-|
sorizmolee	----|----|
d onccuidabien estrenoyé	-⌫--|----|---|----|----|
ariereuoloit	-----|-----|
re to rner	--⌫--⌫---|
carn epoaita uan ta ler	--|-⌫|----|-⌫---⌫|-⌫--|
m aiz larai netantlapro ié	-⌫--|-|---⌫-|---|||---⌫--|
que lel en	-|-⌫-||-|
meinne iusqu e	-----|-----⌫|
alariuiere	|-|------|
doncne pot lasorizauant	---|-|--|-|----|----|
