soignorsorescoutezque	-------|-|-------|--|
desuossoit	--|--|---|
yy ue rs de	-|--⌫-|-|
b o neestoireseie l es	-⌫-⌫-|------|-|-|-⌫-|
doupremierroidefranc e	--|------|--|-|-----⌫|
quicrestiens deuint	--|--------|-----|
cloouis si con	------|-|--|
truisenesc rit	----|-|---⌫--|
plu isdeyyet yy anzfulirois	---⌫-|-|-|-|-|--|-|-|---|
sara zin s	----⌫---⌫|
et n enul home se ilan	-|-⌫|--|---|-|-|-|
quilneuosist	-|-|-|-----|
les mambre s t olir	--|------⌫|-⌫---|
oupandrean autesf o rchesoudetrairea roncis	-|-----|-|----|-⌫-⌫----|-|-------||-----|
damedex l amait antli roi sde par adis	------||---|-⌫--|-|---⌫|-|---⌫---|
quei lsefis tanfo nz batisier	--|-⌫|-|---⌫|-|--⌫-|-------|
cefuendoucefr ance	-|-|-|----|--⌫---|
ou moutiersaint denis	-|------|----|----|
etquiic euoudraia manconge te nir	-|--|--⌫|------||-------|--⌫--|
s e uoistlirelestoire an france	-⌫|----|---||------|-|-----|
cil cloouisf uroisetprouze t pous t eiz	--|------|-⌫|---|-|----|-⌫|----⌫-⌫--|
desa fra nchemoilleiroty yfi z	-|-|---⌫---|-------|-|-⌫|--⌫|
l iainez otannon	-⌫|----|-|-|--|
floouamlimarchis	------|-|------|
commandaia gar der son pais	--------||---⌫--|--|---|
ettrestotela t erre	-|-------|-|-⌫---|
qu e enpie la teni st	--⌫|-|--|-|----⌫-|
p a rzz mesfait	-⌫-⌫|-|------|
enfui tpuis isimauba il iz	-|---⌫|---|--|-----⌫--⌫-|
plusde yyanz an f u t libers	---|-|-|--|-|-⌫-⌫|-|---|
puisenessil	---|-|----|
queilnantraia nfrancen enus honsne	--|-||-----|-⌫|-----|-⌫|--|---|-|
orentendezsei g nour spo rdeu	-|-------|---⌫-⌫----⌫|--⌫|--|
leglorious	-|-------|
dou cie lqui	--|---⌫|--|
dou premier roiquifu ten	--|------|--|--|--⌫|-|
fr an cecoronez	--⌫--⌫-|------|
quipremierem antti ntsaintecrestian te	--|---------⌫--|--⌫-|-----|--------⌫-|
ce lu ifutpor	--⌫--⌫|--|--|
sonno ncloouisapelez	--|--⌫|------|-----|
yyanz et plus	-|--|-|---|
f usa razi nsc lamez	-⌫|--⌫----⌫-|-⌫----|
nenetro u oitnul home si fust	-|-|---⌫-⌫--|--|---|||---|
crest ienez	-----⌫----|
aqui il nefeisttouzles	|--|-|-|----|---|--|
manb re scope r	----⌫--⌫|----⌫|
oupandre ahautesforches ardoiroutrai ner	-|-----||-----|------|-----|-|----⌫--|
damedezlamaitant por	------||---|---|--|
la soebonte	-|--|----|
fistanfonzteni retbati sier	---|-|---|----⌫|-|----⌫---|
a saintdenis an francequi tant f ait aloer	|----|----|-|-----|--|---|-⌫--||---|
icilrois cloouis	---|---|------|
fist mont a	---|---||
fren chemoilleroutyy fiz li bers	----⌫--|------|--|-|--|-|---|
ilfit trestoutl ene	-|--|-------||--|
f loouantapeler	-⌫------|-----|
aceluiconmandai sa terr e	|----|--------|-|----⌫|
etque apressamo renfustro is quer on ez	-|--|----|-|--⌫|-|---|--⌫-|----⌫--⌫-|
porzzmesfaitanf us tpuissimaumenez	--|-|------|-|-⌫--⌫|---|-|-------|
quepl usdeyy anz	--|--⌫-|-|-|--|
futforsde franceiete z	--|---|-|-----|----⌫|
que ilniousa onquesneuenir	--|-|||---|-----|-|----|
ce fuap antecouste	-|-||-⌫---------|
cloouisfua p aris	------|-||-⌫---|
yy rois ifurento uecluicoron ez	-|---||-----|-⌫--|--|-----⌫-|
senechaulali	--------||-|
roi smeintena nt	---⌫|--------⌫-|
zz ducprozetpuisantquideborgoig neertnez	-|--|---|-|------|--|-|-------⌫-|--|--|
entre cia uiann edurai s esduchaee z	-----⌫-||-----⌫|----|-⌫-|-------⌫|
ro is cloouissenechaulca	--⌫-|------|--------|-|
ieuosconmant ic i f loo uantagarder	-|--|------|--⌫|-⌫---⌫---||-----|
ilestancores i unesmeschinsetbaichiles	-|--|------|-⌫---|-------|-|--------|
etsine set p as	-|-|-|--|-⌫-|
biense sgarnemanz porter	---|--⌫|--------|-----|
sir edit sene chaul auostreuele nte	---⌫|--|----⌫----||-----|----⌫--|
bien ier taprislianfe s	---|---⌫|----|-|----⌫|
dequentque m estiereirt	-|-------|-⌫-----|---|
ado ncl an	---⌫-||-|
alidusm etenantap elé	|-|--|-⌫------|--⌫---|
asonout ellemoine tantqu	|--|---⌫-|-|----|-----|
il fuaiorne z	-|-|------⌫|
quel idux ot mengiéetbeu	--|-⌫|--|-|------|-|--|
enzzuergier entra i	-|-|------|-----⌫|
corsdepor ter	---|-----⌫--|
oluiauoitme né floouant	|--|----|--⌫--|-------|
anbedui mein amain n iontplus	------|---||---|||--|---|
ie ntmené	--⌫-|----|
su rl erbequ i	--⌫||---|--⌫|
f ut uerz sesi en t lezalez	-⌫-|---|-|--⌫--⌫|--||--|
lid uxsestendormi z qui fu ui auzet penez	-|-⌫-||--|-------⌫|--|-|--⌫--|-|----|
i l otblainche	-⌫|-|-------|
labarbeiusquauneudoubaudre	-|----|----|-|--|--|-----|
seignors a	-------||
i ce tansqueuosici oe z	-⌫-|---|--|--|--|--⌫|
adoncestoient tui t	----|-------|---⌫|
liprodomebarbez	-|------|-----|
etliclersetlilai s li prestesco ronez	-|-|----|-|-|---⌫|-|------|--⌫----|
etq uantaparceuz	-|-⌫---|-------|
donqueslifacoit len le sgren o nsaouster	------|-|-----|--|--⌫|----⌫-⌫-||-----|
e tt r estozlesfo rconsde	-⌫|-⌫-⌫----|--|--⌫----|-|
labarbe co pe r	-|----|--⌫--⌫|
lore sestoitho ntous honiz etuorgondez	----⌫|-----|--⌫----|----|-|--------|
siquilneparous oit e ntr egantzconuer ser	---|-|-|------⌫--|-⌫---⌫|----|------⌫--|
ilestoit prisa mort estoitliurez	-|-----|---||---|-----|-----|
lifrans duxsed ormoitbie nsoue	-|----|--|-|-⌫-----|---⌫|---|
lianfes floouanzl a formant	-|----|-------|||------|
zzcoutel outou poigquimont	-|-----|--|-|---|--|---|
trench oitsoue	------⌫--|---|
donilsedesdusoitaune	--|-|-|--------||--|
pomeoup re	---|-|-⌫-|
dou coutelai	--|-----|-|
labarbe asonmaitre cop é	-|----||--|-----|---⌫-|
