S eignurs oi	-⌫------|-|
auezle[s] uersdelparchemin	---|----|---|--|--------|
C umli bers Aal ufe s tuenuza	-⌫-|-|---|---⌫-|-⌫-⌫|----||
Mes treTh omasne	---⌫--|--⌫---|-|
uolt kilseitmisadeclin	---||-|---|--||-----|
Kiln e diedeHornleuaillantorphanin	|-|-⌫|--|-|---|-|-------|-------|
Cumpuislunt treitli	--|---||--|----|-|
felun sarasin.	----|-------|
Uneni otguai gna[rt] del	-|-||-|----⌫------|--|
li gnageChai n–	--⌫----|----⌫||
Enl anguage	-|-⌫------|
alfrican lapele nt Malbroin.	-------||-----⌫-|--------|
Ci[l]trouapr im esH orn r e p un senz ungardi n	----|----|--⌫--⌫-|-⌫--|-⌫-⌫-⌫--⌫|--|-|-----⌫|
Odlui xuual ezkie rent desu n lin–	-|--|-|---⌫-|-|-⌫---|-|--⌫|--||
i otnefustf i zdebonpalain	|-|-|---|-⌫-⌫|-|--|-----|
Cume seignu rs er ueint	---|------⌫|-⌫--⌫----|
tuitHorn l emesc hin.	---|---|-⌫|----⌫---|
Chascu nauei tu estu b lia uty nde upu rprin	------⌫|----⌫|-⌫---|-⌫---⌫-|-⌫--||--⌫----|
ert conr éétd unpailealexa ndrin.	--|----⌫----||-|----|-----⌫-----|
Oi lz aueit	--⌫-|----|
uer s eclers e le	---⌫||----||-|
uis otrosin	--|-|----|
Gentefaçu naueitbiensembl o t a ngeli n	----|-----⌫|----|---|-----⌫-⌫|-⌫-----⌫|
Cumes t eil eior n alsquanlieuet	--|--⌫-⌫---⌫|---⌫-⌫--|---|-----|
Surlesalt res	--|--|---⌫--|
reluist kili sunt pr esueisi n	------|-|-|---|--⌫-|-----⌫|
Surtuz sesc um paignu[ n]s	--|--|--|-⌫--⌫-------⌫--|
resplent Horn [l ime schin].	-------|---|--⌫|--⌫------|
Malbroïnalr eq ueiadlesenfanztr o uez	--------|-|-⌫--⌫--|-|--|-----|--⌫-⌫--|
Kie rentp ur lesfrei	-|-⌫---|-⌫-||-----|
l a tuitxumuscez	-⌫|---|-|-----|
I llesadpristrest uzadle s	-⌫|--|-|---|-----⌫-|-|--⌫|
MesaH ornnefistmalkarnefud	--||-⌫--|-|---|--|--|-|--|
de s t inez	--⌫-⌫-⌫---|
SiluiotDeusdune par s es	-|--|-|---|---|--|-⌫-|
d ignebuntez	-⌫---|-----|
Une ü r kinefustpurnulhom	-|-⌫--⌫|||-|---|--|--|--|
es ga rdez	--⌫--⌫---|
Kisempres neneüstemerci zepitez	-|------||-|----||-----⌫||----|
Si otcistquant l ot pris	-|-|---|----||-|---|
p urçofud belmenez	-⌫-|--|--|--|----|
Ilesi cump aignu[n]s dreitas tresespre z	-||-|----⌫--------|----|-|---|-|---⌫|
Uertli rei s Rodmund.	|--|-|---⌫|-------|
La fuire ntprese ntez	-|-----⌫-|-----⌫---|
E illiadrendu	|-|-|-|----|
e merciz[e ] gra ntgre.	|-----|--⌫|---⌫-|---|
Puskelire islesot	--|-|-|--⌫-|--|-|
si·sadareisonez	---|-|--------|
de que l linneli sei tmot selez.	-|---⌫|--|-|-|---⌫|--|-----|
E Ho[r] n li ad tuit ditki	|-----⌫|-|-|---|--|-|
ertme lzsenez	--|--⌫-|----|
Plushardid eparler	---|----|-⌫|-----|
eli mielz doctrinez.	|-|----|---------|
Quant lireislotoïmult	----|-|---||-|--|---|
lesad au eisez	--|-|--⌫----|
A lafaçun kil unte	|-|-----||-|--||
asuiscul u rez.[ f.1b]	-|--|---⌫-⌫-----⌫----|
M esHornl épassat uzd etu tesbeautez	-⌫-|---|-⌫-|----|-⌫-|-⌫|--⌫--|------|
Si cumleuoleit D eusk[i]maint en	-|--|-|-----|-⌫--|---|----|-|
Kimistaqueorlerei	-|---||----|-|--|
perirkiluolkeseitgardez.	----||-|--|-|---|------|
Car t an tenot	--|-⌫--⌫|-|-|
pi tez reis Rodmund desenfanz	--⌫--|---|------|--|-----|
K ilne uoltdeuantluikil	|-|-|---|-----|--||-|
seie nt p er illanz.	----⌫-|-⌫--⌫------|
Lorsdemandet cunseil	---|-------|------|
asentur lui estanz	-|----|--|-----|
Seignurs cuns eilliez meiquei e n puss e e stre	-------|----⌫------|--|---|-⌫|----⌫|-⌫---|
Ne·spusfereper ir kei o· sse ieesgar danz.	---|--|---|---⌫-|-|-⌫--⌫|--⌫-|-----⌫----|
Sisaibiensil u iuen t keiomen	-|--|---||-|-⌫----⌫|-|-||-|
ere pleignanz	--|--------|
Kariai ocistrestuzlur	--||-|---|------|--|
meillurpartenanz	------|--------|
E cilles ue ngeru ntsil	|--|--|--⌫-----⌫-||-|
remaignentu iuanz	---------|-⌫----|
Pur çone uo iliopas kil	--|--|-|--⌫-|-|--||-|
se i enteschapanz.	--⌫-⌫--|---------|
D ites mei	-⌫---|--|
cummurunt kene ·lseie uea nz	--|-----|-|--⌫-|---|---⌫-|
Ne·lueraid epi tedtelaide senfanz.	---|----|-⌫|--⌫--|--|-|--⌫|------|
Aitant ad parlésifercement	|----|-|-----|-|--------|
Un al ch aie surmer–	-|--⌫--⌫--|--|--||
riches hom em ananz	-----|--||-⌫----|
Edecunseil	|-|------|
purueir sartus e	--|----⌫|----||
engi nnanz–	----⌫----||
M esitelkil donat	-⌫-|---||-|----|
fudasn oz multuaill anz	--|-|-⌫-|---|-----⌫--|
Cumuuspurrez oïrsi·n	--|--|-----|---|---|
est esescul tanz	---⌫-|-----⌫---|
uo lt Deuskipurels ertue illanz	--⌫-|---|-|--|--|--|--⌫-----|
Ki ne laistpasperir	-|-|----|--|----|
celskilui s unt reclamanz.	---|-|--|-⌫--|---------|
Sirefetilpurnezunde uozuielzchala nz	---|--|-|-----|-|-|--|----|-----⌫-|
Metezicelsua lezki io uei icie stanz	----||---|--⌫--|-|-|--|--|-⌫----|
naienta uirumdunta seient	|----|-⌫----|---||-----|
Si g leneguuernail	--⌫-⌫-|-|--------|
duntilseientnaianz	---|-|-----|-----|
altrem et ezxxbonisme	----|-⌫--⌫-|-|------|
Keb iens ace ntnagier cume bon	-|-⌫--|-⌫---⌫-|-----|---|--|
ma r inanz	--⌫-⌫----|
Ki·[s] treientala merad ous leue[e]s	-----|------||-|--||-⌫--|-------|
Lescordestren chentpusdunt les	--|-----|----⌫----|--|---|--|
erent tra inanz	----|---⌫----|
E l eissent les ilucal pal agre walcranz.	|-⌫------|--|---|-|---⌫---|--------|
Nenorr ez pusparlerbienme sui	|-|---⌫-|--|-----|---|-|--|
fi c purfichanz	--⌫|---------|
I a ne ·sg arratlurde usenkiilsunt	-⌫|--⌫-|-⌫----|--|--⌫-|-|-|-|---|
Plus duntundumutu n kyes ttutasota n z.	---||-|----|----⌫|-|--⌫|--|-----⌫-⌫-|
Dient tuite[n]uironBroiuanzest	----|---|--------|-------|--|
bien parlanz.[ f .1c]	---|-------|-⌫-⌫---|
Q uant c ̧ ootdi tB ro iu ant reis Rodmundl	-⌫---|-⌫-⌫|-|--⌫|-⌫--⌫--⌫--|---|------||
Fist aprestermultostunuielzantifchalan.	---|-------|--|---|-|----|----|------|
Pus imistlesenfanz	--||---|--|-----|
demurirtutcertan	-|----|--|-----|
