messiresnoblesl ilions	--|----|-----|-⌫|----|
oluiauoi ttoz	|--|----⌫|--|
y yiorsotia saco rt	-⌫|---|-|-|-|--⌫-|
bie nl ont	---⌫||--|
sibaronmaintenue	-|----|--------|
nes en uoia	|-|--⌫---|
sontu enuz pa rm e r et p arterre	---|-⌫---|--⌫|-⌫-⌫|-|-⌫-|----|
t uitens amble por luiseruir	-⌫--|---⌫----|--|--|-----|
leueulent osbeir	-|------|-----|
porcequec hascun biensauoi t	--|-|--|-⌫-----|---|-----⌫|
deuoir queil	-|---|--|-|
sacorttenoit	-|---|-----|
aceshaute s anneesf es tes	|--|-----⌫|-----|-⌫--⌫--|
i ui enen tde partou tlesbes tes	|--⌫----⌫|-|--|---⌫|--|---⌫--|
lagent le roinefupa scoie	-|---|-|--|-|-|--⌫|---|
p a r le p ala ismai nn ent	-⌫-⌫|-|-⌫---⌫-|---⌫--⌫--|
notentchans onsetsons et lais	-----|-----⌫--|-|---|-|---|
grantioiefont parle palais	----|---|---|--|-|-----|
ets on nent tim bres	-|-⌫--⌫---|---⌫---|
tui tisont forsrenartle rous	---⌫||---|---|-----|-|---|
do ntmainte cl amora e ue	--⌫-|-----|--⌫---||-⌫-|
li rois qu antsagen t	-|---|--⌫--|-|---⌫|
li unsuerslautresonch antauale	-|--|---||----|--|--⌫--|----|
atan tesuos	----⌫|-|--|
parm ilasale	----⌫|-|---|
dan grinb ert ueniretrenart	--|-----⌫--|----|-|-----|
quetantafait lamuse	--|---||---|-|---|
et ysangrinqueuoil acu se	-|-------|--|--||---⌫-|
mespa r t ens si	--|--⌫|-⌫--|-|
ert deluipris e uengi sons	--|-|--|----⌫|-----⌫---|
se orren artde frape	-|-|---⌫--|-|----|
ilestch euz en maletr ape	-|--|--⌫--|-|---|--⌫--|
rena rtal ent reedelaporte	----⌫-|||---⌫--|-|-|----|
ua reculantmol tle co nfo rte	-|-------|---⌫|-|--⌫---⌫--|
gri nberta dit nai ez pao ur	---⌫----||--||--⌫-|---⌫-|
deyymaus prant onle meil lour	-|-|---|----|-|-|----⌫---|
tornoies deci	-------|-|-|
se pu eztu biensauoirdefi	-|--⌫-|-|---|-----|-|-|
uoille sounonrepai reras	------⌫|-|--|-----⌫----|
uers lero i ganchir neporras	---|-|--⌫|------|-|-----|
rena rt ne	----⌫-|-|
tesm a i er tu	|---⌫-⌫-⌫-|-|
tunesezc omlongue est ta	-|-|--|-⌫-|-----|--|-|
co uars doutestudon t l a mort	--⌫---|-----|-|---⌫|-⌫|---|
r enart soiezde	-⌫----|----|-|
belconfort	--|------|
fortunesitorneash ardiz	------|-|----|-|-⌫----|
sicomtes moigne	-|--|---⌫-----|
renar totqu ecilli se rmone	-----⌫|-|--⌫|--|-|--⌫----|
etquemolt bon	-|--|---|--|
conseil lidonne	------|-|----|
elpalaiss ene ntrent	-|-----||-|-⌫-----|
renart deu antgrinbe rtapres	-----|---⌫--|------⌫-|----|
ren artn es ambloitpas	---⌫--|-⌫|-⌫------|--|
son cousint eno it par lama in	--|-----|-⌫---⌫-|--|-|--⌫-|
lapres s edesrontetdepart	-|----⌫-⌫|------|-|-----|
niazz soul quine lesgart	|||-|---|--|-||-----|
deuantleroi com ains le uit	-----|-|--|--|---|-|--|
s agenoillasi	|--------|-|
roisdieu slifilzsaintemar i e	---|----⌫|-|---|-----|---⌫-⌫|
u os gart etuostr e c ompaignie	-⌫-|---|-|-----⌫|-⌫--------|
forme ntsaparoleenargue	-----⌫-|-|-----|-|----|
etneporquant sile	-|---------|-|-|
mieusuous iste streaillorstouznuz	----|----⌫--|-⌫---|------|---|--|
q ueenc orf us ta	-⌫-|---⌫-|-⌫--⌫||
co rt uenuz	--⌫-|----|
libaronsont t uitarepos	-|----|---|-⌫--||----|
ni a tan to s	|||---⌫|-⌫|
facenecrin e	---|-|--|-⌫|
li rois p arlaren ar t sacois e	-|---|-⌫---|---⌫--⌫||-----⌫|
etaditpargrant felonnie	-||--|--|----|-------|
c ests alutne uos	-⌫--|-⌫---|-|--|
ren tiemi e	---⌫|-|--⌫|
rousenuiousdeputefoi	---|------|-|---|--|
ainz rema nreza nuitom oi	---|----⌫---|-⌫---||-⌫-|
ainzq ue partoisdecesthostage	-----⌫-|------|-|---|------|
me lairoizce	-|------|-|
a uma inscele	-⌫|--⌫--|---|
rouse pelice	----|-----|
quan testoiesdedenzta lice	----⌫|------|-----|-|---|
necuidoiesmai srepairier	-|-------|---⌫|--------|
to ut lem ont cuides	--⌫-|-|-⌫--|-----|
tantcomt orna bien taroelle	---|--|-⌫---|---|-|-----|
seruirde lafauelle	-----|-|-|------|
mai smaintesfoizai	---⌫|------|---|-|
que a p res	--|-⌫-⌫--|
g rantioiegrantire	-⌫---|---|----|--|
etapres n a uzuente bise	-|----|-⌫-⌫-|----|---|
tant ualipoz	---|-|-|--|
aupuisquil bri se	-|---|-|-|---⌫-|
orcuitiebiensire re nart	-|---|-|---|---|--⌫---|
brisiezdeuostrepart	------|-|-----|---|
liroisparla re nart escoute	-|---|----|--⌫---|------|
etditquesa gentloit	-|--|--|-|---||--|
renar tfaitilau	-----⌫|---|-|-|
rous uia ir e	---|---⌫--⌫|
mes amble zhomedeputa ire	-|-⌫-----⌫|---|------⌫--|
bi enpe rtes tes que usest	--⌫-|--⌫-|-|--|---⌫-|--|
renart e st plusemflezqueboz	-----|-⌫-|---|-----|--|--|
renartmoltaantoieng ien	-----|---||-|--|---⌫--|
onquesen cornefeisbien	-----|--⌫--|-|---|---|
porc eque mastant engign ié	--|-⌫|--||-|---|------⌫--|
etysangrintant corroucié	-|-------|---|---------|
etpor ceque thibertli	-|--|-|--|------|-|
p artoneng ingfu	-⌫-|--|---⌫--|-|
p r isaulaz	-⌫-⌫-|-|--|
etbrunslioursparmi le	-|----|-|---|----|-|
elc hesne dontostasle coing	-|-⌫----|---|----|-|----|
tel guarredontenferairendre	--|--------||-|----|-----|
queasforche st	--|-|------⌫||
en ferai pendre	-|----|-----|
renart sotbiendafaitement	-----|--|---||---------|
sirespondimol t sagement	-|-------|---⌫|-------|
biaussiresauue uostre g race	----|---|----|-----|-⌫---|
