uneman ieredegentsunt	--|---⌫---|-|---|---|
qu ide stre	--⌫||-⌫---|
l oi a lsemblant	-⌫--⌫-⌫|-------|
etdesibienconseil	-|-|-|---|------|
que ilsec onuie nten	--|-|-|-⌫-----⌫-|-|
uientquelenside scueuu re	----|--|--|||--⌫------⌫-|
il seue nt	-|----⌫-|
lamoretl e u ure	|---|-||-⌫-⌫--|
silespandentpar le	-||--------|--|-|
etenfont lor	-|-|---|--|
gasetlorris	--|-|--|--|
siauientquecil	-|-----|--|--|
ioieem pert	---|-|---|
quile conseila descou uert	--|-|------||------⌫---|
quertant comlam orest plusgrant	---|---|--||--⌫-|--|---|----|
sont plus ma rrilifinam ant	---|---|--⌫--|-|--|--⌫--|
quantli zzd e uzdel	----|-|-||-⌫-|-||
autre c roit	----|-⌫---|
queilaitdit	--|-|--|--|
cen qu e cel erdoit	--|--⌫|---⌫-|---|
etsouuent telm e sch ief auient	-|------|--|-⌫-⌫---⌫--|-----|
quela morf ailli r en couuient	--||-⌫--|-⌫-----⌫|-|-------|
agrant doulouretaue rgoigne	|----|------|-||--⌫------|
sicomilauintenbourg o igne	-|--|-|----|-|-----⌫-⌫---|
duncheual i erpr euzet hardi	|-|------⌫-⌫-|--⌫--|-|----|
etdel a dame deuergi	-|-|-⌫|---|-|----|
quelicheualierstant proi a	--|-|---------|---|----⌫|
quela dame liotroia	--|-|---|-|-----|
par itelco uuenant samour	--|---|--⌫------||----|
seustqu aloreetau	----|-|||--|-|-|
que par luiseroitd escouuer te	--|--|--|-----|-⌫--------⌫-|
que ily ar oitperte	--|-||--⌫--|----|
etde l amouret	-|-||----|-|
queleli auoitfait d e soi	-|--|-|----|---|-⌫|--|
celleamourotr oier	----|----|---⌫---|
deuiserentqu e nzz	---------|-|-⌫|-|
li cheuali erstou zseuz	-|-------⌫--|---⌫|---|
aleu re queleli metroit	||--⌫-|-|--|-|------|
etnesem ouuroitd u nangle t	-|-|-|-⌫------||-⌫|-----⌫|
dusqu atantcun	----||---||-|
peti tchene t	----⌫|-----⌫|
uerr oit p ar	----⌫--|-⌫-|
leue rgeraler	-|--⌫---|---|
etlors u e nd ro ita lie p arle r	-|---|-⌫-⌫--⌫--⌫-||--|-⌫----⌫|
a celleh ore etsiseustbien	|----|-⌫--|-|-|----|---|
queensachambren	--|-|-|------||
aroitrie n	----|---⌫|
forsl iem eismest antsoleme nt	---|-⌫-|-⌫-----|-⌫--|------⌫-|
ainsil e firent	----|-⌫|-----|
longueme nt	--------⌫-|
etfu lamour d ouceetce lee	-|-||----|-⌫---|-|--⌫--|
eul zne lesoutrien s nee	---⌫|-|-|---|----⌫|--|
licheua liersfu biaus et cointes	-|-----⌫----|-|----|-|------|
e t par saualour fuacointes	-⌫|--|-|-----|-|-------|
quib o urg oign e tenoit	--|-⌫-⌫---⌫----⌫|-----|
etsouuentoleduc	-|------||-|--|
alacourtett antyal a	|-|----|-|-⌫--||--⌫|
duchesselaama	-------||---|
e t lifisttel se m blantdamo rs	-⌫|-|---|--|--⌫-⌫----||---⌫-|
que seil ne ustl ecuer	--|-|-||-⌫--|-⌫|---|
biensepeust apercheuoir	---|-|----|----------|
ausem blan tqu ell	-|---⌫----⌫|-|-||
amas tporuoir	----⌫|--|---|
mesqu elsembla ntqu ele en feist	--|--⌫-|------⌫-|-|--|-|----|
lichaual ierssemb lan tnen fist	-|------⌫---|----⌫---⌫||-|---|
quepoine grantsaper cheust	--|--|-|----||----⌫-----|
que leuersliamou r eust	-|-⌫-|---|-|----⌫|---|
et tant q u ele e n out tel anui	-|---|-⌫|--|-⌫|--|--|---|
quel le pa rlazzi our	-|--⌫-|--⌫--|-|-⌫--|
et mi sta reson par	-|--⌫-||----|--|
mo sti e x	--⌫|--⌫-⌫|
s iremont es te sbi aus	-⌫--|---|--⌫--⌫|--⌫--|
cedient tuitl adieu merchi	-|----|---|-⌫|---|-----|
siauriezbiendeserui	-|-----|---|------|
d auoi r amie e nsi	|----⌫|---|-⌫|-|
h au tlieu	-⌫--⌫|---|
qu e eneussiéshe nour etpreu	--⌫|-|-------|--⌫---|-|---|
et bie n uousserrei ttele a m ie	-|---⌫|---|------⌫|---|-⌫-⌫-|
ma dame f aitil	-|---|-⌫--|-|
enco re enc enm ise	----⌫-|-|-⌫-|-⌫--|
parf oyfa itellelo ngue atente	--|-⌫-|--⌫-|---|--⌫---|-----|
uouspo rroit nuir ecemestuis	---|--⌫----|----⌫|-||--|--|
uo usso iezamis	--⌫-|--⌫--|---|
en zzhaut lie useuousuee z	-|-|---|---⌫|-|---|---⌫|
queuousisoiés bienamez	--|---||-----|---|---|
cilr espontmadamepar	--|-⌫-----|-|---|--|
ie ne sai mie bien por	-|-|--|--|---|--|
cenditesne aquoyc e	--|----|-||---|-⌫|
que ie ne suine	--|-|-|--|-|
royneconte	--|-|----|
quisi hau tement a me r d oie	--|-|---⌫-----|-⌫--⌫|-⌫--|
suimie a yydoie	--|--||-|---|
d auoier amo ur si souueraine	|-----|---⌫-|-|---------|
se iebienimetoiepai ne	-|-|---||-----|---⌫-|
siestes fait e llesed eui e nt	-|----|---|-⌫--|-|-⌫---⌫-⌫-|
ma in tep lus	--⌫--⌫-|-⌫--|
grantmerueille aui ent	----|--------|---⌫--|
eta utele auendraencore	-|-⌫----|------|-----|
di tesmoyqu e	--⌫--|--|--⌫|
sauezuo usore	----|--⌫-|--|
seie uousaim amordonnee	-|-|---|-||---|-----|
quisuih a u te dame clame e	--|--|-⌫-⌫-⌫-|---|-----⌫|
respontisnelepas	------|--------|
ce ne sai i epas	-|-|--|-⌫|--|
uoudroieuos tre am or	-------|---⌫--|--⌫-|
auoirparbi enet p arhenor	----|--|--⌫-|-|-⌫-|----|
celeam o r me	---|--⌫-⌫|-|
quamoyneuoustort	-||--|-|---|---|
c e lepart	-⌫-⌫-|---|
o u la hontemonseig no rgiese	-⌫|-|----|--|----⌫--⌫|----|
q uanu lfeurne anuleguise	-⌫||--⌫|---|-||---|----|
