sal emonfeitun petit	---⌫---|---|-|----|
quien s eign econmentdeit	--|--⌫-⌫----⌫|------|---|
ci lqui lamo r del	--⌫|--||---⌫|--|
m ont eniure	-⌫--|-----|
p orester depec hiedeliure	-⌫-|----|-|---⌫--|------|
liliure anon	-|----||--|
eccl e sia ste	----⌫-⌫---⌫--|
etdi tquenueinl e	-|--⌫|-|-|---|-⌫|
sondegaste	--|------|
qui eld eleitd el mo nts enpaste	--|-|-⌫----|-⌫-|--⌫-||------|
etgolose qui	-|-----|--|
ue ineestla	--⌫--|--|-|
ioedecestmonde	--|-|---|----|
uole quenulearonde	---|--|---|-----|
moltparsapeiea feib le	---|--||----||----⌫-|
cil qui nageparmerparfun de	--|--|---|--|--|------⌫-|
aueirchastel aueirc ite	----|------|----|-⌫--|
aue irgran tfeu grant erite	---⌫-|----⌫|--|----|----|
nis rei aumetotaq uité	--|---⌫---|--|--⌫----|
fanfeluees tetuanite	-------|--⌫|-|-----|
chaste aus ardentet	------⌫--|-----|-|
citezfondent	----|------|
ter res neenteiu essorondent	---⌫--|----|---⌫-|--------|
cilricherei s entreconfunde nt	--|----|--||-------------⌫-|
et qua n tpluson tetmainsabundent	-|---⌫-⌫|---|--⌫|-|----|-------|
quantg uerreon tneseuent qu efeir e	----|-⌫----|--⌫|-|-----|--⌫|----⌫|
quedeiuentdirenequete ire	--|------|---|-|--|--⌫--|
que seschiuer	---⌫|-------|
nequels atre ire	-|----|----⌫--|
plusdelagent	---|-|-|---|
don ent gran td onsporfeireamis	---⌫--|----⌫|-⌫--|--|----|---|
quant ont doné etp luspremis	----|--|----|-|-⌫--|-----|
ian aur un tplus maus anemis	-||---⌫--⌫|---|---|-----|
que cilquilontes ennorsmis	--|--|-|-|--|-|-----|--|
quantcil qui plus	----|--|--|---|
ame rlesdeiuent	---⌫|--|------|
q u imeniuentoels	-⌫-⌫|-------||--|
loranemis c o ntreels receiuent	--|-----|-⌫-⌫---|--|--------|
et les traissen tetdeceiu ent	-|--|--------⌫|-|------⌫--|
