kidiuerscunteueut	-|-----|----|---|
diuersementdeit comen cier	----------|---|-----⌫---|
eparl ersi rai nablement	|----⌫-|-|---⌫--------|
k il seitplei siblesal agent	|-|---|----⌫-----||-⌫|---|
ic icomen cerai	--⌫|-----⌫----|
e muste raiparbr iefsermun	|-----⌫--|--|--⌫--|-----|
purqueie c o mentfu troue z	--|---||-⌫-⌫---|-|-----⌫|
lilaiskeciestnumez	-|---|-|-|--|----|
milunfudesu htwales	----|-|-|--⌫------|
puisle iu rk	---|-|--⌫||
ilfuadubez	-|-|-----|
net rouaunsulcheu alier	-|-⌫---|-|--|----⌫----|
kilabatistdesundestrier	-||------|-|--|-------|
mut par esteitbons cheualiers	--|--|-----|---|---------|
francsh ar diz curt eisefiers	-----|-⌫--⌫--|----⌫--||----|
conuzenirl ande	----|-|---⌫---|
ennorweie een guhtlande	-|------||-|--------|
en loengreeenal banie	-|------||-|--⌫----|
eurentplus urs delienui e	-----|----⌫--|-|-|----⌫|
pur sa pruesceiert	--|-|------|---|
muz princes	--|------|
ensacu ntreeotunbarun	-|-|--⌫----|-|-|----|
sai numersunnun	--|----|--|--|
ilau ei t une	-|--⌫--⌫|--|
fillebe le	----|--⌫-|
mutc urt eisedameisele	--|-⌫---⌫---|--------|
e l eotoimilunnomer	-⌫-⌫|-|-|----|----|
mu tlecu mencat	--⌫|-|--⌫-----|
pa rsunmessagelimanda	--⌫|--|------|-|----|
quesiliplustele la mera	--|-|-|----|--||-⌫---|
m ilunfuliez delanouele	-⌫---|-|---|-|-|-----|
si enmerciatl adameisele	-|-|------|-⌫|--------|
u olentiers otriatla mur	-⌫--------|-----||-⌫--|
nepartiratiamesnul iur	-|-------|----|--|--|
asezlifaitcurteisres puns	---|-|---|------|---⌫---|
al m essagedonagran zduns	-|-⌫-----|---|----⌫|---|
amistiepremet	------|-----|
amis fetilo r ee nt remet	---|--|-|-⌫-⌫|-⌫--⌫----|
queamamiepuisseparler	--|||---|-----|-----|
e den ostrecunseilceler	|-|-⌫----|------|----|
munanelde orlipo rterez	--|---|-|-|-|--⌫-----|
e demeie part l idirez	|-|---|---|-⌫|----|
qua ntlipl errasiuie npu rmei	---⌫-|-|--⌫---|-|---⌫|--⌫|--|
eieoirai ensembleod	|--|---|-------|-|
c ungesile	-⌫---|-|-|
asadameiselereuait	|-|--------|-----|
l anellidunesili dist	|---|-|---|-|-|---|
que bi enadfetceok ilquist	--|--⌫-|-|--|--||-|----|
mu t fu la d amei selelie	--⌫|-|-|-⌫----⌫---|--|
delamur iss i	-||---|---⌫|
chambreen unuergie r	------|-|-|------⌫|
uele alo utesbanier	|--|---⌫-|-------|
la iustouentlur	-|--------|--|
mi luneele bien suu ent	--⌫--||--|---|---⌫--|
tantiuintmiluntan t l	---||---|----|---⌫||
qu el adame isele	--⌫|-⌫|----⌫----|
quantaparc eitqu eeleesten ceinte	----|-----⌫--|--⌫|--|--|--⌫-----|
milunmandasifis tsaplei nte	----|----|-|---⌫|-|----⌫--|
dist licumestaue n u	---|-|--|--|---⌫-⌫|
su n bienadp erd u	--⌫|---|-|-⌫---⌫|
quantdetel	----|-|--|
fetsestentremise	--||--|--------|
de l i ertfaitgr ant	-|-⌫|--|---|--⌫--|
seratturmen tee	----|------⌫--|
uendu ee nautre cunt ree	-----⌫|-⌫|----|----⌫--|
ceo fucustume	--|-|------|
a sanciens	-⌫|------|
issi ten e ienten celte n s	---|---⌫-⌫---|-|--|--⌫-⌫|
milunre spunt que ii lfer a	----|--⌫----|---⌫|-⌫|---⌫|
ceoqueele c unseillera	--|--|--|-⌫---------|
qua ntlenfantfait	---⌫-||-----|---|
amaserurleporterez	|-|----|-|-------|
queennorhumbr e es t mariee	--|-|--------⌫|--⌫|-----|
r ichedame pruzeenseignee	-⌫---|---|---||--------|
si li m anderezpar	-|-|-⌫------|--|
eparparoles e par dit	|--|------||--|--|
qu e c estle nfants aserur	--⌫||--||-⌫----|-⌫|----|
sien ad s u ffe rtemei nted olur	-|-|-|-⌫-⌫---⌫--|---⌫--|-⌫---|
or e ga rtk	--⌫|--⌫-||
ilseitbien nuriz	-|---|---|----|
queil k eco s eitufilleufiz	----|-⌫|-|-⌫--||----||--|
uostreanelal col l i	-----|---|-|--|-⌫|
eunbriefli e nueierai	|-|----|-|-⌫-------|
escritiertle nun	-----||--|-|--|
e l a uenture desa	||-⌫------|-|-|
