des cont e sque	--|----⌫-⌫|--|
dont libr eto n firent l es la is	---|-|--⌫---⌫|-----|-⌫-|--⌫-|
uou sco ntereassezbriement	---⌫|--⌫----|----|-------|
el chi efde ces tcomencem ent	-|---⌫-|-|---⌫|--------⌫--|
selonclaletreetlescr it ure	-----|-|----|-||----⌫--⌫--|
mostrere une	-------|--|
quiembreta ignelamenor	--|-|-----⌫---|-|----|
enceten stintho il asla	-|-|---⌫|---|--⌫--⌫-|-|
souenten paisso uenten	-----|-|---|--⌫---|-|
liro is auoitsien baron	-|--⌫-|----|---|----|
quiestoit si redelion	--|-----|--⌫-|-|---|
eridiausestoit	-------|-----|
deso nseig n or	-|--⌫|----⌫-⌫-|
ert m olt am ez	--|-⌫--|--⌫-|
cheualiers er tpreuzet	---------|--⌫|----|-|
desa moi llierot	-|-|---⌫----|-|
etu nefillebele	-|-⌫-|----|---|
nonla damoisele	--|-|--------|
ot anon ledanzel	-||--|-|-----|
nauoittantbe l	|----|---|--⌫|
meru eil l e	----⌫---⌫-⌫|
moltestoit biendesonpere	---|-----|---|-|--|---|
quantse po t consirrier de s o i	----|-|--⌫|---------|-|-⌫-⌫|
silenuoiaseruir	-||-----|-----|
liuallezert	-|-----|--|
molt sefaiso itamer	---|-|-----⌫-|---|
quantf u u e nuz termeset tens	----|-⌫|-⌫-⌫--|-----|-|---|
queilauoita ageet	--|-|----|-⌫--|-|
liroisladoubarichement	-|---||-----|--------|
a rmesli donnea sontalent	-⌫---|-|----||--|-----|
partidelacort	----|-|-|---|
molti d onn a	---||-⌫---⌫|
ai n z quilsen	--⌫-⌫|-|-||-|
enf landresuaporsonpri squer re	-|-⌫------|-|--|--|---⌫|----⌫-|
laot totdis est rifetguerre	-|-|--|--|---⌫--|-|-----|
enl ohe rrai ngen	-|-⌫---⌫----⌫--||
en gasco ingne	-|-----⌫----|
enal em aingne n	-|--⌫--⌫-----||
enborgoingn e	-|---------⌫|
encet ensne	-|-|-⌫--|-|
potn ustr ouer	--|-⌫-|--⌫---|
sibo ncheualier	-|--⌫|--------|
ditant iot nespris	|----||-|-||---|
c on quesdenuleamorn	|--⌫---|-|---|---||
soz cieln a dame	--|---|||---|
nedanz ele	-|----⌫--|
quitantparf ust	--|---|--|-⌫--|
r ic hene bel e	-⌫--⌫-|-|---⌫|
seil dam erlareques is t	-|-||--⌫-|-|------⌫--⌫|
queuo lent iersn eldetenist	--|--⌫----⌫---|-⌫||-------|
plu sorslen requistrentsouent	---⌫---||-|----------|-----|
nauo it de ceta l e nt	|---⌫-|-|-|--⌫-⌫-⌫-|
nus nepooitaparceuoir	--|-|----|---------|
que iluousist amorauoir	--|-|------|---|----|
tienent si ami	------|-|--|
etl iestrangeaperi	-|-⌫|-------||---|
laflo rdeson	-|---⌫|-|--|
meil lor pris	----⌫--|---|
ber enson pais	--|-|--|---|
sonpereetsonseignor	--|---|-|--|------|
ne mere etsa seror	-|---|-|-|----|
quimol tl auo ientde sirré	--|---⌫||---⌫---|--⌫-----|
ense mbleo	----⌫---||
eusaseiorne ́	--||-------⌫|
cemest auis an enti er	-||--||--|-|----⌫-|
talenz lipristd alerc ha cier	-----|-|----||---|-⌫--⌫---|
lanuitsemontsescheualiers	-|---|-----|--|---------|
ses ueneors etsescerchiers	--|------|-|--|--------|
m atinen laforest	-⌫---|-|-|-----|
carcededuit	--|-|-----|
agrandcerfsontarouté	|----|---|---|------|
et lichie nfure ntdes couple ́	-|-|----⌫|----⌫-|---⌫------⌫|
li ue neo rquerent deuant	-|--⌫---⌫|------|-----|
lidamoisiaussemuait traiant	-|---------||-|---|------|
s on arcliporte ua llet	-⌫-|--|-|----|--⌫---|
s onhancazet son	-⌫-|-----|-|--|
traireuo loit	-----|--⌫---|
se mes eust	-|--|---|
ainzqued i l ecse rem eust	---|--||-⌫-⌫-|-|---⌫---|
en ze nlesp oisse	--⌫|-⌫||---⌫----|
d unbu isson	|-|--⌫----|
toute fu bla nchecelebeste	----|-|---⌫---|---|----|
corne s de	-----⌫|-|
cer f otenla teste	---⌫|-|-|-|----|
po r labai d ubra chet	--⌫||---|-⌫|---⌫---|
iltentson arcettreta li	-|---|--|--|-|---||-|
e nlesclotlefe ri deuant	-⌫||-----|-|--⌫-|-----|
elech a idemaintenan t	--|--⌫-⌫|-----------⌫|
lasa iete resor t ariere	-|--⌫---|-----⌫|-----|
gu imar fe riente lman iere	--⌫---|--⌫-|-|--⌫|---⌫---|
enlacuiss e	-|-|-----⌫|
de s qua u	--⌫-⌫-|-⌫|
que t ostlestut descen drea	--|-⌫--||----|------⌫--||
aterrech ietsor	|----|--⌫--|--|
lerbe drue	|---|---|
bichecotueue	----||-|---|
labichequinaure ́ esto it	-|----|--|-----⌫|----⌫-|
a ngoisseuseertsi	-⌫---------|--|-|
seplagnoit	-|-------|
a lui par laenguise	|--|---⌫-|-|----|
ahi lasse iesuiocise	--|----|-|--|----|
ettuuassal qu imasnauree	-|-|-----|--⌫||-|-----|
itelel soittad e stinee	-----|---|-|-⌫-⌫-----|
iamesnaiesni	-|--||---|-|
neparherbeneparra cine	-|--|----|-|--|--⌫---|
neparmi re ne	-|--|--⌫-|-|
naura s t uia	|----⌫|-⌫|-|
mesgarison	--|------|
delaplaie q	-|-|----||
asen lacuisse	-|-|-|-----|
deciquecelet e garisse	------|---|-⌫|------|
quisoffe r a porteueamor	--|-----⌫-⌫|--|---|---|
sigrant poin esigrant dolor	-|----|----⌫|-|----|----|
fa me tantnesosfri	--⌫-|---|-|-----|
e ttureso frerasporli	-⌫|-|----⌫-----|--|-|
donttuit ci l	---|---|--⌫|
semerueilleront	-|------------|
quiain mentetamé	--|---⌫---|-|---|
ne quiplusameront	-|--|---|------|
ua t en deci lai m	-||-|-|-|--||
g uimar fum olt	-⌫----|-|-⌫--|
formentbleciez	------|------|
decequ il otestesmaiez	-----|-|-|--|------|
con mencasoi	---⌫----|--|
apo rp en ser	|--⌫--⌫--⌫--|
terreporr a aler	----|----⌫|---|
plaieferega ri r	----|---|--⌫--⌫|
nes euelt paslessie r	-|-⌫|---|--|------⌫|
assezetbi enl e	----|-|--⌫-|-⌫|
c onq uesfame nule	|---⌫--|---|---|
acuii l a tornast	|--|-⌫|-⌫------|
nequi gariss istdedol or	-|--|------⌫--|-|---⌫-|
sonuall etapelaauant	--|----⌫-|----|----|
a m isfe til	-⌫-⌫-|--⌫|-|
ua tostp oi gnant	-|---|-⌫--⌫----|
faimesco npaing nonsretorner	--|--|--⌫------⌫---|-------|
carie u odroie aeus pa r l er	--|-|-⌫-----||--|--⌫-⌫-⌫-|
auan t etcilremai nt	----⌫|-|--|-----⌫-|
molt ang oisseuseme ntseplaint	---|---⌫----------⌫-|-|-----|
desa chemiseest roitement	-|-|------|---⌫--------|
bende ́ sa	-----⌫|-|
plaiefermement	----|--------|
puis estmontezdilecs	---|--|-----||---||
car duremue rli	--|-|-----⌫|-|
ne u eltquenusdes	-|-⌫--|--|--|--|
siensi uiengne	----||------|
quid estorbast	--|-⌫--------|
ne qui detiengne	-|--|--------|
horsenla la ndeenla plaing ne	---|-|-|--⌫--|-|-|------⌫-|
u i tlafaloiseetla mon taingne	-⌫-⌫|-|------|-|-|---⌫------|
dune eue quidesozcoroit	|--|--|--|----|-----|
brazfude merhaureiauoit	---|-|-|--|----||----|
el ha ureotune seule	-|--⌫--|-|--|----|
dontguimara c ho isi	---|-----||-⌫--⌫--|
mol t estoit bien apareilliez	---⌫|-----|---|----------|
deho rsetdedenz	----⌫-|-|-----|
nushomnip ot ueoir ionture	--|--|||-⌫-|----|------|
niotcheu ille nec losture	||-|----⌫---|-|-⌫------|
quinefusttoute debenu	--|-|---|----||----|
soz ci eln aor qui	--|--⌫-|||-|--|
u ail le plus	-⌫---⌫-|---|
leuoillef utoute desoie	-|-----|-⌫|----|-|---|
molt es tbele	---|--⌫|---|
quile desploie	--|-|-------|
licheualiermoltert pensis	-|--------|---|--|-----|
enlacontreen elpais	-|-|------||-|---|
not onques oipa rler	|-|-----|-|--⌫---|
q uenes ipeustariuer	-⌫-|--||----|-----|
il uait a uant s ides ce nt	-|---|-⌫---|-⌫|---⌫--⌫-|
ag rant angoiss emontasus	|-⌫---|-------⌫|----|--|
dedenzcui dahom mestrouer	-----|---⌫-|---⌫--|-----|
quilane f deussentgarder	--|-|--⌫|-------|-----|
neniau oitnus	|-||--⌫--|--|
nuln iu it	--|||-⌫-|
enmi latreftroua	---|-|---|----|
dontlipec o letl i li mon	---|-|---⌫-⌫|-|-⌫|--⌫--|
f ur entde	-⌫--⌫--|-|
l ueuresal emon	|----|---⌫---|
tail lié aortot a trifoi re	----⌫---||-|--||------⌫-|
decipreset deblanc	-|-----|-|-|----|
dun drapdesoie ao r	|-|---|-|---||-⌫|
fu lacoutequi dedenz	-|-|----|--|-----|
lesautres drasne sai proisier	--|-----|---|-|--|-------|
mestantu osdide	--|---|-⌫-|-|-|
loreill ier	|------⌫--|
quisus eusts onchiefte nu	--|--|---|-⌫-|----|--⌫-|
iam esne ustlepo ilchanu	---⌫-||-⌫--|-|--⌫-|----|
leco uerto r	-|--⌫-----⌫|
d e s ebel in	-⌫|-⌫----⌫-|
u ouxfudeporpre alixandrin	-⌫--|-|-|-----|---------|
chandelabresdefinor	-----------|-|--|-|
lespierre s uale ntt resor	--|------⌫|----⌫-|-⌫----|
e lchief de	-⌫|----|-|
laneffure n tmis	-|--|----⌫-⌫|--|
cierges espris	------|-----|
sestoitmerueillie z	|-----|----------⌫|
il s ests orlelitapoiez	-||--|-⌫-|-|--|-----|
reposesoisaplaiedeut	-----|--|-|----|---|
puisestleuez	---|--|----|
aler en ueut	---|-|---|
ilnepot miereto rner	-|-|--|--|----⌫---|
ertiaenhau t e mer	--|-|-|---⌫-⌫|--|
uait deliurement	---|----------|
e tsoefuent	-⌫|---|---|
ni anoient de	|||-----|-|
moltertdolent neset quefere	---|--|-----|-|--|--|---|
n estm erueil leseil	|--|-⌫------⌫-|-|-|
car grantd o lora	--|----|-⌫-⌫--||
sosfrir li	------|-|
est ue t l au entur e	---⌫--⌫||--⌫-----⌫|
adeup ri equ ilpra ignecure	|--|-⌫--⌫|-|-|---⌫---|---|
quasonple sirl	-||--|---⌫--||
amaint auport	-----|-|---|
et side sfenddelamort	-|-|--⌫----|-|-|---|
ellit secouc hasis edort	-|--|-|----⌫-|-|-⌫|---|
ainzlauespree ariua	---|-|------|----|
laousag aris o n troua	-|-|-|-⌫----⌫-⌫|----|
desozune a n tiue cite	----|--|-⌫-⌫---|---|
q u iest oitchiesde ceregne	-⌫-⌫|---⌫--|----|-|-|----|
lisires quila	-|----|--|-|
main te noit	----⌫--⌫---|
moltfuuiexhonetfameauoit	---|-|---|--|-|---|----|
de h aut parage	-|-⌫--|-----|
franchecor t o ise beleetsage	------|---⌫-⌫-⌫--|---|-|---|
ialousestoit ad esmes ure	-----|-----||-⌫-----⌫--|
carce p orp ortelor	--|-|-⌫---⌫---|--|
liuielsoient ialous	-|---|-----|-----|
chascunsqueilsoi t	-------|--|-|---⌫|
li trespa s	-|------⌫|
ilne lesgardoitmie	-|-||--------|--|
enuerg iersozle donion	-|----⌫--|--|-|-----|
laotclosfet	-|-|---|--|
deuert marbrefuli mureaus	-|---|-----|-|-|------|
molt par estoitesp esethaus	---|--|-----|---⌫-|-|---|
niotforsune	||-|---|--|
seuleentree	----|-----|
nu itetiorgardee	--⌫-|-|--|-----|
de lautre part fu	-||----|---|-|
clo s dem er	---⌫|-|-⌫-|
i pot estreneentrer	|--|----|-|-----|
sece nefust	-|-|-|---|
quibesoingeu st auchastel	--|------|--⌫-|-|------|
ded enzc emur	---⌫--|-⌫|--|
pormetresa famea seur	--|----|-|---||---|
chamb re sozc ielnauoit pl usbe le	-----⌫-|--|-⌫--||----|--⌫-|--⌫-|
alentre efu la chapele	||-----⌫|-|-|------|
la chambre ertpaintet ot entor	-|------|--|-----|-⌫-|----|
uenusladeessedamor	----|-|-----||---|
futresbienmiseenlapa inture	-|---|---|---|-|-|--⌫-----|
lest r aiz mos troitet lana ture	--|-⌫-⌫--|---⌫----|-|-|--⌫---|
co nment ondoitamor teni r	--⌫----|-|---|---|----⌫|
etloiaumentet bi enseruir	-|--------|-|--⌫-|-----|
ou ideouil	--⌫--|-|-|
conmentcha s c o nss amor	------|---⌫-⌫-⌫-⌫-||---|
lafuladameenclose	-|-|-|---|------|
u n epuc e lea son seruise	-⌫-⌫|---⌫-⌫-||--|------|
liauoit sessire baillié	-|----|--|---|-------|
quimol tfusage	--|---⌫|-|---|
lainzneefill esaseror	|------|----⌫|-|----|
e nt relesdeus	-⌫--⌫-|--|---|
otg ran tamor	-|-⌫---⌫|---|
o li est oitquanti lerroit	|-|---⌫--|----|-⌫|-----|
n ulautremest ier	-⌫-|----|----⌫--|
h omenefame ni meist	-⌫--|-|---|||----|
n ehors dece mu railnissis t	-⌫|---|-|-|--⌫---||-----⌫|
uielzblans prestr ebi enf loriz	----|----|------⌫|--⌫-|-⌫----|
gardoitlaclef decepos tis	------|-|---|-|-|---⌫--|
autremen tne fustpascreuz	--------⌫|-|---|--|----|
lese r u ise deu lidisoit	-|--⌫-⌫-⌫--|--|-|-----|
mengier laseruoit	------|-|------|
cei o rme ismea in zreleuee	-|-⌫-⌫|--⌫---|-⌫--⌫|------|
fuladame elue rgi eralee	-|-|---|-|--⌫---⌫-|---|
dormiau oita presmengier	----|--⌫--|-⌫---|------|
alee esbano i er	---|------⌫-⌫-|
ensemb le oluiseullameschine	------⌫-||--|---|-|-------|
garde ntauallez la marine	-----⌫-|---|--|-|-----|
lanefuirentaufl ot mon ta nt	-|--|-----|-|--⌫-|---⌫--⌫-|
quielhau reuenoit sigla nt	--|-|---⌫-|-----|-----⌫-|
auo itnul quil aconduie	---⌫-|--|--|-⌫|------|
la dame uel t torneren fuie	-|---|---⌫|-----|-|---|
selea poornest	|--||---||--|
pa smerueille	--⌫|--------|
f aceuermei lle	-⌫--|------⌫--|
meschinequifusage	-------|--|-|---|
et plus ha rdiedecorage	-|---|--⌫---|-|-----|
lareconforté	||----------|
etaseuré bonnem ent	-|------|------⌫--|
sonmantel oste la	--|-----|---|-|
h astiuemen sadameapele	-⌫--------|-|---|----|
t outelauenturelidit	-⌫---||-------|-|--|
moltplain le m ort quantelleuit	---|----|-|-⌫--|----|-|-|--|
respont l a dameori	------|-⌫|---|-||
seil est mor t nosl	-|-|--|---⌫|--||
nost re prestres	----⌫-|-------|
nos aider a	--|-----⌫|
se uisl e truis ilparlera	-|--|-⌫|----|-|------|
e nsemb le uo ntnat argentmes	-⌫-----⌫-|--⌫-||--⌫-----|--|
la dameauant etce leapr es	-|---|----|-|--⌫-|---⌫-|
quanteleestenlanefentree	----|--|--|-|-|--|-----|
de ua ntl e litsest	--⌫--⌫-|-⌫|--||--|
le cheualier	-|--------|
