Icicumencelicompuz	--|------|-|-----|
Philip pe de	------⌫-|-|
Adfait une rai sun	-|---|--|---⌫--|
Purpr uueire s gua rnir	--|--⌫------⌫|---⌫---|
Delale imaintenir A	-|-|--⌫|--------||
sun unclele nueiet	--|----||-⌫-----|
Que ̈am enderla	---⌫|--⌫----|-|
Ne e nfa it ne en es c ritA	-|-⌫|--⌫-|-|-|--⌫-⌫--||
Lechapelein	-|--------|
senesc hallurei	------⌫--|-|--|
Ichouus diparmei	---|--|-|--|--|
O roëzson ser m un	-⌫|---|--|---⌫-⌫-|
Cum l emet	--|-⌫|--|
a raisunEcil	|-----||--|
De uschi t utfistEchituz	--⌫-|--|-⌫-|---||--|--|
iurz uei r dist	---|---⌫|---|
Quëelene f aitrenUt uz iurz	---|--|-|-⌫--|--||-⌫-|---|
purluinnee	---------|
Laio ie apara ill e e	-|--⌫-|-----⌫---⌫-⌫|
Mais treunliure	----⌫--|-|----|
u o il faireE	-⌫-⌫-|----||
es ta cuntraire	--⌫||--------|
Quetant mesuita rgét	--|---|-|--|--⌫----|
acum encét	----⌫-----|
Charmultestn ecessarie	---|---|--|-⌫--------|
Celoureque uoil	--|---|--|---|
faireEmultplusursclerssunt	----||---|------|----|---|
Chigrantbusuin	--|----|-----|
Augus tin s dit	-----⌫---⌫|--|
La uilfait sunescritU	-||-|---|--|-----||
n umedlelibrarie	-⌫---|-|-------|
C himu lt est ne c es sa rie	-⌫-|--⌫-|--|--⌫-⌫--⌫--⌫--|
Aspruueires garnir	-|--------|-----|
lei m aint enirIçofudlisaltersEli antefine rs	--|-⌫----⌫---|---|--|-|------||-|--------⌫-|
Baptisterie gra hels	----------|---⌫---|
Lihymners elim essels	-|------||-|-⌫-----|
Trop erselecuners Ecanesp urpa rlersA	----⌫--||-------||----|-⌫----⌫----||
celsquimalfunt	---|--|--|---|
Deu se forfuntEc umpot	--|-|------||-⌫----|
purcunter E pu r b enesgarder	--|-----||--⌫|-⌫-|-------|
Lest ermese le sclés E lesfest es	--|-⌫----||--⌫|----||--|----⌫-|
Parçoe deuunsgard er	--|---|-----|----⌫-|
No s tr eleicelebre r	--⌫-⌫--⌫|--|-------⌫|
Pasc haesdé	----⌫---|--|
Desgranzfestes	--|----|-----|
anuelsUparc ezlatendrunt Uuïa z i	-----||--|-⌫-|-|-------||----⌫||
fal drun tDiço eme plaist garnir Cés	---⌫----⌫||----⌫|-|-----|-----|---|
ch iu ntaten ir	--⌫|-⌫-||---⌫-|
Nostrecristïe ntét	-----|--------⌫----|
Tri nitétÇ o dist sainz	---⌫-----|--⌫|---|----|
Aug ustins	---⌫-----|
Qui fudmul t bonsdeuins	--|--|---⌫|---|-----|
Aui sunches potestre	---⌫------|--|----|
Qu ëilunc hesseit prestre	--⌫-|-|---⌫--|---|------|
Seilne s et	-|-|-|-⌫-|
ches tlibrarie	----⌫|-------|
D u m faiz cestexemplarie	-⌫-⌫|---|---|---------|
Queferat pastorel	--|----|-------|
Quinenadnuldrape l	--|--|-|--|-----⌫|
Cum g ardera tberbiz	--|-⌫------⌫|-----|
Quinenn adnulpasti zE	--|---|-|--|-----⌫||
D eus cumcu m bat ra t	-⌫--|--|--⌫-⌫---⌫--⌫|
QuisesarmesnenadNauum fe in ecrë a nce	--|--|----|--|-||---|--⌫|-⌫|----⌫-⌫--|
Qui doüst	--|-----|
estrelan ce	----|---⌫-|
Cuntrecels en emis	-----|---|--⌫---|
Quisu rnussun te spris	--|--⌫|--|---⌫|-⌫----|
Il prennentl acité	-|-------|-⌫|----|
Le mur u nt	-|--|-⌫-|
effun dré	-----⌫---|
Hardiuntgra nt bäee	----|--|---⌫-|----|
uuntiod grant h ü ee Ço estparle	---||-|----|-⌫--⌫-|--|--|--|-|
Q uise tenlatu r	-⌫-|--⌫|-|-|--⌫|
Chi nesepotdefendre	--|-|-|--|-------|
Ne od elsb ataille prendr e	-|-|--|-⌫------|------⌫|
Cumen t lö er	-----⌫|---⌫-|
Quiben curt	--|--|---|
Nef quiseitdesqu assee	--|--|---|-----⌫----|
Edesusenfundree	|----|--------|
D irre ç oepotli prest re	-⌫---|--⌫-|--|-|-----⌫-|
Senzcompot pot	---|-----|--|
us de musterE sesfestesnuncierEio	-|-|-----||--|-----|------||-|
liresp ondrai	-|----⌫-----|
Ho msetpar us chanterEesturnel parler	--⌫|--|--|-|------||-------|-----|
Nelarraineuus	-|-----|-|--|
dieNëestpasiu gle rie	--|--|--|--|--⌫---⌫--|
N enest griunelatins	-⌫-|--|---|-|-----|
Nenenesta nge uins	-|--|--|-⌫---⌫---|
Ainzestraisunmustree	---|--|-----|------|
Delano stre cuntree	-|-|--⌫---|------|
Benpoëntretenir Çoe dumges	--|-----|------|---|--|--|
uoil garnirS ëiluolenten tendreE	---|-----|-⌫-|-|-----|--⌫-----||
bonega rdeprendre	---|--⌫--|------|
Ma isquit quealquant di rrunt	--⌫-|---|--|------|--⌫----|
Quipuintdesensn aurunt	--|----|-|---||-----|
Queenuain metraueillai	--|-|---|-|---------|
Quantcestliure ordena i	----|---|----|------⌫|
Iurruntpot celestre	------|--|--|----|
uertüu scel estre	-------⌫|---⌫----|
