#META#TextURILancI	-----|------|----|
#ME TA#DEAF	---⌫--|---|
#META #FEW	-----⌫|--|
#META# ARLIMAhttps//www.arlima.n et/ad/chretien_de_troyes.ht m l#cha	-----|-----|-------------------⌫---------------------------⌫-⌫----|
#META# Au thor Ch rétien deTroyes	-----|--⌫---|--⌫------|-|-----|
# M ETA#AuthorBorn1130	-⌫-⌫---|---------|---|
#MET A# Au thorBo rnAmbc	----⌫-|--⌫------⌫----||
#META#Auth orDie d1180	-----|----⌫-----⌫|---|
#META#Autho rDiedAmba	-----|-----⌫-------||
#M ET A#A uthorFl1	--⌫--⌫-|-⌫-------|
#META#AuthorFl2	-----|--------|
#META#TextTitleLan celot	-----|--------|---⌫----|
#META#TextSub ti tle LeCheualier	-----|-------⌫--⌫--|-|--------|
Charre tte	------⌫--|
#META#Textuols	-----|-------|
# META#TextSubi romance	-⌫----|-------|------|
#META# TextD omlit	-----|-----⌫-|--|
#MET A#Translation	----⌫-|----------|
#META#Col lect ion	-----|---⌫----⌫--|
#META#CollectionNo	-----|-----------|
#META#TextDescAR Luersoctosyllabiques à rimes plate s	-----|----------⌫|---|--------------|-|----|-----⌫|
#META#TextDescuers8	-----|-----------||
#ME TA#TextDateARL 1178-1181	---⌫--|----------|--------|
#META# TextDat eA di	-----|-------⌫--⌫-|
#META#TextDateMin1 178	-----|----------|-⌫--|
#META#Te xtDateM ax1181	-----|--⌫-------⌫-|---|
#MET A#E dEd itorIonckbloet W .I . A.	----⌫-|-⌫---⌫---|---------|-⌫|-⌫|-|
#META#EdPla ce La Hay e	-----|-----⌫-|-|---⌫|
#META#EdPublish e r	-----|---------⌫-⌫|
Belinfant e Frè re	---------⌫|----⌫-|
#M ETA#Eduol	--⌫---|----|
#META# EdYear 1850	-----|-----|---|
#MET A #EdPages	----⌫-⌫|------|
#META#MsBase C	-----|-----||
#ME TA#MsOther	---⌫--|------|
# META#MsNum	-⌫----|----|
#META# MsDateAR L	-----|--------⌫|
# META#MsDateAdi	-⌫----|--------|
#ME T A#Form u	---⌫-⌫-|---||
#META#Complete true	-----|-------|---|
#META#N oW ords42590	-----|-⌫--⌫---|----|
#META#NoLin es7148	-----|-----⌫-|---|
#META#D i alAuth	-----|-⌫-⌫-----|
