domineexaudiorationemmeam	domine exaudi orationem meam
.etclamormeusadteveniatnonavertas	. et clamor meus ad te veniat non avertas
faciemtuamameinquacumquedietribulor	faciem tuam a me in qua cumque die tribulor
inclinaadmeauremtuaminquacumquedieinvocavero	inclina ad me aurem tuam in quacumque die invocavero
tevelociterexaudime.quiadefeceruntsicutfumusdies	te velociter exaudi me . quia defecerunt sicut fumus dies
meietossa	mei et ossa
measicutcremium	mea sicut cremium
arueruntpercussussumutfenumetaruitcormeum	aruerunt percussus sum ut fenum et aruit cor meum
quiaoblitussum	quia oblitus sum
comederepanemmeum.avocegemitus	comedere panem meum . a voce gemitus
meiadhaesitosmeumcarni	mei adhaesit os meum carni
mee.similisfactussumpellicano	mee . similis factus sum pellicano
solitudiniset	solitudinis et
factussumsicut	factus sum sicut
niticoraxindomicilio.vigilavi.etfactussum	niticorax in domicilio . vigilavi . et factus sum
sicutpassersolitariusintecto	sicut passer solitarius in tecto
.totadieexprobrabantmihiinimici	. tota die exprobrabant mihi inimici
meietquilaudabantmeadversum	mei et qui laudabant me adversum
mejurabant.quiacyneremtanquampanemmanducabam	me jurabant . quia cynerem tanquam panem manducabam
etpotummeumcumfletumiscebamafacie	et potum meum cum fletu miscebam a facie
ireindignationis	ire indignationis
tuequiaelevansallisistime.	tue quia elevans allisisti me .
diesmeisicutumbra	dies mei sicut umbra
declinaveruntetegosicutfenumarui	declinaverunt et ego sicut fenum arui
.tuautemdomine	. tu autem domine
ineternumpermanesetmemorialetuumingenerationem	in eternum permanes et memoriale tuum in generationem
etgenerationem.tuexsurgensdominemisereberissionquia	et generationem . tu exsurgens domine misereberis sion quia
tempusmiserendiejusquiavenittempus	tempus miserendi ejus quia venit tempus
.quoniamplacueruntservistuis	. quoniam placuerunt servis tuis
lapidesejusetterreejusmiserebuntur.	lapides ejus et terre ejus miserebuntur .
ettimebunt	et timebunt
gentesnomentuumdomine	gentes nomen tuum domine
etomnesregesterre	et omnes reges terre
gloriamtuam.quiaedificavit	gloriam tuam . quia edificavit
dominussionet	dominus sion et
videbituringloriasuarespexitinorationemhumiliumet	videbitur in gloria sua respexit in orationem humilium et
nonsprevitprecemeorum.scribanturhec	non sprevit precem eorum . scribantur hec
ingenerationealteraetpopulusqui	in generatione altera et populus qui
creabiturlaudabitdominumquiaprospexitdeexcelsosanctosuo	creabitur laudabit dominum quia prospexit de excelso sancto suo
dominusdeceloin	dominus de celo in
terramaspexit.utaudiretgemitus	terram aspexit . ut audiret gemitus
compeditorumutsolveretfiliosinteremptorum	compeditorum ut solveret filios interemptorum
utannuntientinsionnomendominietlaudem	ut annuntient in sion nomen domini et laudem
ejusiniherusalem.inconveniendopopulosinunum	ejus in iherusalem . in conveniendo populos in unum
etregesutserviantdominoresponditei	et reges ut serviant domino respondit ei
inviavirtutissuepaucitatemdierum	in via virtutis sue paucitatem dierum
meorumnuntiamichinerevocesmein	meorum nuntia michi ne revoces me in
dimidiodierummeorumingenerationemetgenerationem	dimidio dierum meorum in generationem et generationem
annitui.initio	anni tui . initio
tudomineterramfundastietoperamanuum	tu domine terram fundasti et opera manuum
tuarumsuntceli.ipsiperibunt	tuarum sunt celi . ipsi peribunt
tuautempermanesetomnessicutvestimentumveterascent	tu autem permanes et omnes sicut vestimentum veterascent
etsicut	et sicut
opertoriummutabiseosetmutabunturtuautemidemipsees	opertorium mutabis eos et mutabuntur tu autem idem ipse es
etannituinondeficient.filiiservorumtuorum	et anni tui non deficient . filii servorum tuorum
habitabuntetsemeneoruminseculum	habitabunt et semen eorum in seculum
dirigetur.domineexaudiorationemmeam	dirigetur . domine exaudi orationem meam
etclamormeusad	et clamor meus ad
teveniat.nonavertasfaciem	te veniat . non avertas faciem
tuamameinquacumquedietribulorinclinaadme	tuam a me in quacumque die tribulor inclina ad me
auremtuam.inquacumque	aurem tuam . in quacumque
dieinvocaverotevelociter	die invocavero te velociter
exaudime.quiadefeceruntsicutfumusdies	exaudi me . quia defecerunt sicut fumus dies
meietossameasicut	mei et ossa mea sicut
cremiumarueruntpercussussumut	cremium aruerunt percussus sum ut
fenumetaruit	fenum et aruit
cormeumquiaoblitussumcomederepanemmeum	cor meum quia oblitus sum comedere panem meum
.avocegemitusmeiadhaesitosmeumcarnimee	. a voce gemitus mei adhaesit os meum carni mee
.similisfactussumpellicanosolitudinisfactussum	. similis factus sum pellicano solitudinis factus sum
sicutnicticoraxindomicilio.vigilavietfactus	sicut nicticorax in domicilio . vigilavi et factus
sumsicutpassersolitariusintecto.totadieexprobrabant	sum sicut passer solitarius in tecto . tota die exprobrabant
mihiinimicimeietquilaudabantmeadversummejurabant	mihi inimici mei et qui laudabant me adversum me jurabant
.quiacineremtanquam	. quia cinerem tanquam
panemmanducabametpotum	panem manducabam et potum
meumcum	meum cum
fletumiscebam.	fletu miscebam .
afacieireetindignationistue:quiaelevansallisisti	a facie ire et indignationis tue : quia elevans allisisti
me.dies	me . dies
meisicutumbradeclinaveruntetego	mei sicut umbra declinaverunt et ego
sicutfenumarui.tuautemdomineineternumpermanes	sicut fenum arui . tu autem domine in eternum permanes
etmemorialetuumingenerationemetgenerationem.	et memoriale tuum in generationem et generationem .
tuexsurgensdominemisereberissyonquiatempusmiserendiejusquia	tu exsurgens domine misereberis syon quia tempus miserendi ejus quia
venittempus	venit tempus
.quoniamplacueruntservistuis	. quoniam placuerunt servis tuis
lapidesejusetterre	lapides ejus et terre
ejusmiserebuntur.ettimebunt	ejus miserebuntur . et timebunt
gentesnomentuumdomineet	gentes nomen tuum domine et
omnesregesterregloriamtuamquiaedificavitdominussion	omnes reges terre gloriam tuam quia edificavit dominus sion
:etvidebituringloriasua	: et videbitur in gloria sua
respexitin	respexit in
orationemhumilium:etnonsprevitprecemeorumscribanturhec	orationem humilium : et non sprevit precem eorum scribantur hec
ingenerationealteraetpopulusquicreabiturlaudabitdominumquia	in generatione altera et populus qui creabitur laudabit dominum quia
prospexitdeexcelsosanctosuo	prospexit de excelso sancto suo
dominusdecelointerram	dominus de celo in terram
aspexit.ut	aspexit . ut
audiretgemituscompeditorumutsolveretfiliosinteremptorum	audiret gemitus compeditorum ut solveret filios interemptorum
.utannuntientin	. ut annuntient in
sionnomen	sion nomen
dominietlaudemejusinjerusalem	domini et laudem ejus in jerusalem
.inconveniendo	. in conveniendo
populosinunumetreges:utserviantdomino.	populos in unum et reges : ut serviant domino .
responditeiin	respondit ei in
viavirtutis	via virtutis
suepaucitatemdierummeorumnuntia	sue paucitatem dierum meorum nuntia
michinerevocesmeindimidiodierummeorum	michi ne revoces me in dimidio dierum meorum
ingenerationemet	in generationem et
generationemannitui	generationem anni tui
.initio	. initio
tudomineterramfundastietoperamanuumtuarum	tu domine terram fundasti et opera manuum tuarum
suntceli.ipsiperibunttuautempermanesetomnes	sunt celi . ipsi peribunt tu autem permanes et omnes
sicutvestimentumveterascent	sicut vestimentum veterascent
.etsicutopertoriummutabiseos	. et sicut opertorium mutabis eos
etmutabunturtuautemidemipseesetannitui	et mutabuntur tu autem idem ipse es et anni tui
nondeficientfiliiservorumtuorumhabitabuntetsemeneorumin	non deficient filii servorum tuorum habitabunt et semen eorum in
seculumdirigeturdomine	seculum dirigetur domine
exaudior̃oemmeametclamormeusad	exaudi or̃oem meam et clamor meus ad
teveniatnonavertasfaciemtuam	te veniat non avertas faciem tuam
ameinquacũq	a me in quacũq
dietribulorinclinaa	die tribulor inclina a
meaurem	me aurem
tuaminquacumqdie	tuam in quacumq die
invocaverotevelociterexaudime	invocavero te velociter exaudi me
quiadefeceruntsicut	quia defecerunt sicut
fumusdies	fumus dies
meietossameasicut	mei et ossa mea sicut
cremiumarueruntpercussus	cremium aruerunt percussus
sumutfenũ	sum ut fenũ
etaruitcormeumquiaoblitussum	et aruit cor meum quia oblitus sum
comederepanemmeumavocegemitusmei	comedere panem meum a voce gemitus mei
adhesitos	adhesit os
meumcarni	meum carni
meesimilisfactussumpellicano	mee similis factus sum pellicano
solitudinisfactussumsic̃niticoraxindomicilio	solitudinis factus sum sic̃ niticorax in domicilio
vigilavietfactussumsicutpasser	vigilavi et factus sum sicut passer
sollitariusintectototadie	sollitarius in tecto tota die
exprobrabantmichi	exprobrabant michi
inimicimeietquilaudabantme	inimici mei et qui laudabant me
adversummejurabantquia	adversum me jurabant quia
cineremtanquãpanemmanducabametpotummeumcum	cinerem tanquã panem manducabam et potum meum cum
fletumiscebamafacie	fletu miscebam a facie
ireetindignationistuequiaelevãsallixistimediesmei	ire et indignationis tue quia elevãs allixisti me dies mei
sicutumbradeclinaveruntetegosicutfenũ	sicut umbra declinaverunt et ego sicut fenũ
aruituautem	arui tu autem
dominein	domine in
eternũpermanesetmemorialetuum	eternũ permanes et memoriale tuum
ingenerationem	in generationem
etgenerationemtuexurgensdominemisereberissyonquiatempusmiserendi	et generationem tu exurgens domine misereberis syon quia tempus miserendi
ejusquiavenittempusqm̃placueruntservistuis	ejus quia venit tempus qm̃ placuerunt servis tuis
lapidesejus	lapides ejus
etterreei᷒	et terre ei᷒
miserebunturettimebuntgentesnomentuumdomine	miserebuntur et timebunt gentes nomen tuum domine
etom̃sregesterregloriam	et om̃s reges terre gloriam
tuamquiaedificavitdominusexsyonet	tuam quia edificavit dominus ex syon et
videbituringloriasuarespexitinorationem	videbitur in gloria sua respexit in orationem
humiliumet	humilium et
nonsprevitprecemeorumscribant᷑	non sprevit precem eorum scribant᷑
hecingenerationealtera	hec in generatione altera
etpopulusquicreabiturlaudabit	et populus qui creabitur laudabit
dñmquiaprospexitdeexcelsosanctosuodominusdecelo	dñm quia prospexit de excelso sancto suo dominus de celo
interramaspexitut	in terram aspexit ut
audiretgemituscompeditorumutsolveret	audiret gemitus compeditorum ut solveret
filiosinterẽptorumut	filios interẽptorum ut
annuntientinsyonnomen	annuntient in syon nomen
dominietlaudemejusiniherusaleminconveniendopopulos	domini et laudem ejus in iherusalem in conveniendo populos
inunumetregesut	in unum et reges ut
serviantdominoresponditeiin	serviant domino respondit ei in
viavirtutissuepaucitatemdierummeorumnuntiamichi	via virtutis sue paucitatem dierum meorum nuntia michi
nerevocesme	ne revoces me
indimidiodierum	in dimidio dierum
meorumingeneratõeetgenerationẽanni	meorum in generatõe et generationẽ anni
tuiinitiotu	tui initio tu
domineterramfundastietoperamanuumtuarumsunt	domine terram fundasti et opera manuum tuarum sunt
celiipsiperibunttuautem	celi ipsi peribunt tu autem
dominepermanesetomnes	domine permanes et omnes
sicutvestimentum	sicut vestimentum
veterascentetsicutopertoriummutabis	veterascent et sicut opertorium mutabis
eosetmutabunturtuautem	eos et mutabuntur tu autem
idemip̃eesetannitui	idem ip̃e es et anni tui
nõdeficientfiliiservorumtuorumhabitabuntetsemeneorumin	nõ deficient filii servorum tuorum habitabunt et semen eorum in
seculumdirigeturGloria	seculum dirigetur Gloria
.ps̃.Domineexaudiorationẽmeã:et	. ps̃ . Domine exaudi orationẽ meã : et
