Stephanus,δ̄i	Stephanus , δ̄i
om̃ibuſq;in	om̃ibuſq ; in
,petitionituęimmototiuſcuipreeſęccłęannuenteſ	, petitioni tuę immo totiuſ cui preeſ ęccłę annuenteſ
noſquoq;poſtapłicap̃ceptadecernimus	noſ quoq ; poſt apłica p̃cepta decernimus
nequavłęccłaſtica	ne qua vł ęccłaſtica
łſecularisꝑſonaaliquidδedecimispoſſeſſionisFlaciacivelaliarum	ł ſecularis ꝑſona aliquid δe decimis poſſeſſionis Flaciaci vel aliarum
p̃dicteęccłępoſſeſſionumacciperep̃ſumat.Adalimentumenim	p̃dicte ęccłę poſſeſſionum accipere p̃ſumat . Ad alimentum enim
eiſomnemeoꝝdecimamaδcujuſcumq	eiſ omnem eoꝝ decimam aδ cujuſcumq
;ęcłarumnrãrumjusanteaꝑtinuerit	; ęcłarum nrãrum jus antea ꝑtinuerit
.Siqͥsautem	. Si qͥs autem
contrahęcſcienteregerit,anatematiseumdiſtrictioneꝑcellimus	contra hęc ſcienter egerit , anatematis eum diſtrictione ꝑcellimus
donecreatusſui	donec reatus ſui
p̃ſentibusquãfuturisp̃ſentidecretop̃cipimusut	p̃ſentibus quã futuris p̃ſenti decreto p̃cipimus ut
vr̃ędedampnisejus	vr̃ę de dampnis ejus
inδecimasſeudealiisaudierint	in δecimas ſeu de aliis audierint
Alioquinofficiiſuiꝑiculumincurſurosſenoverint	Alioquin officii ſui ꝑiculum incurſuros ſe noverint
,&adñoꝓquozelareautnoluntauttrepiδant	,& a dño ꝓ quo zelare aut nolunt aut trepiδant
malumqδ̃merent᷑ſinon	malum qδ̃ merent᷑ ſi non
emendaverintrecepturos.	emendaverint recepturos .
ActumesthocEduęinplenaſynodo.	Actum est hoc Eduę in plena ſynodo .
XV.kl.julii,	XV . kl . julii ,
laudantib;archidiaconib;Gaufrido,Seguino	laudantib ; archidiaconib ; Gaufrido , Seguino
,Humberto&totaſynodo.EtegoStephanuſ	, Humberto & tota ſynodo . Et ego Stephanuſ
Eduenſiſeccłeepcſigillomeomunio&confirmo	Eduenſiſ eccłe epc ſigillo meo munio & confirmo
.EgoHumb̃tuſ,d̃i	. Ego Humb̃tuſ , d̃i
grãEduenſiſeꝑc,tͣdopoſteritatiſmemoriep̃ſentiſpͥvilegiiconfirmatione	grã Eduenſiſ eꝑc , tͣdo poſteritatiſ memorie p̃ſentiſ pͥvilegii confirmatione
deconcorδiaFlaviniacenſiſeccłe⁊	de concorδia Flaviniacenſiſ eccłe ⁊
Fontenetenſiſfactũẽ.	Fontenetenſiſ factũ ẽ .
quedecaſamentoejuſ	que de caſamento ejuſ
eratcircaſanhiacũabſq;conſenſuipſiuſtenebat.In	erat circa ſanhiacũ abſq ; conſenſu ipſiuſ tenebat . In
⁊Ob̃topͥoreſc̃iSymphoriani,interventunr̃oconceſſitDonn	⁊ Ob̃to pͥore ſc̃i Symphoriani , interventu nr̃o conceſſit Donn
⁹AganoFlaviniacenſiſ	⁹ Agano Flaviniacenſiſ
abb̃,lauδantetotoconventuejuſdẽeccłe,Fontenetenſi	abb̃ , lauδante toto conventu ejuſdẽ eccłe , Fontenetenſi
abbatięinmanuGuillermiabb̃iſejuſdẽlocitotã	abbatię in manu Guillermi abb̃iſ ejuſdẽ loci totã
illãt̃rãunde	illã t̃rã unde
querelafuerat,ſic̃	querela fuerat , ſic̃
δuodecĩnũmoꝝhabebant.Quodſicaſatuſjuſticiãabb̃iFlaviniacenſi	δuodecĩ nũmoꝝ habebant . Quod ſi caſatuſ juſticiã abb̃i Flaviniacenſi
exequinollet⁊abb̃reliquũcaſamentiſaſiret,p̃dictũcenſũ	exequi nollet ⁊ abb̃ reliquũ caſamenti ſaſiret , p̃dictũ cenſũ
Fontenetenſeſdonecconcorδarent᷑abb̃ſ⁊	Fontenetenſeſ donec concorδarent᷑ abb̃ſ ⁊
caſatuſFlaviniacenſib;	caſatuſ Flaviniacenſib ;
tam̃aδverſuſom̃ſFontenetenſib;Flaviniacenſeſportarent.Tuncetiã	tam̃ aδverſuſ om̃ſ Fontenetenſib ; Flaviniacenſeſ portarent . Tunc etiã
p̃dicteeccłeſcanbier̃int̃	p̃dicte eccłe ſcanbier̃ int̃
ſeꝑmanũ	ſe ꝑ manũ
p̃dictoꝝabb̃tũpͣtaquedã.ConceſſitFlaviniacenſiſeccłaFontenetenſi	p̃dictoꝝ abb̃tũ pͣta quedã . Conceſſit Flaviniacenſiſ eccła Fontenetenſi
broliũBuxerie	broliũ Buxerie
cũnemoreqδ̃eratinibi	cũ nemore qδ̃ erat inibi
FlaviniacenſipͣtũdeGlaioletoqδ̃ẽjuxtavillãGrangearũſub	Flaviniacenſi pͣtũ de Glaioleto qδ̃ ẽ juxta villã Grangearũ ſub
.Int̃fuer̃religioſiviri	. Int̃fuer̃ religioſi viri
quoſſupͣmemoravim⁹,ſ;⁊Rib̃t⁹	quoſ ſupͣ memoravim ⁹, ſ ;⁊ Rib̃t ⁹
decanuſ,BoſodecanuſMontiſBarri,P	decanuſ , Boſo decanuſ Montiſ Barri , P
&ruſcanonic⁹Lugdunenſiſ,	& ruſ canonic ⁹ Lugdunenſiſ ,
Teobaud⁹deGriſiniaco,Rainald⁹mariſcalcuſ	Teobaud ⁹ de Griſiniaco , Rainald ⁹ mariſcalcuſ
,P&ruſPollenniacidecan	, P & ruſ Pollenniaci decan
⁹.Erattc̃tẽporiſ	⁹. Erat tc̃ tẽporiſ
pͥorFlaviniacenſiſ⁊δecan⁹Oδδo,	pͥor Flaviniacenſiſ ⁊ δecan ⁹ Oδδo ,
Giſleruſſubpͥor,Teobaud⁹	Giſleruſ ſubpͥor , Teobaud ⁹
ſacriſta,Lãb̃t⁹capellan⁹abb̃iſ,qui	ſacriſta , Lãb̃t ⁹ capellan ⁹ abb̃iſ , qui
om̃ſcũreliquoconventu	om̃ſ cũ reliquo conventu
ſic̃jãδictũẽhecom̃ia	ſic̃ jãδictũ ẽ hec om̃ia
lauδaver̃.Actũẽ	lauδaver̃ . Actũ ẽ
hocanno	hoc anno
abincarnationedñi.Mmo	ab incarnatione dñi . Mmo
.Cmo.XLmo.IImo	. Cmo . XLmo . IImo
.EtegoHunb̃tus	. Et ego Hunb̃tus
,d̃igrã	, d̃i grã
Eduenſiſeꝑc,hec	Eduenſiſ eꝑc , hec
om̃iac̃firmo⁊appoſitioneſigillinr̃i	om̃ia c̃firmo ⁊ appoſitione ſigilli nr̃i
munio,int̃minanſſub	munio , int̃minanſ ſub
anatematenequiſalterutrieccłeinjuriaminδefacere	anatemate ne quiſ alterutri eccłe injuriam inδe facere
p̃ſumat.Egoqͦq;Agano,	p̃ſumat . Ego qͦq ; Agano ,
deidiſpenſationeFlaviniacenſiſabb̃ſ,aδc̃firmationẽ⁊ꝑpetuepaciſc̃ſervationẽ,	dei diſpenſatione Flaviniacenſiſabb̃ſ , aδc̃firmationẽ ⁊ ꝑpetue paciſc̃ſervationẽ ,
ſubanatemateneqͥſ	ſub anatemate ne qͥſ
δenr̃iſFontenetenſieccłeinjuriãfaciat.Notificam⁹tam	δe nr̃iſ Fontenetenſi eccłe injuriã faciat . Notificam ⁹ tam
preſentib;ꝙͣ	preſentib ; ꝙͣ
fut᷑isqualitercontroṽſiaquęeratint̃ęccłiamFonteneti	fut᷑is qualiter controṽſia quę erat int̃ ęccłiam Fonteneti
deTilioδeciſaẽ⁊pacificata.Giſleb̃tuſ	de Tilio δeciſa ẽ ⁊ pacificata . Giſleb̃tuſ
,ꝓſuiſparentũq	, ꝓ ſuiſ parentũq
;ſuoꝝexceſſib;qͥcqͥδjuriſhabebatin	; ſuoꝝ exceſſib ; qͥcqͥδ juriſ habebat in
om̃ib;decimiſęccłięFontenetiaδquiſitiſ	om̃ib ; decimiſ ęccłię Fonteneti aδquiſitiſ
velaδquirendiſfr̃ib;ibiδemd̃omilitantib;imꝑpetuumconceſſerat	vel aδquirendiſ fr̃ib ; ibiδem d̃o militantib ; imꝑpetuum conceſſerat
.S;p̃δictuſGauteri⁹ſuggeſtioneilli⁹	. S ; p̃δictuſ Gauteri ⁹ ſuggeſtione illi ⁹
quiſemꝑ	qui ſemꝑ
inviδetboniſſuꝑhoccalũpniãmovit.Tandẽaδmonitione⁊	inviδet boniſ ſuꝑ hoc calũpniã movit . Tandẽ aδmonitione ⁊
abb̃isſc̃ęMargaritęaδſereδuctus	abb̃is ſc̃ę Margaritę aδ ſe reδuctus
,conceſſitęccłięeiδemqͥcqͥδpat̃conceſſerat⁊ne	, conceſſit ęccłię eiδem qͥcqͥδ pat̃ conceſſerat ⁊ ne
qͥſverbohuicinhererepoſſet,nominatĩ	qͥſ verbo huic inherere poſſet , nominatĩ
conceſſitqͥcqͥδjuriſhabebatin	conceſſit qͥcqͥδ juriſ habebat in
om̃ib;δecimiſjamdictęęccłię	om̃ib ; δecimiſ jam dictę ęccłię
Fontenetiaδquiſitiſvel	Fonteneti aδquiſitiſ vel
aδquirenδiſ⁊ſacroſc̃iſ	aδquirenδiſ ⁊ ſacroſc̃iſ
tactiſreliquiiſſeſervaturũjuravitdonationẽqͣm	tactiſ reliquiiſ ſe ſervaturũ juravit donationẽ qͣm
ipſe⁊Giſleb̃t	ipſe ⁊ Giſleb̃t
⁹fecerat.Ꝓhac	⁹ fecerat . Ꝓ hac
beneficioeccłięcentũſoliδoſh̃uit.H̃conceſſiofacta	beneficio eccłię centũ ſoliδoſ h̃uit . H̃ conceſſio facta
ẽinmanuWillelmi,venerabiliſtc̃tẽporiſlociFontenetenſiſabb̃is	ẽ in manu Willelmi , venerabiliſtc̃ tẽporiſ loci Fontenetenſiſ abb̃is
,viδentib;⁊auδientib;iſtiſRib̃topͥore,	, viδentib ;⁊ auδientib ; iſtiſ Rib̃to pͥore ,
Guillelmo&Andrea,p̃fatęęccłięmonach̃;militib	Guillelmo & Andrea , p̃fatę ęccłię monach̃ ; militib
;vͦOliverioδeFroleſio,HavinoδeRocha,	; vͦ Oliverio δe Froleſio , Havino δe Rocha ,
Vuinebauδoprb̃oſinemurenſi,	Vuinebauδo prb̃o ſinemurenſi ,
quidnr̃MaleNominati.	qui dnr̃ Male Nominati .
Hocactumẽannoab	Hoc actum ẽ anno ab
Egoqͦ;Ob̃tusabbaſſc̃ęMargaritęlicetinδign	Ego qͦ ; Ob̃tus abbaſ ſc̃ę Margaritę licet inδign
ꝑhennitatẽcartam	ꝑhennitatẽ cartam
iſtamCOMMUNIVI.MENſLUMINEPACIſPRIVATAET	iſtam COMMUNIVI . MENſ LUMINE PACIſ PRIVATA ET
ꝑTURBATIONISOBſCURA,ABILLOſIT	ꝑTURBATIONIS OBſCURA , AB ILLO ſIT
ALIENAQ\IDS̃PACIſẼÑ	ALIENA Q \ I DS̃ PACIſ Ẽ Ñ
RIXARŨ,ZꝒLE	RIXARŨ , Z ꝒLE
HINCEſTIRAVIRIJ	HINC EſT IRA VIRI J
⁹TICIÃDĨÑOꝑATURETPauluſſervũd̃i	⁹ TICIÃ DĨ Ñ OꝑATUR ET Pauluſ ſervũ d̃i
ñoportetlitigareinmoralibuſꝓpteriramamittunturmultabona	ñ oportet litigare in moralibuſꝓpter iram amittuntur multa bona
.UnδeegoHUMBERTUſ,EDWORŨEPC	. Unδe ego HUMBERTUſ , EDWORŨ EPC
licetindignuſ,damnaꝓſpitienſqueſolentcontingerementibuſ	licet indignuſ , damna ꝓſpitienſ que ſolent contingere mentibuſ
iratiſ,	iratiſ ,
cavendalitemqueerat	cavenda litem que erat
interfr̃sFontenetenſiſetOngiacenſiſeccłędiligent̃ſedareſtudui	inter fr̃s Fontenetenſiſ et Ongiacenſiſ eccłę diligent̃ ſedare ſtudui
,ſedatemobnixeobſervari	, ſedatem obnixe obſervari
deqͥbuſdamſilvis,territoriiſmetiſq	de qͥbuſdam ſilvis , territoriiſ metiſq
;ponendiſ.Queδeciſaeſthoc	; ponendiſ . Que δeciſa eſt hoc
modo:Dictũẽdeſilvaquedr̃Hileranniqd̃	modo : Dictũ ẽ de ſilva que dr̃ Hileranni qd̃
duδoniſdeAſcaloetRob̃tiδeMelizun	duδoniſ de Aſcalo et Rob̃ti δe Melizun
etHugoniſfr̃isejusqͥ	et Hugoniſ fr̃is ejus qͥ
eãat̃ritorio	eã a t̃ritorio
Puteoliſacroſc̃isreliqͥiſ	Puteoli ſacroſc̃is reliqͥiſ
tactisꝑcertaſmetaſ	tactis ꝑ certaſ metaſ
viδelicetaRivenzunꝑcumbãTorterenſurſumṽſuſ	viδelicet a Rivenzun ꝑ cumbã Torteren ſurſum ṽſuſ
uſq;aδcaputejuſdẽcũbe	uſq ; aδ caput ejuſdẽ cũbe
etinδeꝑtͣnſṽſũuſq;aδtͣmitẽqͥ	et inδe ꝑ tͣnſṽſũ uſq ; aδtͣmitẽ qͥ
deduiſmoantiquit⁹	de duiſmo antiquit ⁹
tendebatPuteolũt̃minavever̃tOngiacenſesclericiteneantetin	tendebat Puteolũ t̃minavever̃t Ongiacenſes clerici teneant et in
pacepoſſiδeant.Itemdiffinitũδefaiſoſc̃ęReginęꝑ	pace poſſiδeant . Item diffinitũ δe faiſo ſc̃ę Reginę ꝑ
