tandus.si	tandus . si
uisumfũitexpedire	uisum fũit expedire
.caueatetiamdiligent̃.ne	. caueat etiam diligent̃ . ne
adexꝮmunicatõnẽcui᷒qͣm	ad exꝮmunicatõnẽ cui᷒qͣm
.absq;manifesta	. absq; manifesta
⁊rõnabilicausa	⁊ rõnabili causa
ꝓcedat.adqͣmsi	ꝓcedat . ad qͣm si
talit̃forteꝓcesserit:⁊	talit̃ forte ꝓcesserit : ⁊
requisit᷒.humilit̃ꝓcessũhui᷒mͦiñcuraũitabsq;gͣuaminereuocare	requisit᷒ . humilit̃ ꝓcessũ hui᷒mͦi ñ curaũit absq; gͣuamine reuocare
:grauatus:	: grauatus :
aputsuꝑiorem	aput suꝑiorem
deponatdeĩiustaexcõmunicatõneq̃relam.ꝙsiabsq;ꝑiculo	deponat de ĩiusta excõmunicatõne q̃relam . ꝙ si absq; ꝑiculo
morepõt:	more põt :
adexcõicatorem.illumcũsuomandatoremittat.infra	ad excõicatorem . illum cũ suo mandato remittat . infra
competentẽt̃minũabsoluendũ.alioqͥn	competentẽ t̃minũ absoluendũ . alioqͥn
ip̃eꝑse.	ip̃e ꝑ se .
ul̃peralium	ul̃ per alium
proutuid̃itexpedire:sufficienti	prout uid̃it expedire : sufficienti
cautionerecepta:mun᷒eiabsolutionisimpendat	cautione recepta : mun᷒ ei absolutionis impendat
.cumq;adũsusexcõmunicatorẽdeĩiusta	. cumq; adũsus excõmunicatorẽ de ĩiusta
excõicatõneꝮstit̃it:	excõicatõne Ꝯstit̃it :
excõicatorꝮdẽpnet᷑excõicato	excõicator Ꝯdẽpnet᷑ excõicato
adint̃eẽ.aliasnich̃omin᷒cumculpequalitaspostulaũit	ad int̃eẽ . alias nich̃omin᷒ cum culpe qualitas postulaũit
:suꝑiorisarbitriopuniend᷒.cũñleussit	: suꝑioris arbitrio puniend᷒ . cũ ñ leus sit
culpatantãinfigerepenam	culpa tantã infigere penam
insonti:nͥforsanerraũitexcausaꝓbabili.	insonti : nͥ forsan erraũit ex causa ꝓbabili .
maximesilaudabil̃opiniõisexistat.uerũsi	maxime si laudabil̃ opiniõis existat . uerũ si
contͣexcõicatõissentñtiãnich̃rationabile	contͣ excõicatõis sentñtiã nich̃ rationabile
fũitacõq̃renteꝓbatũ:	fũit a cõq̃rente ꝓbatũ :
idem.⁊suꝑĩiustaexcõicatõnis	idem . ⁊ suꝑ ĩiusta excõicatõnis
molestia.ꝑpenamadint̃eẽ.ul̃	molestia . ꝑ penam ad int̃eẽ . ul̃
aliãscd̃m	aliã scd̃m
suꝑiorisarbitͥum.nͥforsan⁊ip̃mꝓbabiliserrorexcuset	suꝑioris arbitͥum . nͥ forsan ⁊ ip̃m ꝓbabilis error excuset
.⁊suꝑeoꝓquoiustafuit	. ⁊ suꝑ eo ꝓ quo iusta fuit
excõmunicatõeligatus:ꝑcautionẽreceptã	excõmunicatõe ligatus : ꝑ cautionẽ receptã
satiffac̃ecõpellat᷑.	satiffac̃e cõpellat᷑ .
l̃inpͥstinãreducat᷑sententiã	l̃ in pͥstinã reducat᷑ sententiã
:usq;adsatisfactionẽꝮdignãĩuiolabilit̃obseruandã.si	: usq; ad satisfactionẽ Ꝯdignã ĩuiolabilit̃ obseruandã . si
uͦiudexsuũrecogtioscenserrorẽ	uͦ iudex suũ recogtioscens errorẽ
.parat᷒	. parat᷒
sittalẽreuocaresententiã	sit talẽ reuocare sententiã
.⁊isꝓqͦ	. ⁊ is ꝓ qͦ
latafũit.ne	lata fũit . ne
absq;satisfactionereuocetillãappellet.appll̃atõiñdeferat	absq; satisfactione reuocet illã appellet . appll̃atõi ñ deferat
inhacparte:nisi	in hac parte : nisi
talissiterror.deqͦm̃itoualeatdubitari	talis sit error . de qͦ m̃ito ualeat dubitari
