PATROLOGIAE TO MUSCXXuIII.	----------|--⌫--|-------|
T OM USSECUNDUS.	-⌫--⌫-|--------|
EXCUDEBATUR ET uENITA PUDI.	----------|-|----|-⌫--|-|
SIuEB IB L IOTHECAUNIuE RSAL I S,IN TEGRA,UNIFORMI S,COMMODA, eCONO MI CA,OMNI UMSS.	---|-⌫--⌫-⌫------|-----⌫----⌫-⌫-|--⌫-----|--------⌫-|-------|-----⌫--⌫--|----⌫-|--|
PATRU M ,DOCT ORUMSCRIPTORUMQUEECCLESIASTICO RUMQUI AB AEuOAPOSTOLIC OADINNOCENT IIIIITEMPOR AFL ORUERUN T ;	-----⌫-⌫|----⌫---|------------|-------------⌫--|--|-|---|---------⌫|-|--------⌫-|--|------⌫|--⌫-------⌫-⌫|
RECUSIOCHR ON OLOGIC AOMNIUM QUAEEXSTITER E MONU MENTORUMC A THO LICAET RA DITIONISP E RDUODECIMPRI ORA ECCLESIAESAECULA ,IUXTA EDITIONES ACCURATISSIMAS,INTER SECUMQU ENO NNULLI SCODICIBUSMANUSCRIPTISCOLLAT ASPERQUAM DI LIGENTERCA STIGA TA;	------|---⌫--⌫------⌫|-----|---|--------⌫|----⌫-------|-⌫-⌫---⌫----|-⌫--⌫-------|-⌫-⌫|-------|---⌫--|--------|-------⌫|----|--------|--------------|----|-|-----⌫|--⌫------⌫|--------|-----------|------⌫-|------|--⌫-------|--⌫-----⌫--|
DISSERTATIO NIB US ,COMMENTARIISLECTIO NIBU SQUEuA RIANTIBU SCONTINENTE RILLU S TRATA;	-----------⌫---⌫--⌫|-----------|------⌫----⌫---|--⌫--------⌫|----------⌫|----⌫-⌫-----|
OMNIBUSOPERI BUS POSTAMPLISS I MASEDITIONESQUAE TRIBUS NOuISSIMISSAECUL ISDEB ENTUR A BSOLUTASDETECTIS , AUCTA;	------|-----⌫--|---|-------⌫-⌫--|--------|---|-----|---------|------⌫-|---⌫----|-⌫-------|--------⌫|-----|
I NDI CIBUSPARTICULA RI BUSANALYTICIS,S INGULOSSIuETO MOS, S IuEAUCTORES ALICUI USMOMEN TI SUBSEQ UENTIBUS,DONAT A.	-⌫---⌫----|---------⌫--⌫--|----------|-⌫------|---|--⌫---|-⌫--|-------|------⌫-|-----⌫-|------⌫--------|-----⌫-|
IN QUA PR ODEUNT P ATRES ,DOCTORESSCRI PTORESQU EECCLESIAELAT INAEA GREGOR IO MAGNOAD INNOCENTIUMIII.	-|--|--⌫-----|-⌫-----⌫|-------|----⌫--------⌫|--------|---⌫---||------⌫-|----|-|----------|---|
A CCURANTEI.	-⌫-------|-|
MIGNE,BIBLIOTHE CAE CLER IUNIuERSAE , S I uE C URSU UM COMPLETORU MINSINGU LOSSCIENTIAE ECCLESIASTICAER AMOSEDI TORE.	-----|---------⌫--|----⌫|---------⌫|-⌫-⌫-|-⌫----⌫-|----------⌫|-|-----⌫--|--------|-------------|-⌫---|---⌫----|
PAT RO LOGIABINA E DI TION E TYPISMANDATA EST, ALIANEMPELATIN A,ALIA GRAECO-LATI NA.	---⌫--⌫----|---|-⌫--⌫----⌫|----|------|---|---|----|-----⌫-|---|-----------⌫--|
PATROLOGIAETOMUS CXXuIII.	----------|----|-------|
TOM US SECUNDUS.	---⌫-|--------|
EXCUDEBATUR ETuENIT APU DI.	----------|-|----|---⌫|-|
SAECUL UMIX.	------⌫-|--|
OPERAOMNIA.	----|-----|
E DITIO P RAEALIISOM NIB U SIN S IGNIS,ADFID EM MA NUSCRIPTORUMCODICU METIUXTAPROBATISS IMASEDI TIONES E XPRES SA, BL A NCHININEMPEROMANO-uATICANAM,QUOADLIBRUMPONTIFICALEM, MA BILLONII , CARDINALIS MAII, ETC.	-⌫----|-⌫--|----|--⌫---⌫-⌫|--⌫-⌫-----|-|---⌫-|--⌫-----------|------⌫|-|----|---------⌫---|---⌫-----|-⌫-----⌫--|--⌫-⌫-----|----|------|---------|----|-----|------------|--⌫--------⌫|---------|----|---|
ACCUR ANTEI.	-----⌫---|-|
TOMU SSECUNDUS.	----⌫|--------|
uENEUNT3uOLU MINA 21 FRANCISGA LLICIS.	------||----⌫---|-|------|--⌫------|
EXCU DEBATURETuEN ITAPUDI .	----⌫------|-|---⌫-|---|-⌫|
ANAST ASIUSE CCLESIAEROMAN AE P RESBYTERET BIBLIOT HECARIUS.	-----⌫----|-⌫-------|-----⌫-|-⌫-------|-|-------⌫--------|
uiteRomano ru m p on tificum.	---|------⌫--⌫|-⌫--⌫------||
App end ix.	---⌫---⌫--|
uiteRomanor umpont ificum aB.	---|-------⌫-|----⌫-----||-|
Pet roadS.	---⌫-|-|-|
Frag mentum Catalogi pontif icalisinuigiliodesinens .	----⌫-----|-------|------⌫-----|-|------|--------⌫|
Index lo c upletiss im usaduitas Romanorump ontificum.	----|--⌫-⌫--------⌫--⌫-|-|----|--------|-⌫---------|
[ANASTASIUSBI BLIOTHECARIUS.	----------|--⌫-------------|
AN ASTASII BIBLIOTHECARIIHIST ORIAEDEuITI SROMANORUMPONTIFICUMCONTI NUATIO.	--⌫------|-------------|----⌫----|-|----⌫|--------|---------|-----⌫------|
SA NCTUS MARCU S.	--⌫----|-----⌫-|
[3 Kb][Altaserra,Anton ius:3Kb][Bi nius, Seuerinus;	--⌫--|----------|-----⌫---|---|---⌫----|---------|
49 Marcus, natione Romanus,ex patrePrisco,sedit annosduos, menses octo[a1Kb] ,diesui gi nti.	-|------|------|-------|-|----|------|----|----|----|-----|---|-|---||---|--⌫--⌫---|
Fuit autem tempori b usC onstantini, etN epotiani,acSecundi[b1Kb]co nsulu m,exd ie Kale ndarumF ebr uaria rum,usqueindiem KalendarumOctobris.	---|----|-------⌫-⌫-|-⌫----------|-|-⌫--------|-|------|-|---|--⌫-----⌫-|-|-⌫-|----⌫-----|-⌫---⌫-----⌫---|----|-|---|---------|--------|
Hic co nsti tuitut episcopusOsti ensis,qu i consecratepiscopumUr bis,pallio [c1Kb]uteretur, et ab eodemepiscop ourbisRo me consecraretur,etconsti tutumde omni ecclesiastic oordin efecit.	--|--⌫----⌫---|-|--------|----⌫-----|--⌫|--------|--------|--⌫---|-----|-|---|--------|-|-|----|-------⌫|----|--⌫-|-------------|-|------⌫----|-|---|------------⌫|-----⌫|-----|
Hicfecit duas ba silic as, unamuiaArdeatina,ubire quies cit,etaliaminurbeRom aiu xta[d1 Kb]P allacinis .	--|----|---|--⌫-----⌫--|---|--|---------|--|--⌫-----⌫---|-|----|-|---|---⌫|--⌫--|-|-⌫--|-⌫---------⌫|
Huiussuggestio neo bt ulitConstantinus Aug ustusbasilice,quam[e 1Kb]c emeteriumc on stituituiaArdeatina, fu ndumRosarum c um omniagr o campestri prestantemsolidos quadrag int a.	----|---------⌫-|-⌫--⌫---|-----------|---⌫----|--------|---|-|---|-⌫--------|-⌫--⌫------|--|---------|--⌫---|------|-⌫-|---|---⌫|--------|---------|------|-------⌫---⌫-|
I nbasilicainurbe Ro maob tulit hec:patenamargentea m pen sant e mlib ras triginta.	-⌫|-------|-|---|--⌫-|--⌫----|---|------|--------⌫|---⌫----⌫-⌫|---⌫--|--------|
Am asargenteasduas ,pen sante slibras u iginti.	--⌫-|--------|----⌫|---⌫-----⌫|-----|-⌫------|
Scyphum arge nteu munump ensantemlib rasdecem.	------|----⌫----⌫|---|-⌫-------|---⌫--|-----|
CATALOGUSSUBL IB ERIO.	--------|--|-⌫--⌫----|
Marc usmensesoct o ,diesuig i nti.	----⌫-|-----|---⌫-⌫|---|---⌫-⌫---|
SANCTUS IULIU S.	------|-----⌫-|
[3Kb][Sch elstratiu s,Emmanue l:1Kb ][Altaser ra, An tonius: 3 Kb] [Benci nus:2Kb] [Binius, S euerinus;	----|----⌫---------⌫-|-------⌫-|---⌫|--------⌫--|--⌫------|-⌫--|------⌫---|---|-------|-⌫--------|
50 Iulius,nationeRomanus,ex pa treRustico,[a1Kb] sed itannos 11,menses2,d ies7 .	-|------|------|-------|-|--⌫--|-------|-|---|---⌫-|----|--|-----|-|-⌫--|-⌫|
Fuit aute m[b1Kb]t emporibusCons tantiihereticifiliiConstantini, aconsulatuFelicianiet Maximi.	---|----⌫|-|---|-⌫--------|----⌫-----|-------|----|-----------||--------|--------|-|------|
Hic[ c 1Kb]inmultatribulatione,[d1Kb]etexsilio[e1Kb] fuitmensibus 10,etp ost huius Constantiim ortemc um glori aestreuer susad sedembeati Petriapostoli.	--|-⌫|---|-|----|------------|-|---|-|------|-|---|---|-------|--|-|-⌫--|----|---------|-⌫----|-⌫-|-----⌫|--|-----⌫--|-|----|----|----|--------|
Fecitdu asbasil icasinurbeRoma na ,unamiuxtaforum, et alia mui aFlaminia.	----|--⌫-|-----⌫---|-|---|----⌫--⌫|---|----|-----|-|----⌫|--⌫|--------|
Fecitautemetcemeteria tria ,unum uia F l a minia ,et aliuduia A urelia,a tquealiudui a Portuensi.	----|----|-|--------|----⌫|---|--|-⌫-⌫-⌫-----⌫|-|----|--|-⌫------|-⌫---|----|--⌫|---------|
C AT OL OGUSSUBLI BERIO.	-⌫--⌫--⌫---|--|--⌫-----|
Iuliusannosqu i nde c im ,mens emunum,die sundec i m.	-----|----|--⌫-⌫---⌫-⌫--⌫|----⌫-|----|---⌫|-----⌫-⌫-|
F uitte mporibusConstantini,a consulatuFeliciani etTitiani,ex d ieuIII IdusFebruarii ,indiempridieIdus Aprili sConstantiouet Constant ioCesar econs ulibus.	-⌫--|--⌫-------|-----------||--------|--------|-|-------|-|-⌫-|---|---|---------⌫|-|---|-----|---|------⌫|---------||-|--------⌫-|-----⌫|----⌫------|
Hicmult asfabricasfecit :basilicami nuia P ortue nsimilliarioIII ,b asilicamin uia Flaminiamill iario II, queappellaturuALENTINI[Anf orteest uALENTINUS cui Kal enda rium sequensin scribitur.	--|----⌫-|-------|-----⌫|--------|-⌫|--|-⌫-----⌫--|--------|---⌫|-⌫-------|-|--|-------|----⌫----|--|--|---------|--------|--|-⌫---|--|---------|--|---⌫----⌫---|------|--⌫---------|
SANCTUSLIBERIU S.	------|-------⌫-|
[6Kb][Sch elstratius, Emmanuel: 1Kb][Altaserra,Antonius:18Kb][Bencinus :19Kb] Bi nius,Seuerinu s;	----|----⌫----------|--------|---|----------|--------|----|---------⌫|----|--⌫----|--------⌫-|
Liberius,nationeRomanus,expatreAugusto[a 1Kb],sedita nnos10 m enses 7, dies3 .	--------|------|-------|-|----|------|-|---||----|-⌫---|-|-⌫----|-|---|-⌫|
Fuit autem[b1Kb]temporibusConstantiifilii Constantiniu sque adConsta ntinum[c1Kb ]A ugustum tertium [d 1Kb] .	---|----|-|---|---------|---------|----|----------|-⌫---|-|------⌫-----|-|---⌫|-⌫------|------|-|---||
Hic[e 1K b]exsilio deportat ura Co ns tantio,e oquodnoluissetheresiAr iane consentire, e tfecit[f 1Kb]i n exsi lioann osduos[g1Kb], etcongregantesses acer dotescumconsilio Liber ii ordinaueruntinlocumeius [h 1Kb]F elicem presbyterum [i1Kb]e pi scopum, uenerabilemuiru m, etf ecitconci l iu m Felix, etinuenit 2presbyteros consentientesConstantioAugustoAriano nomin eUrsatium, etualente m,etexe git[i 1 Kb][k1K b]eosin c on cili oqua dragintae t octoepisc op orum.	--|-|--⌫-|------|--------⌫-||--⌫--⌫------|-⌫|---|--------|-----|--⌫---|----------|-⌫|----|-|---|-⌫|----⌫--|---⌫-|---|-|---||-|-----------|-|-⌫----⌫----|--|-------|-----⌫-|-----------|-|----|---|-|---|-⌫-----|----------|-|---|-⌫--⌫------|----------|----⌫-|-|-⌫---|-----⌫-⌫--⌫|-----|-|------||----------|------------|---------|------|-----|-----⌫|--------|-|-------⌫-|-|---⌫--|-|-⌫--|-|--⌫-|--|-|-⌫--⌫----⌫|---⌫-------|-⌫|---|-----⌫--⌫----|
[l1Kb]Postpaucosautemdieszel o d uc ti Ursatiusetualens, ro gaueru ntConstantium Augustum ,u treuocaret Liberiumdeexsilio,utuna tantum c ommunio neparticiparent, [m1Kb]extrasecundumbapt ismum.	-|---|---|-----|----|---|---⌫|-⌫--⌫-|-------|-|------|--⌫------⌫-|----------|--------⌫|-⌫|--------|-------|-|-------|-|--|-----|-⌫-------⌫-|-------------|-|---|----|-------|----⌫-----|
TuncmissaauctoritateperC atulinumag entem in rebus , simul Ursat iusetual ensueneru ntadLiberium[n1Kb] .	---|----|----------|--|-⌫-------|--⌫----|-|-----⌫|----|-----⌫--|-|---⌫--|------⌫-|-|-------|-|---||
52 Abeodemdiefuitpersecutio inclero, ita utintraeccles iampresbyte ri,etcleri cin e carentu r,etmartyriocoro n are ntur.	-|-|----|--|---|---------|-|-----|--|-|----|------⌫--|--------⌫--|-|-----⌫-|-⌫-⌫-------⌫-|-|-------|----⌫-⌫---⌫----|
Q ui Felixdepositusdeepiscopatu, habitaui ti npred i olos uo,uia Portuensi,ubiet[a 1Kb]requieuitin pa ce Iu.	-⌫-|----|--------|-|----------|--------⌫|-⌫|----⌫-⌫--|-⌫--|--|---------|--|-|-|---|--------|-|--⌫-|--|
Ingressus Liberiusin urbemRomana mIuNonasAugustico ns ensi t Constanti o[b1Kb]heretico ,non tamenre bapti zat use stLiberius,sedcon sensumprebuit,ette nuitbasilicambeatiPetria postoliet b eatiPauli,et basilicamCons tan tin ianamannos septem .	--------|-------|-|----|------⌫|-|----|------|--⌫--⌫----⌫|---------⌫|-|---|--------⌫|--|----|--⌫-----⌫---⌫-|-⌫-|--------|--|---⌫-----|-------|-|--⌫---|--------|----|----|-⌫------|-|-⌫---|-----|-|--------|----⌫---⌫---⌫----|----|------⌫|
Etperse cutio magna fuit inurbeRomana,ita utclerici etsacer dotes nequeinecclesias,n eq ueinbalneahab eren tintroitum.	-|-----⌫----|----|---|-|---|------|--|-|------|-|-----⌫----|----|-|---------|-⌫--⌫-|-|-----|---⌫----⌫|---------|
Liberius fuittemporibu sCons t a ntini,ex dieXIKalendIunia s indiem.	-------|---|---------⌫|----⌫-⌫-⌫-----|-|--|-|-----|-----⌫|-|---||
SANCTU SFELIXII.	------⌫|----|--|
[ 3Kb][S chel stratius,Emm anuel: 1Kb][Bencinu s: 9Kb][Bin ius , Seu e ri nu s;	-⌫---|--⌫----⌫--------|---⌫-----|---|--------⌫-|---|----⌫---⌫|---⌫-⌫--⌫--⌫-|
Felix[a1K b], natione R omanus,ex patreAnastasio , se di t a nn oun o,men sibu sd uo bus.	----|-|--⌫-||------|-⌫------|-|----|---------⌫|--⌫--⌫|-⌫--⌫|--⌫-|---⌫----⌫|-⌫--⌫---|
