iudiciidistrictop̄ceptoteñi.	iudicii districto p̄cepto teñi .
ĩueniunt	ĩ ueniunt
reꝓboꝝdescͥbensꝓph̃adauid.secretoꝝ	reꝓboꝝ descͥbens ꝓph̃a dauid . secretoꝝ
.qͤmpecc̃isexigentib;optiñeñmeret᷑.	. qͤm pecc̃is exigentib ; optiñe ñ meret᷑ .
.terciaportamortis.	. tercia porta mortis .
ꝓrsusadoctͥnasaluatoris.	ꝓrsus a doctͥna saluatoris .
.ūn⁊signisext̃iorib;penitẽtie	. ūn ⁊ signis ext̃iorib ; penitẽtie
sitĩabscondito.⁊pat̃celestisquiuidetĩabsconditoreddetei	sit ĩabscondito .⁊ pat̃ celestis qui uidet ĩabscondito reddet ei
igiturpenatemꝑalis⁊tͣnsitoria	igitur pena temꝑalis ⁊ tͣnsitoria
foliisñpalliat᷑.integra:queꝑpartesñ	foliis ñ palliat᷑ . integra : que ꝑ partes ñ
finemꝑseũans.asuꝑnoremuñatoresalutiset̃necõsequaturp̃mium	finem ꝑseũans . a suꝑno remuñatore salutis et̃ne cõsequatur p̃mium
uoluntatisaffcũ.s;uereornedelicatasauresoffẽdat	uoluntatis affcũ . s ; uereor ne delicatas aures offẽdat
enimadm̃samdiuitis.⁊nuptiisagniꝮmunicatis	enim adm̃sam diuitis .⁊ nuptiis agni Ꝯmunicatis
spiritalem.⁊alibi.Quidatescamium̃tis	spiritalem .⁊ alibi . Qui dat escam ium̃tis
escamcorporisappetiitaculeodiuinitatissuetransfixit.tres	escam corporis appetiit aculeo diuinitatis sue transfixit . tres
auresdiuinepietatis.iuigip̃cumĩstantia	aures diuine pietatis . iuigi p̃cum ĩstantia
necessariauitetemꝑaliᷤintellige:	necessaria uite temꝑaliᷤ intellige :
spargere.corenimduab;uiisĩgrediens.	spargere . cor enim duab ; uiis ĩgrediens .
obscurat᷑.canisuͦqͥĩcustodia	obscurat᷑ . canis uͦ qͥ ĩ custodia
recepta:mun᷒eiabsolutionisimpendat.cumq;	recepta : mun᷒ ei absolutionis impendat . cumq ;
tandus.si	tandus . si
uisumfũitexpedire.caueat	uisum fũit expedire . caueat
etiamdiligent̃.	etiam diligent̃ .
neadexꝮmunicatõnẽcui᷒qͣm.absq;manifesta⁊	ne ad exꝮmunicatõnẽ cui᷒ qͣm . absq ; manifesta ⁊
rõnabilicausaꝓcedat.	rõnabili causa ꝓcedat .
adqͣmsi	ad qͣm si
talit̃forteꝓcesserit:⁊requisit᷒	talit̃ forte ꝓcesserit :⁊ requisit᷒
.humilit̃	. humilit̃
ꝓcessũhui᷒mͦiñcuraũitabsq;gͣuaminereuocare	ꝓcessũ hui᷒mͦi ñ curaũit absq ; gͣuamine reuocare
:grauatus:aput	: grauatus : aput
suꝑioremdeponatdeĩiustaexcõmunicatõneq̃relam.ꝙsi	suꝑiorem deponat de ĩiusta excõmunicatõne q̃relam . ꝙ si
absq;ꝑiculomorepõt	absq ; ꝑiculo more põt
:adexcõicatorem:illumcũ	: ad excõicatorem : illum cũ
suomandato	suo mandato
remittat.infracompetentẽt̃minũabsoluendũ.	remittat . infra competentẽ t̃minũ absoluendũ .
alioqͥnip̃eꝑse.ul̃per	alioqͥn ip̃e ꝑ se . ul̃ per
aliumproutuid̃itexpedire:	alium prout uid̃it expedire :
sufficienticautione	sufficienti cautione
adũsusexcõmunicatorẽdeĩiustaexcõicatõneꝮstit̃it:	adũsus excõmunicatorẽ de ĩiusta excõicatõne Ꝯstit̃it :
excõicatorꝮdẽpnet᷑excõicatoadint̃eẽ:	excõicator Ꝯdẽpnet᷑ excõicato ad int̃ eẽ :
aliasnich̃omin᷒cumculpequalitaspostulaũit:suꝑiorisarbitrio	alias nich̃omin᷒ cum culpe qualitas postulaũit : suꝑioris arbitrio
puniend᷒.cũñleussitculpatantãinfigere	puniend᷒ . cũ ñ leus sit culpa tantã infigere
penaminsonti:nͥforsanerraũitexcausa	penam insonti : nͥ forsan erraũit ex causa
ꝓbabili.maximesilaudabil̃opiniõisexistat.uerũ	ꝓbabili . maxime si laudabil̃ opiniõis existat . uerũ
sicontͣexcõicatõissentñtiãnich̃rationabilefũita	si contͣ excõicatõis sentñtiã nich̃ rationabile fũit a
cõq̃renteꝓbatũ:idem.⁊suꝑĩiusta	cõq̃rente ꝓbatũ : idem .⁊ suꝑ ĩiusta
excõicatõnismolestia.	excõicatõnis molestia .
ꝑpenamadint̃eẽ.ul̃aliã	ꝑ penam adint̃ eẽ . ul̃ aliã
scd̃msuꝑiorisarbitͥum.nͥforsan⁊	scd̃m suꝑioris arbitͥum . nͥ forsan ⁊
ip̃mꝓbabilis	ip̃m ꝓbabilis
errorexcuset.⁊	error excuset .⁊
suꝑeoꝓquo	suꝑ eo ꝓ quo
iustafuitexcõmunicatõeligatus:ꝑcautionẽreceptãsatiffac̃ecõpellat᷑	iusta fuit excõmunicatõe ligatus : ꝑ cautionẽ receptã satiffac̃e cõpellat᷑
.l̃inpͥstinãreducat᷑sententiã	. l̃ inpͥstinã reducat᷑ sententiã
:usq;adsatisfactionẽꝮdignãĩuiolabilit̃obseruandã.si	: usq ; ad satisfactionẽ Ꝯdignã ĩuiolabilit̃ obseruandã . si
uͦiudex	uͦ iudex
