Etuocetube	Et uoce tube
corneeAlmiuiri	cornee Almi uiri
ꝯꝑant᷑uocetubecorneeꝑꝑp᷑gationemuñ	ꝯꝑant᷑ uoce tube cornee ꝑꝑ p᷑gationem uñ
igͤmeexam̃sic̃exam̃	igͤ me exam̃ sic̃ exam̃
arg̃ꝑꝑsonoritatarẽ	arg̃ ꝑꝑ sonoritatarẽ
ꝙͣh̃ntĩtribl̃atioñuñad	ꝙͣ h̃nt ĩ tribl̃atioñ uñ ad
dñmcũtͥbularerclamauiꝑꝑduritiamuñneqmors	dñm cũ tͥbularer clamaui ꝑꝑ duritiam uñ neq mors
nequitaseꝑatnosacãitatexͥꝑꝑ	neq uita seꝑat nos a cãitate xͥ ꝑꝑ
luciditatẽuñsicluceantoꝑaur̃abona	luciditatẽ uñ sic luceant oꝑa ur̃a bona
ꝑꝑemiñamuñuosestisgẽssc̃agen᷒	ꝑꝑ emiñam uñ uos estis gẽs sc̃a gen᷒
elc̃ũregalesacerdociumꝑꝑpugnãuñestote	elc̃ũ regale sacerdocium ꝑꝑ pugnã uñ estote
fortesĩbelloꝑꝑoriginemnam	fortes ĩ bello ꝑꝑ originem nam
sic᷒cornuq̃ddecarnenascr̃	sic᷒ cornu q̃d de carne nascr̃
nõẽcarosic⁊sc̃iĩcarne	nõ ẽ caro sic ⁊ sc̃i ĩ carne
poĩtiñ	poĩti ñ
uiuuntcarnalr̃p̃pexultatiõmuñexultab̃tsc̃iĩgloria	uiuunt carnalr̃ p̃p exultatiõm uñ exultab̃t sc̃i ĩ gloria
p̃plaudatiõmuñclamãtia⁊	p̃p laudatiõm uñ clamãtia ⁊
diceñiasc̃ssc̃sMoyses⁊	diceñia sc̃s sc̃s Moyses ⁊
aaronĩsacerdotibusdiscretiodevotiocircumspectõĩoperein	aaron ĩ sacerdotibus discretio devotio circumspectõ ĩ opere in
or̃oneinꝯtẽplatioñofficium	or̃one in ꝯtẽplatioñ officium
pͥmifaciendapreciꝑecauendainhiberedñsreg̃	pͥmi facienda preciꝑe cauenda in hibere dñs reg̃
qñrestituta	qñ restituta
ẽtͥplexfuitrestitutioinꝯũsisinlapsisinsubstitutis	ẽ tͥplex fuit restitutio in ꝯũsis in lapsis in substitutis
inꝯũsisqñiud̃iꝯũsisuntadfidẽ	in ꝯũsis qñ iud̃i ꝯũsi sunt ad fidẽ
qͥadesyonexiuitlexinlapsisqñapl̃iredierũt	qͥa de syon exiuit lex in lapsis qñ apl̃i redierũt
adfidemuñegoꝯfirmauicolũpnaseiusin	ad fidem uñ ego ꝯfirmaui colũpnas eius in
substitutisquialocoiud̃oꝝsubĩtrauer̃tg̃sadfidemuñcecitas	substitutis quia loco iud̃oꝝ subĩtrauer̃t g̃s ad fidem uñ cecitas
exꝑteꝯtĩgitĩisr̃lutplenitudogentiũ	ex ꝑte ꝯtĩgit ĩ isr̃l ut plenitudo gentiũ
Siqueraturqũo	Si queratur qũo
restitutafũitcarosua	restituta fũit caro sua
