fecitconstantin᷒	fecit constantin᷒
celebrariꝯciliumExpliciunttitulilibripͥmiIncip̃lib̃	celebrari ꝯcilium Expliciunt tituli libri pͥmi Incip̃ lib̃
IOratioallocutoriasozomeniadtheodosiũĩꝑatorAiunt	I Oratio allocutoria sozomeni ad theodosiũ ĩꝑator Aiunt
antiquispͥncipib	antiquis pͥncipib
diligentiestudiumfuisseuteisamatoresqͥdemornam̃toꝝpurpuramatq	diligentie studium fuisse ut eis amatores qͥdem ornam̃toꝝ purpuram atq
coronamethissimiliapararent	coronam et his similia pararent
Libroꝝuͦh̃ntesintentionemcircaquasdãfabulasoccupaticonscͥptionesagerent	Libroꝝ uͦ h̃ntes intentionem circa quasdã fabulas occupati conscͥptiones agerent
queaudientiumcordamulc̃entPorrobellasectantes	que audientium corda mulc̃ent Porro bella sectantes
utsagittamoportunedirigerent	ut sagittam oportune dirigerent
bestiamꝓsternerentlanceãbñ	bestiam ꝓsternerent lanceã bñ
iacularent᷑autequũdecent̃	iacularent᷑ aut equũ decent̃
ascenderentPresentabãt᷑enimsingl̃iregalibeoꝝstudentesrebillis	ascenderent Presentabãt᷑ enim singl̃i regalib eoꝝ studentes reb illis
q̃forentgratissimedñatuiAuusitaq̃lapides	q̃ forent gratissime dñatui Auus itaq̃ lapides
ciososdifficilecomꝑtosofferebatalt̃tincturam	ciosos difficile comꝑtos offerebat alt̃ tincturam
purpuraclariorẽplurimipoemataautdiũsasconscͥptionesinsinuabantalius	purpura clariorẽ plurimi poemata aut diũsas conscͥptiones insinuabant alius
bonacingl̃autoptimũarmoꝝpandebatusum	bona cingl̃ aut optimũ armoꝝ pandebat usum
maximauͦetimꝑialisputabat᷑h᷒popularisAntoninirequire	maxima uͦ et imꝑialis putabat᷑ h᷒ popularis Antonini req uire
agapitiuiragiulphirequiremalcelli	agapiti uir agiulphi req uire malcelli
Uigl̃sc̃iBertiniutinuigl̃sc̃iiacobiIndie	Uigl̃ sc̃i Bertini ut in uigl̃ sc̃i iacobi In die
s̃BertiniOM̃IPS̃sempiternedeusquimirabiliterfulgesin	s̃ Bertini OM̃IPS̃ sempiterne deus qui mirabiliter fulges in
electistuisquostehabitatoreglorificareuoluisticoncedenos	electis tuis quos te habitatore glorificare uoluisti concede nos
qs̃beatipatrisnr̃iBertiniitasollempniauenerari	qs̃ beati patris nr̃i Bertini ita sollempnia uenerari
utei᷒suffragantibmeritistemplũtuummereamurfieriPer	ut ei᷒ suffragantib meritis templũ tuum mereamur fieri Per
SecretaMuneranr̃atibidñe	Secreta Munera nr̃a tibi dñe
d̃sbeatiBertiniAURELIIAUGUSTINIDOCTORISLIBERI᷒HYPPONIENSISEP̃I	d̃s beati Bertini AURELII AUGUSTINI DOCTORIS LIBER I᷒ HYPPONIENSIS EP̃I
DECIUITATED̃IINCIP̃CONTR[A]	DE CIUITATE D̃I INCIP̃ CONTR [ A ]
PAGANOSGL̃IOSISSIMAM	PAGANOS GL̃IOSISSIMAM
CIUITATEMDEISIUEINHOCTẼPORŨCURSUCŨINTERimpios	CIUITATEM DEI SIUE IN HOC TẼPORŨ CURSU CŨ INTER impios
peregrinaturexfideuiuenssiue	peregrinatur exfide uiuens siue
inillastabilitatesedis	in illa stabilitate sedis
ęternęquamnuncexpectat	ęternę quam nunc expectat
ꝑpacientiãquoadusqiustitiac̃uertat᷑in	ꝑ pacientiã quoadusq iustitia c̃uertat᷑ in
iudiciũdeincepsadepturaꝑexcellentiãuictoriaultima&paceꝑfecta	iudiciũ deinceps adeptura ꝑ excellentiã uictoria ultima & pace ꝑfecta
hocoꝑeadteinstituto&meaꝓmissione	hoc oꝑe ad te instituto & mea ꝓmissione
debitodefendere	debito defendere
aduersuseosquic̃ditoriei᷒deossuosferunt	aduersus eos qui c̃ditori ei᷒ deos suos ferunt
filikm̃eMARcelliNEsuscepiMagnũopus	fili km̃e MARcelliNE suscepi Magnũ opus
&arduũsedd̃sadiutornr̃Namscioquib	& arduũ sed d̃s adiutor nr̃ Nam scio quib
EXPLIC̃TERCIAꝓpositio	EXPLIC̃ TERCIA ꝓpositio
INCIPITQUARTAQUARTA	INCIPIT QUARTA QUARTA
PROPOSITIOESTADŨsariiquę&extrema	PROPOSITIO EST ADŨsarii quę & extrema
duoseẽordinesouium&hircoꝝalterũiustoꝝalterum	duos eẽ ordines ouium & hircoꝝ alterũ iustoꝝ alterum
peccatoꝝaliosstareadextrisaliosasinistris	peccatoꝝ alios stare a dextris alios a sinistris
&audireiustosVenitebenedictipatͥsmei	& audire iustos Venite benedicti patͥs mei
possideteparatũuob̃regnũaconstitutionemundiPeccatorib	possidete paratũ uob̃ regnũ a constitutione mundi Peccatorib
uͦdiciDiscediteamemaledicti	uͦ dici Discedite a me maledicti
inignẽęt̃nũqui	in ignẽ ęt̃nũ qui
parat᷒ẽdiabolo&angelisei᷒	parat᷒ ẽ diabolo & angelis ei᷒
Arborẽbonãnonpossefruct᷒malos	Arborẽ bonã non posse fruct᷒ malos
fac͛enecmalãbonosUñ&saluatorloqͥt᷑adiudeos	fac͛e nec malã bonos Uñ & saluator loqͥt᷑ ad iudeos
Uosdepatre	Uos de patre
diaboloestis&concuQVIALARGIENTEDÑOmissarumsollempniater	diabolo estis & concu QVIA LARGIENTE DÑO missarum sollempnia ter
